代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11917666.939999999478459
真實報酬,1917666.939999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15395.658239180414967
風險,103019.031289269900299
起點值,0.149444797204029
找到最佳解世代,2679
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
CVX[5](3),MCD[15](27),PFE[20](1),PG[21](19),UNH[23](5),
Stock#,CVX[5](3),MCD[15](27),PFE[20](1),PG[21](19),UNH[23](5),
張數,24183,25223,119760,32180,53092,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,65.899999999906868,68.329999999841675,8.000000000000000,13.000000000000000,24.359999999869615,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2043529.399999999906868,2002270.069999999832362,1998802.400000000139698,2006757.800000000046566,2020174.959999999729916,10071534.629999998956919
FS( 3 ),2052960.770000000018626,2011854.810000000055879,2002395.199999999953434,2005792.399999999906868,2007963.799999999813735,10080966.980000000447035
FS( 4 ),2054411.750000000000000,2007314.669999999692664,2013173.599999999860302,1997103.800000000046566,1979825.039999999804422,10051828.859999999403954
FS( 5 ),2087058.799999999813735,2026484.149999999906868,2008383.199999999953434,2000000.000000000000000,1952217.199999999953434,10074143.349999999627471
FS( 6 ),2083189.520000000018626,1986127.349999999627471,2002395.199999999953434,2015446.400000000139698,1955933.640000000130385,10043092.109999999403954
FS( 7 ),2095522.850000000093132,1957625.359999999869615,2007185.600000000093132,2023169.599999999860302,1945846.159999999683350,10029349.570000000298023
FS( 8 ),2104712.390000000130385,1956364.209999999962747,2038323.199999999953434,2033789.000000000000000,1946908.000000000000000,10080096.800000000745058
FS( 9 ),2137117.609999999869615,1945013.859999999869615,2058682.400000000139698,2033467.199999999953434,1959119.159999999683350,10133400.230000000447035
FS( 10 ),2137359.439999999944121,1945013.859999999869615,2049101.599999999860302,2045052.000000000000000,1937882.359999999869615,10114409.259999999776483
FS( 11 ),2128411.729999999981374,1941734.869999999878928,2045508.799999999813735,2047948.199999999953434,1882135.760000000009313,10045739.359999999403954
FS( 12 ),2153803.879999999888241,1934924.659999999683350,2062275.199999999953434,2075623.000000000000000,1890630.479999999748543,10117257.219999998807907
FS( 13 ),2140019.569999999832362,1937446.959999999962747,2039520.800000000046566,2085598.800000000046566,1860898.959999999729916,10063485.089999999850988
