代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12232283.380000000819564
真實報酬,2232283.380000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17085.627845160321158
風險,117034.055332263189484
起點值,0.145988514169262
找到最佳解世代,2487
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AAPL[0](11),BA[2](10),KO[14](4),MCD[15](1),MMM[16](3),UNH[23](7),
Stock#,AAPL[0](11),BA[2](10),KO[14](4),MCD[15](1),MMM[16](3),UNH[23](7),
張數,12944,10164,40394,13614,9514,10243,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,126.000000000000000,74.919999999925494,9.560000000055879,40.119999999878928,98.620000000111759,27.469999999972060,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1663818.320000000065193,1649285.559999999823049,1672321.159999999916181,1677557.199999999953434,1657247.140000000130385,1646692.149999999906868,9966925.530000001192093
FS( 3 ),1670937.520000000251457,1650708.520000000018626,1677976.320000000065193,1691443.479999999748543,1665429.179999999934807,1658061.880000000121072,10014560.900000000372529
FS( 4 ),1686599.760000000009313,1666767.639999999897555,1678784.200000000186265,1694302.419999999925494,1666000.020000000018626,1644131.399999999906868,10036589.439999999478459
FS( 5 ),1702650.320000000065193,1692380.919999999925494,1692518.159999999916181,1696208.379999999888241,1672279.260000000009313,1644336.260000000009313,10100377.300000000745058
FS( 6 ),1709251.760000000009313,1665039.760000000009313,1697365.440000000176951,1697297.500000000000000,1684742.600000000093132,1642082.800000000046566,10095783.860000001266599
FS( 7 ),1714170.479999999748543,1669816.839999999850988,1666262.060000000055879,1694710.839999999850988,1695303.140000000130385,1643414.389999999897555,10083681.750000000000000
FS( 8 ),1710287.280000000027940,1689636.639999999897555,1639198.080000000074506,1712953.599999999860302,1703104.620000000111759,1646589.719999999972060,10101773.939999999478459
FS( 9 ),1725431.760000000009313,1707931.839999999850988,1640813.839999999850988,1709141.679999999934807,1722322.900000000139698,1659291.040000000037253,10164937.059999998658895
FS( 10 ),1747824.880000000121072,1712708.919999999925494,1637178.380000000121072,1712817.459999999962747,1727841.020000000018626,1670968.059999999823049,10209342.720000000670552
FS( 11 ),1754167.439999999944121,1720840.120000000111759,1633542.919999999925494,1721938.839999999850988,1728792.419999999925494,1682849.939999999944121,10242135.679999999701977
FS( 12 ),1752096.399999999906868,1736187.760000000009313,1664242.360000000102445,1724933.919999999925494,1745061.360000000102445,1676294.419999999925494,10298820.220000000670552
FS( 13 ),1756885.679999999934807,1755499.360000000102445,1665454.179999999934807,1739909.319999999832362,1740684.919999999925494,1614529.130000000121072,10272966.589999999850988
FS( 14 ),1769570.799999999813735,1784466.760000000009313,1674744.800000000046566,1743176.679999999701977,1744680.800000000046566,1644745.979999999981374,10361389.820000000298023
FS( 15 ),1774877.840000000083819,1782433.959999999962747,1680399.960000000195578,1740590.019999999785796,1770083.179999999934807,1644745.979999999981374,10393134.939999999478459
FS( 16 ),1767370.320000000065193,1797679.959999999962747,1682823.599999999860302,1746307.899999999906868,1781024.280000000027940,1665539.270000000018626,10440749.329999998211861
FS( 17 ),1769053.040000000037253,1803575.079999999841675,1687670.880000000121072,1751481.219999999972060,1783117.360000000102445,1670251.050000000046566,10465152.630000000819564
FS( 18 ),1772547.920000000158325,1823801.439999999944121,1683227.540000000037253,1728881.979999999748543,1778360.360000000102445,1694014.809999999823049,10480838.050000000745058
FS( 19 ),1773324.560000000055879,1831932.639999999897555,1694941.800000000046566,1737867.219999999972060,1773032.520000000018626,1694014.809999999823049,10505117.550000000745058
FS( 20 ),1809567.760000000009313,1869336.159999999916181,1703020.599999999860302,1756926.820000000065193,1806426.660000000149012,1720236.889999999897555,10665518.890000000596046
FS( 21 ),1798824.239999999990687,1859985.280000000027940,1715542.739999999990687,1745763.339999999850988,1806712.080000000074506,1713783.800000000046566,10640615.480000000447035
FS( 22 ),1809438.320000000065193,1851752.439999999944121,1715946.679999999934807,1741270.719999999972060,1801193.960000000195578,1722900.069999999832362,10642506.189999999478459
FS( 23 ),1803742.959999999962747,1839047.439999999944121,1703828.479999999981374,1743040.539999999804422,1797293.220000000204891,1728021.569999999832362,10614978.210000000894070
FS( 24 ),1806072.880000000121072,1850126.199999999953434,1696153.620000000111759,1743585.099999999860302,1799100.880000000121072,1723924.370000000111759,10618967.050000000745058
FS( 25 ),1799342.000000000000000,1847280.280000000027940,1696153.620000000111759,1743857.379999999888241,1803096.760000000009313,1719929.599999999860302,10609663.640000000596046
FS( 26 ),1795199.920000000158325,1835388.399999999906868,1697769.380000000121072,1744538.079999999608845,1806807.220000000204891,1720953.899999999906868,10600660.900000000372529
FS( 27 ),1801154.159999999916181,1816381.719999999739230,1708271.820000000065193,1742359.839999999850988,1819270.560000000288710,1741132.609999999869615,10628574.709999999031425
FS( 28 ),1801930.799999999813735,1819939.120000000111759,1697769.380000000121072,1737322.659999999916181,1822219.900000000139698,1743488.500000000000000,10622674.359999999403954
FS( 29 ),1799212.560000000055879,1816686.639999999897555,1695345.739999999990687,1739909.319999999832362,1810898.240000000223517,1731709.050000000046566,10593765.550000000745058
FS( 30 ),1818240.239999999990687,1816483.360000000102445,1701404.839999999850988,1740998.439999999711290,1819175.419999999925494,1759570.010000000009313,10655876.309999998658895
FS( 31 ),1821217.359999999869615,1811198.079999999841675,1706656.060000000055879,1742359.839999999850988,1810707.960000000195578,1754653.370000000111759,10646796.670000001788139
FS( 32 ),1812156.560000000055879,1830611.319999999832362,1697769.380000000121072,1751345.079999999608845,1830211.660000000149012,1738264.569999999832362,10660362.570000000298023
FS( 33 ),1831184.239999999990687,1823394.879999999888241,1703828.479999999981374,1753251.039999999804422,1836395.760000000009313,1720851.469999999972060,10668909.870000001043081
FS( 34 ),1810214.959999999962747,1788532.360000000102445,1716754.560000000055879,1749711.399999999906868,1828023.440000000176951,1717778.569999999832362,10611019.290000000968575
FS( 35 ),1830666.479999999748543,1798899.639999999897555,1711907.280000000260770,1757607.519999999785796,1828879.700000000186265,1710915.760000000009313,10638880.380000000819564
FS( 36 ),1824194.479999999748543,1801745.559999999823049,1703424.540000000037253,1756246.119999999878928,1828118.580000000074506,1693092.939999999944121,10606826.220000000670552
FS( 37 ),1820570.159999999916181,1787109.399999999906868,1701404.839999999850988,1760874.879999999888241,1822124.760000000009313,1690122.469999999972060,10582210.509999999776483
FS( 38 ),1823676.719999999972060,1789955.319999999832362,1709483.640000000130385,1762916.979999999981374,1811849.640000000130385,1686025.270000000018626,10583911.570000000298023
