代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12356018.669999999925494
真實報酬,2356018.669999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16757.079588343247451
風險,83085.476621857800637
起點值,0.201684822301842
找到最佳解世代,2372
找到最佳解實驗#,3
找到最佳解次數,9

stock[index](rank)
投資組合檔數,6
AXP[1](2),BA[2](1),MCD[15](8),PFE[20](11),UNH[23](4),V[25](3),
Stock#,AXP[1](2),BA[2](1),MCD[15](8),PFE[20](11),UNH[23](4),V[25](3),
張數,21291,8897,10936,50952,9280,17470,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,6.520000000018626,79.959999999962747,128.960000000195578,26.079999999841675,163.599999999860302,28.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1671137.109999999869615,1692556.269999999785796,1681429.600000000325963,1658004.159999999683350,1664902.799999999813735,1679768.500000000000000,10047802.440000001341105
FS( 3 ),1681356.790000000037253,1681168.109999999869615,1671040.400000000139698,1648323.280000000027940,1664717.199999999953434,1686756.500000000000000,10033366.280000001192093
FS( 4 ),1678801.869999999878928,1661594.709999999962747,1653980.239999999990687,1634056.719999999972060,1678173.199999999720603,1673479.300000000046566,9980090.040000000968575
FS( 5 ),1699241.229999999981374,1673605.659999999916181,1661744.800000000279397,1630490.079999999841675,1700352.399999999906868,1678720.300000000046566,10044158.470000000670552
FS( 6 ),1702221.969999999972060,1689887.169999999925494,1656167.440000000176951,1617752.079999999841675,1686246.799999999813735,1678720.300000000046566,10030999.759999999776483
FS( 7 ),1709886.729999999981374,1690776.869999999878928,1656714.239999999990687,1669723.120000000111759,1684112.399999999906868,1651991.199999999953434,10063208.559999998658895
FS( 8 ),1706905.989999999990687,1690509.959999999962747,1623796.880000000121072,1666156.479999999981374,1663603.599999999860302,1633473.000000000000000,9984449.910000000149012
FS( 9 ),1715848.210000000195578,1700207.689999999944121,1638560.480000000214204,1660042.239999999757856,1680307.599999999860302,1661075.599999999860302,10056045.820000000298023
FS( 10 ),1721170.960000000195578,1711684.819999999832362,1647965.440000000176951,1665646.959999999729916,1692464.399999999906868,1665268.399999999906868,10104204.980000000447035
FS( 11 ),1718190.219999999972060,1738998.609999999869615,1653324.080000000074506,1671761.199999999953434,1674089.999999999767169,1645177.900000000139698,10101546.009999999776483
FS( 12 ),1734158.469999999972060,1747806.639999999897555,1662291.600000000325963,1679913.519999999785796,1685689.999999999767169,1645177.900000000139698,10155042.129999998956919
FS( 13 ),1743313.599999999860302,1771294.719999999972060,1674868.000000000000000,1692651.519999999785796,1698589.199999999953434,1656009.300000000046566,10236730.339999999850988
FS( 14 ),1756726.930000000167638,1764621.969999999972060,1685038.480000000214204,1709975.199999999953434,1700909.199999999953434,1648846.599999999860302,10266122.380000000819564
FS( 15 ),1750339.629999999888241,1772095.449999999953434,1681320.239999999990687,1726279.840000000083819,1716221.199999999720603,1651641.800000000046566,10297902.160000000149012
FS( 16 ),1751191.270000000018626,1774497.639999999897555,1693021.760000000242144,1735451.199999999953434,1730883.599999999860302,1641334.500000000000000,10326383.970000000670552
FS( 17 ),1750552.540000000037253,1799320.269999999785796,1691272.000000000000000,1741055.919999999925494,1719283.599999999860302,1669810.599999999860302,10371298.929999999701977
FS( 18 ),1766307.879999999888241,1779302.019999999785796,1683835.520000000251457,1734432.159999999683350,1718077.199999999953434,1663521.399999999906868,10345480.179999999701977
FS( 19 ),1768862.800000000046566,1769604.289999999804422,1681210.880000000121072,1720675.120000000111759,1713251.599999999860302,1657931.000000000000000,10311539.689999999478459
FS( 20 ),1787811.790000000037253,1776099.100000000093132,1687553.760000000242144,1719656.079999999841675,1723459.599999999860302,1681166.100000000093132,10375750.429999999701977
FS( 21 ),1780572.849999999860302,1756881.580000000074506,1674758.640000000130385,1713541.840000000083819,1719469.199999999953434,1649545.400000000139698,10294773.509999999776483
FS( 22 ),1793560.359999999869615,1759461.709999999962747,1675086.720000000204891,1711503.760000000009313,1720861.199999999720603,1638364.600000000093132,10298842.349999999627471
FS( 23 ),1811870.619999999878928,1766935.189999999944121,1667868.960000000195578,1723222.719999999972060,1732275.599999999860302,1630852.500000000000000,10333029.589999999850988
