代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11625148.330000000074506
真實報酬,1625148.330000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13116.332828409802460
風險,69464.384794547557249
起點值,0.188820974477835
找到最佳解世代,2868
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,8
AXP[1](6),BA[2](2),HD[9](20),JNJ[12](7),MCD[15](4),MRK[17](22),UNH[23](3),V[25](1),
Stock#,AXP[1](6),BA[2](2),HD[9](20),JNJ[12](7),MCD[15](4),MRK[17](22),UNH[23](3),V[25](1),
張數,15776,6853,8105,10134,8855,20038,7159,13697,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,67.520000000018626,81.330000000074506,127.949999999953434,72.439999999944121,116.750000000000000,29.560000000055879,110.189999999944121,11.780000000027940,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1254890.560000000055879,1257195.650000000139698,1255997.699999999953434,1253648.239999999990687,1250708.399999999906868,1256412.160000000149012,1246778.449999999953434,1267532.160000000149012,10043163.320000000298023
FS( 3 ),1243689.600000000093132,1256853.000000000000000,1256402.949999999953434,1249898.659999999916181,1263016.850000000093132,1275047.500000000000000,1235324.049999999813735,1266162.459999999962747,10046395.070000000298023
FS( 4 ),1235801.600000000093132,1254660.040000000037253,1255268.250000000000000,1256181.739999999990687,1270366.500000000000000,1270038.000000000000000,1245919.370000000111759,1268627.920000000158325,10056863.419999999925494
FS( 5 ),1235643.839999999850988,1267954.860000000102445,1262319.599999999860302,1251722.780000000027940,1274882.550000000046566,1281860.419999999925494,1246635.270000000018626,1261368.510000000009313,10082387.830000000074506
FS( 6 ),1233119.679999999934807,1274876.390000000130385,1271721.399999999906868,1249087.939999999944121,1277361.950000000186265,1282661.940000000176951,1248926.149999999906868,1259040.020000000018626,10096795.470000000670552
FS( 7 ),1237536.959999999962747,1280975.560000000055879,1278124.350000000093132,1248682.579999999841675,1278424.550000000046566,1268234.580000000074506,1240335.350000000093132,1260135.780000000027940,10092449.709999999031425
FS( 8 ),1240849.920000000158325,1255413.870000000111759,1281771.599999999860302,1244628.979999999981374,1279841.350000000093132,1281259.280000000027940,1241409.199999999953434,1263560.030000000027940,10088734.229999998584390
FS( 9 ),1229333.439999999944121,1260622.150000000139698,1266128.949999999953434,1248581.239999999990687,1277096.300000000046566,1291077.900000000139698,1240908.069999999832362,1261505.479999999981374,10075253.530000001192093
FS( 10 ),1222549.760000000009313,1255893.580000000074506,1271964.549999999813735,1253040.199999999953434,1287279.550000000046566,1273845.219999999972060,1230097.979999999981374,1270134.590000000083819,10064805.429999999701977
FS( 11 ),1235801.600000000093132,1250000.000000000000000,1275287.600000000093132,1286989.099999999860302,1295426.149999999906868,1272642.939999999944121,1228093.459999999962747,1276983.090000000083819,10121223.939999997615814
FS( 12 ),1232646.399999999906868,1252124.429999999934807,1282825.249999999767169,1294893.619999999878928,1304369.699999999953434,1278253.580000000074506,1203681.270000000018626,1275887.330000000074506,10124681.580000000074506
FS( 13 ),1204880.640000000130385,1225260.670000000158325,1265237.399999999906868,1283746.219999999972060,1296577.300000000046566,1262423.560000000055879,1208978.929999999934807,1256848.500000000000000,10003953.220000000670552
FS( 14 ),1205038.399999999906868,1215803.530000000027940,1262076.449999999953434,1286786.419999999925494,1301890.299999999813735,1280257.380000000121072,1227520.739999999757856,1256163.649999999906868,10035536.869999999180436
FS( 15 ),1211664.320000000065193,1238829.610000000102445,1266939.449999999953434,1287090.439999999944121,1311985.000000000000000,1278053.200000000186265,1235682.000000000000000,1266710.340000000083819,10096954.359999999403954
FS( 16 ),1214504.000000000000000,1258771.840000000083819,1264183.750000000000000,1289725.280000000027940,1312339.199999999953434,1283263.080000000074506,1250787.489999999757856,1278078.850000000093132,10151653.490000000223517
FS( 17 ),1217974.719999999972060,1257538.300000000046566,1255025.100000000093132,1292360.119999999878928,1309062.849999999860302,1293482.459999999962747,1254510.169999999925494,1285612.199999999953434,10165565.919999998062849
FS( 18 ),1216712.640000000130385,1269599.580000000074506,1256402.949999999953434,1292258.780000000027940,1323939.250000000000000,1301096.900000000139698,1257159.000000000000000,1298624.350000000093132,10215793.450000001117587
FS( 19 ),1221760.959999999962747,1282072.040000000037253,1268236.250000000000000,1292461.459999999962747,1326418.649999999906868,1303301.080000000074506,1274770.140000000130385,1301774.660000000149012,10270795.240000000223517
FS( 20 ),1222076.479999999981374,1278782.600000000093132,1255592.449999999953434,1286279.719999999972060,1327127.050000000046566,1300896.520000000018626,1270832.689999999944121,1296706.770000000018626,10238294.279999999329448
FS( 21 ),1216239.360000000102445,1280769.969999999972060,1247325.349999999860302,1288205.179999999934807,1327746.900000000139698,1300095.000000000000000,1264318.000000000000000,1297391.620000000111759,10222091.379999998956919
FS( 22 ),1213872.959999999962747,1285909.719999999972060,1244326.499999999767169,1299757.939999999944121,1336247.699999999953434,1304703.739999999990687,1254223.810000000055879,1304377.090000000083819,10243419.459999999031425
FS( 23 ),1235012.800000000046566,1283785.290000000037253,1257618.699999999953434,1305128.959999999962747,1349530.199999999953434,1307709.440000000176951,1285723.410000000149012,1306705.580000000074506,10331214.380000000819564
FS( 24 ),1238325.760000000009313,1303727.520000000018626,1259239.699999999953434,1318303.160000000149012,1361484.450000000186265,1311917.419999999925494,1284363.199999999953434,1316978.330000000074506,10394339.540000000968575
FS( 25 ),1245898.239999999990687,1294955.679999999934807,1254700.899999999906868,1321140.680000000167638,1353072.199999999953434,1303902.219999999972060,1284220.020000000018626,1322457.129999999888241,10380347.070000000298023
FS( 26 ),1244005.119999999878928,1279879.080000000074506,1249918.949999999953434,1325903.660000000149012,1339258.399999999906868,1295887.020000000018626,1294600.569999999832362,1312047.410000000149012,10341500.210000000894070
FS( 27 ),1259150.080000000074506,1289130.630000000121072,1256078.750000000000000,1325092.939999999944121,1345545.449999999953434,1283663.840000000083819,1311710.580000000074506,1316156.510000000009313,10386528.779999999329448
FS( 28 ),1261358.719999999972060,1301671.620000000111759,1244245.449999999953434,1323066.140000000130385,1341029.400000000139698,1266431.160000000149012,1300828.899999999906868,1316156.510000000009313,10354787.900000000372529
FS( 29 ),1267038.080000000074506,1302356.920000000158325,1239868.750000000000000,1332997.459999999962747,1341472.149999999906868,1290276.380000000121072,1299182.330000000074506,1295200.100000000093132,10368392.169999999925494
FS( 30 ),1264829.439999999944121,1302151.330000000074506,1233546.850000000093132,1335936.319999999832362,1314818.600000000093132,1290276.380000000121072,1283360.939999999944121,1280681.280000000027940,10305601.139999998733401
FS( 31 ),1271455.360000000102445,1309621.100000000093132,1248216.900000000139698,1337963.120000000111759,1326772.849999999860302,1267833.820000000065193,1296247.140000000130385,1302322.540000000037253,10360432.830000001937151
FS( 32 ),1275399.360000000102445,1318461.469999999972060,1270667.749999999767169,1345563.620000000111759,1334388.150000000139698,1269837.620000000111759,1305625.429999999934807,1305609.819999999832362,10425553.220000000670552
FS( 33 ),1273190.719999999972060,1339500.179999999934807,1270748.800000000046566,1348299.799999999813735,1338727.099999999860302,1266230.780000000027940,1291450.609999999869615,1289858.270000000018626,10418006.259999999776483
FS( 34 ),1285022.719999999972060,1346284.650000000139698,1269695.149999999906868,1361575.339999999850988,1345988.200000000186265,1261822.419999999925494,1300399.359999999869615,1289858.270000000018626,10460646.109999999403954
FS( 35 ),1291806.399999999906868,1364376.570000000065193,1287283.000000000000000,1358737.819999999832362,1356171.449999999953434,1276049.400000000139698,1310350.370000000111759,1298350.410000000149012,10543125.419999999925494
FS( 36 ),1301745.280000000027940,1359236.820000000065193,1278043.299999999813735,1360257.919999999925494,1364406.599999999860302,1293081.700000000186265,1312140.120000000111759,1292734.639999999897555,10561646.380000000819564
FS( 37 ),1297012.479999999981374,1364993.340000000083819,1269289.899999999906868,1367250.379999999888241,1361395.899999999906868,1311717.040000000037253,1323952.469999999739230,1294926.160000000149012,10590537.669999999925494
FS( 38 ),1297643.520000000018626,1366843.650000000139698,1260293.349999999860302,1378803.140000000130385,1370870.750000000000000,1322938.320000000065193,1335263.689999999944121,1286844.930000000167638,10619501.349999999627471
