代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12793555.259999999776483
真實報酬,2793555.259999999776483

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21562.222937324990198
風險,146285.582583926647203
起點值,0.147398141063931
找到最佳解世代,1503
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](16),PFE[20](17),XOM[29](3),
Stock#,CAT[3](2),CVX[5](1),KO[14](16),PFE[20](17),XOM[29](3),
張數,25230,24554,64808,113507,29873,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.900000000139698,76.699999999953434,25.120000000111759,6.659999999916181,2.649999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2012110.400000000139698,2017187.800000000046566,2004536.560000000055879,1980703.809999999823049,2026586.969999999972060,10041125.539999999105930
FS( 3 ),2015390.300000000046566,2030692.500000000000000,2007776.960000000195578,1996594.789999999804422,2030470.459999999962747,10080925.009999999776483
FS( 4 ),2098649.300000000745058,2090604.260000000009313,2023978.960000000195578,1972758.319999999832362,2072591.389999999664724,10258582.230000000447035
FS( 5 ),2107732.100000000558794,2086675.620000000111759,2027867.439999999944121,1950056.919999999925494,2091112.649999999906868,10263444.730000000447035
FS( 6 ),2097135.500000000232831,2082255.899999999906868,2023978.960000000195578,1935301.010000000009313,2100672.009999999776483,10239343.379999998956919
FS( 7 ),2066607.199999999953434,2051808.939999999944121,2029811.680000000167638,1928490.589999999850988,2109932.639999999664724,10186651.050000000745058
FS( 8 ),2080483.699999999953434,2091340.879999999888241,2027219.360000000102445,1910329.469999999739230,2124869.139999999664724,10234242.550000000745058
FS( 9 ),2079979.100000000093132,2113930.559999999590218,2034996.320000000065193,1927355.520000000018626,2145780.239999999757856,10302041.740000000223517
FS( 10 ),2044657.100000000325963,2097970.459999999962747,2038884.800000000279397,1912599.610000000102445,2120686.919999999925494,10214798.890000000596046
FS( 11 ),2064336.500000000000000,2083729.139999999897555,2040180.960000000195578,1901248.909999999916181,2105451.689999999944121,10194947.199999999254942
FS( 12 ),2027753.000000000232831,2025290.620000000111759,2011665.439999999944121,1884222.860000000102445,2059447.269999999785796,10008379.190000001341105
FS( 13 ),2047937.000000000232831,2024799.539999999804422,2025923.200000000186265,1870602.020000000018626,2061538.380000000121072,10030800.140000000596046
FS( 14 ),2096883.200000000186265,2058192.979999999748543,2068696.480000000214204,1910329.469999999739230,2100373.279999999795109,10234475.410000000149012
FS( 15 ),2118581.000000000000000,2061139.459999999962747,2084250.399999999906868,1906924.260000000009313,2107244.070000000298023,10278139.189999999478459
FS( 16 ),2119337.900000000372529,2049108.000000000000000,2082954.240000000223517,1887628.069999999832362,2096788.519999999785796,10235816.730000000447035
FS( 17 ),2084772.800000000046566,2007366.199999999953434,2061567.600000000093132,1880817.649999999906868,2060642.189999999944121,10095166.439999999478459
FS( 18 ),2136746.599999999627471,2036339.920000000158325,2093971.600000000325963,1894438.489999999990687,2087527.889999999664724,10249024.500000000000000
FS( 19 ),2122617.799999999813735,2014732.399999999906868,2077769.600000000325963,1871737.089999999850988,2068110.439999999944121,10154967.330000000074506
FS( 20 ),2111012.000000000000000,2005892.959999999962747,2054438.719999999972060,1879682.579999999841675,2074682.500000000000000,10125708.759999999776483
FS( 21 ),2134475.900000000372529,1988214.079999999841675,2047309.840000000083819,1850170.760000000009313,2077968.530000000027940,10098139.109999999403954
FS( 22 ),2206381.400000000372529,2030692.500000000000000,2096563.920000000158325,1895573.559999999823049,2130843.739999999757856,10360055.119999999180436
FS( 23 ),2235900.500000000000000,2074889.699999999953434,2103044.720000000204891,1894438.489999999990687,2135324.689999999944121,10443598.099999999627471
FS( 24 ),2255075.299999999813735,2084465.760000000009313,2090083.120000000111759,1897843.699999999720603,2126661.520000000018626,10454129.399999998509884
FS( 25 ),2250533.900000000372529,2085939.000000000000000,2073881.120000000111759,1908059.329999999841675,2130246.279999999795109,10448659.630000000819564
FS( 26 ),2279548.400000000372529,2119086.899999999441206,2078417.680000000167638,1903519.049999999813735,2134727.229999999515712,10515299.259999999776483
FS( 27 ),2261130.500000000000000,2115158.259999999776483,2086842.720000000204891,1897843.699999999720603,2146377.699999999720603,10507352.879999998956919
FS( 28 ),2262392.000000000000000,2127680.799999999813735,2101100.480000000447035,1902383.979999999981374,2150858.649999999906868,10544415.910000000149012
FS( 29 ),2269204.099999999627471,2137011.320000000298023,2095267.760000000009313,1931895.799999999813735,2156235.790000000037253,10589614.769999999552965
FS( 30 ),2311842.799999999813735,2169913.679999999701977,2101100.480000000447035,1951191.989999999990687,2161612.929999999701977,10695661.879999998956919
FS( 31 ),2323448.600000000558794,2170159.219999999739230,2070640.719999999972060,1942111.429999999934807,2156235.790000000037253,10662595.760000001639128
FS( 32 ),2349435.500000000000000,2161074.240000000223517,2097860.080000000074506,1938706.219999999739230,2146377.699999999720603,10693453.739999998360872
FS( 33 ),2351453.900000000372529,2186855.940000000409782,2117302.480000000447035,1954597.199999999720603,2157430.709999999962747,10767640.230000000447035
FS( 34 ),2336063.600000000558794,2172860.160000000149012,2128967.920000000391155,1933030.870000000111759,2155937.060000000055879,10726859.610000001266599
FS( 35 ),2353976.900000000372529,2180471.899999999441206,2116654.399999999906868,1948921.850000000093132,2157430.709999999962747,10757455.759999997913837
FS( 36 ),2387532.799999999813735,2191030.120000000111759,2121839.040000000037253,1972758.319999999832362,2172367.209999999962747,10845527.489999998360872
FS( 37 ),2386019.000000000000000,2207972.379999999888241,2125727.520000000018626,1993189.579999999841675,2174757.049999999813735,10887665.530000001192093
FS( 38 ),2382991.400000000372529,2226633.419999999925494,2125079.439999999944121,1998864.929999999934807,2186706.250000000000000,10920275.439999999478459
FS( 39 ),2373404.000000000000000,2212883.179999999701977,2108229.360000000335276,1985244.089999999850988,2181030.379999999888241,10860791.009999997913837
FS( 40 ),2363816.599999999627471,2239155.959999999962747,2117950.560000000055879,1996594.789999999804422,2193278.310000000055879,10910796.219999998807907
FS( 41 ),2366087.299999999813735,2243575.679999999701977,2121190.959999999962747,1997729.860000000102445,2191784.660000000149012,10920368.459999999031425
FS( 42 ),2368358.000000000000000,2249223.099999999627471,2122487.120000000111759,1985244.089999999850988,2191485.929999999701977,10916798.239999998360872
FS( 43 ),2363059.700000000186265,2240629.200000000186265,2131560.240000000223517,1987514.229999999981374,2184316.410000000149012,10907079.780000001192093
FS( 44 ),2375422.400000000372529,2257571.459999999962747,2113414.000000000000000,2006810.419999999925494,2227034.799999999813735,10980253.080000001937151
FS( 45 ),2364321.200000000186265,2249223.099999999627471,2069992.640000000130385,2041997.589999999850988,2237490.350000000093132,10963024.879999998956919
FS( 46 ),2384757.500000000000000,2245294.459999999962747,2057679.120000000111759,2055618.429999999934807,2231515.750000000000000,10974865.259999999776483
FS( 47 ),2360032.100000000558794,2226878.959999999962747,2042773.280000000027940,2063563.919999999925494,2245854.790000000037253,10939103.050000000745058
FS( 48 ),2364825.799999999813735,2239155.959999999962747,2038884.800000000279397,2081725.039999999804422,2258102.720000000204891,10982694.320000000298023
FS( 49 ),2356247.600000000558794,2220003.839999999850988,2043421.360000000102445,2072644.479999999981374,2244361.139999999664724,10936678.420000001788139
FS( 50 ),2370376.400000000372529,2254870.519999999552965,2031755.920000000158325,2068104.199999999720603,2261090.020000000018626,10986197.059999998658895
FS( 51 ),2358770.599999999627471,2270094.000000000000000,2042773.280000000027940,2085130.250000000000000,2287676.989999999757856,11044445.119999999180436
FS( 52 ),2375170.100000000558794,2263464.419999999925494,2054438.719999999972060,2068104.199999999720603,2291560.479999999515712,11052737.919999998062849
FS( 53 ),2371890.200000000186265,2279424.519999999552965,2046013.680000000167638,2081725.039999999804422,2325316.970000000204891,11104370.410000000149012
FS( 54 ),2427900.799999999813735,2292192.599999999627471,2057031.040000000037253,2086265.319999999832362,2351306.479999999515712,11214696.239999998360872
FS( 55 ),2410492.100000000558794,2282862.080000000074506,2055086.800000000279397,2079454.899999999906868,2337266.169999999925494,11165162.050000000745058
FS( 56 ),2361798.200000000186265,2276478.040000000037253,2039532.880000000121072,2070374.339999999850988,2322628.399999999906868,11070811.860000001266599
FS( 57 ),2340100.400000000372529,2302750.820000000298023,2034348.240000000223517,2083995.179999999934807,2359372.189999999944121,11120566.830000000074506
FS( 58 ),2386019.000000000000000,2310608.099999999627471,2049902.160000000149012,2094210.809999999823049,2347721.720000000204891,11188461.790000000968575
FS( 59 ),2381477.600000000558794,2310117.019999999552965,2040180.960000000195578,2096480.949999999720603,2350410.290000000037253,11178666.820000000298023
FS( 60 ),2415790.400000000372529,2323867.259999999776483,2040180.960000000195578,2083995.179999999934807,2379685.829999999608845,11243519.630000000819564
FS( 61 ),2437992.799999999813735,2326568.200000000186265,2031755.920000000158325,2097616.019999999552965,2386257.889999999664724,11280190.829999998211861
FS( 62 ),2414024.300000000745058,2292683.679999999701977,2016202.000000000000000,2060158.709999999729916,2359670.919999999925494,11142739.609999999403954
FS( 63 ),2447580.200000000186265,2330987.919999999925494,2036940.560000000055879,2068104.199999999720603,2410156.290000000037253,11293769.169999998062849
FS( 64 ),2472810.200000000186265,2362662.580000000074506,2043421.360000000102445,2181611.200000000186265,2506646.079999999608845,11567151.419999999925494
FS( 65 ),2500058.600000000558794,2369046.620000000111759,2036940.560000000055879,2152099.379999999888241,2491709.579999999608845,11549854.740000000223517
FS( 66 ),2496021.800000000745058,2389426.440000000409782,2027867.439999999944121,2175935.850000000558794,2492605.770000000018626,11581857.300000000745058
FS( 67 ),2512673.600000000558794,2384515.639999999664724,2027219.360000000102445,2190691.759999999776483,2487826.089999999850988,11602926.449999999254942
FS( 68 ),2534876.000000000000000,2398020.339999999850988,2025923.200000000186265,2161179.939999999478459,2507243.540000000037253,11627243.019999999552965
FS( 69 ),2538408.200000000186265,2399984.660000000149012,2037588.640000000130385,2174800.780000000260770,2478864.189999999944121,11629646.470000000670552
FS( 70 ),2517719.600000000558794,2363153.660000000149012,2046661.760000000009313,2162315.009999999776483,2466018.799999999813735,11555868.830000001937151
FS( 71 ),2538155.900000000372529,2374448.500000000000000,2058975.280000000027940,2160044.870000000111759,2485436.250000000000000,11617060.800000000745058
FS( 72 ),2612332.100000000558794,2368310.000000000000000,2060271.439999999944121,2137343.469999999739230,2474084.509999999776483,11652341.520000001415610
FS( 73 ),2605267.700000000186265,2380587.000000000000000,2046013.680000000167638,2162315.009999999776483,2536519.079999999608845,11730702.470000000670552
FS( 74 ),2598707.900000000372529,2365609.059999999590218,2047957.920000000158325,2162315.009999999776483,2478565.459999999962747,11653155.350000001490116
FS( 75 ),2612584.400000000372529,2373466.339999999850988,2054438.719999999972060,2188421.620000000111759,2500074.020000000018626,11728985.099999999627471
FS( 76 ),2607790.700000000186265,2385988.879999999888241,2092027.360000000102445,2198637.250000000000000,2505749.889999999664724,11790194.080000001937151
FS( 77 ),2670865.700000000186265,2424047.580000000074506,2092027.360000000102445,2178205.990000000223517,2524271.149999999906868,11889417.780000001192093
FS( 78 ),2573730.200000000186265,2463333.979999999515712,2066104.160000000149012,2144153.889999999664724,2552351.770000000018626,11799674.000000000000000
FS( 79 ),2523522.500000000000000,2511214.280000000260770,2071288.800000000279397,2129397.980000000447035,2601044.759999999776483,11836468.320000000298023
FS( 80 ),2537399.000000000000000,2505321.320000000298023,2069992.640000000130385,2145288.959999999962747,2568184.459999999962747,11826186.380000002682209
FS( 81 ),2573477.900000000372529,2507040.099999999627471,2084250.399999999906868,2140748.679999999701977,2549364.470000000204891,11854881.550000000745058
FS( 82 ),2596941.800000000745058,2547554.200000000186265,2071288.800000000279397,2183881.339999999850988,2555040.339999999850988,11954706.480000000447035
FS( 83 ),2519485.700000000186265,2526683.299999999813735,2103692.800000000279397,2172530.639999999664724,2533233.049999999813735,11855625.490000002086163
FS( 84 ),2547491.000000000000000,2540679.080000000074506,2088138.880000000121072,2178205.990000000223517,2541597.489999999757856,11896112.439999999478459
FS( 85 ),2630245.400000000372529,2558357.959999999962747,2124431.360000000335276,2244040.049999999813735,2563703.509999999776483,12120778.279999999329448
FS( 86 ),2599717.100000000558794,2547554.200000000186265,2112765.920000000391155,2231554.280000000260770,2541597.489999999757856,12033188.990000000223517
FS( 87 ),2576757.799999999813735,2529384.240000000223517,2113414.000000000000000,2225878.929999999701977,2530843.209999999962747,11976278.179999999701977
FS( 88 ),2627217.799999999813735,2548045.280000000260770,2127023.680000000167638,2233824.419999999925494,2527258.449999999720603,12063369.629999998956919
FS( 89 ),2582560.700000000186265,2508022.259999999776483,2126375.600000000093132,2231554.280000000260770,2520686.389999999664724,11969199.230000000447035
FS( 90 ),2482397.600000000558794,2432887.019999999552965,2116006.319999999832362,2197502.179999999701977,2431067.389999999664724,11659860.509999997913837
FS( 91 ),2523522.500000000000000,2453757.919999999925494,2100452.399999999906868,2209987.950000000186265,2453173.410000000149012,11740894.179999999701977
FS( 92 ),2576000.900000000372529,2475119.899999999441206,2071936.880000000121072,2248580.330000000074506,2460940.389999999664724,11832578.399999998509884
FS( 93 ),2541940.400000000372529,2485678.120000000111759,2042773.280000000027940,2242904.980000000447035,2431366.120000000111759,11744662.900000002235174
FS( 94 ),2533109.900000000372529,2443445.240000000223517,1996111.520000000251457,2190691.759999999776483,2369230.279999999795109,11532588.700000001117587
FS( 95 ),2601735.500000000000000,2510477.660000000149012,2018146.240000000223517,2256525.819999999366701,2424495.329999999608845,11811380.549999998882413
FS( 96 ),2650681.700000000186265,2524227.899999999441206,2031755.920000000158325,2290577.919999999925494,2415234.699999999720603,11912478.139999998733401
FS( 97 ),2714513.600000000558794,2582911.959999999962747,2060271.439999999944121,2267876.519999999552965,2474681.970000000204891,12100255.490000000223517
FS( 98 ),2694329.600000000558794,2583894.120000000111759,2058327.200000000186265,2263336.240000000223517,2466317.529999999795109,12066204.689999999478459
FS( 99 ),2693572.700000000186265,2590032.620000000111759,2082954.240000000223517,2261066.100000000558794,2467512.449999999720603,12095138.109999999403954
FS( 100 ),2734193.000000000000000,2587577.219999999739230,2096563.920000000158325,2304198.759999999776483,2471395.939999999944121,12193928.839999997988343
FS( 101 ),2752358.600000000558794,2621952.820000000298023,2113414.000000000000000,2309874.110000000335276,2497982.910000000149012,12295582.440000001341105
FS( 102 ),2760179.900000000372529,2603782.860000000335276,2107581.280000000260770,2300793.549999999813735,2493501.959999999962747,12265839.550000000745058
FS( 103 ),2788942.100000000558794,2636439.679999999701977,2129616.000000000000000,2313279.319999999366701,2486929.899999999906868,12355207.000000000000000
FS( 104 ),2813919.799999999813735,2652154.240000000223517,2139985.280000000260770,2308739.040000000037253,2523972.419999999925494,12438770.779999999329448
FS( 105 ),2809378.400000000372529,2639386.160000000149012,2149706.480000000447035,2305333.830000000074506,2513218.139999999664724,12417023.010000001639128
FS( 106 ),2854035.500000000000000,2659765.979999999515712,2178222.000000000000000,2313279.319999999366701,2529648.290000000037253,12534951.089999999850988
FS( 107 ),2860595.299999999813735,2657556.120000000111759,2192479.759999999776483,2331440.439999999478459,2535324.160000000149012,12577395.779999999329448
FS( 108 ),2833599.200000000186265,2684565.519999999552965,2186647.040000000037253,2321224.809999999590218,2551754.310000000055879,12577790.880000000819564
