代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12425857.109999999403954
真實報酬,2425857.109999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23197.744881296956009
風險,191309.648696549353190
起點值,0.121257579214380
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),UNH[23](3),WMT[28](6),
Stock#,HD[9](1),NKE[19](4),UNH[23](3),WMT[28](6),
張數,31347,65121,30678,33995,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,76.750000000000000,4.810000000055879,49.780000000260770,7.699999999720603,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2508777.160000000149012,2512372.989999999757856,2523928.840000000316650,2500000.000000000000000,10045078.990000000223517
FS( 3 ),2508777.160000000149012,2504558.470000000204891,2484661.000000000000000,2493201.000000000000000,9991197.630000000819564
FS( 4 ),2524137.189999999944121,2511721.780000000260770,2500306.780000000260770,2522436.699999999720603,10058602.450000001117587
FS( 5 ),2522569.839999999850988,2485673.380000000353903,2431588.060000000521541,2513937.949999999720603,9953769.230000000447035
FS( 6 ),2584009.960000000428408,2509116.939999999944121,2457971.140000000596046,2538414.349999999627471,10089512.390000000596046
FS( 7 ),2598116.109999999869615,2509116.939999999944121,2450301.640000000596046,2527875.899999999906868,10085410.589999999850988
FS( 8 ),2599369.990000000223517,2498697.580000000074506,2461038.940000000409782,2523116.599999999627471,10082223.109999999403954
FS( 9 ),2605639.390000000130385,2515629.040000000037253,2500613.560000000521541,2516657.549999999813735,10138539.539999999105930
FS( 10 ),2628836.169999999925494,2516931.459999999962747,2510123.740000000223517,2528895.749999999534339,10184787.119999999180436
FS( 11 ),2623507.179999999701977,2511721.780000000260770,2499386.440000000409782,2512238.199999999720603,10146853.599999999627471
FS( 12 ),2620372.479999999981374,2557957.689999999944121,2526076.300000000279397,2532295.249999999534339,10236701.720000000670552
FS( 13 ),2765822.560000000055879,2556655.270000000018626,2560742.440000000409782,2545553.299999999348074,10428773.570000000298023
FS( 14 ),2844817.000000000000000,2569679.470000000204891,2559515.320000000298023,2548272.899999999441206,10522284.690000001341105
FS( 15 ),2857355.800000000279397,2570330.680000000167638,2569945.840000000316650,2568329.949999999720603,10565962.269999999552965
FS( 16 ),2853594.160000000149012,2582052.459999999962747,2570252.620000000111759,2574449.049999999813735,10580348.289999999105930
FS( 17 ),2858923.149999999906868,2605496.020000000018626,2584364.500000000000000,2573089.249999999534339,10621872.919999999925494
FS( 18 ),2872402.359999999869615,2587913.350000000093132,2611361.140000000596046,2567310.099999999627471,10638986.949999999254942
FS( 19 ),2879925.640000000130385,2595727.870000000111759,2650015.419999999925494,2578528.449999999720603,10704197.379999998956919
FS( 20 ),2899987.720000000204891,2566423.419999999925494,2648788.300000000279397,2580228.199999999720603,10695427.640000000596046
FS( 21 ),2931021.250000000000000,2557957.689999999944121,2659218.820000000298023,2566630.199999999720603,10714827.959999999031425
FS( 22 ),2857355.800000000279397,2581401.250000000000000,2650322.200000000186265,2575128.949999999720603,10664208.200000001117587
FS( 23 ),2789959.750000000000000,2566423.419999999925494,2662593.400000000372529,2583967.649999999906868,10602944.220000000670552
FS( 24 ),2819112.460000000428408,2602239.970000000204891,2670876.460000000428408,2602664.899999999906868,10694893.790000000968575
FS( 25 ),2871775.419999999925494,2671268.230000000447035,2692044.280000000260770,2634960.149999999906868,10870048.080000000074506
FS( 26 ),2847011.289999999571592,2682990.010000000242144,2696952.760000000242144,2601645.049999999813735,10828599.109999999403954
FS( 27 ),2787765.460000000428408,2664756.130000000353903,2716893.460000000428408,2608783.999999999534339,10778199.050000000745058
FS( 28 ),2797796.500000000000000,2685594.850000000093132,2676705.280000000260770,2600965.149999999906868,10761061.779999999329448
FS( 29 ),2796856.089999999850988,2664104.919999999925494,2671490.020000000018626,2587027.199999999720603,10719478.229999998584390
FS( 30 ),2784944.229999999981374,2664756.130000000353903,2643879.820000000298023,2575808.849999999627471,10669389.030000001192093
FS( 31 ),2801871.609999999869615,2657592.820000000298023,2639278.120000000111759,2577168.649999999906868,10675911.199999999254942
FS( 32 ),2829770.439999999944121,2643917.410000000149012,2673944.260000000242144,2594506.099999999627471,10742138.209999999031425
FS( 33 ),2859550.089999999850988,2654336.770000000018626,2668729.000000000000000,2591786.499999999534339,10774402.359999999403954
FS( 34 ),2886821.979999999981374,2669314.600000000093132,2688362.919999999925494,2591106.599999999627471,10835606.099999999627471
