代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799828.230000000447035
真實報酬,3799828.230000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30386.352442876028363
風險,125741.834537200207706
起點值,0.241656665458355
找到最佳解世代,2630
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
CAT[3](1),DIS[6](11),KO[14](16),WBA[27](4),XOM[29](5),
Stock#,CAT[3](1),DIS[6](11),KO[14](16),WBA[27](4),XOM[29](5),
張數,29342,59683,69783,72228,32835,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,49.280000000027940,22.670000000158325,19.219999999972060,6.679999999934807,20.150000000139698,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2011149.960000000195578,2023873.199999999953434,2002093.489999999990687,2044059.080000000074506,2004925.250000000232831,10086100.980000000447035
FS( 3 ),2056336.639999999897555,2069232.280000000260770,2008373.959999999962747,2044059.080000000074506,2013462.350000000093132,10191464.310000000521541
FS( 4 ),2045186.680000000167638,2019695.390000000363216,2011165.280000000027940,2057782.399999999906868,1988179.400000000139698,10122009.150000000372529
FS( 5 ),2075702.359999999869615,2019695.390000000363216,2018143.580000000074506,2070783.439999999944121,1994746.400000000139698,10179071.169999999925494
FS( 6 ),2072768.160000000149012,2034019.310000000055879,2034193.669999999925494,2074394.839999999850988,2004596.900000000139698,10219972.880000000819564
FS( 7 ),2090960.200000000186265,2038197.120000000111759,2041869.800000000046566,2091729.560000000055879,2009522.150000000139698,10272278.830000000074506
FS( 8 ),2119715.360000000335276,2045359.080000000307336,2025121.879999999888241,2098952.359999999403954,2002955.150000000139698,10292103.830000000074506
FS( 9 ),2107685.139999999664724,2032228.820000000065193,2009769.620000000111759,2110508.839999999850988,2003283.500000000000000,10263475.919999999925494
FS( 10 ),2116487.740000000223517,2041778.100000000093132,2003489.150000000139698,2109786.559999999590218,2002955.150000000139698,10274496.699999999254942
FS( 11 ),2112673.280000000260770,2039390.780000000260770,2006978.300000000046566,2103286.040000000037253,2001970.100000000093132,10264298.500000000000000
FS( 12 ),2147296.839999999850988,2062667.150000000372529,2008373.959999999962747,2109786.559999999590218,1995731.450000000186265,10323855.960000000894070
FS( 13 ),2193363.780000000260770,2082959.370000000111759,2023028.389999999897555,2111953.399999999441206,2021014.400000000139698,10432319.339999999850988
FS( 14 ),2241484.660000000149012,2059086.170000000158325,2027913.199999999953434,2146622.839999999850988,2020686.050000000046566,10495792.920000001788139
FS( 15 ),2235322.839999999850988,2028647.840000000316650,2032100.179999999934807,2151678.799999999813735,2017730.900000000139698,10465480.560000000521541
FS( 16 ),2237670.200000000186265,1976723.630000000121072,2019539.239999999990687,2131454.959999999962747,2007880.400000000139698,10373268.429999999701977
FS( 17 ),2339486.940000000409782,2004177.810000000055879,2045358.949999999953434,2192848.759999999776483,2027581.400000000139698,10609453.860000001266599
