代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12110736.689999999478459
真實報酬,2110736.689999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16677.085540272055368
風險,95523.981482662726194
起點值,0.174585326966285
找到最佳解世代,2102
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](12),KO[14](7),MCD[15](8),V[25](3),WMT[28](23),
Stock#,AAPL[0](1),DIS[6](12),KO[14](7),MCD[15](8),V[25](3),WMT[28](23),
張數,15222,16845,41490,14068,22095,23583,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.219999999972060,21.699999999953434,12.699999999953434,30.040000000037253,40.149999999906868,55.389999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1672907.020000000018626,1659254.199999999953434,1674549.099999999860302,1663430.359999999869615,1673073.549999999813735,1671618.429999999701977,10014836.660000000149012
FS( 3 ),1660881.639999999897555,1683847.899999999906868,1685336.499999999767169,1678201.760000000009313,1708204.599999999860302,1649450.409999999916181,10065926.810000000521541
FS( 4 ),1673668.120000000111759,1695639.399999999906868,1683262.000000000000000,1677639.040000000037253,1703785.599999999860302,1659355.269999999785796,10093353.429999999701977
FS( 5 ),1690107.879999999888241,1718043.249999999767169,1713134.799999999813735,1687064.600000000093132,1752394.599999999860302,1665015.189999999711290,10225764.319999998435378
FS( 6 ),1706699.860000000102445,1741457.799999999813735,1700272.899999999906868,1694520.640000000130385,1751731.750000000000000,1658883.609999999869615,10253570.560000000521541
FS( 7 ),1734556.120000000111759,1766388.399999999906868,1742592.699999999953434,1705915.720000000204891,1748638.449999999953434,1652752.029999999795109,10350847.419999998062849
