代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11447655.679999999701977
真實報酬,1447655.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13709.926745252434557
風險,111489.252653206363902
起點值,0.122970837268933
找到最佳解世代,2001
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),PG[21](8),TRV[22](11),WMT[28](2),
Stock#,DIS[6](1),PG[21](8),TRV[22](11),WMT[28](2),
張數,57090,39326,38699,42322,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,28.899999999906868,46.180000000167638,44.600000000093132,39.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485727.500000000000000,2516123.660000000149012,2505417.859999999869615,2497460.679999999701977,10004729.699999999254942
FS( 3 ),2501141.799999999813735,2536966.440000000409782,2505804.850000000093132,2496614.240000000223517,10040527.330000000074506
FS( 4 ),2450902.600000000093132,2527921.460000000428408,2496130.100000000093132,2484340.859999999869615,9959295.019999999552965
FS( 5 ),2501712.699999999720603,2526741.680000000167638,2499613.010000000242144,2505078.639999999664724,10033146.030000001192093
FS( 6 ),2529115.899999999906868,2523202.339999999850988,2491873.209999999962747,2499153.560000000055879,10043345.009999999776483
FS( 7 ),2570220.700000000186265,2503932.600000000093132,2473684.680000000167638,2498307.120000000111759,10046145.100000001490116
FS( 8 ),2585064.100000000093132,2522415.820000000298023,2501547.959999999962747,2505078.639999999664724,10114106.519999999552965
FS( 9 ),2601049.299999999813735,2504325.860000000335276,2500773.980000000447035,2514812.700000000186265,10120961.839999999850988
FS( 10 ),2578784.200000000186265,2500393.260000000242144,2495356.120000000111759,2500000.000000000000000,10074533.580000001937151
FS( 11 ),2569649.799999999813735,2505898.899999999906868,2482585.450000000186265,2511850.160000000149012,10069984.309999998658895
FS( 12 ),2573646.099999999627471,2528314.720000000204891,2461687.990000000223517,2505078.639999999664724,10068727.449999999254942
