代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11260786.290000000968575
真實報酬,1260786.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11193.285782603961707
風險,108364.531151010654867
起點值,0.103292891721237
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](1),DD[7](3),GS[8](16),MRK[17](15),NKE[19](6),UNH[23](2),
Stock#,DIS[6](1),DD[7](3),GS[8](16),MRK[17](15),NKE[19](6),UNH[23](2),
張數,17777,25672,8572,29142,35072,16537,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.250000000000000,39.760000000009313,183.479999999981374,35.020000000018626,44.559999999823049,67.139999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1642311.510000000009313,1615322.000000000000000,1614633.959999999962747,1691436.699999999953434,1639660.559999999823049,1639214.580000000074506,9842583.309999998658895
FS( 3 ),1633600.780000000027940,1589393.280000000027940,1581974.639999999897555,1757880.459999999962747,1630191.119999999646097,1635907.179999999934807,9828951.459999999031425
FS( 4 ),1650311.159999999916181,1586826.080000000074506,1605547.639999999897555,1795473.639999999897555,1663860.239999999757856,1652609.550000000046566,9954632.310000000521541
FS( 5 ),1667377.080000000074506,1626104.239999999990687,1631177.920000000158325,1831609.719999999972060,1702088.719999999972060,1731491.040000000037253,10189852.719999998807907
FS( 6 ),1675554.500000000000000,1623537.040000000037253,1606147.679999999934807,1823158.540000000037253,1683500.559999999823049,1715284.779999999795109,10127187.099999999627471
FS( 7 ),1679287.669999999925494,1614038.399999999906868,1586603.520000000018626,1815581.619999999878928,1681045.519999999785796,1695936.489999999757856,10072497.219999998807907
FS( 8 ),1692264.879999999888241,1594270.959999999962747,1585403.439999999944121,1812376.000000000000000,1666315.279999999795109,1704535.729999999748543,10055170.289999999105930
