代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12216016.650000000372529
真實報酬,2216016.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21111.966926533867081
風險,159957.745609316305490
起點值,0.131984649109135
找到最佳解世代,1904
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
BA[2](10),MRK[17](6),MSFT[18](2),NKE[19](15),UNH[23](27),WBA[27](16),
Stock#,BA[2](10),MRK[17](6),MSFT[18](2),NKE[19](15),UNH[23](27),WBA[27](16),
張數,38060,55518,69939,117702,60916,53607,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.600000000093132,15.640000000130385,19.630000000121072,5.679999999934807,4.239999999990687,24.370000000111759,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1680748.199999999953434,1656672.760000000009313,1662469.660000000149012,1693737.459999999962747,1640472.119999999878928,1629141.100000000093132,9963245.300000000745058
FS( 3 ),1675800.400000000139698,1643903.620000000111759,1665267.219999999972060,1678436.199999999953434,1594785.119999999878928,1622172.190000000176951,9880368.750000000000000
FS( 4 ),1732509.800000000279397,1630024.120000000111759,1640788.570000000065193,1696091.500000000000000,1582601.919999999925494,1636646.080000000074506,9918665.990000000223517
FS( 5 ),1777040.000000000000000,1671107.440000000176951,1647782.469999999972060,1709038.719999999972060,1614887.400000000139698,1646831.410000000149012,10066691.439999999478459
FS( 6 ),1742024.800000000279397,1698866.440000000176951,1637991.010000000242144,1681967.259999999776483,1649000.360000000102445,1646831.410000000149012,10056685.279999999329448
FS( 7 ),1727562.000000000000000,1683876.580000000074506,1617708.699999999953434,1671374.079999999841675,1694687.360000000102445,1647903.550000000046566,10043116.270000001415610
FS( 8 ),1763719.000000000232831,1706638.959999999962747,1645684.300000000279397,1692560.439999999944121,1692859.879999999888241,1678995.610000000102445,10180462.189999997615814
FS( 9 ),1774375.800000000046566,1719963.280000000260770,1651978.810000000288710,1700799.579999999841675,1728191.160000000149012,1707407.320000000298023,10282719.950000001117587
FS( 10 ),1707770.800000000046566,1719963.280000000260770,1656874.540000000270084,1673728.120000000111759,1709307.199999999953434,1695077.710000000195578,10162725.650000000372529
FS( 11 ),1680748.199999999953434,1714411.479999999981374,1626101.380000000121072,1631355.399999999906868,1734891.919999999925494,1638790.360000000102445,10026302.739999998360872
FS( 12 ),1666285.400000000139698,1704973.420000000158325,1649181.250000000000000,1636063.479999999981374,1716617.119999999878928,1652192.110000000102445,10025316.780000001192093
FS( 13 ),1656389.800000000279397,1747722.280000000260770,1654076.979999999981374,1670197.059999999823049,1716617.119999999878928,1659161.020000000018626,10104168.259999999776483
FS( 14 ),1702823.000000000232831,1739949.760000000009313,1655475.760000000242144,1677259.179999999934807,1729409.479999999981374,1655944.600000000093132,10160865.779999999329448
FS( 15 ),1745830.800000000046566,1807681.720000000204891,1707230.620000000111759,1637240.500000000000000,1761694.960000000195578,1695613.780000000027940,10355296.380000000819564
FS( 16 ),1793786.400000000139698,1804350.640000000130385,1723316.590000000083819,1647833.679999999934807,1808600.280000000027940,1683820.240000000223517,10461711.830000000074506
FS( 17 ),1836413.600000000093132,1829333.740000000223517,1723316.590000000083819,1623116.259999999776483,1822610.960000000195578,1744396.150000000139698,10579191.300000000745058
FS( 18 ),1820047.800000000046566,1814343.880000000121072,1717022.080000000074506,1631355.399999999906868,1762304.119999999878928,1791034.239999999990687,10536111.519999999552965
FS( 19 ),1972287.800000000046566,1824892.300000000046566,1726813.540000000270084,1672551.100000000093132,1762913.280000000027940,1803899.919999999925494,10763361.939999999478459
FS( 20 ),1942601.000000000000000,1794357.400000000139698,1726114.150000000139698,1653718.780000000027940,1716617.119999999878928,1805508.130000000121072,10638920.580000001937151
FS( 21 ),1890458.800000000046566,1800464.380000000121072,1724015.979999999981374,1630178.379999999888241,1705652.239999999990687,1816229.530000000260770,10567003.309999998658895
FS( 22 ),1856204.800000000279397,1764932.860000000102445,1678555.630000000121072,1599575.859999999869615,1664838.519999999785796,1824806.650000000139698,10388918.320000000298023
FS( 23 ),1842122.600000000093132,1710525.219999999972060,1668764.170000000158325,1568973.339999999850988,1745856.800000000046566,1812477.040000000270084,10348723.170000001788139
FS( 24 ),1844406.200000000186265,1678879.959999999962747,1686248.920000000158325,1580743.539999999804422,1758649.160000000149012,1798539.219999999972060,10347471.000000001862645
FS( 25 ),1870667.600000000093132,1704418.239999999990687,1721917.810000000288710,1596044.800000000046566,1759258.319999999832362,1814085.250000000232831,10466396.019999999552965
FS( 26 ),1883988.600000000093132,1719408.100000000093132,1735905.610000000102445,1625470.300000000046566,1695905.679999999934807,1821590.229999999981374,10482272.520000001415610
FS( 27 ),1923190.400000000139698,1751608.540000000270084,1733108.050000000279397,1629001.359999999869615,1730018.639999999897555,1817301.669999999925494,10584232.660000000149012
FS( 28 ),1921668.000000000232831,1774370.920000000158325,1748494.630000000121072,1631355.399999999906868,1773269.000000000000000,1832847.699999999953434,10682009.650000000372529
FS( 29 ),1954399.600000000093132,1806571.360000000102445,1738703.170000000158325,1618408.179999999934807,1770832.360000000102445,1826950.929999999934807,10715869.599999999627471
FS( 30 ),1939936.800000000046566,1826002.660000000149012,1748494.630000000121072,1616054.139999999897555,1751948.400000000139698,1835528.050000000279397,10717968.679999999701977
FS( 31 ),1981802.800000000046566,1815454.240000000223517,1762482.430000000167638,1608992.020000000018626,1687377.439999999944121,1825878.790000000270084,10681991.720000000670552
FS( 32 ),1992840.200000000186265,1786029.700000000186265,1762482.430000000167638,1683144.280000000027940,1784233.879999999888241,1855362.640000000130385,10864097.130000000819564
FS( 33 ),2012631.400000000139698,1777146.820000000065193,1769476.330000000074506,1709038.719999999972060,1787279.679999999934807,1839816.610000000102445,10895393.560000000521541
