代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11637402.300000000745058
真實報酬,1637402.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12453.248969285548810
風險,247527.039809192559915
起點值,0.050310660923692
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),CSCO[4](3),MCD[15](1),
Stock#,AAPL[0](2),CSCO[4](3),MCD[15](1),
張數,67971,210172,38918,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.160000000149012,5.080000000074506,6.299999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3393147.480000000447035,3293400.319999999832362,3332943.819999999832362,10019492.620000001043081
FS( 3 ),3415577.910000000149012,3270281.400000000372529,3341505.779999999795109,10027366.089999999850988
FS( 4 ),3468595.290000000037253,3341739.880000000353903,3349289.379999999888241,10159625.550000000745058
FS( 5 ),3493064.850000000093132,3308112.360000000335276,3331387.099999999627471,10132565.310000000521541
FS( 6 ),3437328.630000000353903,3242959.040000000037253,3321657.599999999627471,10001946.269999999552965
FS( 7 ),3435289.500000000000000,3278688.279999999795109,3307647.119999999646097,10021625.899999998509884
FS( 8 ),3476751.810000000055879,3272383.120000000111759,3306479.579999999608845,10055615.509999999776483
FS( 9 ),3474032.970000000204891,3242959.040000000037253,3339559.879999999888241,10056552.890000000596046
FS( 10 ),3543363.390000000130385,3276586.560000000055879,3326716.939999999944121,10146667.890000000596046
FS( 11 ),3629686.560000000055879,3245060.759999999776483,3323603.500000000000000,10198351.820000000298023
FS( 12 ),3659593.800000000279397,3291298.600000000093132,3355127.079999999608845,10306020.480000000447035
FS( 13 ),3756792.330000000540167,3324926.120000000111759,3357462.159999999683350,10439181.610000001266599
FS( 14 ),3760870.589999999850988,3436317.280000000260770,3367970.020000000018626,10565158.890000000596046
FS( 15 ),3819325.649999999906868,3459436.200000000186265,3446584.379999999888241,10725347.230000000447035
FS( 16 ),3869624.189999999944121,3421605.240000000223517,3429460.459999999962747,10720690.890000000596046
FS( 17 ),3917203.890000000130385,3423706.959999999962747,3425568.659999999683350,10766480.509999999776483
FS( 18 ),3811848.839999999850988,3297603.759999999776483,3389374.919999999925494,10498828.519999999552965
FS( 19 ),3804372.030000000260770,3364858.800000000279397,3377310.339999999850988,10546542.169999999925494
FS( 20 ),3791457.540000000037253,3356451.920000000391155,3365634.939999999944121,10513545.400000000372529
FS( 21 ),3852631.439999999944121,3327027.840000000316650,3362132.319999999832362,10541792.599999999627471
FS( 22 ),3776503.920000000391155,3249264.200000000186265,3310371.379999999888241,10336140.500000000000000
FS( 23 ),3811848.839999999850988,3255569.360000000335276,3329052.020000000018626,10396471.220000000670552
FS( 24 ),3664351.770000000018626,3114754.120000000111759,3280015.339999999850988,10059122.230000000447035
FS( 25 ),3627647.430000000167638,3139974.759999999776483,3311149.739999999757856,10078772.929999999701977
FS( 26 ),3429851.820000000298023,2929802.759999999776483,3195563.279999999795109,9555218.859999999403954
FS( 27 ),3631725.689999999944121,2955023.400000000372529,3345397.579999999608845,9932147.669999999925494
FS( 28 ),3531808.320000000298023,2885666.640000000130385,3272231.739999999757856,9689707.700000001117587
FS( 29 ),3629006.850000000093132,3345943.319999999832362,3357851.339999999850988,10332802.509999999776483
FS( 30 ),3660953.220000000204891,3360655.360000000335276,3366413.299999999813735,10388022.879999998956919
