代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12026758.970000002533197
真實報酬,2026758.970000002533197

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16228.055914642107382
風險,85401.724945666326676
起點值,0.190020235832082
找到最佳解世代,2198
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](8),DIS[6](7),KO[14](29),MCD[15](3),
Stock#,AAPL[0](8),DIS[6](7),KO[14](29),MCD[15](3),
張數,22423,27059,59354,22271,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.729999999981374,18.989999999757856,9.520000000018626,80.250000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2502242.300000000279397,2487011.679999999701977,2495845.219999999739230,2503117.939999999944121,9988217.140000000596046
FS( 3 ),2462777.819999999832362,2526517.819999999832362,2494658.140000000130385,2488196.370000000111759,9972150.149999998509884
FS( 4 ),2440579.050000000279397,2501623.540000000037253,2474477.779999999795109,2473052.090000000316650,9889732.459999999031425
FS( 5 ),2475783.159999999683350,2555200.359999999869615,2520180.359999999869615,2512694.469999999739230,10063858.349999997764826
FS( 6 ),2490358.109999999869615,2553847.409999999683350,2545109.040000000037253,2541424.060000000055879,10130738.619999999180436
FS( 7 ),2486321.969999999739230,2560882.750000000000000,2508903.100000000093132,2560799.830000000074506,10116907.650000000372529
FS( 8 ),2417034.899999999906868,2569541.629999999422580,2429962.279999999795109,2550332.459999999962747,9966871.269999999552965
FS( 9 ),2431385.620000000111759,2643142.109999999869615,2435304.140000000130385,2543873.870000000111759,10053705.740000002086163
FS( 10 ),2370395.060000000055879,2649636.270000000018626,2443613.700000000186265,2624940.310000000055879,10088585.339999999850988
FS( 11 ),2401787.259999999776483,2643683.290000000037253,2459639.279999999795109,2635184.969999999739230,10140294.800000000745058
FS( 12 ),2466365.500000000000000,2682107.069999999832362,2448955.560000000055879,2655006.159999999683350,10252434.290000000968575
FS( 13 ),2465468.580000000074506,2688871.819999999832362,2440646.000000000000000,2660351.200000000186265,10255337.600000001490116
FS( 14 ),2467935.109999999869615,2658295.149999999441206,2428181.659999999683350,2672600.250000000000000,10227012.169999999925494
FS( 15 ),2505381.520000000018626,2641789.159999999683350,2454890.959999999962747,2661464.750000000000000,10263526.390000000596046
FS( 16 ),2506951.129999999888241,2643953.879999999422580,2455484.500000000000000,2665696.239999999757856,10272085.750000000000000
FS( 17 ),2494170.020000000018626,2658836.330000000074506,2440646.000000000000000,2675718.189999999944121,10269370.539999999105930
FS( 18 ),2506726.899999999906868,2673989.369999999646097,2464981.140000000130385,2687299.109999999869615,10332996.519999999552965
FS( 19 ),2501793.839999999850988,2678048.219999999739230,2478039.020000000018626,2713133.469999999739230,10371014.550000000745058
