代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043299.870000001043081
真實報酬,2043299.870000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16440.050337383716396
風險,71994.665120824778569
起點值,0.228350952251716
找到最佳解世代,2494
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,10
AAPL[0](8),BA[2](3),CVX[5](10),DD[7](12),HD[9](14),MCD[15](5),MSFT[18](4),PFE[20](15),UNH[23](6),V[25](2),
Stock#,AAPL[0](8),BA[2](3),CVX[5](10),DD[7](12),HD[9](14),MCD[15](5),MSFT[18](4),PFE[20](15),UNH[23](6),V[25](2),
張數,6968,5035,9407,10981,6493,6557,14669,29568,5357,10712,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,92.000000000000000,99.349999999976717,35.900000000023283,70.140000000013970,13.070000000065193,57.500000000000000,14.270000000018626,10.239999999990687,115.949999999953434,34.800000000046566,
FS( 1 ),1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,10000000.000000000000000
FS( 2 ),1004111.119999999995343,1016212.699999999953434,984196.240000000107102,991874.059999999939464,991429.240000000107102,1003737.489999999990687,1013348.790000000037253,994677.760000000009313,1008571.199999999953434,1007069.920000000158325,10015228.519999999552965
FS( 3 ),994634.639999999897555,1014551.149999999906868,976670.640000000013970,994070.260000000009313,987273.720000000088476,1003868.630000000004657,1005867.599999999976717,982259.199999999953434,1001553.529999999911524,998928.800000000046566,9959678.169999999925494
FS( 4 ),1004738.239999999990687,1019032.300000000046566,973566.329999999958090,999231.329999999958090,988442.459999999962747,1024719.890000000013970,1018923.009999999892898,986103.040000000037253,1007017.670000000041910,1006105.840000000083819,10027880.109999999403954
FS( 5 ),1010870.079999999958090,1027037.950000000069849,969333.180000000051223,1009004.419999999925494,981624.810000000055879,1019802.140000000013970,1026550.890000000130385,987877.119999999878928,1001607.099999999860302,1018638.880000000121072,10052346.570000000298023
FS( 6 ),1014145.040000000037253,1038668.800000000046566,970085.740000000107102,1009553.470000000088476,977858.869999999995343,1015802.369999999995343,1026697.579999999958090,980780.800000000046566,996250.099999999860302,1022066.719999999972060,10051909.490000000223517
FS( 7 ),1015608.320000000065193,1039524.750000000000000,977329.130000000004657,1036566.729999999981374,990779.940000000060536,1026752.560000000055879,1043713.620000000111759,982259.199999999953434,1000214.279999999911524,1030314.960000000079162,10143063.490000000223517
FS( 8 ),1029753.360000000102445,1038467.399999999906868,979586.809999999939464,1026024.970000000088476,995325.040000000037253,1016654.779999999911524,1052808.399999999906868,984033.280000000027940,993732.309999999939464,1027744.080000000074506,10144130.429999999701977
FS( 9 ),1038602.719999999972060,1049947.199999999720603,982502.979999999981374,1035907.869999999995343,992662.910000000032596,1018228.459999999962747,1067624.090000000083819,988468.479999999981374,1001339.250000000000000,1038348.960000000079162,10213632.919999999925494
FS( 10 ),1042226.079999999958090,1052414.350000000093132,980339.369999999995343,1034041.099999999976717,999220.839999999967404,1018097.319999999948777,1075985.419999999925494,983146.239999999990687,998392.899999999906868,1037277.760000000009313,10221141.380000000819564
FS( 11 ),1045849.440000000060536,1048587.750000000000000,975729.940000000060536,1028221.169999999925494,988052.880000000004657,1009573.220000000088476,1075251.969999999972060,986398.719999999972060,1001071.399999999906868,1045311.760000000009313,10204048.249999998137355
FS( 12 ),1052399.360000000102445,1061880.149999999906868,982691.119999999995343,1044253.430000000051223,995389.970000000088476,1009114.229999999864958,1083466.610000000102445,994086.399999999906868,1013606.779999999911524,1052488.800000000046566,10289376.849999999627471
FS( 13 ),1047661.119999999995343,1058859.149999999906868,984290.309999999939464,1038323.689999999944121,954678.860000000102445,1011212.470000000088476,1088747.449999999953434,991720.959999999962747,1025981.449999999953434,1050989.120000000111759,10252464.579999998211861
FS( 14 ),1047173.360000000102445,1068224.250000000000000,971308.650000000023283,1034370.530000000027940,952211.520000000135042,1009310.939999999944121,1082439.780000000027940,989946.879999999888241,1027481.409999999916181,1066950.000000000000000,10249417.320000000298023
FS( 15 ),1059855.120000000111759,1068425.649999999906868,970838.300000000046566,1035578.439999999944121,938771.010000000125729,995737.949999999953434,1079652.669999999925494,985216.000000000000000,1022713.679999999934807,1075198.239999999990687,10231987.060000000521541
FS( 16 ),1064384.320000000065193,1069835.450000000186265,982032.630000000004657,1045461.340000000083819,954289.280000000027940,1043079.489999999990687,1088307.379999999888241,978711.040000000037253,1020088.750000000000000,1071127.679999999934807,10317317.359999999403954
FS( 17 ),1069401.280000000027940,1175520.100000000093132,988899.740000000107102,1038762.930000000051223,952471.240000000107102,1026293.569999999948777,1086253.719999999972060,972501.760000000009313,1021963.699999999953434,1080340.000000000000000,10412408.039999999105930
FS( 18 ),1049194.080000000074506,1213534.350000000093132,998212.670000000041910,1033711.669999999925494,959223.959999999962747,1029178.649999999906868,1073198.310000000055879,975754.239999999990687,1012213.959999999962747,1066628.639999999897555,10410850.530000001192093
FS( 19 ),1041808.000000000000000,1214893.799999999813735,1017120.740000000107102,1027123.070000000065193,961496.510000000125729,1021965.949999999953434,1071438.030000000027940,980189.439999999944121,1024106.500000000000000,1062129.600000000093132,10422271.640000000596046
FS( 20 ),1036442.639999999897555,1220885.450000000186265,1027186.229999999981374,1004612.020000000018626,971365.869999999995343,1017310.479999999864958,1066450.570000000065193,980485.119999999878928,1027642.119999999995343,1066521.520000000018626,10418902.019999999552965
FS( 21 ),1045640.400000000023283,1205679.750000000000000,1042143.359999999986030,1011639.860000000102445,972989.119999999995343,1010097.779999999911524,1064690.290000000037253,978119.679999999934807,1029892.059999999939464,1080554.239999999990687,10441446.540000000968575
FS( 22 ),1095043.520000000018626,1198177.600000000093132,1039133.119999999995343,1005600.309999999939464,977209.570000000065193,1026818.130000000004657,1059996.210000000195578,973388.800000000046566,1034016.949999999953434,1084946.160000000149012,10494330.369999999180436
FS( 23 ),1084103.760000000009313,1199688.100000000093132,1029443.910000000032596,991983.869999999995343,979092.540000000037253,1014556.540000000037253,1058382.620000000111759,988468.479999999981374,1043498.839999999967404,1077554.880000000121072,10466773.540000000968575
FS( 24 ),1089817.520000000018626,1196969.200000000186265,1035840.670000000041910,1002635.439999999944121,991818.820000000065193,1008655.239999999990687,1066157.190000000176951,994677.760000000009313,1044088.109999999986030,1080768.479999999981374,10511428.430000001564622
FS( 25 ),1106680.080000000074506,1209657.399999999906868,1032736.359999999986030,999011.709999999962747,995714.619999999995343,1016195.790000000037253,1062049.870000000111759,984920.320000000065193,1043552.409999999916181,1087195.679999999934807,10537714.240000000223517
FS( 26 ),1115529.440000000176951,1205981.850000000093132,1038098.349999999976717,991654.439999999944121,995714.619999999995343,1015867.939999999944121,1067770.780000000027940,984033.280000000027940,1044195.250000000000000,1084946.160000000149012,10543792.110000001266599
