代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045784.189999999478459
真實報酬,2045784.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15465.684978014109220
風險,146597.393007521313848
起點值,0.105497680829976
找到最佳解世代,2586
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),DIS[6](1),KO[14](2),TRV[22](9),VZ[26](3),WMT[28](11),
Stock#,AAPL[0](7),DIS[6](1),KO[14](2),TRV[22](9),VZ[26](3),WMT[28](11),
張數,25574,42376,49135,28119,44091,26803,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,8.419999999925494,17.920000000158325,6.799999999813735,52.869999999878928,26.200000000186265,55.459999999962747,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1662829.899999999906868,1648868.080000000074506,1666666.000000000000000,1670040.279999999795109,1656084.160000000381842,1660233.279999999795109,9964725.699999999254942
FS( 3 ),1679453.000000000000000,1695057.920000000158325,1672562.199999999720603,1690567.149999999906868,1668429.640000000363216,1662645.550000000046566,10068719.460000000894070
FS( 4 ),1695053.139999999897555,1714550.880000000121072,1671579.500000000000000,1668353.139999999897555,1681656.940000000176951,1658625.100000000093132,10089822.699999999254942
FS( 5 ),1712954.939999999944121,1736586.400000000139698,1684354.599999999860302,1679881.929999999934807,1671956.920000000158325,1653532.529999999795109,10139271.319999998435378
FS( 6 ),1741597.819999999832362,1748875.440000000176951,1678949.750000000000000,1682975.020000000018626,1671956.920000000158325,1651656.319999999832362,10176015.269999999552965
FS( 7 ),1801696.719999999972060,1759893.200000000186265,1670105.449999999953434,1684099.779999999795109,1671956.920000000158325,1660769.340000000083819,10248525.410000000149012
FS( 8 ),1802719.679999999701977,1756503.120000000344589,1669122.749999999767169,1669759.089999999850988,1661815.989999999990687,1659161.159999999916181,10219085.789999999105930
FS( 9 ),1836221.619999999878928,1770910.960000000195578,1681406.499999999767169,1658792.679999999934807,1681216.030000000260770,1656212.829999999841675,10284764.619999999180436
FS( 10 ),1861284.139999999897555,1762859.520000000251457,1692707.550000000046566,1663572.909999999683350,1677247.840000000083819,1667738.119999999878928,10325414.079999998211861
FS( 11 ),1818319.819999999832362,1748027.920000000158325,1680423.800000000046566,1667228.379999999888241,1667988.730000000214204,1655408.739999999990687,10237401.390000000596046
FS( 12 ),1834687.179999999701977,1760316.960000000195578,1691724.849999999860302,1671446.229999999748543,1677688.750000000000000,1662913.579999999841675,10298781.549999998882413
FS( 13 ),1834431.439999999944121,1769215.920000000158325,1696638.349999999860302,1682975.020000000018626,1695766.060000000288710,1674706.899999999906868,10353737.690000001341105
FS( 14 ),1880976.119999999878928,1761588.240000000223517,1690742.149999999674037,1666666.000000000000000,1697088.790000000270084,1610111.669999999925494,10307176.970000000670552
FS( 15 ),1874326.880000000121072,1748875.440000000176951,1701551.849999999860302,1657386.729999999748543,1684743.310000000288710,1570711.260000000009313,10237599.469999998807907
FS( 16 ),1886602.399999999906868,1757774.400000000139698,1699586.449999999953434,1657949.109999999869615,1681216.030000000260770,1569103.079999999841675,10252235.470000000670552
FS( 17 ),1908596.039999999804422,1750570.480000000214204,1695164.299999999813735,1647826.270000000018626,1681656.940000000176951,1575803.829999999841675,10259621.859999999403954
FS( 18 ),1920871.559999999823049,1764554.560000000288710,1691233.500000000000000,1647826.270000000018626,1681216.030000000260770,1566958.840000000083819,10272664.760000001639128
FS( 19 ),1956163.679999999701977,1776843.600000000093132,1691233.500000000000000,1642202.469999999739230,1682097.850000000093132,1579556.250000000000000,10328101.349999999627471
FS( 20 ),1981737.679999999701977,1779386.160000000149012,1716292.349999999860302,1630111.299999999813735,1680334.210000000195578,1583576.699999999953434,10371442.399999998509884
FS( 21 ),1989154.139999999897555,1796336.560000000288710,1709904.799999999580905,1642764.849999999860302,1694443.330000000074506,1576607.919999999925494,10409215.599999999627471
FS( 22 ),1991711.539999999804422,1795065.280000000027940,1699586.449999999953434,1631236.059999999823049,1705025.170000000158325,1581700.489999999990687,10404328.990000000223517
FS( 23 ),1947980.000000000000000,1809473.120000000344589,1701060.499999999767169,1645014.369999999878928,1719575.200000000186265,1592153.659999999916181,10415260.850000001490116
FS( 24 ),1937238.919999999925494,1779809.920000000158325,1689268.099999999860302,1602554.679999999934807,1705906.989999999990687,1580628.369999999878928,10295410.979999998584390
FS( 25 ),1938773.359999999869615,1769215.920000000158325,1690250.799999999813735,1599180.399999999906868,1713843.370000000111759,1604483.040000000037253,10315750.890000000596046
FS( 26 ),1980203.239999999990687,1780657.440000000176951,1702043.199999999953434,1605647.770000000018626,1729275.220000000204891,1602070.770000000018626,10399901.640000000596046
FS( 27 ),1991711.539999999804422,1789980.160000000149012,1707939.399999999674037,1619988.459999999962747,1723984.300000000279397,1610379.699999999953434,10443987.559999998658895
FS( 28 ),2016774.059999999823049,1794217.760000000242144,1723662.599999999627471,1619988.459999999962747,1733684.320000000298023,1626461.500000000000000,10514792.699999999254942
FS( 29 ),2075594.259999999776483,1864985.680000000167638,1726119.349999999860302,1642483.659999999683350,1740738.880000000121072,1635038.459999999962747,10684964.289999999105930
FS( 30 ),2154106.439999999944121,1842526.400000000139698,1725136.649999999674037,1657667.919999999925494,1740297.970000000204891,1637182.699999999953434,10756922.079999998211861
