代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12910057.080000000074506
真實報酬,2910057.080000000074506

夏普值報酬,0.282305708000000
夏普值風險,0.093748714744348
夏普值,3.011302168460083

二次趨勢線,50.295523045722810 x^2 + 799.992825983676312 x + 10000000.000000000000000
二次加權預期報酬,17732.818918043692975
風險,291486.551097667077556
二次加權趨勢值,0.060835804778184
一次趨勢線,10324.670154606759752 x + 10000000.000000000000000
一次預期報酬,10324.670154606759752
一次風險,462328.990414911881089
一次趨勢值,0.022331868363567
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),NKE[19](1),
Stock#,MCD[15](2),NKE[19](1),
張數,53613,105218,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,51.620000000111759,40.639999999664724,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4944778.610000000335276,4918982.139999999664724,9863760.750000000000000
FS( 3 ),4953892.820000000298023,4890573.279999999329448,9844466.099999999627471
FS( 4 ),5040209.750000000000000,4991582.559999999590218,10031792.309999998658895
FS( 5 ),5058974.299999999813735,5106270.179999999701977,10165244.480000000447035
FS( 6 ),4997319.349999999627471,5050504.639999999664724,10047823.989999998360872
FS( 7 ),4986596.750000000000000,5043139.379999999888241,10029736.129999998956919
FS( 8 ),4976946.410000000149012,4998947.819999999366701,9975894.230000000447035
FS( 9 ),4907785.640000000596046,4930556.119999999180436,9838341.759999999776483
FS( 10 ),4899207.559999999590218,4883208.019999999552965,9782415.579999998211861
FS( 11 ),4905104.990000000223517,4892677.639999999664724,9797782.629999998956919
FS( 12 ),4868112.019999999552965,4925295.219999999739230,9793407.239999998360872
FS( 13 ),4843450.040000000037253,4920034.319999999366701,9763484.359999999403954
FS( 14 ),4872937.190000000409782,5043139.379999999888241,9916076.570000000298023
FS( 15 ),4801631.900000000372529,5058922.079999999143183,9860553.980000000447035
FS( 16 ),4861142.330000000074506,5069443.879999999888241,9930586.210000000894070
FS( 17 ),4802168.029999999329448,4971591.139999999664724,9773759.169999998062849
FS( 18 ),4759813.759999999776483,4909512.519999999552965,9669326.279999999329448
FS( 19 ),5000536.129999999888241,4991582.559999999590218,9992118.689999999478459
FS( 20 ),4956037.339999999850988,4853746.979999999515712,9809784.320000000298023
FS( 21 ),4959790.250000000000000,4835859.919999999925494,9795650.169999999925494
FS( 22 ),5035384.580000000074506,4911616.879999999888241,9947001.460000000894070
FS( 23 ),5042354.269999999552965,4868477.500000000000000,9910831.769999999552965
FS( 24 ),5057902.040000000037253,4910564.700000000186265,9968466.740000000223517
FS( 25 ),5039137.490000000223517,4829546.839999999850988,9868684.330000000074506
FS( 26 ),4971048.980000000447035,4796929.259999999776483,9767978.240000000223517
FS( 27 ),5040745.879999999888241,4880051.479999999515712,9920797.359999999403954
FS( 28 ),5050932.349999999627471,4804294.519999999552965,9855226.869999999180436
FS( 29 ),5098111.790000000037253,4840068.639999999664724,9938180.429999999701977
FS( 30 ),5128135.070000000298023,4842173.000000000000000,9970308.070000000298023
FS( 31 ),5058438.169999999925494,4832703.379999999888241,9891141.550000000745058
FS( 32 ),5070769.160000000149012,4925295.219999999739230,9996064.379999998956919
FS( 33 ),5049860.089999999850988,4929503.939999999478459,9979364.029999999329448
FS( 34 ),5049860.089999999850988,4994739.099999999627471,10044599.189999999478459
FS( 35 ),5056293.650000000372529,4998947.819999999366701,10055241.469999998807907
FS( 36 ),5092214.360000000335276,5019991.419999999925494,10112205.780000001192093
FS( 37 ),5289510.200000000186265,5093644.019999999552965,10383154.219999998807907
FS( 38 ),5335081.250000000000000,5103113.639999999664724,10438194.890000000596046
FS( 39 ),5302377.320000000298023,5109426.719999999739230,10411804.039999999105930
FS( 40 ),5361351.620000000111759,5195705.479999999515712,10557057.099999999627471
FS( 41 ),5347412.240000000223517,5154670.459999999962747,10502082.699999999254942
FS( 42 ),5374754.870000000111759,5130470.319999999366701,10505225.189999999478459
FS( 43 ),5313636.049999999813735,5179922.779999999329448,10493558.829999998211861
FS( 44 ),5207482.309999999590218,5098904.919999999925494,10306387.230000000447035
FS( 45 ),5238577.849999999627471,5126261.599999999627471,10364839.449999999254942
FS( 46 ),5162447.390000000596046,5077861.319999999366701,10240308.710000000894070
FS( 47 ),5091142.099999999627471,5015782.700000000186265,10106924.800000000745058
FS( 48 ),5160302.870000000111759,5105218.000000000000000,10265520.870000001043081
FS( 49 ),5165664.169999999925494,5041035.019999999552965,10206699.189999999478459
FS( 50 ),5208554.570000000298023,5073652.599999999627471,10282207.169999999925494
FS( 51 ),5156013.830000000074506,5078913.500000000000000,10234927.330000000074506
FS( 52 ),5200512.620000000111759,5130470.319999999366701,10330982.939999999478459
FS( 53 ),5145827.360000000335276,5172557.519999999552965,10318384.879999998956919
FS( 54 ),5203193.269999999552965,5365106.459999999962747,10568299.730000000447035
FS( 55 ),5287365.680000000633299,5337749.779999999329448,10625115.460000000894070
FS( 56 ),5327039.299999999813735,5295662.579999999143183,10622701.879999998956919
FS( 57 ),5261631.440000000409782,5208331.639999999664724,10469963.080000000074506
FS( 58 ),5234824.940000000409782,5226218.700000000186265,10461043.640000000596046
FS( 59 ),5198368.099999999627471,5254627.559999999590218,10452995.660000000149012
FS( 60 ),5247692.059999999590218,5308288.740000000223517,10555980.800000000745058
FS( 61 ),5224102.339999999850988,5278827.700000000186265,10502930.039999999105930
FS( 62 ),5162447.390000000596046,5237792.679999999701977,10400240.070000000298023
FS( 63 ),5137785.410000000149012,5243053.579999999143183,10380838.989999998360872
FS( 64 ),5161911.259999999776483,5247262.299999999813735,10409173.559999998658895
FS( 65 ),5165664.169999999925494,5240949.219999999739230,10406613.390000000596046
FS( 66 ),5192470.669999999925494,5305132.200000000186265,10497602.870000001043081
FS( 67 ),5176386.769999999552965,5298819.119999999180436,10475205.889999998733401
FS( 68 ),5243403.019999999552965,5259888.459999999962747,10503291.480000000447035
FS( 69 ),5224102.339999999850988,5223062.160000000149012,10447164.500000000000000
FS( 70 ),5231608.160000000149012,5236740.500000000000000,10468348.660000000149012
FS( 71 ),5170489.339999999850988,5252523.200000000186265,10423012.539999999105930
FS( 72 ),5127062.809999999590218,5255679.740000000223517,10382742.550000000745058
FS( 73 ),5086853.059999999590218,5185183.679999999701977,10272036.739999998360872
FS( 74 ),5156549.960000000894070,5260940.639999999664724,10417490.600000001490116
