代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14029379.880000000819564
真實報酬,4029379.880000000819564

夏普值報酬,0.394237988000000
夏普值風險,0.113071151264525
夏普值,3.486636366491901

二次趨勢線,95.487790000068088 x^2 + -8254.527414454290920 x + 10000000.000000000000000
二次加權預期報酬,23893.028552235300594
風險,228766.987897369341226
二次加權趨勢值,0.104442641710850
一次趨勢線,9828.401910033864624 x + 10000000.000000000000000
一次預期報酬,9828.401910033864624
一次風險,718697.833462974871509
一次趨勢值,0.013675290855792
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),CSCO[4](3),HD[9](1),MCD[15](5),
Stock#,AAPL[0](4),CSCO[4](3),HD[9](1),MCD[15](5),
張數,50792,146713,66560,32899,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.760000000242144,10.479999999981374,6.399999999906868,4.990000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2475619.840000000316650,2502934.259999999776483,2494009.599999999627471,2513159.600000000093132,9985723.299999998882413
FS( 3 ),2458858.479999999981374,2526408.339999999850988,2502662.399999999906868,2520068.390000000130385,10007997.610000001266599
FS( 4 ),2452763.440000000409782,2651114.390000000130385,2496006.399999999906868,2524016.270000000018626,10123900.500000000000000
FS( 5 ),2453271.359999999869615,2627640.310000000055879,2517971.199999999720603,2500657.980000000447035,10099540.849999999627471
FS( 6 ),2431430.800000000279397,2589494.929999999701977,2493344.000000000000000,2501644.950000000651926,10015914.680000001564622
FS( 7 ),2400447.680000000167638,2563086.589999999850988,2502662.399999999906868,2508553.740000000223517,9974750.410000000149012
FS( 8 ),2412129.840000000316650,2558685.200000000186265,2513312.000000000000000,2522042.330000000074506,10006169.370000001043081
FS( 9 ),2439049.600000000558794,2530809.729999999981374,2507321.600000000093132,2529609.100000000093132,10006790.029999999329448
FS( 10 ),2412129.840000000316650,2519072.690000000409782,2518636.800000000279397,2535530.919999999925494,9985370.250000001862645
FS( 11 ),2376067.520000000484288,2498532.870000000111759,2540601.600000000093132,2545729.609999999869615,9960931.599999999627471
FS( 12 ),2408066.479999999981374,2454518.970000000204891,2513312.000000000000000,2533227.990000000223517,9909125.440000001341105
FS( 13 ),2451747.600000000558794,2436913.409999999683350,2513977.600000000093132,2520068.390000000130385,9922707.000000000000000
FS( 14 ),2484762.400000000372529,2483861.569999999832362,2525292.799999999813735,2579286.590000000316650,10073203.360000001266599
FS( 15 ),2544696.960000000428408,2485328.700000000186265,2515974.399999999906868,2530267.080000000074506,10076267.140000000596046
FS( 16 ),2561458.320000000298023,2508802.780000000260770,2500000.000000000000000,2537504.859999999869615,10107765.960000000894070
FS( 17 ),2542665.280000000260770,2570422.239999999757856,2476704.000000000000000,2531254.050000000279397,10121045.570000000298023
FS( 18 ),2540633.600000000558794,2522006.950000000186265,2484025.600000000093132,2561850.120000000577420,10108516.270000001415610
FS( 19 ),2516253.440000000409782,2536678.250000000000000,2494009.599999999627471,2567113.960000000428408,10114055.250000000000000
FS( 20 ),2540633.600000000558794,2570422.239999999757856,2472710.399999999906868,2576325.680000000167638,10160091.919999999925494
FS( 21 ),2512698.000000000000000,2579225.019999999552965,2486022.399999999906868,2587182.350000000093132,10165127.769999999552965
FS( 22 ),2526411.840000000316650,2554283.810000000055879,2486022.399999999906868,2597052.050000000279397,10163770.100000001490116
FS( 23 ),2536570.240000000223517,2563086.589999999850988,2475372.799999999813735,2601328.919999999925494,10176358.550000000745058
FS( 24 ),2516253.440000000409782,2564553.720000000204891,2463392.000000000000000,2585866.390000000130385,10130065.550000000745058
FS( 25 ),2515237.600000000558794,2576290.759999999776483,2462060.799999999813735,2589156.290000000502914,10142745.450000001117587
FS( 26 ),2522348.479999999981374,2582159.280000000260770,2460064.000000000000000,2609224.680000000167638,10173796.439999999478459
FS( 27 ),2535554.400000000372529,2610034.750000000000000,2480697.600000000093132,2622384.279999999795109,10248671.029999999329448
FS( 28 ),2519300.960000000428408,2608567.620000000111759,2478035.199999999720603,2615804.480000000447035,10221708.259999999776483
FS( 29 ),2514729.680000000167638,2483861.569999999832362,2482028.799999999813735,2653638.330000000074506,10134258.379999998956919
