代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13124441.750000000000000
真實報酬,3124441.750000000000000

夏普值報酬,0.303744175000000
夏普值風險,0.079667550649331
夏普值,3.812646083936702

二次趨勢線,11.676306139576869 x^2 + 9657.531995114532037 x + 10000000.000000000000000
二次加權預期報酬,13604.123470291520789
風險,155304.693136211601086
二次加權趨勢值,0.087596344936981
一次趨勢線,11877.481063580509726 x + 10000000.000000000000000
一次預期報酬,11877.481063580509726
一次風險,176552.998027629539138
一次趨勢值,0.067274309676247
找到最佳解世代,2968
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](12),DD[7](1),MRK[17](9),PFE[20](10),UNH[23](14),V[25](2),
Stock#,AAPL[0](12),DD[7](1),MRK[17](9),PFE[20](10),UNH[23](14),V[25](2),
張數,27201,37310,37579,57790,28262,39834,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,60.729999999981374,28.300000000046566,37.349999999860302,2.399999999906868,55.860000000102445,11.439999999944121,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1670202.129999999888241,1644653.100000000093132,1687710.239999999757856,1689204.099999999860302,1744951.740000000223517,1672641.100000000093132,10109366.409999998286366
FS( 3 ),1678634.439999999944121,1647264.800000000046566,1704620.789999999804422,1677646.099999999860302,1742973.400000000139698,1640773.899999999906868,10091917.429999999701977
FS( 4 ),1662041.830000000074506,1670023.899999999906868,1703117.629999999888241,1685158.799999999813735,1753147.720000000204891,1657902.519999999785796,10131396.399999998509884
FS( 5 ),1644633.189999999944121,1641668.300000000046566,1695977.619999999878928,1681691.399999999906868,1755126.060000000055879,1644757.299999999813735,10063857.870000001043081
FS( 6 ),1656329.620000000111759,1630102.199999999953434,1709130.269999999785796,1685158.799999999813735,1749191.040000000037253,1655910.820000000065193,10085826.750000000000000
