代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14711985.290000002831221
真實報酬,4711985.290000002831221

夏普值報酬,0.462498529000000
夏普值風險,0.113887120872195
夏普值,4.061025737221163

二次趨勢線,12.170934262818996 x^2 + 15875.625779439104008 x + 10000000.000000000000000
二次加權預期報酬,19973.173647921499651
風險,242171.786267362476792
二次加權趨勢值,0.082475229488008
一次趨勢線,18180.487417638039915 x + 10000000.000000000000000
一次預期報酬,18180.487417638039915
一次風險,257271.335752537735971
一次趨勢值,0.070666587727151
找到最佳解世代,2352
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](7),HD[9](9),MCD[15](6),MRK[17](8),MSFT[18](11),PG[21](3),
Stock#,BA[2](7),HD[9](9),MCD[15](6),MRK[17](8),MSFT[18](11),PG[21](3),
張數,47027,69939,30171,61751,86311,34570,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.120000000111759,19.630000000121072,19.959999999962747,6.510000000009313,0.590000000083819,46.300000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1749433.520000000251457,1732408.660000000149012,1700155.810000000055879,1667283.510000000009313,1664939.780000000027940,1708495.700000000186265,10222720.980000000447035
FS( 3 ),1772476.750000000000000,1748494.630000000121072,1708905.399999999906868,1633937.969999999972060,1618331.840000000083819,1715755.400000000139698,10197905.990000000223517
FS( 4 ),1794579.439999999944121,1738003.780000000260770,1687785.699999999953434,1646905.680000000167638,1619194.950000000186265,1716446.800000000046566,10202920.350000001490116
FS( 5 ),1723098.400000000139698,1704433.060000000288710,1671493.359999999869615,1622205.280000000027940,1619194.950000000186265,1682913.900000000139698,10023342.950000001117587
FS( 6 ),1733914.610000000102445,1756887.310000000288710,1676320.719999999972060,1652463.270000000018626,1656308.680000000167638,1675654.199999999953434,10151552.789999999105930
FS( 7 ),1841136.170000000158325,1811439.729999999981374,1709810.530000000027940,1624057.810000000055879,1697737.960000000195578,1700544.599999999860302,10384730.800000000745058
FS( 8 ),1747082.170000000158325,1815636.070000000065193,1692914.770000000018626,1608620.060000000055879,1690833.080000000074506,1660789.100000000093132,10215879.250000000000000
FS( 9 ),1741909.200000000186265,1772273.890000000130385,1653994.179999999934807,1585772.189999999944121,1670118.440000000176951,1633478.800000000046566,10057550.700000001117587
FS( 10 ),1766833.510000000009313,1795353.760000000242144,1627745.410000000149012,1620970.260000000009313,1625236.719999999972060,1685333.800000000046566,10121477.460000000894070
FS( 11 ),1805395.650000000139698,1816335.459999999962747,1650373.660000000149012,1596269.860000000102445,1705505.950000000186265,1743411.400000000139698,10317295.980000002309680
FS( 12 ),1802103.760000000009313,1825427.530000000260770,1692311.350000000093132,1588859.739999999990687,1657171.790000000037253,1785932.500000000000000,10351810.670000001788139
FS( 13 ),1715574.080000000074506,1758985.479999999981374,1669381.389999999897555,1557366.729999999981374,1606248.300000000046566,1753782.399999999906868,10061342.379999998956919
FS( 14 ),1723568.670000000158325,1809341.560000000288710,1678432.689999999944121,1453625.050000000046566,1637320.260000000009313,1775907.199999999953434,10078199.429999999701977
FS( 15 ),1754136.219999999972060,1830323.260000000242144,1636796.709999999962747,1418426.979999999981374,1620921.170000000158325,1714718.300000000046566,9975326.640000000596046
FS( 16 ),1783763.230000000214204,1801648.270000000251457,1668476.259999999776483,1434482.239999999990687,1633004.710000000195578,1705038.699999999953434,10026417.410000000149012
FS( 17 ),1820914.560000000055879,1840114.719999999972060,1638606.969999999972060,1448067.459999999962747,1804763.600000000093132,1711607.000000000000000,10264078.310000000521541
FS( 18 ),1856184.810000000055879,1810040.949999999953434,1644037.750000000000000,1447449.950000000186265,1760744.989999999990687,1727509.199999999953434,10245971.649999998509884
FS( 19 ),1827028.070000000065193,1823329.360000000102445,1645244.590000000083819,1430777.180000000167638,1720178.820000000065193,1717829.599999999860302,10164391.620000001043081
FS( 20 ),1906973.969999999972060,1842212.890000000130385,1641624.069999999832362,1475855.409999999916181,1747798.340000000083819,1743065.700000000186265,10357534.379999998956919
FS( 21 ),1883460.469999999972060,1840814.110000000102445,1607832.550000000046566,1496850.750000000000000,1748661.450000000186265,1709187.099999999860302,10286810.429999999701977
FS( 22 ),1938011.790000000037253,1802347.660000000149012,1580980.359999999869615,1500555.810000000055879,1746935.229999999981374,1711261.300000000046566,10280096.150000002235174
FS( 23 ),1983627.980000000214204,1833120.820000000065193,1592143.630000000121072,1520316.130000000121072,1742619.680000000167638,1762770.600000000093132,10434602.839999999850988
FS( 24 ),2029244.170000000158325,1831722.040000000270084,1603910.319999999832362,1518463.600000000093132,1708095.280000000027940,1721286.600000000093132,10412726.009999999776483
FS( 25 ),2078622.520000000251457,1821231.190000000176951,1619900.949999999953434,1519698.619999999878928,1708095.280000000027940,1757585.100000000093132,10505137.660000000149012
FS( 26 ),2047114.430000000167638,1791157.420000000158325,1610849.649999999906868,1556749.219999999972060,1667529.110000000102445,1774870.100000000093132,10448273.929999999701977
FS( 27 ),2155276.530000000260770,1783464.130000000121072,1657011.280000000027940,1532666.330000000074506,1676160.210000000195578,1782821.199999999953434,10587403.679999999701977
FS( 28 ),2103076.560000000055879,1743598.900000000139698,1641322.359999999869615,1506730.909999999916181,1667529.110000000102445,1741337.199999999953434,10403599.039999999105930
FS( 29 ),2073919.820000000065193,1723316.590000000083819,1628348.829999999841675,1542546.489999999990687,1716726.380000000121072,1761042.099999999860302,10445904.210000000894070
