代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13671749.870000001043081
真實報酬,3671749.870000001043081

夏普值報酬,0.358474987000000
夏普值風險,0.097432701017782
夏普值,3.679206090515520

預期報酬,15188.768055805583572
風險,212453.764183336665155
趨勢值,0.071492110832635
找到最佳解世代,1748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),GS[8](7),HD[9](3),NKE[19](4),UNH[23](1),
Stock#,DIS[6](5),GS[8](7),HD[9](3),NKE[19](4),UNH[23](1),
張數,23326,11944,24703,51572,24464,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.760000000009313,96.640000000130385,45.120000000111759,37.839999999850988,68.000000000000000,
20140701,2017027.979999999981374,1992475.280000000260770,2021244.579999999841675,2011345.839999999850988,2003424.959999999962747,10045518.640000000596046
20140702,2016328.199999999953434,1993430.800000000046566,2025197.060000000288710,2006188.639999999664724,2018103.359999999869615,10059248.060000000521541
20140703,2025658.600000000093132,2024126.880000000121072,2026926.270000000018626,2023207.399999999674037,2039142.399999999906868,10139061.549999998882413
20140707,2019827.100000000093132,2004060.960000000195578,2011363.380000000121072,2028364.599999999860302,2011498.080000000074506,10075114.120000001043081
20140708,2002799.120000000111759,1969781.680000000167638,1995059.400000000139698,2003094.320000000065193,2004403.520000000251457,9975138.040000000968575
20140709,2034522.479999999981374,1966915.119999999878928,1994318.310000000288710,2029396.040000000037253,2024219.359999999869615,10049371.310000000521541
20140710,2026125.120000000111759,1951985.119999999878928,1961463.320000000298023,1998452.839999999850988,2008073.119999999878928,9946099.519999999552965
20140711,2026824.899999999906868,1968467.840000000316650,1966650.950000000186265,1993295.639999999664724,2027399.680000000167638,9982639.009999999776483
20140714,2023792.520000000018626,1994744.640000000130385,1962945.500000000000000,2010314.399999999674037,2061649.279999999795109,10053446.339999999850988
20140715,2009563.660000000149012,2020663.119999999878928,1972826.700000000186265,2012377.280000000027940,2052597.600000000093132,10068028.360000001266599
20140716,1990902.859999999869615,2036190.320000000065193,1967886.100000000093132,1983496.959999999962747,2049172.640000000130385,10027648.879999998956919
20140717,1983438.540000000037253,2032248.800000000046566,1965168.770000000018626,1973698.280000000027940,2082199.040000000037253,10036753.429999999701977
20140718,2001632.820000000065193,2048134.320000000065193,1978261.360000000102445,1998968.559999999823049,2092229.279999999795109,10119226.339999999850988
20140721,2000000.000000000000000,2051120.320000000065193,1969121.250000000000000,1980918.359999999636784,2080975.840000000083819,10082135.769999999552965
20140722,2010963.219999999972060,2090535.520000000251457,1989624.740000000223517,1986591.280000000027940,2105195.199999999720603,10182909.960000000894070
20140723,2006997.800000000046566,2112034.720000000204891,2001482.179999999934807,1995358.519999999785796,2102504.160000000149012,10218377.379999998956919
20140724,2024725.560000000055879,2105346.080000000074506,2005928.720000000204891,2026817.439999999711290,2096143.520000000251457,10258961.320000000298023
