代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15243190.059999998658895
真實報酬,5243190.059999998658895

夏普值報酬,0.515619006000000
夏普值風險,0.117666785072271
夏普值,4.382026802918999

預期報酬,19965.705945998328389
風險,202758.682940028957091
趨勢值,0.098470288209081
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),MMM[16](2),NKE[19](3),UNH[23](8),UTX[24](4),
Stock#,BA[2](1),MMM[16](2),NKE[19](3),UNH[23](8),UTX[24](4),
張數,26539,21540,77519,36873,24387,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.959999999962747,11.000000000232831,9.800000000046566,8.479999999981374,22.129999999888241,
20130102,2045381.689999999711290,2041572.200000000186265,2009302.280000000260770,2011061.899999999906868,2048530.129999999888241,10155848.199999999254942
20130103,2055997.290000000037253,2039202.800000000279397,2030232.410000000149012,1917035.750000000000000,2056090.099999999860302,10098558.349999999627471
20130104,2061835.869999999878928,2054280.800000000279397,2049612.160000000149012,1920723.050000000046566,2072429.389999999897555,10158881.269999999552965
20130107,2020435.029999999795109,2056865.600000000093132,2052712.920000000158325,1920723.050000000046566,2062430.719999999739230,10113167.320000000298023
20130108,1967357.029999999795109,2057081.000000000232831,2031007.600000000093132,1895280.679999999934807,2037555.979999999748543,9988282.290000000968575
20130109,2037154.600000000093132,2076682.400000000139698,2033333.170000000158325,1931047.489999999990687,2061942.979999999748543,10140160.640000000596046
20130110,2045912.469999999972060,2087021.600000000325963,2037209.120000000111759,1958333.510000000009313,2072185.519999999785796,10200662.220000000670552
20130111,1994692.199999999953434,2073882.200000000186265,2058139.250000000000000,1947640.340000000083819,2077306.790000000037253,10151660.780000001192093
20130114,2031581.409999999916181,2091114.200000000186265,2062015.200000000186265,1967551.760000000009313,2092426.729999999748543,10244689.300000000745058
20130115,2041931.619999999878928,2095637.600000000325963,2079069.380000000121072,1977138.739999999990687,2096328.649999999674037,10290105.990000000223517
20130116,1972930.219999999972060,2102315.000000000000000,2082945.330000000074506,1978613.659999999916181,2086817.719999999739230,10223621.929999999701977
20130117,1997346.100000000093132,2112654.200000000186265,2072867.859999999869615,2005899.679999999934807,2107058.930000000167638,10295826.769999999552965
20130118,1991507.520000000018626,2126870.600000000558794,2065891.149999999906868,2011799.360000000102445,2120471.779999999795109,10316540.410000000149012
20130122,1968153.199999999953434,2139579.200000000186265,2072867.859999999869615,2065633.940000000176951,2133153.020000000018626,10379387.220000000670552
20130123,1971603.270000000018626,2143025.600000000558794,2058139.250000000000000,2061577.909999999916181,2147785.219999999739230,10382131.250000000000000
20130124,1998938.439999999711290,2146902.799999999813735,2087596.469999999972060,2073008.540000000037253,2168514.169999999925494,10474960.419999998062849
20130125,1991242.129999999888241,2166719.600000000558794,2153487.620000000111759,2066371.399999999906868,2189730.859999999869615,10567551.609999999403954
20130128,1963906.959999999962747,2168012.000000000000000,2112402.549999999813735,2057890.610000000102445,2189974.729999999981374,10492186.849999999627471
20130129,1954618.310000000055879,2192998.400000000372529,2089922.040000000037253,2075220.919999999925494,2188999.250000000000000,10501758.919999999925494
20130130,1979564.969999999972060,2171243.000000000000000,2078294.189999999944121,2067846.319999999832362,2172903.829999999608845,10469852.310000000521541
20130131,1960456.890000000130385,2165858.000000000000000,2095348.370000000111759,2035766.810000000055879,2135591.719999999739230,10393021.789999999105930
20130201,1986995.890000000130385,2187613.400000000372529,2081394.950000000186265,2056415.690000000176951,2190950.209999999962747,10503370.140000000596046
20130204,1996019.149999999906868,2170596.799999999813735,2079844.569999999832362,2055678.229999999981374,2183634.109999999869615,10485772.859999999403954
20130205,2014065.669999999925494,2186105.600000000558794,2089146.850000000093132,2130161.689999999944121,2176805.750000000000000,10596285.560000000521541
20130206,2024681.270000000018626,2211953.600000000558794,2099224.320000000298023,2115781.220000000204891,2179488.319999999832362,10631128.730000002309680
20130207,2054935.730000000214204,2201829.799999999813735,2119379.259999999776483,2103613.129999999888241,2193632.779999999795109,10673390.699999999254942
20130208,2031846.800000000046566,2211307.400000000372529,2116278.500000000000000,2129055.500000000000000,2197046.959999999962747,10685535.160000000149012
20130211,2013534.890000000130385,2210445.800000000745058,2140309.389999999664724,2106194.239999999757856,2185341.199999999720603,10655825.519999999552965
20130212,2016719.569999999832362,2228539.400000000372529,2135658.250000000000000,2102138.209999999962747,2194364.390000000130385,10677419.820000000298023
20130213,1984607.379999999888241,2215615.400000000372529,2114728.120000000111759,2110250.270000000018626,2182658.629999999888241,10607859.800000000745058
20130214,1988588.230000000214204,2213892.200000000186265,2117053.690000000409782,2103613.129999999888241,2187292.159999999683350,10610439.410000000149012
20130215,1991242.129999999888241,2223585.200000000186265,2130231.919999999925494,2113568.839999999850988,2213873.989999999757856,10672502.080000000074506
20130219,1981157.310000000055879,2244048.200000000186265,2111627.360000000335276,2089232.659999999916181,2219726.869999999646097,10645792.399999998509884
20130220,1984607.379999999888241,2221862.000000000000000,2093797.990000000223517,2035766.810000000055879,2198754.049999999813735,10534788.230000000447035
20130221,2017250.350000000093132,2212599.799999999813735,2113952.929999999701977,2036873.000000000000000,2180463.799999999813735,10561139.879999998956919
20130222,2034500.699999999953434,2230262.600000000558794,2111627.360000000335276,2008480.790000000037253,2206801.759999999776483,10591673.210000000894070
20130225,1991242.129999999888241,2191706.000000000000000,2094573.179999999934807,1965339.379999999888241,2155101.319999999832362,10397962.009999999776483
20130226,2007696.310000000055879,2203768.400000000372529,2103875.459999999962747,1956121.129999999888241,2175342.529999999795109,10446803.830000000074506
20130227,2053078.000000000000000,2230908.799999999813735,2106201.030000000260770,1986356.989999999990687,2208752.719999999739230,10585297.539999999105930
20130228,2040870.060000000055879,2240171.000000000000000,2110852.169999999925494,1970870.330000000074506,2208264.979999999981374,10571028.540000000968575
20130301,2050954.879999999888241,2235216.799999999813735,2124805.589999999850988,1973451.440000000176951,2198022.439999999944121,10582451.150000000372529
20130304,2045912.469999999972060,2224662.200000000186265,2121704.830000000074506,1966076.840000000083819,2173635.439999999944121,10531991.779999999329448
20130305,2087578.699999999953434,2249864.000000000000000,2127906.349999999627471,1972713.979999999981374,2219726.869999999646097,10657789.899999998509884
20130306,2098725.080000000074506,2254387.400000000372529,2143410.150000000372529,1976770.010000000009313,2220946.219999999739230,10694238.859999999403954
20130307,2151006.909999999683350,2251802.600000000558794,2140309.389999999664724,1983775.879999999888241,2236553.899999999906868,10763448.679999999701977
20130308,2155783.930000000167638,2277004.400000000372529,2120154.450000000186265,1984144.610000000102445,2245333.219999999739230,10782420.609999999403954
20130311,2201165.620000000111759,2279158.400000000372529,2113952.929999999701977,1998893.810000000055879,2265818.299999999813735,10858989.059999998658895
20130312,2233543.199999999720603,2264511.200000000186265,2073643.050000000046566,2021755.069999999832362,2271427.310000000055879,10864879.830000000074506
20130313,2249201.209999999962747,2263649.600000000558794,2126355.969999999739230,2008849.519999999785796,2269964.089999999850988,10918020.390000000596046
20130314,2245751.140000000130385,2283681.799999999813735,2120154.450000000186265,2018067.769999999785796,2278987.279999999795109,10946642.439999999478459
20130315,2293786.729999999981374,2291867.000000000000000,2123255.209999999962747,2018067.769999999785796,2274841.489999999757856,11001818.200000001117587
