代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13223429.809999998658895
真實報酬,3223429.809999998658895

夏普值報酬,0.313642981000000
夏普值風險,0.087883880059632
夏普值,3.568834020382168

預期報酬,13750.427845279564281
風險,148473.315283292991808
趨勢值,0.092612115645449
找到最佳解世代,3312
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
BA[2](12),CAT[3](9),DD[7](1),MRK[17](8),MSFT[18](16),
Stock#,BA[2](12),CAT[3](9),DD[7](1),MRK[17](8),MSFT[18](16),
張數,19523,24245,43658,43057,57903,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,63.880000000121072,29.950000000186265,27.019999999785796,2.349999999860302,30.380000000121072,
20130701,2015618.399999999906868,2005576.350000000093132,2020519.259999999776483,1994402.589999999850988,1989577.460000000195578,10025694.060000000521541
20130702,1981062.690000000176951,1999757.550000000279397,2017026.619999999878928,2004305.699999999720603,1965258.199999999953434,9967410.759999999776483
20130703,2008785.350000000093132,1984483.199999999953434,2016153.459999999729916,2004305.699999999720603,1969311.409999999916181,9983039.119999999180436
20130705,2034360.480000000214204,1991514.250000000232831,2032306.919999999692664,2030570.469999999739230,1980892.010000000242144,10069644.130000000819564
20130708,2037679.390000000130385,2017213.950000000186265,2057191.979999999748543,2041334.719999999739230,1987840.370000000111759,10141260.410000000149012
20130709,2043731.520000000251457,2068855.800000000046566,2115257.120000000111759,2050376.689999999711290,1988998.430000000167638,10267219.560000000521541
20130710,2059740.380000000121072,2059885.150000000139698,2100849.979999999515712,2065016.069999999832362,2009264.480000000214204,10294756.060000000521541
20130711,2086682.120000000111759,2102071.450000000186265,2126171.620000000111759,2080086.020000000018626,2066588.449999999953434,10461599.660000000149012
20130712,1988871.890000000130385,2113466.600000000093132,2121369.240000000223517,2089989.129999999888241,2065430.390000000130385,10379127.250000000000000
20130715,2062864.060000000055879,2119042.950000000186265,2138832.439999999478459,2089127.989999999990687,2094381.890000000130385,10504249.330000000074506
20130716,2034946.170000000158325,2137711.600000000093132,2112201.059999999590218,2076641.459999999729916,2100172.190000000409782,10461672.480000000447035
20130717,2045879.050000000279397,2101344.100000000093132,2159351.700000000186265,2072335.760000000009313,2069483.600000000325963,10448394.210000000894070
20130718,2101324.370000000111759,2078311.350000000093132,2150183.519999999552965,2040904.149999999906868,2052112.699999999953434,10422836.089999999850988
20130719,2088243.959999999962747,2076614.200000000419095,2155422.479999999515712,2057696.379999999888241,1818184.580000000074506,10196161.599999999627471
20130722,2086291.660000000149012,2085099.950000000186265,2150620.099999999627471,2054682.389999999897555,1853505.409999999916181,10230199.509999999776483
20130723,2104448.049999999813735,2073462.350000000093132,2148000.620000000111759,2063724.359999999869615,1842503.840000000083819,10232139.219999998807907
20130724,2088048.730000000214204,2023032.750000000232831,2137086.120000000111759,2056835.239999999990687,1850610.260000000242144,10155613.100000001490116
20130725,2083167.980000000214204,1991514.250000000232831,2175505.160000000149012,2074058.040000000037253,1817605.550000000046566,10141850.980000000447035
20130726,2061692.679999999934807,1989574.650000000139698,2157605.379999999888241,2087836.280000000027940,1830923.240000000223517,10127632.230000000447035
20130729,2046269.510000000242144,2012849.850000000093132,2175941.740000000223517,2081377.729999999981374,1826291.000000000000000,10142729.830000000074506
20130730,2064230.670000000158325,2016971.500000000232831,2179870.959999999962747,2068891.199999999720603,1844240.930000000167638,10174205.259999999776483
20130731,2051931.179999999934807,2010182.900000000139698,2178561.219999999739230,2074058.040000000037253,1843661.900000000139698,10158395.240000000223517
20130801,2083167.980000000214204,2047277.750000000232831,2200826.799999999813735,2091711.409999999683350,1833818.390000000130385,10256802.330000000074506
20130802,2106595.580000000074506,2043883.450000000186265,2251906.660000000149012,2089989.129999999888241,1846557.050000000046566,10338931.870000001043081
20130805,2098786.379999999888241,2025942.150000000139698,2268060.120000000111759,2089558.559999999823049,1835555.479999999981374,10317902.690000001341105
20130806,2089805.800000000279397,2000969.800000000279397,2241865.320000000298023,2085683.429999999701977,1828607.120000000111759,10246931.470000002533197
