代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12155624.910000000149012
真實報酬,2155624.910000000149012

夏普值報酬,0.206862491000000
夏普值風險,0.067261369928415
夏普值,3.075502197177357

預期報酬,9958.061327131475991
風險,236623.234121788176708
趨勢值,0.042084038636739
找到最佳解世代,2625
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](1),UNH[23](4),V[25](3),
Stock#,NKE[19](1),UNH[23](4),V[25](3),
張數,69328,32973,50851,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,42.760000000242144,92.429999999701977,49.950000000186265,
20150102,3294509.320000000298023,3323111.369999999646097,3369437.210000000428408,9987058.900000000372529
20150105,3241126.760000000242144,3268376.189999999944121,3294686.240000000689179,9804190.190000001341105
20150106,3222408.200000000186265,3261781.589999999850988,3273837.330000000074506,9758028.120000001043081
20150107,3288963.080000000074506,3295084.319999999832362,3317569.189999999944121,9901617.589999999850988
20150108,3364530.600000000093132,3452365.529999999795109,3361809.560000000055879,10178706.689999999478459
20150109,3327786.760000000242144,3420051.989999999757856,3311975.580000000074506,10059815.330000000074506
20150112,3322933.800000000279397,3381473.579999999608845,3305873.460000000428408,10010281.839999999850988
20150113,3293816.040000000037253,3398619.539999999571592,3315026.640000000130385,10007463.220000000670552
20150114,3248752.840000000316650,3407192.519999999552965,3248920.340000000316650,9904866.699999999254942
20150115,3217555.240000000223517,3444452.009999999310821,3217901.230000000447035,9879909.480000000447035
20150116,3223794.760000000242144,3487646.639999999664724,3241292.690000000409782,9952735.089999999850988
20150120,3245286.440000000409782,3482700.689999999944121,3265192.659999999683350,9993180.790000000968575
20150121,3241820.040000000037253,3604700.789999999571592,3270786.270000000018626,10117308.099999999627471
20150122,3322933.800000000279397,3754068.479999999515712,3274854.350000000558794,10351857.629999998956919
20150123,3333333.000000000000000,3693068.429999999701977,3283499.020000000018626,10309901.449999999254942
20150126,3340265.800000000279397,3680208.959999999497086,3261124.580000000074506,10281600.339999999850988
20150127,3275790.760000000242144,3627452.159999999683350,3190950.200000000186265,10094194.120000001043081
20150128,3234887.240000000223517,3576344.009999999310821,3131963.040000000502914,9943195.290000000968575
20150129,3288963.080000000074506,3607008.899999999906868,3152811.950000000186265,10048784.929999999701977
20150130,3198143.400000000372529,3503473.679999999701977,3240784.180000000167638,9942402.259999999776483
20150202,3186357.640000000130385,3537765.600000000093132,3246377.790000000502914,9970502.030000001192093
20150203,3236273.800000000279397,3554911.559999999590218,3302822.400000000372529,10094008.759999999776483
20150204,3207849.320000000298023,3558538.589999999850988,3367403.169999999925494,10133792.080000000074506
20150205,3235580.520000000484288,3588214.289999999571592,3455375.400000000372529,10279171.210000000894070
20150206,3182197.959999999962747,3547987.229999999515712,3399947.810000000055879,10130134.000000000000000
20150209,3160706.280000000260770,3511387.199999999720603,3374522.310000000055879,10046616.790000000968575
20150210,3215475.400000000372529,3593160.239999999757856,3363335.090000000316650,10171971.730000000447035
20150211,3165559.240000000223517,3622176.479999999515712,3381641.450000000186265,10169378.169999999925494
20150212,3189130.760000000242144,3621846.750000000000000,3444188.180000000167638,10255166.689999999478459
20150213,3190517.320000000298023,3608657.549999999813735,3427915.859999999869615,10227091.730000000447035
20150217,3184277.800000000279397,3619208.909999999683350,3443679.669999999925494,10247167.379999998956919
20150218,3245286.440000000409782,3619538.639999999664724,3421305.230000000447035,10286131.310000000521541
20150219,3248059.560000000521541,3628111.619999999646097,3421305.230000000447035,10297477.410000000149012
20150220,3291042.920000000391155,3713511.689999999944121,3470630.700000000186265,10475186.310000000521541
20150223,3293816.040000000037253,3838149.629999999888241,3470630.700000000186265,10602597.370000001043081
20150224,3307681.640000000130385,3806165.819999999832362,3464020.070000000298023,10577868.530000001192093
20150225,3356211.240000000223517,3760663.079999999608845,3470630.700000000186265,10587506.019999999552965
20150226,3362450.760000000242144,3747803.609999999403954,3480292.390000000130385,10590547.759999999776483
20150227,3366610.440000000409782,3746814.419999999459833,3449273.280000000260770,10562699.140000000596046
20150302,3423459.400000000372529,3772203.629999999888241,3537754.020000000018626,10733418.050000000745058
20150303,3396421.480000000447035,3721425.209999999497086,3500124.280000000260770,10617971.969999998807907
20150304,3380476.040000000037253,3753079.289999999571592,3480292.390000000130385,10613848.720000000670552
20150305,3413060.200000000186265,3785063.100000000093132,3484868.980000000447035,10682993.280000001192093
20150306,3359677.640000000130385,3722084.669999999459833,3423847.780000000260770,10505611.089999999850988
20150309,3377702.920000000391155,3788690.129999999888241,3450798.810000000055879,10617192.860000001266599
20150310,3345812.040000000037253,3708236.009999999310821,3371471.250000000000000,10425520.299999998882413
20150311,3304908.520000000484288,3716808.989999999757856,3365877.640000000130385,10387596.150000000372529
20150312,3363837.320000000298023,3788030.669999999459833,3427407.350000000558794,10579276.339999999850988
20150313,3321547.240000000223517,3800230.679999999701977,3369437.210000000428408,10491216.130000000819564
20150316,3343038.920000000391155,3908052.389999999664724,3420288.210000000428408,10671380.520000001415610
20150317,3346505.320000000298023,3877717.229999999515712,3362826.580000000074506,10587050.129999998956919
20150318,3380476.040000000037253,3955533.509999999310821,3402998.870000000111759,10739009.419999998062849
20150319,3408207.240000000223517,3981911.909999999683350,3397405.260000000242144,10787525.410000000149012
20150320,3535077.480000000447035,3928495.649999999906868,3427915.859999999869615,10891489.990000000223517
20150323,3517052.200000000186265,3925198.350000000093132,3411135.030000000260770,10853386.580000001937151
20150324,3489321.000000000000000,3894863.189999999944121,3412152.049999999813735,10796337.239999998360872
20150325,3431778.760000000242144,3842765.850000000093132,3342486.180000000167638,10617031.790000000968575
20150326,3443564.520000000484288,3833203.679999999701977,3335367.040000000502914,10612136.240000000223517
20150327,3462283.080000000074506,3891236.159999999683350,3332824.490000000689179,10686344.730000000447035
20150330,3497640.360000000335276,3989825.429999999701977,3338926.609999999869615,10826393.400000000372529
20150331,3478228.520000000484288,3900468.600000000093132,3326213.859999999869615,10704911.980000000447035
20150401,3451190.600000000093132,3872771.279999999795109,3314518.130000000353903,10638481.009999999776483
20150402,3454657.000000000000000,3869803.709999999497086,3320111.740000000689179,10644573.449999999254942
20150406,3457430.120000000111759,3881014.529999999795109,3315535.150000000372529,10653980.800000000745058
20150407,3453270.440000000409782,3869473.979999999515712,3346045.750000000000000,10668791.169999999925494
20150408,3495560.520000000484288,3897171.299999999813735,3381641.450000000186265,10774374.269999999552965
20150409,3491400.840000000316650,3909041.579999999608845,3378590.390000000130385,10779033.810000000521541
20150410,3465749.480000000447035,3923879.429999999701977,3373505.290000000502914,10763135.200000001117587
20150413,3441484.680000000167638,3936079.439999999944121,3336384.060000000055879,10713949.179999999701977
20150414,3450497.320000000298023,3954214.589999999850988,3332315.980000000447035,10737028.890000000596046
20150415,3460896.520000000484288,3868484.789999999571592,3339943.630000000353903,10669325.940000001341105
20150416,3462976.360000000335276,4009609.229999999515712,3338418.100000000558794,10811004.690000001341105
