代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14097037.039999999105930
真實報酬,4097037.039999999105930

夏普值報酬,0.401003704000000
夏普值風險,0.098432202881019
夏普值,4.073907646715148

預期報酬,16592.493686422538303
風險,120088.998551129305270
趨勢值,0.138168307560314
找到最佳解世代,2335
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](3),DD[7](10),KO[14](11),MCD[15](2),MMM[16](6),UNH[23](4),V[25](1),
Stock#,AAPL[0](9),BA[2](3),DD[7](10),KO[14](11),MCD[15](2),MMM[16](6),UNH[23](4),V[25](1),
張數,10792,8029,15339,30149,10269,7000,7810,16021,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,70.560000000055879,45.280000000027940,24.890000000130385,22.459999999962747,57.320000000065193,10.000000000000000,87.600000000093132,41.580000000074506,
20170103,1253561.360000000102445,1260357.409999999916181,1258283.060000000055879,1260250.659999999916181,1228435.100000000093132,1246360.000000000000000,1261012.100000000093132,1273711.080000000074506,10041970.769999999552965
20170104,1252158.399999999906868,1273605.260000000009313,1268253.410000000149012,1255728.309999999823049,1226997.440000000176951,1248250.000000000000000,1264604.699999999953434,1284124.730000000214204,10073722.250000000000000
20170105,1258525.679999999934807,1274327.870000000111759,1262577.980000000214204,1258743.209999999962747,1229256.620000000111759,1243980.000000000000000,1266713.400000000139698,1299184.470000000204891,10093309.230000000447035
20170106,1272555.280000000027940,1277459.179999999934807,1254755.090000000083819,1258441.719999999972060,1240141.760000000009313,1247620.000000000000000,1268509.699999999953434,1317127.989999999990687,10136610.719999998807907
20170109,1284210.639999999897555,1271196.560000000055879,1262424.590000000083819,1245779.139999999897555,1236752.990000000223517,1240900.000000000000000,1264917.100000000093132,1309758.330000000074506,10115939.349999999627471
20170110,1285505.679999999934807,1277218.310000000055879,1259816.959999999962747,1237337.419999999925494,1234904.570000000065193,1236070.000000000000000,1262027.400000000139698,1302709.090000000083819,10095589.429999999701977
20170111,1292412.560000000055879,1279867.880000000121072,1272701.720000000204891,1237638.909999999916181,1241374.040000000037253,1245240.000000000000000,1264448.500000000000000,1310559.380000000121072,10144242.990000000223517
