代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12594799.089999999850988
真實報酬,2594799.089999999850988

夏普值報酬,0.250779909000000
夏普值風險,0.065647165569362
夏普值,3.820117850100156

二次趨勢線,-0.842522210076531 x^2 + 20388.420328792311921 x + 10000000.000000000000000
二次加權預期報酬,20244.068190132533346
風險,104751.097172936802963
二次加權趨勢值,0.193258769945970
一次趨勢線,20307.223480157339509 x + 10000000.000000000000000
一次預期報酬,20307.223480157339509
一次風險,104762.687908472726122
一次趨勢值,0.193840229623537
找到最佳解世代,2139
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](9),BA[2](2),DD[7](13),MSFT[18](8),NKE[19](3),UNH[23](28),
Stock#,AAPL[0](9),BA[2](2),DD[7](13),MSFT[18](8),NKE[19](3),UNH[23](28),
張數,28509,16143,36012,48505,53470,25394,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.859999999869615,62.680000000167638,30.639999999897555,34.199999999953434,6.099999999860302,57.780000000027940,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1704297.879999999888241,1638092.890000000130385,1663785.040000000037253,1646293.899999999906868,1674151.799999999813735,1657524.159999999916181,9984149.669999999925494
FS( 3 ),1713705.849999999860302,1661015.950000000186265,1663064.799999999813735,1649689.249999999767169,1680568.199999999953434,1664380.540000000270084,10032428.589999999850988
FS( 4 ),1700021.530000000027940,1682163.280000000260770,1676389.239999999757856,1659390.250000000000000,1701421.499999999767169,1680378.760000000009313,10099768.560000000521541
FS( 5 ),1690328.469999999739230,1684907.590000000316650,1696916.079999999841675,1665210.849999999860302,1703560.299999999813735,1715676.420000000158325,10156603.709999999031425
FS( 6 ),1720262.919999999925494,1689911.920000000391155,1744812.040000000037253,1666180.949999999953434,1709441.999999999767169,1726087.959999999962747,10256701.789999999105930
FS( 7 ),1713420.760000000009313,1703149.180000000167638,1732928.079999999841675,1683157.700000000186265,1700352.099999999860302,1718977.639999999897555,10251989.460000000894070
FS( 8 ),1740219.219999999739230,1725426.520000000018626,1753815.040000000037253,1731177.649999999906868,1703560.299999999813735,1735991.620000000111759,10390194.350000001490116
FS( 9 ),1737083.229999999748543,1644550.090000000316650,1749853.719999999972060,1730207.550000000046566,1702490.899999999906868,1726849.780000000027940,10291039.269999999552965
FS( 10 ),1740789.399999999906868,1705732.060000000055879,1764258.520000000018626,1754460.050000000046566,1693935.699999999953434,1717200.060000000055879,10376379.790000000968575
FS( 11 ),1752193.000000000000000,1682647.570000000298023,1742291.199999999953434,1759310.550000000046566,1676290.599999999860302,1699170.319999999832362,10311907.240000000223517
FS( 12 ),1752478.089999999850988,1691687.650000000372529,1781184.159999999916181,1733602.900000000139698,1693401.000000000000000,1681902.400000000139698,10334260.200000001117587
FS( 13 ),1758464.979999999748543,1737533.770000000018626,1773621.639999999897555,1719051.399999999906868,1692866.299999999813735,1791604.479999999981374,10473146.570000000298023
FS( 14 ),1730811.250000000000000,1726717.959999999962747,1777943.079999999841675,1523091.199999999953434,1693935.699999999953434,1814459.080000000074506,10266962.269999999552965
FS( 15 ),1736227.959999999729916,1725103.660000000149012,1773981.759999999776483,1552679.249999999767169,1692331.599999999860302,1832996.700000000186265,10313324.929999999701977
FS( 16 ),1706578.599999999860302,1740116.650000000372529,1771821.040000000037253,1543463.300000000046566,1689658.099999999860302,1845947.639999999897555,10297589.330000000074506
FS( 17 ),1794101.229999999748543,1726556.530000000260770,1762818.040000000037253,1550254.000000000000000,1674686.499999999767169,1841884.600000000093132,10350304.899999998509884
FS( 18 ),1785833.619999999878928,1722520.780000000260770,1794508.599999999860302,1522606.149999999906868,1670943.599999999860302,1844170.060000000055879,10340586.810000000521541
FS( 19 ),1796096.859999999869615,1704763.479999999981374,1779743.679999999934807,1533762.300000000046566,1672012.999999999767169,1833758.519999999785796,10320141.839999997988343
FS( 20 ),1823750.589999999850988,1692010.510000000242144,1794868.719999999972060,1529881.899999999906868,1676825.299999999813735,1848487.040000000270084,10365828.060000000521541
FS( 21 ),1846272.699999999953434,1706862.070000000298023,1798109.799999999813735,1544918.449999999953434,1680568.199999999953434,1835282.159999999916181,10412017.380000000819564
FS( 22 ),1843136.709999999962747,1696691.979999999981374,1797029.439999999944121,1544433.399999999906868,1682172.299999999813735,1850010.679999999934807,10413478.509999997913837
FS( 23 ),1859957.019999999785796,1722520.780000000260770,1815395.559999999823049,1536187.550000000046566,1763981.399999999906868,1857882.819999999832362,10555929.129999998956919
FS( 24 ),1883904.579999999841675,1741892.380000000353903,1857529.599999999860302,1546858.649999999906868,1772536.599999999860302,1835028.220000000204891,10637754.029999999329448
FS( 25 ),1911843.399999999906868,1735435.180000000167638,1870854.040000000037253,1537642.699999999953434,1775210.100000000093132,1862453.740000000223517,10693443.160000000149012
FS( 26 ),1894737.999999999767169,1728009.400000000372529,1849246.839999999850988,1531822.099999999860302,1778953.000000000000000,1859914.339999999850988,10642687.679999999701977
FS( 27 ),1893882.729999999981374,1718000.740000000223517,1861130.799999999813735,1555104.500000000000000,1754891.499999999767169,1851788.260000000009313,10634802.529999999329448
FS( 28 ),1877632.599999999860302,1708637.800000000279397,1892821.359999999869615,1595363.649999999906868,1766120.199999999953434,1858390.700000000186265,10698970.309999998658895
FS( 29 ),1850834.139999999897555,1700404.870000000111759,1950800.679999999934807,1586147.700000000186265,1773071.299999999580905,1852042.200000000186265,10713304.890000000596046
FS( 30 ),1903575.789999999804422,1682809.000000000000000,1921991.079999999841675,1594393.549999999813735,1778418.299999999813735,1838329.439999999944121,10719521.159999998286366
FS( 31 ),1993949.319999999832362,1714933.570000000298023,1942517.919999999925494,1563350.349999999860302,1759703.799999999580905,1862707.679999999934807,10837166.639999998733401
FS( 32 ),2030155.749999999767169,1681517.560000000055879,1936035.759999999776483,1569170.949999999953434,1720136.000000000000000,1840868.839999999850988,10777888.859999999403954
