代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10493925.619999999180436
真實報酬,493925.619999999180436

夏普值報酬,0.040692562000000
夏普值風險,0.015556110471632
夏普值,2.615857098354106

二次趨勢線,392.608538156724535 x^2 + 18452.493100100480660 x + 10000000.000000000000000
二次加權預期報酬,29183.793143050948856
風險,18031.485250367659319
二次加權趨勢值,1.618490808595809
一次趨勢線,24485.258442508689768 x + 10000000.000000000000000
一次預期報酬,24485.258442508689768
一次風險,25926.786405918821401
一次趨勢值,0.944400052484675
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
JNJ[12](23),JPM[13](9),KO[14](8),PG[21](1),UNH[23](7),V[25](5),XOM[29](13),
Stock#,JNJ[12](23),JPM[13](9),KO[14](8),PG[21](1),UNH[23](7),V[25](5),XOM[29](13),
張數,21747,37993,42115,22600,26822,55738,17012,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,10.570000000065193,34.199999999953434,30.199999999953434,25.000000000000000,31.280000000027940,6.060000000055879,73.360000000102445,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1426396.300000000046566,1426671.349999999860302,1428571.000000000000000,1431057.000000000000000,1409259.159999999916181,1478177.820000000065193,1421085.720000000204891,10021221.350000001490116
FS( 3 ),1427483.650000000139698,1454406.239999999990687,1433624.799999999813735,1418627.000000000000000,1376268.100000000093132,1491554.940000000176951,1444732.400000000139698,10046700.129999998956919
FS( 4 ),1417697.500000000000000,1449087.219999999972060,1432782.500000000000000,1435351.000000000000000,1375731.659999999916181,1496013.979999999981374,1458852.360000000102445,10065519.219999998807907
FS( 5 ),1419219.790000000270084,1438829.109999999869615,1443732.399999999906868,1439645.000000000000000,1395579.939999999944121,1490997.560000000055879,1468889.440000000176951,10096896.240000000223517
FS( 6 ),1418784.849999999860302,1455166.099999999860302,1439099.750000000000000,1438289.000000000000000,1398530.360000000102445,1509948.479999999981374,1451537.199999999953434,10111358.739999998360872
FS( 7 ),1411173.400000000139698,1438449.179999999934807,1431519.050000000046566,1447329.000000000232831,1423206.600000000093132,1566801.239999999990687,1444051.919999999925494,10162533.390000000596046
FS( 8 ),1404866.770000000018626,1428950.929999999934807,1430676.750000000000000,1443713.000000000000000,1430180.320000000065193,1587424.300000000046566,1425678.959999999962747,10151494.030000001192093
FS( 9 ),1406606.530000000260770,1455166.099999999860302,1441205.500000000000000,1451623.000000000000000,1444395.979999999981374,1570702.900000000139698,1436226.400000000139698,10205929.410000000149012
FS( 10 ),1405084.239999999990687,1440728.760000000009313,1450891.950000000186265,1457273.000000000000000,1460757.400000000139698,1605817.840000000083819,1440479.400000000139698,10261035.590000001713634
FS( 11 ),1405954.120000000111759,1420972.399999999906868,1440363.200000000186265,1458855.000000000000000,1465048.919999999925494,1604145.700000000186265,1431122.800000000279397,10226465.140000000596046
FS( 12 ),1411825.810000000055879,1443768.199999999953434,1450049.649999999906868,1473545.000000000000000,1469608.659999999916181,1585752.159999999916181,1453068.280000000027940,10287620.759999999776483
FS( 13 ),1413348.099999999860302,1461624.909999999916181,1454261.149999999906868,1466991.000000000000000,1466658.239999999990687,1602473.560000000055879,1456640.800000000279397,10322000.760000001639128
FS( 14 ),1414435.450000000186265,1461244.979999999981374,1449207.349999999860302,1455917.000000000000000,1483824.320000000065193,1591325.960000000195578,1472802.199999999953434,10328760.259999999776483
FS( 15 ),1413565.570000000065193,1446427.709999999962747,1458472.650000000139698,1456369.000000000000000,1480069.239999999990687,1621424.479999999981374,1478756.400000000139698,10355088.050000000745058
FS( 16 ),1415740.270000000018626,1462384.770000000018626,1456788.050000000046566,1501117.000000000000000,1473631.959999999962747,1623096.620000000111759,1480457.600000000093132,10413219.269999999552965
FS( 17 ),1401822.189999999944121,1454406.239999999990687,1452997.699999999953434,1507670.999999999767169,1492675.580000000074506,1638145.880000000121072,1485901.440000000176951,10433623.029999999329448
FS( 18 ),1401604.720000000204891,1484040.780000000027940,1449628.500000000000000,1507445.000000000000000,1494821.339999999850988,1628670.419999999925494,1484030.120000000111759,10450243.879999998956919
FS( 19 ),1417480.030000000260770,1489739.729999999981374,1449628.500000000000000,1523039.000000000000000,1497771.760000000009313,1657654.179999999934807,1482499.040000000037253,10517815.239999998360872
FS( 20 ),1415305.330000000074506,1490879.520000000018626,1471107.149999999906868,1528237.000000000000000,1495357.780000000027940,1621424.479999999981374,1471611.360000000102445,10493925.619999999180436
