代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12203352.850000001490116
真實報酬,2203352.850000001490116

夏普值報酬,0.211635285000000
夏普值風險,0.062983574585317
夏普值,3.360166303570471

預期報酬,19772.494249654107989
風險,128053.960895261610858
趨勢值,0.154407517826227
找到最佳解世代,1973
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](1),BA[2](7),CSCO[4](23),JNJ[12](2),MRK[17](10),PG[21](21),UNH[23](20),VZ[26](13),
Stock#,AXP[1](1),BA[2](7),CSCO[4](23),JNJ[12](2),MRK[17](10),PG[21](21),UNH[23](20),VZ[26](13),
張數,21746,16587,63613,17831,30532,18412,23045,28888,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,39.920000000158325,3.679999999934807,4.550000000046566,46.900000000139698,19.920000000158325,9.320000000065193,39.199999999953434,16.239999999990687,
20130102,1277617.420000000158325,1278363.769999999785796,1293892.969999999972060,1263194.940000000176951,1262212.800000000279397,1277618.000000000000000,1256913.500000000000000,1278888.000000000000000,10188701.400000000372529
20130103,1283053.920000000158325,1284998.569999999832362,1300890.399999999906868,1261411.840000000083819,1292439.480000000214204,1269516.720000000204891,1198148.750000000000000,1272821.520000000018626,10163281.200000001117587
20130104,1296318.980000000214204,1288647.709999999962747,1302798.790000000037253,1275854.950000000186265,1281447.960000000195578,1272094.400000000139698,1200453.250000000000000,1279754.639999999897555,10197370.680000001564622
20130107,1301755.480000000214204,1262771.989999999757856,1290712.320000000065193,1273180.300000000279397,1286027.760000000009313,1263440.760000000242144,1200453.250000000000000,1291020.959999999962747,10169362.820000000298023
20130108,1309149.120000000111759,1229597.989999999757856,1291984.580000000074506,1273358.610000000102445,1287859.680000000167638,1261415.440000000176951,1184552.199999999953434,1245089.040000000037253,10083006.660000000149012
20130109,1310453.880000000121072,1273221.800000000046566,1291348.450000000186265,1279064.530000000260770,1300377.800000000279397,1268227.879999999888241,1206905.849999999860302,1242200.239999999990687,10171800.430000001564622
20130110,1321979.260000000242144,1278695.510000000009313,1300254.270000000018626,1287266.790000000037253,1306178.880000000121072,1275408.560000000055879,1223959.149999999906868,1259244.160000000149012,10252986.580000000074506
20130111,1331764.960000000195578,1246682.599999999860302,1302798.790000000037253,1290119.750000000000000,1319918.280000000027940,1274487.959999999962747,1217276.099999999860302,1250866.639999999897555,10233915.080000000074506
20130114,1331112.580000000074506,1269738.529999999795109,1333969.159999999916181,1293864.260000000242144,1323276.800000000279397,1282036.879999999888241,1229720.399999999906868,1230356.160000000149012,10294074.769999999552965
20130115,1321326.880000000121072,1276207.459999999962747,1334605.290000000037253,1290476.370000000111759,1308926.760000000009313,1286639.879999999888241,1235712.099999999860302,1212445.599999999860302,10266340.339999999850988
20130116,1318282.440000000176951,1233081.260000000009313,1337785.940000000176951,1294220.880000000121072,1298851.200000000186265,1276697.400000000139698,1236633.899999999906868,1199157.119999999878928,10194710.140000000596046
20130117,1320891.960000000195578,1248341.300000000046566,1332696.899999999906868,1299926.800000000279397,1305262.920000000158325,1282773.360000000102445,1253687.199999999953434,1217067.680000000167638,10260648.120000001043081
20130118,1300015.800000000279397,1244692.160000000149012,1337149.810000000055879,1305811.030000000260770,1312285.280000000027940,1287744.600000000093132,1257374.399999999906868,1228911.760000000009313,10273984.840000001713634
20130122,1291752.320000000065193,1230095.599999999860302,1327607.860000000102445,1296182.290000000037253,1319002.320000000298023,1287928.720000000204891,1291020.100000000093132,1240466.959999999962747,10284056.170000001788139
20130123,1281531.700000000186265,1232251.910000000149012,1311704.610000000102445,1299035.250000000000000,1307400.160000000149012,1301553.600000000093132,1288485.149999999906868,1236133.760000000009313,10258096.140000000596046
20130124,1289577.720000000204891,1249336.519999999785796,1337149.810000000055879,1303493.000000000000000,1312895.920000000158325,1296582.360000000102445,1295629.099999999860302,1230356.160000000149012,10315020.590000001713634
20130125,1293926.920000000158325,1244526.290000000037253,1345419.500000000000000,1318114.420000000158325,1326940.640000000130385,1348688.320000000065193,1291481.000000000000000,1232667.199999999953434,10401764.289999999105930
