代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11476530.089999999850988
真實報酬,1476530.089999999850988

夏普值報酬,0.138953009000000
夏普值風險,0.038772591324488
夏普值,3.583794744001007

預期報酬,10477.299324962104947
風險,134018.485829453449696
趨勢值,0.078178015966358
找到最佳解世代,1771
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AAPL[0](6),BA[2](4),GS[8](12),INTC[11](5),PG[21](8),WBA[27](10),
Stock#,AAPL[0](6),BA[2](4),GS[8](12),INTC[11](5),PG[21](8),WBA[27](10),
張數,16690,13211,10450,52759,20565,21533,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,2.600000000093132,98.349999999860302,100.000000000000000,9.189999999944121,78.399999999906868,11.799999999813735,
20160601,1643300.000000000000000,1670100.859999999869615,1671786.500000000000000,1670359.129999999888241,1682089.750000000000000,1681739.099999999627471,10019379.339999999850988
20160602,1630949.400000000139698,1675913.699999999720603,1664576.000000000000000,1675635.030000000027940,1685380.149999999906868,1703272.099999999627471,10035730.379999998956919
20160603,1634287.400000000139698,1682915.529999999795109,1626851.499999999767169,1668248.770000000018626,1696073.949999999953434,1694228.239999999990687,10002609.389999998733401
20160606,1646137.300000000046566,1742629.250000000000000,1641377.000000000000000,1671414.309999999823049,1702243.449999999720603,1693797.579999999841675,10097602.889999998733401
20160607,1652813.300000000046566,1743025.579999999841675,1621626.499999999767169,1681966.109999999869615,1692989.199999999720603,1703702.760000000009313,10096127.449999999254942
20160608,1651311.199999999953434,1757161.349999999860302,1616087.999999999767169,1682493.699999999953434,1699775.650000000139698,1710593.319999999832362,10117427.220000000670552
20160609,1663161.100000000093132,1758482.449999999720603,1600726.499999999767169,1685131.649999999906868,1710469.449999999953434,1701334.129999999888241,10119309.279999997466803
20160610,1649475.300000000046566,1732588.889999999664724,1566450.499999999767169,1690407.549999999813735,1711086.399999999906868,1775838.309999999823049,10125850.949999999254942
20160613,1624607.200000000186265,1716471.469999999739230,1553283.500000000000000,1697266.219999999972060,1698130.449999999720603,1816535.679999999701977,10106298.519999999552965
20160614,1626610.000000000000000,1724133.849999999860302,1527785.500000000000000,1695683.449999999953434,1714171.149999999674037,1816105.019999999785796,10104492.969999998807907
20160615,1621269.200000000186265,1719642.109999999869615,1527472.000000000000000,1667721.179999999934807,1705945.149999999906868,1791772.729999999748543,10033826.370000001043081
20160616,1628112.100000000093132,1709205.419999999925494,1532383.500000000000000,1671941.899999999906868,1715405.049999999813735,1790480.750000000000000,10047532.719999998807907
20160617,1591060.300000000046566,1715150.369999999878928,1522037.999999999767169,1675635.030000000027940,1709646.849999999860302,1779714.250000000000000,9993248.800000000745058
20160620,1587221.600000000093132,1753858.599999999860302,1544087.500000000000000,1697266.219999999972060,1707796.000000000000000,1785743.489999999990687,10075977.410000000149012
20160621,1600740.500000000000000,1737609.070000000065193,1550357.500000000000000,1705180.070000000065193,1715405.049999999813735,1791557.399999999906868,10100853.589999999850988
20160622,1594732.100000000093132,1740911.820000000065193,1548162.999999999767169,1703597.299999999813735,1718695.449999999720603,1803185.219999999739230,10109288.890000000596046
20160623,1603911.600000000093132,1764427.399999999906868,1595397.000000000000000,1740528.600000000093132,1731857.049999999813735,1831608.779999999795109,10267734.429999997839332
20160624,1558848.600000000093132,1671554.069999999832362,1482537.000000000232831,1664555.639999999897555,1691755.300000000046566,1760980.539999999804422,9830235.149999998509884
20160627,1536150.200000000186265,1621088.049999999813735,1457979.500000000000000,1620765.669999999925494,1670573.350000000093132,1709516.669999999925494,9616077.439999999478459
20160628,1562019.700000000186265,1636809.139999999897555,1488284.500000000000000,1645562.399999999906868,1695868.299999999813735,1720067.839999999618158,9748615.879999998956919
20160629,1575538.600000000093132,1677763.239999999757856,1520575.000000000000000,1684604.059999999823049,1725687.549999999813735,1791342.069999999832362,9975514.519999999552965
20160630,1595566.600000000093132,1715810.919999999925494,1552761.000000000232831,1730504.389999999897555,1741316.949999999953434,1793064.709999999729916,10129028.570000000298023
20160701,1600406.700000000186265,1713432.939999999944121,1549312.500000000000000,1727866.439999999944121,1743579.099999999860302,1788542.779999999795109,10123144.459999999031425
20160705,1585385.699999999953434,1677499.019999999785796,1509602.499999999767169,1724173.309999999823049,1757151.999999999767169,1798447.959999999729916,10052264.489999998360872
20160706,1594398.300000000046566,1677366.909999999683350,1521411.000000000232831,1739473.419999999925494,1748720.349999999860302,1756027.949999999720603,10037401.929999999701977
20160707,1601241.199999999953434,1680141.219999999972060,1536250.000000000000000,1751607.989999999990687,1744607.349999999860302,1733418.299999999813735,10047270.059999998658895
20160708,1613591.800000000279397,1718717.339999999850988,1571571.000000000000000,1793815.189999999944121,1763938.449999999720603,1761411.199999999720603,10223048.979999998584390
20160711,1618598.800000000046566,1744478.789999999804422,1590485.500000000000000,1813863.610000000102445,1763527.149999999906868,1765933.129999999888241,10296890.980000000447035
20160712,1625942.400000000139698,1728229.259999999776483,1639913.999999999767169,1843408.649999999906868,1763527.149999999906868,1748922.059999999823049,10349947.520000001415610
20160713,1616762.900000000139698,1718981.560000000055879,1650363.999999999767169,1847101.779999999795109,1766406.250000000000000,1760765.209999999729916,10360385.699999999254942
20160714,1648807.700000000186265,1738005.399999999906868,1698643.000000000000000,1857125.989999999990687,1765994.949999999953434,1804046.539999999804422,10512627.579999998211861
20160715,1648640.800000000046566,1749102.639999999664724,1689237.999999999767169,1850267.320000000065193,1768874.050000000046566,1776699.629999999888241,10482826.440000001341105
20160718,1666165.300000000046566,1762842.079999999841675,1706898.500000000232831,1849212.139999999897555,1767228.850000000093132,1782513.539999999804422,10534864.409999998286366
20160719,1666832.900000000139698,1779091.609999999869615,1686834.500000000000000,1854488.039999999804422,1772164.449999999953434,1770239.729999999748543,10529655.230000000447035
20160720,1668335.000000000000000,1779884.269999999785796,1690596.500000000000000,1882977.899999999906868,1754684.199999999720603,1776699.629999999888241,10553181.500000000000000
20160721,1659489.300000000279397,1764163.179999999934807,1672622.500000000232831,1808060.120000000111759,1753450.300000000046566,1759257.899999999906868,10417047.300000000745058
20160722,1646638.000000000000000,1763370.519999999785796,1676384.500000000000000,1828636.129999999655411,1762910.199999999953434,1751721.349999999627471,10429664.699999999254942
20160725,1624607.200000000186265,1756368.689999999944121,1677429.500000000000000,1830218.899999999906868,1764555.399999999906868,1756458.609999999636784,10409642.300000000745058
20160726,1613424.900000000139698,1781601.699999999720603,1684222.000000000000000,1851322.500000000232831,1753655.949999999720603,1751290.689999999711290,10435521.739999998360872
20160727,1718238.100000000093132,1796265.909999999916181,1682445.500000000000000,1837605.159999999916181,1736998.299999999813735,1721359.819999999832362,10492916.789999999105930
20160728,1741437.200000000186265,1757293.459999999729916,1677638.500000000000000,1834439.620000000111759,1744196.050000000046566,1711023.979999999748543,10466032.810000000521541
20160729,1739267.500000000000000,1765880.609999999869615,1659664.500000000000000,1839187.929999999934807,1760236.750000000000000,1706502.049999999813735,10470743.339999999850988
20160801,1769977.100000000093132,1759935.659999999916181,1653081.000000000000000,1838660.340000000083819,1777100.049999999813735,1706932.709999999729916,10505690.859999997541308
20160802,1743773.800000000046566,1738665.949999999720603,1630927.000000000000000,1823360.229999999981374,1784297.800000000046566,1700042.149999999906868,10421070.930000001564622
20160803,1765637.700000000186265,1742232.919999999925494,1654753.000000000000000,1807004.939999999944121,1768051.449999999953434,1714038.599999999627471,10451722.609999999403954
20160804,1766972.900000000139698,1733513.659999999916181,1651722.500000000232831,1824415.409999999916181,1769696.649999999906868,1719421.849999999627471,10465746.970000000670552
20160805,1793843.800000000046566,1740383.379999999655411,1693940.500000000000000,1845519.009999999776483,1764144.099999999860302,1734064.289999999804422,10571899.079999998211861
20160808,1808697.900000000139698,1746460.439999999944121,1701673.500000000232831,1848684.549999999813735,1763732.800000000046566,1736217.589999999618158,10605470.779999999329448
20160809,1816041.500000000232831,1752141.169999999925494,1708048.000000000000000,1842353.469999999972060,1768462.749999999767169,1741816.169999999925494,10628867.059999998658895
20160810,1802522.600000000093132,1747649.429999999934807,1694985.500000000000000,1821777.459999999962747,1775043.550000000046566,1776484.299999999813735,10618466.839999999850988
20160811,1801354.300000000279397,1757161.349999999860302,1712437.000000000232831,1829691.309999999823049,1783680.850000000093132,1785312.829999999841675,10669641.640000000596046
20160812,1805526.800000000279397,1758482.449999999720603,1706062.500000000000000,1823887.820000000065193,1790056.000000000000000,1794141.359999999636784,10678160.929999999701977
20160815,1827223.800000000046566,1779091.609999999869615,1730097.500000000232831,1841825.879999999655411,1789644.699999999720603,1800385.929999999701977,10768273.419999999925494
20160816,1825554.800000000046566,1783583.349999999860302,1731142.500000000000000,1857653.580000000074506,1780596.099999999860302,1782944.199999999720603,10761478.529999999329448
20160817,1822884.400000000139698,1779884.269999999785796,1731351.499999999767169,1847629.370000000111759,1788410.799999999813735,1776914.959999999729916,10747079.299999998882413
20160818,1820547.800000000046566,1783583.349999999860302,1735427.000000000000000,1844991.419999999925494,1798281.999999999767169,1779714.250000000000000,10762549.820000000298023
20160819,1825221.000000000000000,1776185.189999999944121,1737203.500000000000000,1859236.350000000093132,1795608.550000000046566,1778422.269999999785796,10771880.859999999403954
20160822,1811034.500000000232831,1783451.239999999990687,1737517.000000000000000,1865567.429999999934807,1786148.649999999674037,1781652.219999999739230,10765375.039999999105930
20160823,1816709.100000000093132,1772221.889999999664724,1735636.000000000232831,1867677.789999999804422,1797459.400000000139698,1773900.339999999618158,10763608.519999999552965
20160824,1803023.300000000046566,1760992.539999999804422,1727485.000000000232831,1854488.039999999804422,1795608.550000000046566,1754305.309999999823049,10695906.740000000223517
20160825,1795345.899999999906868,1756897.129999999655411,1733755.000000000000000,1851322.500000000232831,1807741.900000000139698,1726527.739999999990687,10671594.169999999925494
