代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12612599.149999998509884
真實報酬,2612599.149999998509884

夏普值報酬,0.252559915000000
夏普值風險,0.069088053047523
夏普值,3.655623568177182

預期報酬,20912.314195142429526
風險,144114.714046901703114
趨勢值,0.145108806782468
找到最佳解世代,1942
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
HD[9](9),KO[14](4),MCD[15](18),UNH[23](8),VZ[26](1),WBA[27](5),XOM[29](2),
Stock#,HD[9](9),KO[14](4),MCD[15](18),UNH[23](8),VZ[26](1),WBA[27](5),XOM[29](2),
張數,50107,51834,20487,46915,49159,50037,23937,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,20.429999999934807,25.959999999962747,12.489999999990687,9.250000000000000,10.459999999962747,14.649999999906868,10.840000000083819,
20100802,1459136.270000000018626,1462263.100000000093132,1439224.239999999990687,1475016.850000000093132,1453150.500000000000000,1457592.459999999962747,1482668.620000000111759,10229055.040000002831221
20100803,1425564.579999999841675,1461226.419999999925494,1443321.640000000130385,1520993.550000000046566,1452167.319999999832362,1442080.989999999990687,1501339.479999999981374,10246696.980000000447035
20100804,1439093.469999999972060,1465891.479999999981374,1448238.520000000018626,1543981.899999999906868,1445285.059999999823049,1426069.149999999906868,1501339.479999999981374,10269902.060000000521541
20100805,1438592.399999999906868,1461226.419999999925494,1443321.640000000130385,1567908.550000000046566,1452658.909999999916181,1410557.679999999934807,1501100.110000000102445,10275368.709999999031425
20100806,1437089.189999999944121,1471074.879999999888241,1469749.869999999878928,1569316.000000000232831,1452658.909999999916181,1401050.649999999906868,1483386.729999999981374,10284329.230000000447035
20100809,1438091.329999999841675,1480405.000000000000000,1493924.530000000027940,1571192.600000000093132,1467898.199999999953434,1418563.600000000093132,1494876.490000000223517,10364954.750000001862645
20100810,1415042.109999999869615,1476776.619999999878928,1492285.570000000065193,1563686.199999999953434,1475763.639999999897555,1412058.789999999804422,1482429.250000000000000,10318045.179999999701977
20100811,1388485.399999999906868,1452414.639999999897555,1466267.079999999841675,1500820.099999999860302,1453150.500000000000000,1387540.659999999916181,1445566.270000000018626,10094247.649999998509884
20100812,1383474.699999999953434,1443602.860000000102445,1476305.709999999962747,1507388.200000000186265,1490511.340000000083819,1402551.760000000009313,1441736.350000000093132,10145573.919999999925494
20100813,1368442.599999999860302,1444639.540000000037253,1472822.919999999925494,1502696.699999999953434,1476255.229999999981374,1409556.939999999944121,1434076.510000000009313,10108493.439999999478459
20100816,1371950.089999999850988,1448267.919999999925494,1470774.220000000204891,1496597.750000000000000,1472814.100000000093132,1410557.679999999934807,1433358.400000000139698,10104323.160000000149012
20100817,1418549.599999999860302,1454488.000000000000000,1500070.629999999888241,1517709.500000000000000,1483137.489999999990687,1412058.789999999804422,1455859.180000000167638,10241876.189999999478459
20100818,1446108.449999999953434,1447231.239999999990687,1500685.239999999990687,1526623.349999999860302,1482154.309999999823049,1411558.419999999925494,1439821.390000000130385,10254185.399999998509884
20100819,1414039.969999999972060,1432717.719999999972060,1494948.879999999888241,1491437.099999999860302,1456100.040000000037253,1409056.569999999832362,1419235.570000000065193,10117538.849999999627471
20100820,1411534.620000000111759,1433236.059999999823049,1497202.449999999953434,1482992.399999999906868,1443810.290000000037253,1423567.299999999813735,1409660.770000000018626,10102006.889999998733401
20100823,1394498.239999999757856,1441011.159999999916181,1502529.070000000065193,1477831.750000000000000,1445776.649999999906868,1425068.409999999916181,1424262.340000000083819,10110980.619999999180436
20100824,1391992.889999999897555,1442566.179999999934807,1489827.129999999888241,1456250.849999999860302,1448726.189999999944121,1398548.799999999813735,1410857.620000000111759,10038772.660000000149012
20100825,1419551.739999999757856,1435827.760000000009313,1499456.020000000018626,1499412.650000000139698,1458066.399999999906868,1376032.149999999906868,1410139.510000000009313,10098489.230000000447035
20100826,1422057.089999999850988,1429607.679999999934807,1498841.409999999916181,1494252.000000000000000,1450200.959999999962747,1358018.829999999841675,1399846.600000000093132,10052827.569999998435378
20100827,1440095.609999999869615,1455524.679999999934807,1515845.619999999878928,1518647.799999999813735,1466915.020000000018626,1367025.489999999990687,1431443.439999999944121,10195500.660000000149012
20100830,1402515.359999999869615,1439974.479999999981374,1490236.869999999878928,1497066.899999999906868,1447251.419999999925494,1360520.679999999934807,1412293.840000000083819,10049862.549999998882413
20100831,1393997.169999999925494,1448267.919999999925494,1496792.709999999962747,1488153.050000000046566,1451675.729999999981374,1345009.209999999962747,1414926.910000000149012,10038825.699999999254942
20100901,1436588.120000000111759,1485588.399999999906868,1527113.470000000204891,1528969.100000000093132,1487561.800000000046566,1385539.179999999934807,1458013.510000000009313,10309376.580000000074506
20100902,1473667.300000000046566,1487143.419999999925494,1536947.229999999981374,1541636.149999999906868,1480187.949999999953434,1416061.750000000000000,1461604.060000000055879,10397250.860000001266599
20100903,1495714.380000000121072,1491808.479999999981374,1538381.320000000065193,1590896.899999999906868,1484612.260000000009313,1416061.750000000000000,1467827.680000000167638,10485305.769999999552965
20100907,1469658.739999999757856,1493881.840000000083819,1552927.089999999850988,1584797.949999999953434,1485595.439999999944121,1425568.779999999795109,1449396.189999999944121,10461829.029999999329448
20100908,1475671.579999999841675,1499065.239999999990687,1558663.449999999953434,1588082.000000000000000,1497393.600000000093132,1434575.439999999944121,1454183.590000000083819,10507637.899999998509884
20100909,1473667.300000000046566,1510987.059999999823049,1523630.680000000167638,1596057.550000000046566,1516074.020000000018626,1437077.289999999804422,1461364.689999999944121,10518861.589999997988343
20100910,1487196.189999999944121,1516688.800000000046566,1536742.360000000102445,1618107.600000000093132,1515090.840000000083819,1449086.169999999925494,1464955.240000000223517,10587870.200000001117587
20100913,1502729.359999999869615,1504248.639999999897555,1527728.079999999841675,1628898.050000000046566,1519023.559999999823049,1454089.869999999878928,1460167.840000000083819,10596888.399999998509884
20100914,1501727.219999999972060,1492845.159999999916181,1514821.270000000018626,1623737.399999999906868,1519515.149999999906868,1462095.789999999804422,1460407.209999999962747,10575152.199999999254942
20100915,1500224.010000000009313,1488180.100000000093132,1530596.259999999776483,1607786.300000000046566,1533279.669999999925494,1461595.419999999925494,1460167.840000000083819,10581832.599999999627471
20100916,1500725.079999999841675,1490771.800000000046566,1532440.089999999850988,1606378.850000000093132,1544586.239999999990687,1457092.089999999850988,1459449.729999999981374,10591446.880000000819564
20100917,1497718.659999999916181,1491808.479999999981374,1522606.329999999841675,1601218.200000000186265,1557367.579999999841675,1461595.419999999925494,1454901.700000000186265,10587219.370000001043081
20100920,1535799.979999999748543,1502693.619999999878928,1538791.060000000055879,1638750.199999999953434,1577522.770000000018626,1463096.529999999795109,1473333.189999999944121,10729990.349999999627471
20100921,1548827.800000000046566,1506322.000000000000000,1546985.860000000102445,1654232.149999999906868,1588829.340000000083819,1487114.289999999804422,1473093.820000000065193,10805408.259999999776483
20100922,1547324.589999999850988,1509432.040000000037253,1539200.799999999813735,1673936.449999999953434,1592270.469999999972060,1490616.879999999888241,1470939.490000000223517,10823723.720000000670552
20100923,1545320.309999999823049,1500101.919999999925494,1529162.169999999925494,1662676.849999999860302,1581455.489999999990687,1476606.520000000018626,1463758.390000000130385,10759084.650000000372529
20100924,1585405.909999999916181,1519280.500000000000000,1538586.189999999944121,1676282.199999999953434,1604560.219999999972060,1519137.969999999972060,1478120.590000000083819,10921376.580000000074506
20100927,1583401.630000000121072,1518762.159999999916181,1531620.610000000102445,1658454.500000000000000,1615375.199999999953434,1518637.600000000093132,1477163.110000000102445,10903417.810000000521541
20100928,1593924.099999999860302,1531720.659999999916181,1528957.299999999813735,1643910.849999999860302,1608492.939999999944121,1691765.620000000111759,1485541.060000000055879,11084315.529999999329448
20100929,1593924.099999999860302,1522908.879999999888241,1525269.640000000130385,1651417.250000000232831,1605543.399999999906868,1682758.959999999962747,1474290.670000000158325,11056115.900000000372529
20100930,1587410.189999999944121,1516688.800000000046566,1526498.860000000102445,1647194.899999999906868,1602102.270000000018626,1676254.149999999906868,1479078.070000000065193,11035230.240000000223517
20101001,1594425.169999999925494,1532239.000000000000000,1534898.530000000027940,1662207.699999999953434,1616849.969999999972060,1685260.809999999823049,1497030.820000000065193,11122915.000000000000000
20101004,1586909.120000000111759,1526018.919999999925494,1535513.140000000130385,1620453.349999999860302,1623732.229999999981374,1656739.719999999972060,1488652.870000000111759,11038022.350000001490116
20101005,1590416.609999999869615,1546234.179999999934807,1553336.829999999841675,1645318.300000000046566,1650278.090000000083819,1700271.909999999683350,1514265.459999999962747,11200124.379999998956919
20101006,1586408.050000000046566,1548825.879999999888241,1544732.290000000037253,1597464.999999999767169,1634547.209999999962747,1702773.760000000009313,1525276.479999999981374,11140031.669999999925494
20101007,1590416.609999999869615,1540532.439999999944121,1554156.310000000055879,1611070.350000000093132,1618816.329999999841675,1694767.839999999850988,1528388.290000000037253,11138151.169999998062849
20101008,1597932.659999999916181,1540014.100000000093132,1559073.189999999944121,1611539.500000000000000,1613900.429999999934807,1700271.909999999683350,1541074.899999999906868,11163809.689999999478459
20101011,1592921.959999999962747,1543642.479999999981374,1548624.820000000065193,1625614.000000000000000,1623732.229999999981374,1688763.399999999906868,1545144.189999999944121,11168446.080000000074506
20101012,1573881.300000000046566,1544679.159999999916181,1548419.949999999953434,1642972.550000000046566,1599644.319999999832362,1703274.129999999888241,1548734.740000000223517,11161609.150000000372529
