代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11612936.669999999925494
真實報酬,1612936.669999999925494

夏普值報酬,0.152593667000000
夏普值風險,0.046196917028738
夏普值,3.303113645117824

預期報酬,15058.543298706321366
風險,156110.037644065625500
趨勢值,0.096461083002492
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](3),PFE[20](5),PG[21](14),
Stock#,JNJ[12](1),MRK[17](3),PFE[20](5),PG[21](14),
張數,23761,49790,84260,31137,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,105.189999999944121,44.100000000093132,5.799999999813735,10.270000000018626,
20160301,2547759.609999999869615,2576676.600000000093132,2531176.199999999720603,2529268.780000000260770,10184881.190000001341105
20160302,2543482.629999999888241,2602567.400000000372529,2526120.599999999627471,2570369.620000000111759,10242540.250000000000000
20160303,2534215.839999999850988,2594103.100000000093132,2518537.199999999720603,2579399.350000000093132,10226255.489999998360872
20160304,2530651.689999999944121,2593107.299999999813735,2503370.399999999906868,2599638.399999999906868,10226767.790000000968575
20160307,2536354.329999999608845,2620989.700000000186265,2510111.199999999720603,2587494.969999999739230,10254950.199999999254942
20160308,2523998.609999999869615,2611529.600000000093132,2473879.399999999906868,2586249.490000000223517,10195657.099999999627471
20160309,2538730.430000000167638,2607048.500000000000000,2505898.199999999720603,2583135.790000000037253,10234812.919999998062849
20160310,2545858.729999999981374,2640905.700000000186265,2493259.199999999720603,2561962.629999999888241,10241986.259999997913837
20160311,2559402.500000000000000,2648872.100000000093132,2569935.799999999813735,2545460.020000000018626,10323670.419999999925494
20160314,2558214.449999999720603,2642897.299999999813735,2536231.799999999813735,2527400.560000000055879,10264744.109999999403954
20160315,2560590.550000000279397,2610035.900000000372529,2489046.199999999720603,2531759.740000000223517,10191432.390000000596046
20160316,2552274.199999999720603,2586136.700000000186265,2446916.199999999720603,2532693.850000000093132,10118020.949999999254942
20160317,2536354.329999999608845,2565722.800000000279397,2472194.199999999720603,2576597.020000000018626,10150868.349999999627471
20160318,2554412.689999999944121,2601571.600000000093132,2481462.799999999813735,2589051.820000000298023,10226498.910000000149012
20160321,2549185.270000000018626,2628956.100000000093132,2533704.000000000000000,2594345.109999999869615,10306190.480000000447035
20160322,2551561.369999999646097,2640407.800000000279397,2559824.599999999627471,2576285.649999999906868,10328079.419999999925494
20160323,2578173.689999999944121,2642897.299999999813735,2543815.199999999720603,2578776.609999999869615,10343662.799999998882413
20160324,2573659.100000000093132,2642399.399999999906868,2534546.599999999627471,2580956.200000000186265,10331561.300000000745058
20160328,2571758.220000000204891,2630449.799999999813735,2509268.600000000093132,2572549.209999999962747,10284025.829999998211861
20160329,2593380.729999999981374,2654846.899999999906868,2532018.799999999813735,2578153.870000000111759,10358400.300000000745058
20160330,2589578.970000000204891,2649867.899999999906868,2533704.000000000000000,2574417.430000000167638,10347568.300000000745058
20160331,2571045.390000000130385,2634433.000000000000000,2497472.199999999720603,2562896.740000000223517,10265847.330000000074506
20160401,2594568.779999999795109,2673767.100000000093132,2531176.199999999720603,2600883.879999999888241,10400395.960000000894070
20160404,2580312.180000000167638,2708620.100000000093132,2588472.999999999534339,2590920.040000000037253,10468325.320000000298023
20160405,2588866.140000000130385,2700653.700000000186265,2642399.399999999906868,2589363.189999999944121,10521282.429999999701977
20160406,2600033.810000000055879,2769861.800000000279397,2774687.599999999627471,2609602.240000000223517,10754185.449999999254942
20160407,2596469.659999999683350,2759405.900000000372529,2760363.399999999441206,2591854.149999999906868,10708093.109999999403954
20160408,2592430.290000000037253,2756418.500000000000000,2738455.799999999813735,2590608.669999999925494,10677913.259999999776483
20160411,2589341.359999999869615,2740983.600000000093132,2687057.199999999720603,2575974.280000000260770,10593356.440000001341105
20160412,2604310.790000000037253,2755422.700000000186265,2692955.399999999906868,2579087.979999999981374,10631776.870000001043081
20160413,2610726.260000000242144,2786292.500000000000000,2741826.199999999720603,2567567.290000000037253,10706412.250000000000000
20160414,2610013.430000000167638,2810689.600000000093132,2751094.799999999813735,2553555.640000000130385,10725353.470000000670552
20160415,2618092.169999999925494,2795254.700000000186265,2738455.799999999813735,2562585.370000000111759,10714388.039999999105930
20160418,2635912.919999999925494,2813677.000000000000000,2747724.399999999906868,2579087.979999999981374,10776402.300000000745058
20160419,2677494.669999999925494,2831103.500000000000000,2771317.199999999720603,2593099.629999999888241,10873015.000000000000000
20160420,2698879.569999999832362,2817162.299999999813735,2799965.599999999627471,2539232.620000000111759,10855240.089999999850988
