代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12465011.559999998658895
真實報酬,2465011.559999998658895

夏普值報酬,0.237801156000000
夏普值風險,0.062237668763672
夏普值,3.820855773100640

預期報酬,18575.317383034624072
風險,138458.294818495429354
趨勢值,0.134158212820582
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),PG[21](7),V[25](1),
20120816,3804212.259999999776483,3585379.229999999981374,3752311.800000000279397,11141904.290000000968575
20120817,3832586.619999999646097,3585379.229999999981374,3723376.800000000279397,11141343.650000000372529
20120820,3821777.339999999850988,3572000.979999999981374,3708330.600000000093132,11102109.919999999925494
20120821,3804887.839999999850988,3573071.239999999757856,3689812.199999999720603,11067772.279999999329448
20120822,3826506.399999999906868,3577352.279999999795109,3707173.200000000186265,11111032.879999998956919
20120823,3820426.179999999701977,3568255.070000000298023,3679395.600000000093132,11068077.849999999627471
20120824,3848124.959999999962747,3586449.489999999757856,3665506.800000000279397,11100082.250000000000000
20120827,3828533.140000000130385,3591265.660000000149012,3694441.800000000279397,11114241.600000001490116
20120828,3819075.020000000018626,3584844.099999999627471,3686340.000000000000000,11090260.119999999180436
20120829,3840018.000000000000000,3578422.540000000037253,3704858.399999999906868,11123299.939999999478459
20120830,3825155.239999999757856,3578957.669999999925494,3666664.200000000186265,11070778.109999999403954
20120831,3833937.779999999795109,3595546.699999999720603,3710645.400000000372529,11140130.879999998956919
20120904,3836640.099999999627471,3606784.430000000167638,3718747.200000000186265,11162172.730000000447035
20120905,3819750.599999999627471,3600898.000000000465661,3692127.000000000000000,11112776.599999999627471
20120906,3894739.979999999515712,3651735.349999999627471,3747682.200000000186265,11294158.529999999329448
20120907,3868392.359999999869615,3666718.989999999757856,3753469.200000000186265,11288581.550000000745058
20120910,3871094.679999999701977,3666183.860000000335276,3723376.800000000279397,11260656.339999999850988
20120911,3831911.039999999571592,3652805.610000000335276,3804394.799999999813735,11289112.449999999254942
20120912,3854205.179999999701977,3644243.529999999795109,3862264.799999999813735,11360714.509999997913837
20120913,3938652.679999999701977,3687589.059999999590218,3905088.600000000093132,11531331.339999999850988
20120914,4017019.959999999962747,3700967.309999999590218,3884255.400000000372529,11602243.669999999925494
20120917,3979863.059999999590218,3705783.479999999981374,3873838.799999999813735,11559486.339999999850988
20120918,3976485.159999999683350,3704178.089999999850988,3868051.800000000279397,11548716.050000000745058
20120919,4017695.539999999571592,3706318.610000000335276,3900459.000000000465661,11624474.150000000372529
20120920,4004859.520000000018626,3722372.510000000242144,3894672.000000000000000,11621905.030000001192093
20120921,4014317.640000000130385,3714880.689999999944121,3906246.000000000000000,11635445.330000000074506
20120924,4012290.899999999906868,3733075.110000000335276,3870366.599999999627471,11615733.609999999403954
20120925,4034585.039999999571592,3723977.900000000372529,3893514.600000000093132,11652078.539999999105930
20120926,3997428.140000000130385,3708459.129999999888241,3834487.200000000186265,11540375.469999998807907
20120927,4045394.319999999832362,3708459.129999999888241,3874996.199999999720603,11628850.649999998509884
20120928,4078497.739999999757856,3711669.910000000149012,3885412.799999999813735,11675581.449999999254942
20121001,4092009.339999999850988,3716486.080000000074506,3956014.200000000186265,11764510.620000001043081
20121002,4075795.419999999459833,3681167.500000000465661,3935181.000000000000000,11692144.919999999925494
20121003,4173078.939999999944121,3701502.439999999944121,4008097.200000000186265,11882679.580000000074506
20121004,4171052.199999999720603,3712740.169999999925494,4041661.800000000279397,11925455.169999999925494
20121005,4269686.880000000819564,3726118.419999999925494,4059022.799999999813735,12054829.100000001490116
20121008,4180510.319999999832362,3697756.529999999795109,4013884.200000000186265,11892152.050000000745058
20121009,4117681.379999999888241,3676351.330000000074506,3957171.599999999627471,11751205.309999998658895
20121010,4035936.199999999720603,3646384.049999999813735,3975690.000000000000000,11658011.250000000000000
20121011,3986618.859999999869615,3638892.229999999981374,4023143.399999999906868,11648655.490000000223517
20121012,4023775.759999999776483,3635681.449999999720603,4025458.200000000186265,11684916.410000000149012
20121015,4097413.979999999515712,3676886.459999999497086,4047448.799999999813735,11821750.239999998360872
20121016,4111601.159999999683350,3692405.229999999981374,4084485.600000000093132,11888492.990000000223517
20121017,4147406.899999999906868,3717556.339999999850988,4124994.600000000093132,11989958.839999999850988
20121018,4175105.679999999701977,3717556.339999999850988,4105318.799999999813735,11997981.820000000298023
20121019,4181185.899999999906868,3669394.639999999664724,4049763.600000000093132,11900345.139999998733401
20121022,4191319.599999999627471,3665648.729999999981374,4021986.000000000000000,11878955.330000000074506
20121023,4171727.779999999795109,3608924.949999999720603,3953699.399999999441206,11734353.129999998956919
20121024,4139975.520000000018626,3643173.270000000018626,3949069.799999999813735,11732219.589999999850988
20121025,4085929.119999999646097,3749664.139999999664724,3980319.600000000093132,11815913.859999999403954
20121026,4056203.599999999627471,3715950.949999999720603,4002310.199999999720603,11774465.749999998137355
20121031,4146731.319999999832362,3705248.349999999627471,4015041.599999999627471,11867022.269999999552965
20121101,4206182.359999999403954,3705783.479999999981374,4163188.799999999813735,12075155.640000000596046
20121102,4189968.439999999944121,3702572.699999999720603,4149300.000000000000000,12041842.140000000596046
20121105,4214289.320000000298023,3674745.939999999944121,4094902.200000000186265,11983938.460000000894070
20121106,4230503.240000000223517,3688659.320000000298023,4163188.799999999813735,12082352.359999999403954
20121107,4187941.699999999720603,3642103.010000000242144,4124994.600000000093132,11955040.310000000521541
20121108,4111601.159999999683350,3580563.059999999590218,4111105.800000000279397,11803271.019999999552965
20121109,4118356.959999999962747,3585914.360000000335276,4135411.199999999720603,11839683.519999999552965
20121112,4131868.559999999590218,3589660.270000000018626,4144670.400000000372529,11866200.230000000447035
20121113,4281847.320000000298023,3577352.279999999795109,4121522.399999999906868,11980723.000000000000000
20121114,4152811.539999999571592,3560228.120000000111759,4049763.600000000093132,11762804.259999999776483
20121115,4137948.779999999795109,3548990.389999999664724,4050921.000000000000000,11737861.169999999925494
20121116,4196724.240000000223517,3575746.889999999664724,4129624.200000000186265,11902096.330000000074506
20121119,4278469.419999999925494,3634611.189999999944121,4214114.399999999441206,12127196.009999997913837
20121120,4311572.839999999850988,3654946.129999999888241,4234947.600000000558794,12201467.570000000298023
20121121,4329813.500000000000000,3664043.339999999850988,4244206.799999999813735,12238064.640000000596046
20121123,4379130.839999999850988,3723977.900000000372529,4285873.200000000186265,12388982.940000001341105
20121126,4368997.140000000596046,3718091.470000000204891,4260410.400000000372529,12347500.010000001639128
20121127,4334542.559999998658895,3691870.099999999627471,4247679.000000000000000,12274092.659999998286366
20121128,4379806.419999999925494,3715950.949999999720603,4261567.799999999813735,12357326.169999998062849
20121129,4339947.199999999254942,3719161.729999999981374,4288188.000000000000000,12347297.929999999701977
20121130,4396020.339999999850988,3736821.020000000018626,4332169.200000000186265,12465011.559999998658895
