代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12840739.750000000000000
真實報酬,2840739.750000000000000

夏普值報酬,0.275373975000000
夏普值風險,0.070782897811076
夏普值,3.890402675162982

預期報酬,22083.210868116118945
風險,145986.686899406660814
趨勢值,0.151268662486551
找到最佳解世代,1661
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](17),PFE[20](15),XOM[29](3),
Stock#,CAT[3](2),CVX[5](1),KO[14](17),PFE[20](15),XOM[29](3),
張數,25445,24213,65231,114810,30079,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.000000000232831,6.200000000186265,17.540000000037253,9.799999999813735,47.290000000270084,
20101101,2017048.150000000139698,1972155.050000000279397,2013046.199999999953434,2022962.000000000000000,2013836.340000000316650,10039047.740000000223517
20101102,2029261.750000000232831,1989104.150000000372529,2017612.370000000111759,2003444.299999999813735,2040606.650000000372529,10080029.220000000670552
20101103,2032569.600000000093132,2002421.300000000279397,2020873.920000000158325,2019517.699999999720603,2044516.920000000158325,10119899.439999999478459
20101104,2116538.100000000558794,2061501.020000000251457,2037181.670000000158325,1995407.599999999627471,2086928.310000000055879,10297556.700000001117587
20101105,2125698.300000000745058,2057626.940000000176951,2041095.530000000027940,1972445.599999999860302,2105577.290000000037253,10302443.660000000149012
20101108,2115011.400000000372529,2053268.600000000093132,2037181.670000000158325,1957520.299999999813735,2115202.570000000298023,10278184.540000000968575
20101109,2084222.950000000186265,2023244.480000000214204,2043052.459999999962747,1950631.699999999720603,2124527.060000000521541,10225678.650000000372529
20101110,2098217.700000000186265,2062227.410000000149012,2040443.220000000204891,1932262.099999999627471,2139566.560000000521541,10272716.990000000223517
20101111,2097708.799999999813735,2084503.370000000344589,2048270.939999999944121,1949483.599999999860302,2160621.860000000335276,10340588.570000000298023
20101112,2062085.800000000279397,2068764.920000000158325,2052184.800000000046566,1934558.300000000046566,2135355.500000000000000,10252949.320000000298023
20101115,2081932.900000000139698,2054721.380000000121072,2053489.420000000158325,1923077.299999999813735,2120015.209999999962747,10233236.210000000894070
20101116,2045037.650000000372529,1997094.440000000176951,2024787.780000000027940,1905855.800000000046566,2073693.550000000279397,10046469.220000000670552
20101117,2065393.650000000372529,1996610.179999999934807,2039138.600000000093132,1892078.599999999860302,2075799.080000000540167,10069020.109999999403954
20101118,2114756.950000000186265,2029539.860000000102445,2082191.060000000055879,1932262.099999999627471,2114901.780000000260770,10273651.750000000000000
20101119,2136639.650000000372529,2032445.420000000158325,2097846.500000000000000,1928817.799999999813735,2121819.950000000186265,10317569.320000000298023
20101122,2137403.000000000000000,2020581.050000000279397,2096541.880000000121072,1909300.099999999627471,2111292.299999999813735,10275118.330000000074506
20101123,2102543.350000000558794,1979418.950000000186265,2075015.649999999906868,1902411.499999999767169,2074896.710000000428408,10134286.160000002011657
20101124,2154960.049999999813735,2007990.290000000270084,2107631.150000000372529,1916188.699999999953434,2101967.810000000521541,10288738.000000000000000
