代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11823785.279999999329448
真實報酬,1823785.279999999329448

夏普值報酬,0.173678528000000
夏普值風險,0.048407528856304
夏普值,3.587841232622279

預期報酬,14450.835957879804482
風險,146891.429882409458514
趨勢值,0.098377665527853
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,3
AAPL[0](4),JPM[13](1),V[25](13),
Stock#,AAPL[0](4),JPM[13](1),V[25](13),
張數,31986,52107,42707,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,71.940000000409782,48.209999999962747,51.649999999906868,
20160801,3392187.240000000223517,3324474.809999999590218,3342301.470000000204891,10058964.519999999552965
20160802,3341969.220000000670552,3316658.759999999776483,3343155.609999999869615,10001784.589999999850988
20160803,3383870.880000000819564,3369286.829999999608845,3361519.619999999646097,10114678.330000000074506
20160804,3386429.760000000707805,3364076.129999999888241,3394404.010000000242144,10144910.900000000372529
20160805,3437927.220000000670552,3454742.309999999590218,3422590.629999999888241,10315261.160000000149012
20160808,3466394.760000000707805,3444320.909999999683350,3414476.299999999813735,10325192.969999998807907
20160809,3480468.600000000558794,3432336.300000000279397,3419174.069999999832362,10331979.970000000670552
20160810,3454559.940000000409782,3401593.169999999925494,3402945.410000000149012,10259099.519999999552965
20160811,3452320.920000000856817,3410972.429999999701977,3421736.490000000223517,10285030.839999999850988
20160812,3460317.420000000856817,3403677.449999999720603,3417465.789999999571592,10281461.660000000149012
20160815,3501899.220000000670552,3424520.250000000000000,3455475.019999999552965,10381895.490000000223517
20160816,3498700.620000000111759,3423999.179999999701977,3451204.319999999832362,10373905.119999999180436
20160817,3493582.860000000335276,3433378.439999999944121,3452485.530000000260770,10379447.830000001937151
20160818,3489104.820000000298023,3436504.860000000335276,3428142.539999999571592,10353753.220000000670552
20160819,3498060.900000000372529,3431815.229999999981374,3436683.939999999944121,10366561.070000000298023
20160822,3470872.800000000745058,3428688.809999999590218,3461881.069999999832362,10361443.679999999701977
20160823,3481748.040000000037253,3427125.599999999627471,3450777.250000000000000,10359651.890000000596046
20160824,3455519.520000000484288,3436504.860000000335276,3428996.680000000167638,10321022.060000000521541
20160825,3440805.959999999962747,3442757.699999999720603,3430277.889999999664724,10313842.550000000745058
20160826,3420654.780000000260770,3450573.750000000000000,3440954.639999999664724,10312184.169999999925494
20160829,3416816.459999999962747,3488611.860000000335276,3453766.740000000223517,10359196.060000000521541
20160830,3390587.940000000409782,3517270.709999999962747,3466578.839999999850988,10374438.490000000223517
20160831,3393786.540000000037253,3517270.709999999962747,3455047.950000000186265,10366106.199999999254942
20160901,3413937.720000000670552,3502159.679999999701977,3472130.750000000000000,10388229.150000000372529
20160902,3445923.720000000670552,3516749.639999999664724,3502025.649999999906868,10464700.009999999776483
20160906,3444964.140000000596046,3514144.290000000037253,3524660.359999999869615,10483769.790000000968575
20160907,3466074.900000000372529,3499554.329999999608845,3554982.329999999608845,10520612.560000000521541
20160908,3375234.660000000149012,3504243.959999999962747,3543451.439999999944121,10422931.060000000521541
20160909,3298788.120000000111759,3472979.760000000242144,3473411.959999999962747,10245180.839999999850988
20160912,3372675.780000000260770,3494343.629999999888241,3543451.439999999944121,10410471.849999999627471
20160913,3452960.640000000596046,3466726.919999999925494,3497327.879999999888241,10417016.440000001341105
20160914,3575147.160000000149012,3459953.010000000242144,3480245.079999999608845,10515346.250000000000000
20160915,3696693.959999999962747,3472458.689999999944121,3502452.720000000204891,10671606.370000001043081
20160916,3675903.060000000521541,3429730.949999999720603,3505015.139999999664724,10610650.149999998509884
20160919,3633041.820000000298023,3449010.540000000037253,3523806.220000000204891,10605859.580000000074506
20160920,3632721.959999999962747,3463079.429999999701977,3522525.010000000242144,10618327.400000000372529
20160921,3632082.240000000223517,3482880.090000000316650,3554128.189999999944121,10669091.519999999552965
20160922,3666307.260000000707805,3511538.939999999944121,3560107.169999999925494,10737954.370000001043081
20160923,3605214.000000000000000,3504243.959999999962747,3525087.430000000167638,10634546.390000000596046
20160926,3610651.620000000111759,3427646.669999999925494,3493911.319999999832362,10532210.609999999403954
20160927,3617368.680000000633299,3457868.729999999981374,3508858.769999999552965,10584097.179999999701977
20160928,3644876.640000000596046,3476106.179999999701977,3543451.439999999944121,10664435.259999999776483
20160929,3588261.420000000856817,3420872.760000000242144,3498609.089999999850988,10507744.270000001415610
20160930,3616089.240000000223517,3469853.340000000316650,3531920.549999999813735,10617864.129999998956919
20161003,3599136.660000000149012,3465684.780000000260770,3538753.669999999925494,10603576.109999999403954
20161004,3614489.940000000409782,3470374.409999999683350,3533201.760000000242144,10618067.109999999403954
20161005,3616089.240000000223517,3527171.040000000037253,3559680.099999999627471,10702941.379999998956919
20161006,3642957.480000000447035,3536550.300000000279397,3560107.169999999925494,10739615.950000001117587
20161007,3648395.100000000558794,3549055.979999999981374,3539607.809999999590218,10737059.890000000596046
20161010,3712047.240000000223517,3576672.689999999944121,3549857.490000000223517,10838578.419999999925494
20161011,3720043.740000000223517,3559477.379999999888241,3503733.930000000167638,10783256.050000000745058
20161012,3753309.180000000633299,3550098.119999999646097,3512702.399999999906868,10816110.700000001117587
20161013,3741794.220000000670552,3529776.389999999664724,3496473.740000000223517,10768045.350000001490116
20161014,3762585.120000000111759,3518312.849999999627471,3521243.799999999813735,10802142.769999999552965
20161017,3760026.240000000223517,3500075.399999999906868,3508431.700000000186265,10768534.339999999850988
20161018,3757467.360000000335276,3527692.110000000335276,3484088.709999999962747,10769249.179999999701977
20161019,3746272.260000000707805,3561561.659999999683350,3536618.319999999832362,10844453.240000000223517
20161020,3744353.100000000558794,3556872.030000000260770,3523379.149999999906868,10824605.280000001192093
20161021,3729639.540000000037253,3568856.639999999664724,3516973.099999999627471,10815470.279999999329448
20161024,3763224.840000000782311,3588657.300000000279397,3551992.839999999850988,10903875.980000000447035
20161025,3782416.440000000409782,3585009.809999999590218,3503306.859999999869615,10870734.109999999403954
20161026,3697333.680000000633299,3602205.119999999646097,3491348.899999999906868,10790888.700000001117587
20161027,3661829.220000000670552,3607415.820000000298023,3498609.089999999850988,10767855.130000000819564
20161028,3637519.860000000335276,3601162.979999999981374,3511421.189999999944121,10750105.029999999329448
20161031,3631762.380000000819564,3608979.030000000260770,3523806.220000000204891,10764548.630000000819564
20161101,3566191.080000000074506,3593868.000000000000000,3485796.990000000223517,10645857.070000000298023
20161102,3569389.680000000633299,3578756.970000000204891,3441381.709999999962747,10589529.359999999403954
20161103,3513094.320000000298023,3563124.869999999646097,3444371.200000000186265,10520591.390000000596046
20161104,3481428.180000000633299,3530818.530000000260770,3431986.169999999925494,10444233.880000000819564
20161107,3531646.200000000186265,3641285.369999999646097,3523806.220000000204891,10696738.790000000968575
20161108,3552437.100000000558794,3649101.419999999925494,3539607.809999999590218,10741147.330000000074506
20161109,3546679.620000000111759,3816885.959999999962747,3554982.329999999608845,10918548.910000000149012
20161110,3447842.880000000819564,3994049.760000000242144,3496473.740000000223517,10938367.380000000819564
20161111,3468313.920000000856817,3996134.040000000037253,3496900.809999999590218,10961349.769999999552965
20161114,3381312.000000000000000,4143075.780000000260770,3347426.309999999590218,10871815.089999999850988
20161115,3426092.400000000372529,4135259.729999999981374,3355540.639999999664724,10916893.769999999552965
20161116,3518212.080000000074506,4033130.010000000242144,3420028.209999999962747,10971371.300000000745058
20161117,3516932.640000000596046,4065436.349999999627471,3462308.139999999664724,11044678.129999998956919
20161118,3520451.100000000558794,4049283.179999999701977,3451631.389999999664724,11021366.669999999925494
20161121,3573867.720000000670552,4066999.559999999590218,3488786.479999999981374,11129654.759999999776483
20161122,3576106.740000000223517,4092010.919999999925494,3413622.160000000149012,11081740.820000000298023
20161123,3557874.720000000670552,4109206.229999999981374,3398247.639999999664724,11065329.589999999850988
20161125,3575786.880000000819564,4107643.020000000018626,3422163.559999999590218,11105594.460000000894070
20161128,3568749.959999999962747,4081068.449999999720603,3377321.209999999962747,11027140.620000001043081
20161129,3565231.500000000000000,4112332.649999999906868,3380310.700000000186265,11057875.850000001490116
20161130,3535164.660000000149012,4177466.399999999906868,3302156.889999999664724,11014788.949999999254942
20161201,3502219.080000000074506,4261879.740000000223517,3221440.660000000149012,10985540.480000000447035
20161202,3515333.340000000782311,4251979.409999999217689,3233825.689999999944121,11001139.439999999478459
20161205,3490064.400000000372529,4338477.030000000260770,3301729.819999999832362,11130272.250000000000000
20161206,3516932.640000000596046,4360883.040000000037253,3293188.419999999925494,11171005.100000001490116
20161207,3551477.520000000484288,4380683.699999999254942,3387143.819999999832362,11319306.039999999105930
20161208,3586342.260000000707805,4435396.049999999813735,3385862.609999999869615,11407601.919999999925494
20161209,3644876.640000000596046,4454675.639999999664724,3379883.629999999888241,11479436.910000000149012
20161212,3624085.740000000223517,4415074.320000000298023,3352551.149999999906868,11391712.210000000894070
20161213,3684539.280000000260770,4416637.530000000260770,3382446.049999999813735,11483623.859999999403954
20161214,3684539.280000000260770,4415074.320000000298023,3379456.559999999590218,11479071.160000000149012
20161215,3704690.459999999962747,4481250.209999999962747,3395258.149999999906868,11581199.820000000298023
20161216,3709488.360000000335276,4426016.790000000037253,3346145.099999999627471,11481651.250000000000000
20161219,3730918.980000000447035,4451549.220000000670552,3335468.349999999627471,11517937.550000000745058
20161220,3740834.640000000596046,4508866.919999999925494,3346572.169999999925494,11596274.730000000447035
20161221,3744353.100000000558794,4520330.459999999962747,3337176.629999999888241,11601861.190000001341105
20161222,3719723.880000000819564,4527625.440000000409782,3326926.950000000186265,11574277.270000001415610
20161223,3727080.660000000149012,4535962.559999999590218,3337603.700000000186265,11600647.919999999925494
20161227,3750750.300000000745058,4540131.120000000111759,3346145.099999999627471,11637027.519999999552965
20161228,3734757.300000000745058,4507303.709999999962747,3344009.750000000000000,11586071.760000001639128
20161229,3733797.720000000670552,4475518.440000000409782,3345290.959999999962747,11554608.120000001043081
20161230,3704690.459999999962747,4496361.240000000223517,3332051.789999999571592,11533104.490000000223517
20170103,3715245.840000000782311,4545341.820000000298023,3395258.149999999906868,11655846.810000000521541
20170104,3711087.660000000149012,4528667.580000000074506,3423017.700000000186265,11662773.940000001341105
20170105,3729959.400000000372529,4486981.979999999515712,3463162.280000000260770,11680104.660000000149012
20170106,3771541.200000000186265,4487503.049999999813735,3510994.119999999646097,11770039.369999999180436
20170109,3806086.080000000074506,4490629.470000000670552,3491348.899999999906868,11788065.450000001117587
20170110,3809924.400000000372529,4503656.220000000670552,3472557.819999999832362,11786139.440000001341105
20170111,3830395.440000000409782,4537525.769999999552965,3493484.250000000000000,11861406.460000000894070
20170112,3814402.440000000409782,4493755.889999999664724,3475120.240000000223517,11783279.570000000298023
20170113,3807685.380000000819564,4517725.110000000335276,3466578.839999999850988,11791990.330000001937151
20170117,3838391.940000000409782,4353588.059999999590218,3470422.470000000204891,11662403.470000000670552
20170118,3838072.080000000074506,4373909.790000000037253,3484515.780000000260770,11696498.650000000372529
20170119,3831355.020000000484288,4340561.309999999590218,3490494.760000000242144,11662412.089999999850988
20170120,3838391.940000000409782,4359840.900000000372529,3495192.530000000260770,11693426.370000001043081
20170123,3840950.820000000298023,4361925.179999999701977,3508431.700000000186265,11711308.699999999254942
20170124,3837432.360000000335276,4414553.250000000000000,3554555.260000000242144,11806541.870000001043081
20170125,3898525.620000000111759,4482813.419999999925494,3583168.950000000186265,11964508.990000000223517
20170126,3900444.780000000260770,4520330.459999999962747,3554982.329999999608845,11975758.570000000298023
20170127,3900764.640000000596046,4529709.720000000670552,3577617.039999999571592,12008092.400000000372529
20170130,3890529.120000000111759,4482813.419999999925494,3574627.549999999813735,11947971.089999999850988
20170131,3881573.040000000037253,4409863.620000000111759,3532347.619999999646097,11823785.279999999329448
