代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13461907.450000001117587
真實報酬,3461907.450000001117587

夏普值報酬,0.337490745000000
夏普值風險,0.093670061934802
夏普值,3.602973437072209

預期報酬,29526.164735238096910
風險,185103.482181988278171
趨勢值,0.159511665513720
找到最佳解世代,1700
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),UNH[23](1),WBA[27](2),
Stock#,HD[9](3),UNH[23](1),WBA[27](2),
張數,36334,38647,56239,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,51.840000000316650,29.250000000000000,47.469999999739230,
20141001,3307172.520000000018626,3280386.609999999869615,3320398.029999999795109,9907958.160000000149012
20141002,3351500.000000000000000,3281159.550000000279397,3360890.109999999403954,9993550.660000000149012
20141003,3398734.200000000651926,3324444.189999999944121,3417691.500000000000000,10140870.890000000596046
20141006,3388560.680000000633299,3288502.479999999981374,3410942.819999999832362,10088006.980000000447035
20141007,3359856.820000000298023,3253720.179999999701977,3365389.229999999981374,9978967.230000000447035
20141008,3418717.900000000372529,3347632.390000000130385,3456496.409999999683350,10222847.700000001117587
20141009,3381657.220000000204891,3282705.429999999701977,3461557.919999999459833,10125921.570000000298023
20141010,3362763.540000000037253,3300096.580000000074506,3542542.080000000074506,10205403.199999999254942
20141013,3291912.240000000223517,3244444.899999999906868,3413192.379999999422580,9949550.519999999552965
20141014,3273745.240000000223517,3200773.789999999571592,3413192.379999999422580,9887712.409999998286366
20141015,3191993.740000000223517,3175266.770000000018626,3427814.520000000018626,9795076.029999999329448
20141016,3229417.760000000242144,3300096.580000000074506,3396320.679999999701977,9925836.019999999552965
20141017,3278832.000000000000000,3407921.710000000428408,3389572.000000000000000,10076326.710000000894070
20141020,3337329.740000000223517,3421834.630000000353903,3385635.270000000018626,10144800.640000000596046
20141021,3422714.640000000596046,3514973.899999999906868,3461557.919999999459833,10399247.460000000894070
20141022,3391467.400000000372529,3469370.439999999944121,3458745.969999999739230,10319584.809999998658895
20141023,3444515.040000000037253,3503766.270000000018626,3490802.199999999720603,10439084.509999999776483
20141024,3451418.500000000000000,3541640.330000000074506,3523420.819999999832362,10516480.650000000372529
20141027,3468858.820000000298023,3560577.359999999869615,3549290.759999999776483,10578727.939999999478459
20141028,3509552.900000000372529,3580287.330000000074506,3582471.770000000018626,10672313.000000000000000
20141029,3503376.120000000577420,3592654.369999999646097,3533543.839999999850988,10629575.330000000074506
20141030,3543343.520000000018626,3628209.609999999869615,3540854.909999999683350,10712409.039999999105930
20141031,3543343.520000000018626,3671880.720000000204891,3611716.049999999813735,10826941.289999999105930
20141103,3491385.900000000372529,3666083.669999999925494,3654457.689999999944121,10811928.259999999776483
20141104,3486662.479999999981374,3670721.310000000055879,3669079.829999999608845,10826464.619999999180436
20141105,3480122.360000000335276,3702411.850000000093132,3692700.209999999497086,10875235.419999999925494
20141106,3534986.700000000651926,3718257.119999999646097,3748376.819999999832362,11001621.640000000596046
20141107,3548066.940000000409782,3617774.919999999925494,3763561.349999999627471,10929404.210000000894070
20141110,3566597.280000000260770,3661832.500000000000000,3811926.889999999664724,11040357.669999999925494
