代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11634056.410000000149012
真實報酬,1634056.410000000149012

夏普值報酬,0.154705641000000
夏普值風險,0.051907387908552
夏普值,2.980416607989473

預期報酬,15556.909061688484144
風險,73571.341301163061871
趨勢值,0.211453383702854
找到最佳解世代,2021
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](3),CSCO[4](9),CVX[5](1),IBM[10](20),INTC[11](16),JNJ[12](4),MCD[15](18),TRV[22](5),UNH[23](15),
Stock#,AAPL[0](3),CSCO[4](9),CVX[5](1),IBM[10](20),INTC[11](16),JNJ[12](4),MCD[15](18),TRV[22](5),UNH[23](15),
張數,15537,50712,9953,6288,45277,12559,11798,13670,15372,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,60.129999999888241,11.080000000074506,57.610000000102445,147.159999999916181,13.419999999925494,16.270000000018626,93.340000000083819,13.399999999906868,22.840000000083819,
20140203,1113286.179999999934807,1092854.680000000167638,1106234.030000000027940,1087342.359999999869615,1084397.569999999832362,1089886.290000000037253,1097543.300000000046566,1097167.600000000093132,1087438.120000000111759,9856151.129999998956919
20140204,1129289.290000000037253,1105532.680000000167638,1103148.600000000093132,1086965.079999999841675,1078511.559999999823049,1087876.850000000093132,1098369.160000000149012,1098397.899999999906868,1083902.560000000055879,9871994.680000001564622
20140205,1137834.639999999897555,1114660.840000000083819,1090110.170000000158325,1095768.280000000027940,1064928.459999999962747,1096165.790000000037253,1104150.180000000167638,1099628.199999999953434,1088667.879999999888241,9891915.440000001341105
20140206,1137679.269999999785796,1140523.959999999962747,1107527.920000000158325,1098472.119999999878928,1086208.649999999906868,1114627.520000000018626,1120195.459999999962747,1103045.699999999953434,1089436.480000000214204,9997718.080000000074506
20140207,1153527.009999999776483,1149652.120000000111759,1115291.260000000009313,1114695.159999999916181,1096169.589999999850988,1130828.630000000121072,1131757.500000000000000,1105642.999999999767169,1096968.760000000009313,10094534.029999999329448
20140210,1174191.219999999739230,1157766.040000000037253,1111708.180000000167638,1114003.479999999748543,1099791.750000000000000,1143764.399999999906868,1119251.620000000111759,1125737.899999999906868,1072066.120000000111759,10118281.710000000894070
