代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12126678.030000001192093
真實報酬,2126678.030000001192093

夏普值報酬,0.203967803000000
夏普值風險,0.064318315020517
夏普值,3.171224291788978

預期報酬,19637.623221551893948
風險,106337.302562247845344
趨勢值,0.184672948705431
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](20),MCD[15](3),MSFT[18](1),TRV[22](4),V[25](5),
Stock#,KO[14](20),MCD[15](3),MSFT[18](1),TRV[22](4),V[25](5),
張數,41554,11186,19151,15931,14813,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,5.979999999981374,166.919999999925494,61.069999999832362,22.260000000009313,96.870000000111759,
20190201,2023685.780000000027940,1976956.839999999850988,1968400.849999999860302,2015134.449999999953434,2076138.820000000298023,10060316.740000000223517
20190204,2046540.479999999981374,1986241.219999999972060,2025087.809999999823049,2007965.500000000000000,2096136.370000000111759,10161971.379999998956919
20190205,2046956.019999999785796,1986464.939999999944121,2053431.289999999804422,2010195.840000000083819,2111393.760000000242144,10208441.849999999627471
20190206,2046956.019999999785796,1970916.399999999906868,2030641.599999999860302,2000159.310000000055879,2095988.240000000223517,10144661.570000000298023
20190207,2053604.660000000149012,1960849.000000000000000,2016086.839999999850988,2019435.820000000065193,2076435.079999999841675,10126411.400000000372529
20190208,2056928.979999999981374,1954920.419999999925494,2023747.239999999757856,2003982.750000000000000,2079545.810000000055879,10119125.199999999254942
20190211,2061499.919999999925494,1949439.279999999795109,2015703.819999999832362,1998088.280000000027940,2085767.270000000251457,10110498.570000000298023
20190212,2063577.619999999878928,1946195.339999999850988,2047111.459999999729916,2027401.320000000065193,2103394.740000000223517,10187680.480000000447035
20190213,2068979.639999999897555,1948208.820000000065193,2045579.379999999888241,2039827.499999999767169,2125614.240000000223517,10228209.580000000074506
20190214,1894452.840000000083819,1967448.739999999990687,2047302.969999999972060,2022144.090000000083819,2120725.950000000186265,10052074.589999999850988
20190215,1879908.940000000176951,2013311.339999999850988,2072582.289999999804422,2050979.200000000186265,2146648.700000000186265,10163430.470000000670552
20190219,1862871.799999999813735,2005257.419999999925494,2071624.739999999757856,2056714.359999999869615,2139686.589999999850988,10136154.909999998286366
20190220,1874091.380000000121072,2019128.060000000055879,2052090.719999999972060,2066910.200000000186265,2143982.359999999869615,10156202.720000000670552
20190221,1905672.419999999925494,2045079.579999999841675,2095371.979999999748543,2068184.679999999934807,2133168.870000000111759,10247477.529999999329448
20190222,1881571.100000000093132,2049106.539999999804422,2125247.540000000037253,2087301.880000000121072,2160869.180000000167638,10304096.240000000223517
20190225,1867442.739999999990687,2042842.380000000121072,2137121.159999999683350,2110720.450000000186265,2163683.650000000372529,10321810.379999998956919
20190226,1857054.239999999990687,2049553.979999999981374,2151867.429999999701977,2123146.629999999888241,2178200.390000000130385,10359822.669999999925494
20190227,1867442.739999999990687,2051231.880000000121072,2148228.739999999757856,2112791.480000000447035,2180866.729999999981374,10360561.570000000298023
20190228,1884064.340000000083819,2056601.159999999916181,2145547.599999999627471,2117411.469999999739230,2194198.430000000167638,10397823.000000000000000
20190301,1885726.500000000000000,2070136.219999999972060,2155123.099999999627471,2119323.190000000409782,2214195.979999999981374,10444504.990000000223517
20190304,1896946.079999999841675,2020246.659999999916181,2149952.330000000074506,2105303.910000000149012,2191828.350000000093132,10364277.330000000074506
20190305,1894868.380000000121072,2028748.019999999785796,2139227.770000000018626,2113906.650000000372529,2191680.219999999739230,10368431.039999999105930
20190306,1888635.280000000027940,2036354.500000000000000,2140185.319999999832362,2099728.060000000521541,2189606.400000000372529,10354509.560000000521541
20190307,1881571.100000000093132,2019463.640000000130385,2114139.959999999962747,2094789.450000000186265,2175089.660000000149012,10285053.810000000521541
20190308,1863287.340000000083819,2008053.919999999925494,2116438.080000000074506,2087301.880000000121072,2182792.419999999925494,10257873.640000000596046
20190311,1918969.699999999953434,2025727.800000000046566,2160868.399999999906868,2100843.230000000447035,2231971.580000000074506,10438380.710000000894070
20190312,1913567.679999999934807,2034117.300000000046566,2175997.689999999944121,2114384.580000000074506,2247673.359999999869615,10485740.609999999403954
20190313,1920631.859999999869615,2036690.079999999841675,2192850.569999999832362,2118845.259999999776483,2258634.979999999981374,10527652.750000000000000
20190314,1899023.780000000027940,2044296.560000000055879,2194574.159999999683350,2119801.120000000111759,2284261.469999999739230,10541957.089999999850988
20190315,1882402.179999999934807,2073268.300000000046566,2219853.479999999981374,2137643.839999999850988,2302925.850000000093132,10616093.650000000372529
20190318,1886973.119999999878928,2057831.619999999878928,2251644.139999999664724,2149751.400000000372529,2295519.350000000093132,10641719.629999998956919
20190319,1893206.219999999972060,2048435.380000000121072,2253176.219999999739230,2117730.089999999850988,2290038.540000000037253,10602586.449999999254942
20190320,1891959.600000000093132,2069241.339999999850988,2250686.589999999850988,2092240.490000000223517,2277595.620000000111759,10581723.640000000596046
20190321,1891128.519999999785796,2084901.739999999990687,2302394.290000000037253,2140670.730000000447035,2307962.270000000484288,10727057.550000000745058
20190322,1908581.199999999953434,2089823.579999999841675,2241685.619999999646097,2149114.160000000149012,2267522.779999999795109,10656727.339999997988343
20190325,1912736.600000000093132,2077630.839999999850988,2253367.729999999981374,2149910.709999999962747,2266930.260000000242144,10660576.139999998733401
20190326,1938084.540000000037253,2097318.199999999720603,2258155.479999999981374,2150388.639999999664724,2300555.770000000484288,10744502.629999998956919
20190327,1936837.919999999925494,2097653.779999999795109,2236323.339999999850988,2172214.110000000335276,2284557.729999999981374,10727586.879999998956919
20190328,1935591.299999999813735,2118683.459999999962747,2239387.500000000000000,2180976.160000000149012,2291223.580000000074506,10765862.000000000000000
20190329,1947226.419999999925494,2124388.319999999832362,2258730.009999999776483,2185118.219999999739230,2313739.339999999850988,10829202.309999998658895
20190401,1941408.859999999869615,2107497.459999999962747,2279413.089999999850988,2198818.879999999888241,2329589.250000000000000,10856727.539999999105930
20190402,1935175.760000000009313,2107050.020000000018626,2282668.759999999776483,2179542.370000000111759,2337292.010000000242144,10841728.919999999925494
20190403,1918969.699999999953434,2107050.020000000018626,2297606.540000000037253,2176196.860000000335276,2347364.850000000093132,10847187.970000000670552
20190404,1931435.899999999906868,2124052.739999999757856,2285924.429999999701977,2174922.379999999888241,2335218.189999999944121,10851553.639999998733401
20190405,1931020.359999999869615,2133448.979999999981374,2296074.459999999962747,2173010.660000000149012,2335366.320000000298023,10868920.780000001192093
20190408,1934344.679999999934807,2123829.020000000018626,2296840.500000000000000,2164726.540000000037253,2336847.620000000111759,10856588.359999999403954
20190409,1939331.160000000149012,2126401.800000000279397,2284392.349999999627471,2153734.150000000372529,2332996.240000000223517,10836855.700000001117587
20190410,1938084.540000000037253,2116781.839999999850988,2301819.759999999776483,2158035.520000000484288,2348846.150000000372529,10863567.810000000521541
20190411,1940993.320000000065193,2112978.600000000093132,2304500.899999999906868,2171098.940000000409782,2338477.050000000279397,10868048.810000002384186
20190412,1942239.940000000176951,2143404.520000000018626,2316374.520000000018626,2194039.580000000074506,2364844.189999999944121,10960902.750000000000000
20190415,1953043.979999999981374,2146201.020000000018626,2318289.619999999646097,2179223.750000000000000,2376694.589999999850988,10973452.959999999031425
20190416,1950966.280000000027940,2144523.119999999646097,2312927.339999999850988,2203916.799999999813735,2373583.859999999869615,10985917.399999998509884
20190417,1964679.100000000093132,2143516.379999999888241,2332078.339999999850988,2164567.230000000447035,2376694.589999999850988,10981535.640000000596046
20190418,1972989.899999999906868,2180430.179999999701977,2362719.939999999944121,2213316.089999999850988,2372546.950000000186265,11102003.059999998658895
20190422,1969665.579999999841675,2169356.039999999571592,2370188.830000000074506,2176356.169999999925494,2376102.070000000298023,11061668.689999999478459
20190423,2003324.320000000065193,2184345.279999999795109,2402362.509999999776483,2198659.570000000298023,2394766.450000000186265,11183458.129999998956919
20190424,1993766.899999999906868,2210856.100000000093132,2394127.580000000074506,2217298.839999999850988,2392248.240000000223517,11208297.660000000149012
20190425,1987949.340000000083819,2214211.899999999906868,2473412.719999999739230,2217458.150000000372529,2385286.130000000353903,11278318.240000000223517
20190426,2005402.019999999785796,2208507.039999999571592,2487584.459999999497086,2234185.700000000186265,2413578.960000000428408,11349258.179999999701977
20190429,2012050.660000000149012,2205151.239999999757856,2485286.339999999850988,2253621.520000000484288,2431650.820000000298023,11387760.580000001937151
20190430,2038645.219999999972060,2210184.939999999944121,2501181.669999999925494,2290103.509999999776483,2435798.460000000428408,11475913.800000000745058
20190501,2019114.840000000083819,2172152.539999999571592,2449090.949999999720603,2279429.740000000223517,2411505.140000000130385,11331293.210000000894070
20190502,2010804.040000000037253,2177074.379999999888241,2417108.779999999795109,2273375.959999999962747,2386767.430000000167638,11265130.589999999850988
20190503,2024516.859999999869615,2209625.640000000130385,2468624.969999999739230,2283731.110000000335276,2400395.390000000130385,11386893.970000000670552
20190506,2014128.359999999869615,2225062.319999999832362,2454261.719999999739230,2285005.589999999850988,2403950.510000000242144,11382408.499999998137355
20190507,1994597.979999999981374,2215442.359999999869615,2403894.589999999850988,2257604.270000000484288,2373287.600000000093132,11244826.799999998882413
20190508,1988364.880000000121072,2215330.500000000000000,2403703.080000000074506,2254736.690000000409782,2381434.750000000000000,11243569.900000000372529
20190509,1969665.579999999841675,2211974.699999999720603,2403511.569999999832362,2259515.990000000223517,2367362.400000000372529,11212030.240000000223517
20190510,2002493.239999999990687,2237255.060000000055879,2434727.699999999720603,2293449.020000000484288,2380694.100000000093132,11348619.119999999180436
