代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11714138.350000001490116
真實報酬,1714138.350000001490116

夏普值報酬,0.162713835000000
夏普值風險,0.046452982153682
夏普值,3.502764030556504

預期報酬,13300.484568209913050
風險,69925.408304898126516
趨勢值,0.190209608933785
找到最佳解世代,2194
找到最佳解實驗#,4
找到最佳解次數,24

stock[index](rank)
投資組合檔數,9
AAPL[0](13),AXP[1](6),BA[2](2),DD[7](12),JNJ[12](8),MCD[15](4),MRK[17](20),UNH[23](3),V[25](1),
Stock#,AAPL[0](13),AXP[1](6),BA[2](2),DD[7](12),JNJ[12](8),MCD[15](4),MRK[17](20),UNH[23](3),V[25](1),
張數,7734,14020,6011,12424,8999,7940,17826,6353,12180,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,121.899999999906868,26.000000000000000,97.869999999878928,32.679999999934807,4.469999999972060,66.800000000046566,16.419999999925494,98.360000000102445,51.399999999906868,
20170501,1133771.620000000111759,1110830.600000000093132,1096444.159999999683350,1106141.399999999906868,1109941.129999999888241,1120797.800000000046566,1112002.300000000046566,1109268.630000000121072,1111598.199999999953434,10010796.839999997988343
20170502,1140964.239999999757856,1115176.800000000046566,1102755.709999999962747,1106141.399999999906868,1113180.770000000018626,1121433.000000000000000,1117706.619999999878928,1106409.780000000027940,1127188.600000000093132,10050957.919999999925494
20170503,1137483.939999999944121,1105222.599999999860302,1102455.159999999683350,1091853.799999999813735,1109851.139999999897555,1132469.600000000093132,1134284.800000000046566,1096244.979999999981374,1125970.599999999860302,10035837.619999999180436
20170504,1133384.919999999925494,1098212.599999999860302,1100531.639999999897555,1086759.959999999962747,1115430.520000000018626,1139059.800000000046566,1129828.300000000046566,1105647.420000000158325,1128163.000000000000000,10037019.159999998286366
20170505,1152178.540000000037253,1098072.399999999906868,1112192.979999999748543,1116329.079999999841675,1111470.959999999962747,1143109.200000000186265,1140345.639999999897555,1106282.720000000204891,1121707.599999999860302,10101690.119999999180436
20170508,1183501.239999999757856,1095829.199999999953434,1118264.089999999850988,1103532.359999999869615,1109131.219999999972060,1145332.400000000139698,1141058.679999999934807,1108315.680000000167638,1119637.000000000000000,10124602.869999999180436
20170509,1191080.560000000055879,1099754.800000000046566,1123613.879999999888241,1093965.879999999888241,1108771.260000000009313,1146285.200000000186265,1128223.959999999962747,1100692.080000000074506,1120611.399999999906868,10113000.020000001415610
20170510,1185434.739999999757856,1102699.000000000000000,1101192.849999999860302,1091853.799999999813735,1105171.659999999916181,1147555.600000000093132,1139810.859999999869615,1101645.030000000027940,1123656.399999999906868,10099020.939999999478459
20170511,1190771.199999999720603,1092464.400000000139698,1105761.209999999962747,1094462.840000000083819,1108681.270000000018626,1145094.200000000186265,1148545.600000000093132,1101200.320000000065193,1121829.399999999906868,10108811.440000001341105
20170512,1207399.299999999813735,1086435.799999999813735,1101613.619999999878928,1097693.079999999841675,1112640.830000000074506,1154225.200000000186265,1133215.239999999990687,1091607.290000000037253,1129502.800000000046566,10114334.160000000149012
20170515,1204305.699999999720603,1098212.599999999860302,1096444.159999999683350,1104029.319999999832362,1142787.479999999981374,1161530.000000000000000,1132145.679999999934807,1089828.450000000186265,1135592.800000000046566,10164877.190000001341105
20170516,1202526.879999999888241,1095408.599999999860302,1098307.569999999832362,1102289.959999999962747,1149806.699999999953434,1169549.399999999906868,1137136.959999999962747,1068164.720000000204891,1134618.399999999906868,10157810.189999999478459
20170517,1162155.399999999906868,1070733.400000000139698,1074744.449999999953434,1065142.199999999953434,1139907.800000000046566,1162562.199999999953434,1123054.419999999925494,1072865.940000000176951,1117688.199999999953434,9988855.009999999776483
