代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11794718.439999999478459
真實報酬,1794718.439999999478459

夏普值報酬,0.170771844000000
夏普值風險,0.048856698131476
夏普值,3.495361957135227

預期報酬,13953.383716454505702
風險,121461.350974567103549
趨勢值,0.114879207291019
找到最佳解世代,2135
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),DIS[6](5),PG[21](2),VZ[26](9),WBA[27](20),XOM[29](16),
Stock#,AAPL[0](3),DIS[6](5),PG[21](2),VZ[26](9),WBA[27](20),XOM[29](16),
張數,10085,16611,23039,33772,25081,21436,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.900000000139698,84.370000000111759,24.739999999990687,17.800000000046566,33.549999999813735,17.000000000000000,
20180501,1705392.400000000139698,1662181.030000000260770,1657911.179999999934807,1648766.840000000083819,1640832.569999999832362,1649517.199999999953434,9964605.219999998807907
20180502,1780727.350000000093132,1654872.190000000176951,1634411.399999999906868,1612630.800000000046566,1596439.199999999720603,1646301.800000000046566,9925386.740000000223517
20180503,1783954.550000000046566,1640586.730000000214204,1644087.780000000027940,1615670.280000000260770,1560824.179999999701977,1640728.440000000176951,9885855.960000000894070
20180504,1853944.450000000186265,1680287.020000000251457,1668739.510000000242144,1627490.479999999981374,1600452.159999999916181,1648445.400000000139698,10079363.020000001415610
20180507,1867357.500000000000000,1702379.650000000139698,1658371.960000000195578,1611955.359999999869615,1562579.849999999627471,1666451.639999999897555,10069099.960000000894070
20180508,1876333.150000000139698,1690918.060000000288710,1645930.899999999906868,1587977.240000000223517,1564084.709999999729916,1673954.239999999990687,10039202.300000000745058
20180509,1889544.500000000232831,1660686.040000000037253,1667357.170000000158325,1566363.160000000149012,1578631.689999999711290,1713396.480000000214204,10075983.039999999105930
20180510,1916572.300000000046566,1689090.850000000325963,1685327.590000000083819,1594056.200000000186265,1600452.159999999916181,1751766.919999999925494,10237270.019999999552965
20180511,1901949.050000000279397,1695569.139999999897555,1690396.170000000158325,1642012.439999999944121,1607474.839999999850988,1742335.080000000074506,10279740.720000000670552
20180514,1897511.650000000139698,1701715.209999999962747,1688322.659999999916181,1637622.080000000074506,1632806.649999999674037,1754124.879999999888241,10312107.129999998956919
20180515,1880266.300000000046566,1709688.490000000223517,1680719.790000000037253,1613981.679999999934807,1620516.959999999729916,1753267.440000000176951,10258444.659999998286366
20180516,1897814.200000000186265,1744903.810000000288710,1694082.409999999916181,1616345.719999999972060,1648858.489999999757856,1758197.719999999972060,10360206.350000001490116
20180517,1885813.050000000279397,1733276.110000000102445,1703989.179999999934807,1616008.000000000000000,1655128.739999999757856,1755196.679999999934807,10349415.759999999776483
20180518,1878955.250000000232831,1726465.600000000325963,1692239.290000000037253,1612293.080000000074506,1613745.089999999850988,1742763.800000000046566,10266466.110000001266599
20180521,1892267.450000000186265,1728625.030000000260770,1706293.080000000074506,1635595.760000000009313,1617758.049999999813735,1763771.080000000074506,10344314.450000001117587
20180522,1887527.500000000000000,1728791.139999999897555,1705601.909999999916181,1648429.120000000111759,1610986.179999999934807,1750052.040000000037253,10331391.890000000596046
20180523,1899629.500000000232831,1709190.160000000149012,1709057.760000000242144,1640999.280000000260770,1602960.259999999776483,1760984.400000000139698,10322825.360000001266599
20180524,1897511.650000000139698,1696233.580000000074506,1699611.769999999785796,1642687.880000000121072,1590419.759999999776483,1720684.719999999972060,10247153.360000001266599
20180525,1901848.200000000186265,1697728.570000000065193,1712052.830000000074506,1638635.240000000223517,1593429.479999999748543,1687244.559999999823049,10230942.880000000819564
20180529,1894990.400000000139698,1656034.959999999962747,1706062.689999999944121,1627828.200000000186265,1572612.250000000000000,1681028.120000000111759,10138560.620000001043081
20180530,1890956.400000000139698,1660852.150000000139698,1725415.449999999953434,1641337.000000000000000,1593680.289999999804422,1747051.000000000000000,10259296.289999999105930
20180531,1884602.850000000093132,1652380.540000000037253,1685788.370000000111759,1609929.040000000037253,1564837.139999999897555,1741477.639999999897555,10139019.580000000074506
20180601,1918589.300000000279397,1650553.330000000074506,1692239.290000000037253,1614657.120000000111759,1576625.209999999729916,1754124.879999999888241,10206793.129999998956919
20180604,1934624.450000000186265,1665171.010000000009313,1709057.760000000242144,1614994.840000000083819,1587660.849999999627471,1735689.919999999925494,10247202.830000000074506
20180605,1949550.250000000232831,1660187.709999999962747,1704219.570000000065193,1620060.639999999897555,1577377.639999999897555,1729473.480000000214204,10240873.290000000968575
20180606,1956307.199999999953434,1692911.380000000121072,1712974.389999999897555,1634920.319999999832362,1583898.699999999720603,1759055.160000000149012,10340071.149999998509884
20180607,1951063.000000000232831,1702213.540000000037253,1745459.380000000121072,1655183.520000000018626,1595185.149999999906868,1776632.679999999934807,10425741.269999999552965
