代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12101916.469999998807907
真實報酬,2101916.469999998807907

夏普值報酬,0.201491647000000
夏普值風險,0.055362470898235
夏普值,3.639498810852837

預期報酬,18227.761215769303817
風險,125445.673437748104334
趨勢值,0.145304024572954
找到最佳解世代,2253
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](8),KO[14](19),MCD[15](28),PFE[20](1),UNH[23](2),
Stock#,CVX[5](8),KO[14](19),MCD[15](28),PFE[20](1),UNH[23](2),
張數,24700,63311,25542,122699,54764,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.000000000000000,5.510000000009313,61.400000000139698,6.299999999813735,18.719999999739230,
20101201,2042731.000000000000000,2048116.360000000102445,2025286.580000000307336,2049079.599999999627471,2062978.599999999860302,10228192.140000000596046
20101202,2087191.000000000000000,2054447.460000000195578,2027585.360000000102445,2047852.609999999869615,2083788.919999999692664,10300865.349999999627471
20101203,2096824.000000000000000,2041785.260000000009313,2037291.320000000298023,2051533.579999999608845,2071193.199999999720603,10298627.359999999403954
20101206,2098306.000000000000000,2025957.510000000009313,2032693.760000000009313,2062576.489999999757856,2042168.279999999795109,10261702.039999999105930
20101207,2131651.000000000000000,2030389.280000000027940,2052105.680000000167638,2057668.529999999795109,2013691.000000000000000,10285505.490000000223517
20101208,2127699.000000000000000,2038619.710000000195578,2011238.479999999981374,2051533.579999999608845,2017524.479999999981374,10246615.250000000000000
20101209,2140296.000000000000000,2052548.130000000121072,1982376.020000000018626,2056441.540000000037253,2007119.319999999599531,10238781.009999999776483
20101210,2149682.000000000000000,2046850.139999999897555,1981098.920000000158325,2088343.279999999795109,2008214.599999999860302,10274188.939999999478459
20101213,2182780.000000000000000,2052548.130000000121072,1969605.020000000018626,2109202.109999999869615,2020810.319999999599531,10334945.580000000074506
20101214,2183027.000000000000000,2022791.959999999962747,1969605.020000000018626,2099386.189999999944121,1998904.719999999739230,10273714.890000000596046
20101215,2173888.000000000000000,2049382.579999999841675,1966284.560000000288710,2095705.219999999506399,1941402.519999999785796,10226662.880000000819564
20101216,2199823.000000000000000,2068375.880000000121072,1959388.219999999972060,2112883.079999999608845,1950164.759999999776483,10290634.939999999478459
20101217,2185744.000000000000000,2079771.860000000102445,1961942.420000000158325,2089570.270000000018626,1919496.919999999692664,10236525.470000000670552
20101220,2193401.000000000000000,2067742.769999999785796,1964752.040000000270084,2106748.129999999888241,1926616.239999999757856,10259260.179999999701977
20101221,2204022.000000000000000,2072807.650000000139698,1963219.520000000018626,2132514.919999999459833,1934830.839999999618158,10307394.929999999701977
20101222,2221065.000000000000000,2076606.309999999823049,1967050.820000000298023,2154600.739999999757856,1962760.479999999981374,10382083.349999999627471
20101223,2239837.000000000000000,2075973.199999999953434,1965773.719999999972060,2160735.689999999944121,1958927.000000000000000,10401246.609999999403954
20101227,2226005.000000000000000,2059512.340000000083819,1952236.460000000428408,2146011.809999999590218,1946331.279999999795109,10330096.890000000596046
20101228,2252434.000000000000000,2069008.989999999990687,1952236.460000000428408,2158281.709999999962747,1956188.799999999580905,10388149.959999999031425
20101229,2256880.000000000000000,2072174.539999999804422,1966539.979999999981374,2159508.700000000186265,1966593.959999999497086,10421697.179999997839332
20101230,2262561.000000000000000,2073440.760000000009313,1960665.320000000298023,2146011.809999999590218,1968236.879999999655411,10410915.769999999552965
20101231,2253916.000000000000000,2082304.300000000046566,1960665.320000000298023,2148465.790000000037253,1977546.759999999776483,10422898.169999999925494
20110103,2270959.000000000000000,2064577.219999999972060,1956578.600000000093132,2169324.619999999646097,2033406.039999999804422,10494845.479999998584390
20110104,2262561.000000000000000,2022158.850000000093132,1898087.420000000158325,2207361.309999999590218,2052025.799999999580905,10442194.379999997094274
20110105,2258609.000000000000000,2010129.760000000009313,1907027.120000000111759,2222085.189999999944121,2058597.479999999981374,10456448.550000000745058
20110106,2240084.000000000000000,1995568.229999999981374,1895533.219999999972060,2230674.119999999646097,2101313.399999999441206,10463172.969999998807907
20110107,2252434.000000000000000,1991769.570000000065193,1899619.940000000176951,2250305.959999999962747,2105694.520000000018626,10499823.990000000223517
20110110,2233168.000000000000000,1996201.340000000083819,1878930.920000000158325,2240490.040000000037253,2105694.520000000018626,10454484.820000000298023
20110111,2268242.000000000000000,1984805.360000000102445,1887615.200000000186265,2235582.079999999608845,2140195.839999999850988,10516440.480000000447035
20110112,2283556.000000000000000,1995568.229999999981374,1879952.600000000093132,2253986.930000000167638,2128147.759999999776483,10541211.519999999552965
20110113,2276887.000000000000000,2006964.209999999962747,1856198.540000000270084,2235582.079999999608845,2168673.119999999646097,10544304.949999999254942
20110114,2292942.000000000000000,1998733.780000000027940,1891701.920000000158325,2250305.959999999962747,2232747.000000000000000,10666430.660000000149012
20110118,2305786.000000000000000,2009496.649999999906868,1907537.960000000428408,2255213.919999999459833,2238771.040000000037253,10716805.570000000298023
20110119,2296400.000000000000000,2007597.320000000065193,1924651.100000000093132,2247851.979999999981374,2221246.560000000055879,10697746.960000000894070
20110120,2289978.000000000000000,1992402.679999999934807,1919798.120000000111759,2238036.059999999590218,2207555.560000000055879,10647770.419999999925494
20110121,2316407.000000000000000,1987337.800000000046566,1915966.820000000298023,2252759.939999999944121,2213031.959999999497086,10685503.519999999552965
20110124,2324311.000000000000000,2002532.439999999944121,1925417.360000000102445,2263802.849999999627471,2180173.560000000055879,10696237.209999999031425
20110125,2323817.000000000000000,1993035.790000000037253,1927971.560000000288710,2266256.829999999608845,2224532.399999999441206,10735613.579999998211861
20110126,2337649.000000000000000,1993035.790000000037253,1920053.540000000270084,2252759.939999999944121,2204269.719999999739230,10707767.989999998360872
20110127,2340366.000000000000000,1984805.360000000102445,1899109.100000000093132,2267483.819999999832362,2315988.279999999795109,10807752.560000000521541
20110128,2306280.000000000000000,1969610.719999999972060,1871779.160000000149012,2226993.149999999441206,2241509.239999999757856,10616172.269999999552965
20110131,2344812.000000000000000,1989870.239999999990687,1881740.540000000270084,2235582.079999999608845,2248080.919999999459833,10700085.779999999329448
20110201,2376675.000000000000000,1996201.340000000083819,1876632.140000000130385,2358281.079999999608845,2303940.199999999720603,10911729.759999999776483
20110202,2383097.000000000000000,1989870.239999999990687,1880974.280000000260770,2326379.339999999850988,2297368.520000000018626,10877689.379999998956919
20110203,2403598.000000000000000,1981006.699999999953434,1885827.260000000009313,2352146.129999999888241,2357061.279999999795109,10979639.369999999180436
20110204,2398658.000000000000000,1980373.590000000083819,1891446.500000000000000,2368097.000000000000000,2326941.080000000074506,10965516.169999999925494
20110207,2412243.000000000000000,1979107.370000000111759,1876121.300000000279397,2336195.259999999776483,2289701.560000000055879,10893368.490000000223517
20110208,2414219.000000000000000,1990503.350000000093132,1924906.520000000018626,2350919.139999999664724,2298463.799999999813735,10979011.809999998658895
20110209,2377169.000000000000000,1999366.889999999897555,1939465.460000000428408,2337422.250000000000000,2303940.199999999720603,10957363.799999998882413
20110210,2388531.000000000000000,2011395.979999999981374,1935123.320000000298023,2334968.270000000018626,2323655.239999999757856,10993673.810000000521541
20110211,2382356.000000000000000,2012662.199999999953434,1944829.280000000260770,2310428.469999999739230,2320917.040000000037253,10971192.989999998360872
20110214,2394706.000000000000000,1998733.780000000027940,1947383.479999999981374,2337422.250000000000000,2325298.159999999683350,11003543.669999999925494
20110215,2379639.000000000000000,2000633.110000000102445,1945084.700000000186265,2337422.250000000000000,2301749.639999999664724,10964528.699999999254942
20110216,2387543.000000000000000,2006964.209999999962747,1941764.239999999990687,2365643.020000000018626,2327488.719999999739230,11029403.190000001341105
20110217,2400140.000000000000000,2043684.590000000083819,1940742.560000000288710,2376685.930000000167638,2332417.479999999981374,11093670.560000000521541
20110218,2438425.000000000000000,2043684.590000000083819,1944573.860000000102445,2354600.109999999869615,2346108.479999999981374,11127392.040000000968575
20110222,2477945.000000000000000,2018360.189999999944121,1933590.800000000279397,2317790.409999999683350,2352680.159999999683350,11100366.560000000521541
20110223,2526110.000000000000000,2023425.070000000065193,1920564.380000000121072,2301839.540000000037253,2349941.959999999497086,11121880.949999999254942
20110224,2520182.000000000000000,2022158.850000000093132,1921075.219999999972060,2319017.399999999441206,2341179.719999999739230,11123613.189999997615814
20110225,2521911.000000000000000,2036087.269999999785796,1901407.880000000121072,2314109.439999999944121,2328584.000000000000000,11102099.589999999850988
20110228,2562666.000000000000000,2023425.070000000065193,1933079.960000000428408,2360735.059999999590218,2331869.839999999850988,11211775.929999999701977
20110301,2541671.000000000000000,2055080.570000000065193,1912901.780000000260770,2348465.159999999683350,2324750.520000000018626,11182869.029999999329448
20110302,2555750.000000000000000,2039885.929999999934807,1907793.380000000121072,2354600.109999999869615,2385538.560000000055879,11243567.980000000447035
20110303,2573534.000000000000000,2075340.090000000083819,1947383.479999999981374,2425765.529999999795109,2452898.279999999795109,11474921.379999998956919
20110304,2562666.000000000000000,2063944.110000000102445,1942019.660000000149012,2412268.639999999664724,2434278.520000000018626,11415176.929999999701977
20110307,2544388.000000000000000,2064577.219999999972060,1948660.580000000307336,2406133.689999999944121,2385538.560000000055879,11349298.050000000745058
20110308,2563160.000000000000000,2077872.530000000027940,1929504.080000000307336,2414722.619999999646097,2400324.839999999850988,11385584.070000000298023
20110309,2522899.000000000000000,2077239.420000000158325,1935634.160000000149012,2412268.639999999664724,2436469.080000000074506,11384510.299999998882413
20110310,2447317.000000000000000,2067109.659999999916181,1958621.960000000428408,2375458.939999999944121,2398134.279999999795109,11246641.839999999850988
20110311,2468312.000000000000000,2051915.019999999785796,1959899.060000000288710,2388955.829999999608845,2387181.479999999981374,11256263.390000000596046
20110314,2489801.000000000000000,2024058.179999999934807,1932824.540000000270084,2430673.489999999757856,2363632.959999999497086,11240990.169999998062849
