代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11730159.009999999776483
真實報酬,1730159.009999999776483

夏普值報酬,0.164315901000000
夏普值風險,0.044231843209129
夏普值,3.714877994640871

預期報酬,13266.951305573893478
風險,91201.292514694345300
趨勢值,0.145468895667639
找到最佳解世代,2716
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
BA[2](9),DIS[6](25),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](3),MSFT[18](10),UNH[23](5),UTX[24](4),
Stock#,BA[2](9),DIS[6](25),JNJ[12](7),KO[14](6),MCD[15](1),MMM[16](3),MSFT[18](10),UNH[23](5),UTX[24](4),
張數,6799,10041,9811,26728,9065,6355,17186,6854,10131,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,18.420000000158325,74.349999999860302,15.250000000000000,28.040000000037253,13.949999999953434,129.900000000139698,36.099999999860302,77.600000000093132,44.229999999981374,
20170201,1114850.450000000186265,1117637.649999999906868,1110914.780000000027940,1102825.320000000065193,1109751.250000000000000,1113335.250000000000000,1092721.979999999748543,1115291.940000000176951,1096015.810000000055879,9973345.429999999701977
20170202,1103224.160000000149012,1110709.359999999869615,1114250.520000000018626,1106567.239999999990687,1117003.250000000000000,1107043.800000000279397,1085675.719999999972060,1101926.640000000130385,1097839.389999999897555,9944241.080000000074506
20170203,1104176.020000000251457,1107596.649999999906868,1114937.290000000037253,1110309.159999999916181,1126249.549999999813735,1112509.100000000093132,1094440.579999999841675,1109534.580000000074506,1110908.380000000121072,9990662.310000000521541
20170206,1114918.440000000176951,1100266.719999999739230,1112582.650000000139698,1110843.720000000204891,1128153.199999999953434,1112890.400000000139698,1093753.139999999897555,1100213.140000000130385,1121343.310000000055879,9994965.720000002533197
20170207,1132051.920000000158325,1094543.349999999860302,1113367.530000000027940,1119931.239999999990687,1129422.300000000046566,1117084.700000000186265,1090144.079999999841675,1100350.220000000204891,1127117.979999999981374,10024014.320000000298023
20170208,1113762.610000000102445,1094543.349999999860302,1112582.650000000139698,1123138.600000000093132,1130147.500000000000000,1125409.750000000000000,1088597.339999999850988,1098842.340000000083819,1118506.630000000121072,10005531.770000001415610
20170209,1116958.140000000130385,1099463.439999999711290,1119254.129999999888241,1102558.040000000037253,1128425.149999999906868,1132463.800000000279397,1100971.260000000009313,1099733.360000000102445,1115366.020000000018626,10015194.339999999850988
20170210,1130216.190000000176951,1097154.010000000009313,1130634.889999999897555,1084650.280000000027940,1140572.250000000000000,1137674.900000000139698,1099940.099999999860302,1101858.100000000093132,1125091.780000000027940,10047793.500000000000000
20170213,1142454.390000000130385,1101070.000000000000000,1136913.929999999934807,1085719.399999999906868,1138034.050000000046566,1150512.000000000232831,1112314.019999999785796,1110357.060000000055879,1134918.849999999860302,10112294.699999999254942
20170214,1145649.920000000158325,1107897.879999999888241,1141623.209999999962747,1083313.880000000121072,1140481.599999999860302,1154197.900000000139698,1109736.119999999646097,1118170.620000000111759,1130359.899999999906868,10131432.029999999329448
20170215,1151089.120000000344589,1106391.729999999981374,1149864.449999999953434,1080908.359999999869615,1146555.149999999906868,1154833.400000000139698,1109048.679999999934807,1126121.260000000009313,1133804.439999999944121,10158617.589999999850988
20170216,1161355.610000000102445,1111713.459999999729916,1158498.129999999888241,1101221.640000000130385,1148549.449999999953434,1165700.450000000186265,1108876.819999999832362,1121734.700000000186265,1135425.399999999906868,10213076.660000002011657
20170217,1174273.710000000195578,1105186.809999999823049,1166150.709999999962747,1102023.479999999981374,1158520.949999999953434,1162777.150000000139698,1110595.419999999925494,1080405.080000000074506,1136235.880000000121072,10196170.190000001341105
20170221,1193650.860000000102445,1104684.760000000009313,1173999.510000000009313,1108170.920000000158325,1160696.549999999813735,1165446.250000000232831,1108361.239999999757856,1100624.380000000121072,1139781.729999999981374,10255417.200000001117587
20170222,1192291.060000000288710,1105789.270000000018626,1172625.969999999972060,1111912.840000000083819,1158974.199999999953434,1182414.100000000093132,1106127.059999999823049,1100624.380000000121072,1141402.689999999944121,10272162.569999998435378
20170223,1202489.560000000288710,1101873.279999999795109,1194013.949999999953434,1113516.520000000018626,1162781.500000000000000,1189722.350000000093132,1110595.419999999925494,1114538.000000000000000,1135628.020000000018626,10325159.599999999627471
20170224,1206432.980000000214204,1107797.469999999739230,1204119.280000000027940,1116723.880000000121072,1166226.199999999953434,1191120.450000000186265,1110595.419999999925494,1117690.840000000083819,1139376.489999999990687,10360084.010000001639128
20170227,1219962.990000000223517,1106893.779999999795109,1200881.650000000139698,1113783.800000000046566,1151178.299999999813735,1187942.950000000186265,1103892.879999999888241,1133592.120000000111759,1142922.340000000083819,10361051.809999998658895
20170228,1225402.190000000176951,1105488.039999999804422,1199017.559999999823049,1121534.920000000158325,1157161.199999999953434,1184384.150000000139698,1099596.379999999888241,1133592.120000000111759,1140288.280000000027940,10366465.839999999850988
20170301,1250422.510000000242144,1115026.989999999990687,1215205.709999999962747,1126880.520000000018626,1169852.199999999953434,1206690.200000000186265,1116094.939999999711290,1151138.360000000102445,1151736.310000000055879,10503048.740000000223517
20170302,1244167.430000000167638,1110508.539999999804422,1212949.179999999934807,1135166.199999999953434,1162418.899999999906868,1206880.850000000093132,1100111.959999999962747,1146820.340000000083819,1141706.619999999878928,10460731.019999999552965
20170303,1238660.240000000223517,1117035.189999999711290,1214518.940000000176951,1135433.479999999981374,1159427.449999999953434,1203194.950000000186265,1104236.599999999860302,1152920.399999999906868,1138160.770000000018626,10463589.019999999552965
20170306,1230161.490000000223517,1111311.819999999832362,1213734.059999999823049,1127415.080000000074506,1160605.899999999906868,1200589.400000000139698,1104580.319999999832362,1156347.399999999906868,1131271.689999999944121,10436018.160000000149012
20170307,1237572.400000000139698,1113219.609999999869615,1214911.379999999888241,1122336.760000000009313,1160968.500000000000000,1201796.850000000093132,1106814.500000000000000,1153605.800000000279397,1137552.909999999916181,10448779.710000000894070
20170308,1235668.680000000167638,1113018.789999999804422,1217560.349999999860302,1122336.760000000009313,1161149.800000000046566,1204465.950000000186265,1116954.239999999757856,1150932.739999999990687,1132183.479999999981374,10454271.789999999105930
20170309,1227713.850000000093132,1114926.579999999841675,1235710.699999999953434,1123405.880000000121072,1161603.049999999813735,1206944.400000000139698,1112485.879999999888241,1151618.140000000130385,1134007.060000000055879,10468416.540000000968575
20170310,1214999.719999999972060,1113822.069999999832362,1238261.559999999823049,1130355.159999999916181,1160152.649999999906868,1215269.450000000186265,1115923.080000000074506,1165120.520000000018626,1136134.570000000065193,10490039.780000001192093
20170313,1217379.370000000344589,1119846.669999999925494,1242872.729999999981374,1123405.880000000121072,1156798.599999999860302,1217239.500000000232831,1112142.159999999683350,1166696.940000000176951,1137856.840000000083819,10494239.689999999478459
20170314,1215203.690000000176951,1127779.059999999823049,1246502.800000000046566,1121802.199999999953434,1158520.949999999953434,1209677.050000000279397,1106986.359999999869615,1158814.840000000083819,1132993.959999999962747,10478281.910000000149012
20170315,1215067.710000000195578,1123361.020000000018626,1265241.810000000055879,1125811.399999999906868,1159246.149999999906868,1215205.900000000139698,1112829.599999999860302,1177457.720000000204891,1145657.709999999962747,10539880.019999999552965
20170316,1211532.230000000214204,1121754.459999999729916,1260336.310000000055879,1129286.040000000037253,1160152.649999999906868,1209549.950000000186265,1110939.139999999897555,1174167.800000000279397,1138160.770000000018626,10515880.349999999627471
20170317,1224518.320000000065193,1122256.510000000009313,1256411.909999999916181,1123405.880000000121072,1166135.549999999813735,1222577.700000000186265,1114891.919999999925494,1163201.399999999906868,1149406.179999999934807,10542806.369999999180436
20170320,1219691.030000000027940,1131795.459999999729916,1256510.020000000018626,1127415.080000000074506,1167404.649999999906868,1226708.450000000186265,1115923.080000000074506,1151549.600000000093132,1150014.040000000037253,10547012.410000000149012
20170321,1196370.460000000195578,1122156.099999999860302,1248465.000000000000000,1135968.040000000037253,1165047.750000000000000,1221116.050000000046566,1103549.159999999683350,1149493.399999999906868,1136337.189999999944121,10478504.149999998509884
20170322,1203305.440000000176951,1125469.629999999888241,1238752.110000000102445,1132760.680000000167638,1170305.449999999953434,1221688.000000000232831,1117641.679999999934807,1144901.220000000204891,1134007.060000000055879,10488832.270000001415610
20170323,1205209.160000000149012,1127076.189999999711290,1235220.150000000139698,1127147.800000000046566,1169398.949999999953434,1221179.600000000093132,1114891.919999999925494,1132975.260000000009313,1133095.270000000018626,10466195.299999998882413
20170324,1195418.600000000093132,1126072.089999999850988,1231099.530000000027940,1125811.399999999906868,1172481.050000000046566,1217175.950000000186265,1116782.379999999888241,1130987.600000000093132,1132690.030000000027940,10448519.629999998956919
20170327,1197322.320000000065193,1128481.929999999701977,1234239.050000000046566,1131157.000000000000000,1173840.800000000046566,1210312.550000000279397,1118844.699999999720603,1128246.000000000000000,1132993.959999999962747,10455439.309999998658895
20170328,1205889.060000000288710,1135209.399999999906868,1232865.510000000009313,1134097.080000000074506,1173478.199999999953434,1213871.350000000093132,1122110.040000000037253,1133386.500000000000000,1142213.169999999925494,10493121.310000000521541
20170329,1207724.790000000037253,1129988.079999999841675,1225605.370000000111759,1133829.800000000046566,1167948.550000000046566,1211901.300000000279397,1125203.519999999785796,1120295.360000000102445,1135324.090000000083819,10457821.859999999403954
20170330,1210104.440000000176951,1136514.729999999981374,1223054.510000000009313,1138640.840000000083819,1172299.750000000000000,1215714.300000000046566,1129328.159999999683350,1130919.060000000055879,1139275.179999999934807,10495851.969999998807907
20170331,1202489.560000000288710,1138623.339999999850988,1221975.300000000046566,1134364.359999999869615,1174928.600000000093132,1216032.050000000279397,1131906.059999999823049,1124202.140000000130385,1136843.739999999990687,10481366.150000000372529
20170403,1201061.770000000251457,1136715.549999999813735,1223348.840000000083819,1133562.520000000018626,1174928.600000000093132,1212155.500000000232831,1126578.399999999906868,1135031.460000000195578,1134007.060000000055879,10477390.700000001117587
20170404,1214999.719999999972060,1135108.989999999990687,1223250.729999999981374,1140779.080000000074506,1172027.799999999813735,1208787.350000000093132,1129671.879999999888241,1130781.979999999981374,1144745.919999999925494,10500154.449999999254942
20170405,1203985.340000000316650,1134707.349999999860302,1224428.050000000046566,1137839.000000000000000,1182180.599999999860302,1209105.100000000093132,1126750.260000000009313,1133523.580000000074506,1139781.729999999981374,10492302.009999999776483
20170406,1205957.050000000279397,1135209.399999999906868,1226880.800000000046566,1140511.800000000046566,1179823.699999999953434,1206880.850000000093132,1129671.879999999888241,1133317.960000000195578,1138869.939999999944121,10497124.379999998956919
20170407,1216019.570000000065193,1130490.129999999888241,1225605.370000000111759,1138908.120000000111759,1178101.350000000093132,1207516.350000000093132,1128812.580000000074506,1137978.680000000167638,1144745.919999999925494,10508179.070000000298023
20170410,1207248.860000000102445,1128983.979999999981374,1219914.989999999990687,1141046.359999999869615,1178282.649999999906868,1205736.950000000186265,1126234.679999999934807,1134277.520000000018626,1143631.510000000009313,10485358.500000000000000
20170411,1214115.850000000093132,1135410.219999999739230,1218737.669999999925494,1140244.520000000018626,1189341.949999999953434,1208024.750000000000000,1125375.379999999888241,1136676.420000000158325,1146265.570000000065193,10514193.330000000074506
20170412,1196982.370000000344589,1135108.989999999990687,1230314.650000000139698,1147728.359999999869615,1189885.849999999860302,1205673.400000000139698,1121078.879999999888241,1134825.840000000083819,1137147.669999999925494,10498747.010000001639128
20170413,1194058.800000000279397,1136715.549999999813735,1226292.139999999897555,1143719.159999999916181,1185353.349999999860302,1199000.650000000139698,1116266.799999999813735,1130713.440000000176951,1135628.020000000018626,10467748.910000000149012
20170417,1217175.400000000139698,1142539.329999999841675,1233454.169999999925494,1151203.000000000000000,1190701.699999999953434,1209867.700000000186265,1125375.379999999888241,1145929.320000000065193,1147582.599999999860302,10563829.599999999627471
20170418,1209220.570000000065193,1146656.139999999897555,1195191.270000000018626,1162161.479999999981374,1199313.449999999953434,1208978.000000000232831,1123828.639999999897555,1155593.460000000195578,1150520.590000000083819,10551464.599999999627471
20170419,1212960.020000000251457,1142037.279999999795109,1190776.320000000065193,1155479.479999999981374,1202395.549999999813735,1206499.550000000279397,1117813.540000000037253,1160117.100000000093132,1144036.750000000000000,10532116.589999999850988
20170420,1219079.120000000344589,1152680.739999999990687,1195681.820000000065193,1151737.560000000055879,1208106.500000000000000,1214951.700000000186265,1125719.099999999860302,1175812.760000000009313,1154370.369999999878928,10598140.669999999925494
20170421,1226422.040000000037253,1149166.389999999897555,1194602.610000000102445,1151203.000000000000000,1209375.599999999860302,1217112.400000000139698,1141186.500000000000000,1173208.239999999990687,1165007.919999999925494,10627285.699999999254942
