代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626352.449999999254942
真實報酬,1626352.449999999254942

夏普值報酬,0.153935245000000
夏普值風險,0.045611118869851
夏普值,3.374949986191863

預期報酬,12990.830277372717319
風險,98161.818455423810519
趨勢值,0.132340970061307
找到最佳解世代,1851
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),CSCO[4](5),DD[7](2),JNJ[12](16),MCD[15](17),MRK[17](4),
Stock#,CAT[3](1),CSCO[4](5),DD[7](2),JNJ[12](16),MCD[15](17),MRK[17](4),
張數,19700,78431,29959,17606,17116,33447,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.000000000000000,7.250000000000000,46.829999999841675,82.040000000037253,81.079999999841675,1.989999999990687,
20131202,1659771.000000000000000,1654117.040000000037253,1705912.289999999804422,1659975.719999999972060,1651946.239999999990687,1678372.449999999953434,10010098.740000000223517
20131203,1652285.000000000000000,1667450.310000000055879,1651986.089999999850988,1654517.860000000102445,1649721.159999999683350,1664324.709999999962747,9940289.129999998956919
20131204,1654255.000000000000000,1666666.000000000000000,1659176.250000000000000,1648531.820000000065193,1638253.439999999711290,1649273.560000000055879,9916160.070000000298023
20131205,1662923.000000000000000,1639999.459999999962747,1647192.649999999674037,1636911.860000000102445,1633460.959999999962747,1632550.060000000055879,9853041.990000000223517
20131206,1684396.000000000000000,1669018.930000000167638,1675354.109999999869615,1662792.679999999934807,1656909.879999999888241,1651949.320000000065193,10000424.919999999925494
20131209,1696019.000000000000000,1664313.069999999832362,1740664.729999999981374,1662792.679999999934807,1638424.599999999860302,1657635.310000000055879,10059853.390000000596046
20131210,1702520.000000000000000,1663528.760000000009313,1782607.329999999841675,1657510.880000000121072,1633460.959999999962747,1653287.199999999953434,10092919.129999998956919
20131211,1680062.000000000000000,1637646.530000000027940,1751449.969999999972060,1639376.699999999953434,1630551.239999999990687,1637232.640000000130385,9976323.080000000074506
20131212,1685774.999999999767169,1608627.060000000055879,1739166.779999999795109,1605045.000000000000000,1610696.679999999701977,1616161.030000000027940,9865475.549999998882413
20131213,1695231.000000000000000,1587450.689999999944121,1771522.500000000000000,1608390.139999999897555,1616516.119999999878928,1618167.850000000093132,9897282.299999998882413
20131216,1721432.000000000000000,1621960.330000000074506,1774817.989999999990687,1608742.260000000009313,1633803.279999999795109,1608468.220000000204891,9969228.080000000074506
20131217,1712370.000000000000000,1640783.770000000018626,1800582.729999999981374,1596242.000000000000000,1615489.159999999683350,1602113.290000000037253,9967584.949999999254942
20131218,1736995.000000000000000,1647058.250000000000000,1856306.469999999972060,1631101.880000000121072,1642018.959999999962747,1635560.290000000037253,10149044.849999997764826
20131219,1724584.000000000232831,1652548.419999999925494,1873083.510000000009313,1619481.920000000158325,1628497.319999999832362,1631881.119999999878928,10130080.289999999105930
20131220,1751967.000000000232831,1657254.280000000027940,1867990.479999999981374,1621418.580000000074506,1651946.239999999990687,1649608.030000000027940,10200188.609999999403954
20131223,1772257.999999999767169,1691763.919999999925494,1872184.739999999990687,1620362.219999999972060,1648351.879999999888241,1650945.909999999916181,10255870.669999999925494
20131224,1790973.000000000000000,1701175.640000000130385,1895253.169999999692664,1620890.400000000139698,1652459.719999999972060,1652618.259999999776483,10313374.189999999478459
20131226,1795701.000000000000000,1709803.050000000046566,1913827.750000000000000,1629341.280000000260770,1657594.519999999785796,1662986.829999999841675,10369258.429999999701977
20131227,1790185.000000000000000,1727057.869999999878928,1902742.919999999692664,1625996.139999999897555,1658792.639999999897555,1665328.119999999878928,10370106.689999999478459
20131230,1790185.000000000000000,1745097.000000000000000,1902742.919999999692664,1625115.840000000083819,1660504.239999999990687,1670345.169999999925494,10393994.169999999925494
20131231,1789003.000000000000000,1759214.580000000074506,1894354.399999999674037,1612615.580000000074506,1660846.559999999823049,1674024.339999999850988,10390062.459999999031425
20140102,1770485.000000000000000,1725489.250000000000000,1871585.559999999823049,1602756.219999999972060,1650234.639999999897555,1655294.020000000018626,10275848.689999999478459
20140103,1769499.999999999767169,1723920.630000000121072,1863197.039999999804422,1617193.139999999897555,1652459.719999999972060,1663321.299999999813735,10289595.829999998211861
20140106,1746254.000000000000000,1726273.560000000055879,1859901.549999999813735,1625644.020000000018626,1640649.679999999701977,1663655.770000000018626,10262382.579999998211861
20140107,1751967.000000000232831,1749802.859999999869615,1839229.839999999850988,1660151.780000000260770,1649721.159999999683350,1676031.159999999916181,10326907.800000000745058
20140108,1756104.000000000000000,1748234.239999999990687,1841326.969999999972060,1657863.000000000000000,1633118.639999999897555,1665328.119999999878928,10301978.969999998807907
20140109,1767332.999999999767169,1732548.040000000037253,1817659.359999999869615,1667898.420000000158325,1633974.439999999711290,1656297.430000000167638,10275714.689999999478459
20140110,1783093.000000000000000,1742744.069999999832362,1822153.209999999962747,1668074.479999999981374,1639793.879999999888241,1668338.350000000093132,10324200.990000000223517
