代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12407523.719999998807907
真實報酬,2407523.719999998807907

夏普值報酬,0.232052372000000
夏普值風險,0.056624057158398
夏普值,4.098123370970492

預期報酬,16484.511024794133846
風險,284920.459524046105798
趨勢值,0.057856536706178
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,46737,101173,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,75.740000000223517,30.339999999850988,
20150501,5120114.089999999850988,5098137.809999999590218,10218251.899999998509884
20150504,5143949.959999999962747,5101173.000000000000000,10245122.960000000894070
20150505,5050475.959999999962747,5079926.669999999925494,10130402.629999998956919
20150506,5062160.209999999962747,5069809.370000000111759,10131969.580000000074506
20150507,5143015.220000000670552,5132536.629999999888241,10275551.850000001490116
20150508,5256586.129999999888241,5182111.399999999441206,10438697.529999999329448
20150511,5229946.040000000037253,5200322.540000000037253,10430268.580000000074506
20150512,5258922.980000000447035,5179076.209999999962747,10437999.190000001341105
20150513,5196762.770000000484288,5167947.179999999701977,10364709.949999999254942
20150514,5231815.520000000484288,5232697.899999999441206,10464513.419999999925494
20150515,5297714.690000000409782,5310601.110000000335276,10608315.800000000745058
20150518,5343516.950000000186265,5299472.080000000074506,10642989.030000001192093
20150519,5250510.320000000298023,5293401.700000000186265,10543912.019999999552965
20150520,5239293.440000000409782,5292389.969999999739230,10531683.410000000149012
20150521,5235087.110000000335276,5281260.940000000409782,10516348.050000000745058
20150522,5242097.660000000149012,5283284.399999999441206,10525382.059999998658895
20150526,5184611.150000000372529,5231686.169999999925494,10416297.320000000298023
20150527,5242097.660000000149012,5202346.000000000000000,10444443.660000000149012
20150528,5243499.770000000484288,5175029.290000000037253,10418529.060000000521541
20150529,5207512.280000000260770,5143665.660000000149012,10351177.940000001341105
20150601,5219196.530000000260770,5147712.580000000074506,10366909.109999999403954
20150602,5215457.570000000298023,5165923.719999999739230,10381381.289999999105930
20150603,5288834.660000000149012,5186158.319999999366701,10474992.980000000447035
20150604,5209381.759999999776483,5157829.879999999888241,10367211.640000000596046
20150605,5158438.430000000633299,5161876.799999999813735,10320315.230000000447035
20150608,5137874.150000000372529,5131524.899999999441206,10269399.050000000745058
20150609,5119179.350000000558794,5127477.979999999515712,10246657.330000000074506
20150610,5186948.000000000000000,5227639.250000000000000,10414587.250000000000000
20150611,5201436.470000000670552,5254955.959999999962747,10456392.429999999701977
20150612,5169187.940000000409782,5249897.309999999590218,10419085.250000000000000
20150615,5141613.110000000335276,5228650.979999999515712,10370264.089999999850988
20150616,5151895.250000000000000,5289354.780000000260770,10441250.030000001192093
20150617,5163112.129999999888241,5299472.080000000074506,10462584.210000000894070
20150618,5227609.190000000409782,5362199.339999999850988,10589808.530000001192093
20150619,5254716.650000000372529,5389516.049999999813735,10644232.699999999254942
20150622,5284628.330000000074506,5402668.540000000037253,10687296.870000001043081
20150623,5289769.400000000372529,5422903.139999999664724,10712672.539999999105930
20150624,5250977.690000000409782,5373328.370000000111759,10624306.060000000521541
20150625,5245836.620000000111759,5322741.870000000111759,10568578.490000000223517
20150626,5262661.940000000409782,5550381.120000000111759,10813043.060000000521541
20150629,5166383.720000000670552,5447184.660000000149012,10613568.380000000819564
20150630,5193958.549999999813735,5464384.069999999366701,10658342.619999999180436
20150701,5237891.330000000074506,5536216.899999999441206,10774108.230000000447035
20150702,5210783.870000000111759,5558474.959999999962747,10769258.830000000074506
20150706,5202838.580000000074506,5556451.500000000000000,10759290.080000000074506
20150707,5253314.540000000037253,5630307.790000000037253,10883622.330000000074506
20150708,5187882.740000000223517,5528123.059999999590218,10716005.800000000745058
20150709,5205642.799999999813735,5536216.899999999441206,10741859.699999999254942
20150710,5286030.440000000409782,5590850.319999999366701,10876880.759999999776483
20150713,5370157.040000000037253,5686964.669999999925494,11057121.710000000894070
20150714,5391656.060000000521541,5682917.750000000000000,11074573.810000000521541
20150715,5401938.200000000186265,5660659.690000000409782,11062597.890000000596046
20150716,5362211.750000000000000,5682917.750000000000000,11045129.500000000000000
20150717,5350060.129999999888241,5706187.540000000037253,11056247.669999999925494
20150720,5300518.910000000149012,5723386.950000000186265,11023905.859999999403954
20150721,5321550.560000000521541,5716304.839999999850988,11037855.400000000372529
20150722,5370157.040000000037253,5771949.989999999292195,11142107.029999999329448
20150723,5355668.570000000298023,5766891.339999999850988,11122559.910000000149012
20150724,5308931.570000000298023,5716304.839999999850988,11025236.410000000149012
20150727,5284628.330000000074506,5652565.849999999627471,10937194.179999999701977
20150728,5367352.820000000298023,5740586.360000000335276,11107939.179999999701977
20150729,5438860.430000000633299,5813430.919999999925494,11252291.350000001490116
20150730,5443066.759999999776483,5818489.569999999366701,11261556.329999998211861
20150731,5469706.850000000558794,5828606.870000000111759,11298313.720000000670552
20150803,5463163.669999999925494,5809384.000000000000000,11272547.669999999925494
20150804,5493075.350000000558794,5856935.309999999590218,11350010.660000000149012
20150805,5515041.740000000223517,5906510.080000000074506,11421551.820000000298023
20150806,5447740.459999999962747,5823548.219999999739230,11271288.679999999701977
20150807,5465033.150000000372529,5793196.319999999366701,11258229.469999998807907
20150810,5496346.940000000409782,5835688.979999999515712,11332035.919999999925494
20150811,5500553.270000000484288,5790161.129999999888241,11290714.400000000372529
20150812,5500553.270000000484288,5719340.030000000260770,11219893.300000000745058
20150813,5562713.480000000447035,5746656.739999999292195,11309370.219999998807907
20150814,5596831.490000000223517,5785102.479999999515712,11381933.969999998807907
20150817,5594494.640000000596046,5816466.110000000335276,11410960.750000000000000
20150818,5739379.339999999850988,5808372.269999999552965,11547751.609999999403954
20150819,5737509.860000000335276,5815454.379999999888241,11552964.240000000223517
20150820,5633753.720000000670552,5680894.290000000037253,11314648.010000001639128
20150821,5429045.660000000149012,5406715.459999999962747,10835761.120000001043081
20150824,5259857.720000000670552,5254955.959999999962747,10514813.679999999701977
20150825,5186480.629999999888241,5237756.549999999813735,10424237.179999999701977
20150826,5418296.150000000372529,5501818.080000000074506,10920114.230000000447035
20150827,5499151.160000000149012,5697081.969999999739230,11196233.129999998956919
20150828,5492607.980000000447035,5691011.589999999850988,11183619.570000000298023
20150831,5443066.759999999776483,5653577.580000000074506,11096644.339999999850988
20150901,5284628.330000000074506,5495747.700000000186265,10780376.030000001192093
20150902,5444001.500000000000000,5599955.889999999664724,11043957.390000000596046
20150903,5449609.940000000409782,5608049.729999999515712,11057659.669999999925494
20150904,5347723.280000000260770,5549369.389999999664724,10897092.669999999925494
20150908,5441664.650000000372529,5653577.580000000074506,11095242.230000000447035
