代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12680773.820000000298023
真實報酬,2680773.820000000298023

夏普值報酬,0.259377382000000
夏普值風險,0.061848916293780
夏普值,4.193725574235862

預期報酬,19091.800554857571115
風險,191369.609767604939407
趨勢值,0.099764014662737
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),HD[9](4),INTC[11](6),NKE[19](8),
20140710,2556471.229999999515712,2474137.199999999720603,2860541.520000000018626,2518850.580000000074506,10410000.529999999329448
20140711,2578058.570000000298023,2480680.799999999813735,2859626.439999999944121,2512350.379999999888241,10430716.190000001341105
20140714,2612473.169999999925494,2476006.799999999348074,2881588.359999999869615,2533801.040000000037253,10503869.369999997317791
20140715,2646418.479999999515712,2488470.799999999813735,2901720.120000000111759,2536401.120000000111759,10573010.519999999552965
20140716,2666754.379999999888241,2482238.799999999813735,3170753.639999999664724,2500000.000000000000000,10819746.820000000298023
20140717,2661592.189999999944121,2478811.199999999720603,3083821.040000000037253,2487649.620000000111759,10711874.050000000745058
20140718,2682397.379999999888241,2495325.999999999534339,3083821.040000000037253,2519500.600000000093132,10781045.019999999552965
20140721,2686308.129999999888241,2483796.799999999348074,3116763.919999999925494,2496749.899999999906868,10783618.750000000000000
20140722,2737930.030000000260770,2509659.600000000093132,3183564.759999999776483,2503900.120000000111759,10935054.510000001639128
20140723,2766087.429999999701977,2524616.399999999441206,3157027.439999999944121,2514950.459999999962747,10962681.730000000447035
20140724,2757327.349999999627471,2530225.199999999720603,3134150.439999999944121,2554601.679999999701977,10976304.669999998062849
20140725,2743874.370000000111759,2524927.999999999534339,3134150.439999999944121,2526000.799999999813735,10928953.609999999403954
20140728,2752478.019999999552965,2526174.399999999441206,3132320.279999999795109,2548101.480000000447035,10959074.179999999701977
20140729,2746064.389999999664724,2523370.000000000000000,3128659.959999999962747,2538351.179999999701977,10936445.529999999329448
20140730,2749505.849999999627471,2547674.799999999813735,3143301.240000000223517,2587752.700000000186265,11028234.589999999850988
20140731,2704297.580000000074506,2519319.199999999720603,3101207.560000000055879,2507150.220000000204891,10831974.560000000521541
20140801,2663312.919999999925494,2485043.199999999720603,3087481.360000000335276,2495449.860000000335276,10731287.339999999850988
20140804,2685838.839999999850988,2493767.999999999534339,3115848.839999999850988,2507800.239999999757856,10803255.919999999925494
20140805,2650329.229999999515712,2493767.999999999534339,3003294.000000000000000,2500000.000000000000000,10647391.229999998584390
20140806,2655334.990000000223517,2509036.399999999441206,3006039.240000000223517,2507150.220000000204891,10677560.849999999627471
20140807,2645323.469999999739230,2507478.399999999906868,2990482.879999999888241,2481149.420000000391155,10624434.169999999925494
20140808,2694755.349999999627471,2568552.000000000000000,2983162.240000000223517,2504550.140000000130385,10751019.730000000447035
20140811,2697883.950000000186265,2582573.999999999534339,3021595.600000000093132,2504550.140000000130385,10806603.689999999478459
20140812,2695850.360000000335276,2583820.399999999906868,3031661.479999999981374,2494149.819999999832362,10805482.060000000521541
20140813,2696476.080000000074506,2590052.399999999906868,3120424.240000000223517,2511050.340000000316650,10918003.060000000521541
20140814,2702107.559999999590218,2613110.799999999813735,3105782.959999999962747,2512350.379999999888241,10933351.699999999254942
20140815,2689123.870000000111759,2607813.599999999627471,3126829.800000000279397,2507150.220000000204891,10930917.490000000223517
20140818,2730577.820000000298023,2604697.599999999627471,3148791.719999999739230,2553301.640000000130385,11037368.780000001192093
20140819,2721348.450000000186265,2749280.000000000000000,3142386.160000000149012,2552001.600000000093132,11165016.209999999031425
20140820,2722443.459999999962747,2827803.199999999720603,3157027.439999999944121,2565002.000000000000000,11272276.099999999627471
20140821,2739963.620000000111759,2840267.199999999720603,3216507.639999999664724,2565652.020000000018626,11362390.480000000447035
20140822,2744969.379999999888241,2836527.999999999534339,3197290.959999999962747,2577352.379999999888241,11356140.719999998807907
20140825,2782512.580000000074506,2841825.199999999720603,3185394.919999999925494,2600753.100000000093132,11410485.799999998882413
20140826,2782981.870000000111759,2855223.999999999534339,3184479.839999999850988,2583202.560000000055879,11405888.269999999552965
20140827,2781574.000000000000000,2862702.399999999906868,3183564.759999999776483,2591002.799999999813735,11418843.960000000894070
20140828,2779071.120000000111759,2882644.799999999813735,3170753.639999999664724,2561751.899999999906868,11394221.459999999031425
20140829,2801909.899999999906868,2913493.199999999720603,3195460.800000000279397,2553301.640000000130385,11464165.540000000968575
20140902,2812234.280000000260770,2840267.199999999720603,3163433.000000000000000,2576702.360000000335276,11392636.839999999850988
20140903,2809574.969999999739230,2773273.199999999720603,3163433.000000000000000,2561751.899999999906868,11308033.070000000298023
20140904,2817083.610000000335276,2802252.000000000000000,3194545.719999999739230,2597503.000000000000000,11411384.330000000074506
20140905,2811921.419999999925494,2854600.799999999813735,3202781.439999999944121,2666405.120000000111759,11535708.780000001192093
20140908,2817552.899999999906868,2829984.399999999441206,3232979.079999999608845,2678105.480000000447035,11558621.859999999403954
20140909,2775160.370000000111759,2771092.000000000000000,3194545.719999999739230,2659904.920000000391155,11400703.009999999776483
20140910,2813798.580000000074506,2781063.199999999720603,3204611.600000000093132,2680705.560000000055879,11480178.939999999478459
20140911,2831475.169999999925494,2780128.399999999906868,3204611.600000000093132,2659254.899999999906868,11475470.070000000298023
20140912,2865420.479999999515712,2768287.599999999627471,3168008.399999999906868,2659904.920000000391155,11461621.399999998509884
20140915,2878091.309999999590218,2785113.999999999534339,3160687.759999999776483,2652754.700000000186265,11476647.769999999552965
20140916,2879029.889999999664724,2812846.399999999441206,3196375.879999999888241,2639104.280000000260770,11527356.449999999254942
20140917,2891231.429999999701977,2842448.399999999906868,3200951.279999999795109,2649504.600000000093132,11584135.709999999031425
20140918,2939255.439999999944121,2869557.599999999627471,3218337.800000000279397,2664455.060000000055879,11691605.900000000372529
20140919,2912818.769999999552965,2877347.599999999627471,3186310.000000000000000,2659254.899999999906868,11635731.269999999552965
20140922,2898583.639999999664724,2863325.599999999627471,3176244.120000000111759,2622853.780000000260770,11561007.140000000596046
20140923,2895455.040000000037253,2850861.599999999627471,3149706.800000000279397,2604003.200000000186265,11500026.640000000596046
20140924,2938004.000000000000000,2898536.399999999441206,3179904.439999999944121,2627403.920000000391155,11643848.759999999776483
20140925,2879812.040000000037253,2863637.199999999720603,3124084.560000000055879,2592302.840000000316650,11459836.640000000596046
20140926,2895924.330000000074506,2892927.599999999627471,3135065.519999999552965,2908862.580000000074506,11832780.029999999329448
20140929,2875744.860000000335276,2894173.999999999534339,3193630.639999999664724,2896512.200000000186265,11860061.699999999254942
20140930,2871677.679999999701977,2858651.599999999627471,3186310.000000000000000,2899112.280000000260770,11815751.559999998658895
20141001,2826782.269999999552965,2836216.399999999441206,3110358.360000000335276,2850360.780000000260770,11623717.809999998658895
20141002,2860884.009999999776483,2874231.599999999627471,3067349.600000000093132,2902362.379999999888241,11704827.589999999850988
20141003,2942071.179999999701977,2914739.600000000093132,3114018.680000000167638,2934863.379999999888241,11905692.839999999850988
20141006,2932841.809999999590218,2906014.799999999813735,3121339.319999999832362,2899762.299999999813735,11859958.230000000447035
20141007,2875275.570000000298023,2881398.399999999906868,3062774.199999999720603,2862711.160000000149012,11682159.330000000074506
20141008,2919701.689999999944121,2931877.599999999627471,3135980.600000000093132,2887411.920000000391155,11874971.809999998658895
20141009,2835698.780000000260770,2900094.399999999441206,3076500.399999999906868,2835410.319999999832362,11647703.900000000372529
20141010,2821776.509999999776483,2883891.199999999720603,2920021.719999999739230,2834110.280000000260770,11459799.710000000894070
20141013,2796591.280000000260770,2823129.199999999720603,2879758.199999999720603,2775608.480000000447035,11275087.160000000149012
20141014,2795496.269999999552965,2807549.199999999720603,2941068.560000000055879,2765858.179999999701977,11309972.209999999031425
20141015,2772657.490000000223517,2737439.199999999720603,2862371.680000000167638,2768458.260000000242144,11140926.629999998956919
20141016,2699761.110000000335276,2769533.999999999534339,2823023.240000000223517,2828910.120000000111759,11121228.469999998807907
20141017,2767495.299999999813735,2811911.599999999627471,2871522.479999999981374,2833460.260000000242144,11284389.639999998733401
20141020,2782043.290000000037253,2862079.199999999720603,2889824.079999999608845,2889361.980000000447035,11423308.550000000745058
20141021,2818647.910000000149012,2935305.199999999720603,2984077.319999999832362,2945913.720000000204891,11683944.150000000372529
20141022,2766243.860000000335276,2908507.599999999627471,2952964.600000000093132,2920562.939999999944121,11548279.000000000000000
20141023,2816770.750000000000000,2954001.199999999720603,2991397.959999999962747,2937463.459999999962747,11699633.370000001043081
20141024,2868236.219999999739230,2959921.599999999627471,3036236.879999999888241,2954363.980000000447035,11818758.679999999701977
20141027,2876996.299999999813735,2974878.399999999906868,3038067.040000000037253,2978414.720000000204891,11868356.459999999031425
20141028,2914695.929999999701977,3009777.599999999627471,3087481.360000000335276,3005065.540000000037253,12017020.429999999701977
20141029,2910941.610000000335276,3004480.399999999906868,3103952.800000000279397,2988815.040000000037253,12008189.850000001490116
20141030,2924863.879999999888241,3038756.399999999441206,2981332.079999999608845,3022616.080000000074506,11967568.439999999478459
20141031,2972105.740000000223517,3038756.399999999441206,3112188.519999999552965,3021966.060000000055879,12145016.720000000670552
20141103,2985245.860000000335276,2994197.599999999627471,3139640.919999999925494,3037566.540000000037253,12156650.919999998062849
20141104,2976485.780000000260770,2990146.799999999348074,3160687.759999999776483,3053817.040000000037253,12181137.379999998956919
20141105,2969759.290000000037253,2984537.999999999534339,3089311.519999999552965,3077217.760000000242144,12120826.569999998435378
20141106,2987905.169999999925494,3031589.600000000093132,3094802.000000000000000,3074617.679999999701977,12188914.449999999254942
20141107,2983368.700000000186265,3042807.199999999720603,3072840.079999999608845,3047966.860000000335276,12146982.839999999850988
20141110,3000419.570000000298023,3058698.799999999813735,3043557.519999999552965,3086318.040000000037253,12188993.929999999701977
20141111,3001671.009999999776483,3058075.599999999627471,3048132.919999999925494,3083717.959999999962747,12191597.489999998360872
20141112,2975077.910000000149012,3068981.599999999627471,3054538.479999999981374,3114268.899999999906868,12212866.890000000596046
20141113,2976016.490000000223517,3084873.199999999720603,3081990.879999999888241,3124019.200000000186265,12266899.769999999552965
20141114,2971949.309999999590218,3061191.599999999627471,3106698.040000000037253,3103868.580000000074506,12243707.529999999329448
20141117,2971167.160000000149012,3054647.999999999534339,3133235.360000000335276,3122069.140000000130385,12281119.660000000149012
20141118,2966630.689999999944121,2990770.000000000000000,3176244.120000000111759,3135719.560000000055879,12269364.369999999180436
20141119,2959591.339999999850988,3013205.199999999720603,3143301.240000000223517,3151320.040000000037253,12267417.820000000298023
20141120,2968351.419999999925494,3040314.399999999441206,3289714.040000000037253,3162370.379999999888241,12460750.239999998360872
20141121,2965848.540000000037253,3062437.999999999534339,3256771.160000000149012,3166270.500000000000000,12451328.199999999254942
20141124,2973357.179999999701977,3066177.199999999720603,3317166.439999999944121,3183821.040000000037253,12540521.859999999403954
20141125,2954429.149999999906868,3022864.799999999813735,3323572.000000000000000,3162370.379999999888241,12463236.329999998211861
20141126,2949110.530000000260770,3044365.199999999720603,3376646.639999999664724,3178620.879999999888241,12548743.250000000000000
20141128,2947389.799999999813735,3097337.199999999720603,3408674.439999999944121,3227372.379999999888241,12680773.820000000298023
