代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11894303.329999998211861
真實報酬,1894303.329999998211861

夏普值報酬,0.180730333000000
夏普值風險,0.051110977589408
夏普值,3.536037491825476

預期報酬,14796.600551060513681
風險,119774.232279170450056
趨勢值,0.123537427621097
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](23),HD[9](4),TRV[22](1),V[25](2),
Stock#,BA[2](23),HD[9](4),TRV[22](1),V[25](2),
張數,33824,47911,39904,77471,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,68.160000000149012,4.020000000018626,14.399999999906868,10.829999999608845,
20120801,2461440.640000000130385,2476044.500000000000000,2527932.799999999813735,2469011.599999999627471,9934429.539999999105930
20120802,2435057.919999999925494,2462150.310000000055879,2508778.879999999888241,2503873.549999999813735,9909860.660000000149012
20120803,2462793.600000000093132,2505270.209999999962747,2542298.239999999757856,2536411.369999999646097,10046773.419999999925494
20120806,2465499.520000000018626,2491376.020000000018626,2534716.479999999981374,2537960.789999999571592,10029552.809999998658895
20120807,2518603.199999999720603,2510540.419999999925494,2528730.879999999888241,2525565.429999999701977,10083439.929999999701977
20120808,2523338.560000000055879,2529225.709999999962747,2546288.640000000130385,2540284.919999999459833,10139137.830000000074506
20120809,2512514.880000000353903,2546473.669999999925494,2549480.959999999962747,2489154.059999999590218,10097623.570000000298023
20120810,2510147.199999999720603,2542161.680000000167638,2553072.319999999832362,2500000.000000000000000,10105381.199999999254942
20120813,2509470.720000000204891,2530663.040000000037253,2543096.319999999832362,2485280.509999999310821,10068510.589999999850988
20120814,2496617.600000000093132,2621214.830000000074506,2535514.560000000055879,2515494.199999999720603,10168841.189999999478459
20120815,2471587.839999999850988,2635109.020000000018626,2543894.399999999906868,2500000.000000000000000,10150591.259999999776483
20120816,2490867.520000000018626,2697872.430000000167638,2555067.520000000018626,2511620.649999999906868,10255428.120000001043081
20120817,2500000.000000000000000,2717995.049999999813735,2598961.919999999925494,2492252.899999999906868,10309209.869999999180436
20120820,2497294.080000000074506,2710329.290000000037253,2619312.959999999962747,2482181.669999999459833,10309118.000000000000000
20120821,2478352.640000000130385,2698351.540000000037253,2602952.320000000298023,2469786.309999999590218,10249442.809999998658895
20120822,2462455.359999999869615,2713683.060000000055879,2611731.200000000186265,2481406.959999999497086,10269276.580000000074506
20120823,2379924.800000000279397,2709371.069999999832362,2585793.599999999627471,2462813.919999999459833,10137903.389999998733401
20120824,2404616.320000000298023,2729014.580000000074506,2609736.000000000000000,2453517.399999999906868,10196884.300000000745058
20120827,2414425.279999999795109,2715120.390000000130385,2600957.120000000111759,2472885.149999999906868,10203387.939999999478459
20120828,2419160.640000000130385,2708412.850000000093132,2587389.760000000242144,2467462.179999999701977,10182425.429999999701977
20120829,2416454.720000000204891,2723265.260000000242144,2585793.599999999627471,2479857.539999999571592,10205371.119999999180436
20120830,2395483.839999999850988,2712724.839999999850988,2573423.359999999869615,2454292.109999999403954,10135924.149999998509884
20120831,2415101.760000000242144,2718953.270000000018626,2583399.359999999869615,2483731.089999999850988,10201185.480000000447035
20120904,2397175.040000000502914,2720869.709999999962747,2579408.959999999962747,2489154.059999999590218,10186607.769999999552965
20120905,2432690.240000000223517,2708891.959999999962747,2575019.520000000018626,2471335.729999999515712,10187937.449999999254942
20120906,2463131.839999999850988,2762073.169999999925494,2607341.760000000242144,2508521.809999999590218,10341068.579999998211861
20120907,2465499.520000000018626,2743387.879999999888241,2602154.239999999757856,2512395.359999999403954,10323437.000000000000000
20120910,2404278.080000000074506,2745304.319999999832362,2606144.640000000130385,2492252.899999999906868,10247979.940000001341105
20120911,2410704.640000000130385,2717515.939999999944121,2671587.200000000186265,2546482.599999999627471,10346290.379999998956919
20120912,2400219.199999999720603,2733326.569999999832362,2695130.560000000055879,2585218.099999999627471,10413894.429999999701977
20120913,2421190.080000000074506,2793215.319999999832362,2731443.200000000186265,2613882.369999999646097,10559730.970000000670552
20120914,2411042.880000000353903,2848792.080000000074506,2736630.719999999739230,2599937.589999999850988,10596403.269999999552965
20120917,2365042.240000000223517,2822441.029999999795109,2732640.320000000298023,2592965.199999999720603,10513088.789999999105930
20120918,2382968.960000000428408,2820045.479999999981374,2731842.239999999757856,2589091.649999999906868,10523948.330000000074506
20120919,2364365.760000000242144,2849271.189999999944121,2722664.320000000298023,2610783.529999999795109,10547084.800000000745058
20120920,2362674.560000000055879,2840168.100000000093132,2731443.200000000186265,2606909.979999999515712,10541195.839999999850988
20120921,2366733.439999999944121,2846875.640000000130385,2737827.839999999850988,2614657.079999999608845,10566094.000000000000000
20120924,2368762.880000000353903,2845438.310000000055879,2730246.080000000074506,2590641.069999999366701,10535088.339999999850988
20120925,2346777.279999999795109,2861248.939999999944121,2732640.320000000298023,2606135.269999999552965,10546801.809999998658895
20120926,2376204.160000000149012,2834897.890000000130385,2704707.520000000018626,2566625.059999999590218,10482434.629999998956919
20120927,2371130.560000000055879,2868914.700000000186265,2729847.039999999571592,2593739.909999999217689,10563632.209999997168779
20120928,2354218.560000000055879,2892391.089999999850988,2723861.439999999944121,2600712.299999999813735,10571183.390000000596046
20121001,2368086.400000000372529,2901973.290000000037253,2756183.679999999701977,2647969.609999999403954,10674212.980000000447035
20121002,2351850.880000000353903,2890474.649999999906868,2741419.200000000186265,2634024.829999999608845,10617769.560000000521541
20121003,2363012.800000000279397,2959466.490000000223517,2753789.439999999944121,2682831.559999999590218,10759100.289999999105930
20121004,2365718.720000000204891,2958029.160000000149012,2764563.520000000018626,2705298.149999999906868,10793609.550000000745058
20121005,2397851.520000000018626,3027979.220000000204891,2775736.640000000130385,2716918.799999999813735,10918486.179999999701977
20121008,2387027.839999999850988,2964736.700000000186265,2774938.560000000055879,2686705.109999999403954,10813408.209999999031425
20121009,2389395.520000000018626,2920179.470000000204891,2766159.679999999701977,2648744.319999999366701,10724478.989999998360872
20121010,2379248.320000000298023,2862207.160000000149012,2769352.000000000000000,2661139.679999999701977,10671947.160000000149012
20121011,2395822.080000000074506,2827232.129999999888241,2759775.039999999571592,2692902.789999999571592,10675732.039999999105930
20121012,2430322.560000000055879,2853583.180000000167638,2742217.279999999795109,2694452.209999999497086,10720575.229999998584390
20121015,2443852.160000000149012,2905806.169999999925494,2784914.560000000055879,2709171.699999999720603,10843744.589999999850988
20121016,2485455.680000000167638,2915867.479999999981374,2812847.359999999869615,2733962.419999999459833,10948132.939999999478459
20121017,2490529.279999999795109,2941260.310000000055879,2848361.919999999925494,2761077.269999999552965,11041228.779999999329448
20121018,2511838.400000000372529,2960903.819999999832362,2950516.159999999683350,2747907.199999999720603,11171165.580000000074506
20121019,2503382.400000000372529,2965215.810000000055879,2933357.439999999944121,2710721.119999999646097,11112676.769999999552965
20121022,2492896.960000000428408,2972402.459999999962747,2952511.359999999869615,2692128.079999999608845,11109938.859999999403954
20121023,2463131.839999999850988,2958508.270000000018626,2928169.919999999925494,2646420.189999999478459,10996230.219999998807907
20121024,2459411.199999999720603,2935990.100000000093132,2920189.120000000111759,2643321.349999999627471,10958911.769999999552965
20121025,2419837.120000000577420,2897661.299999999813735,2877890.879999999888241,2664238.519999999552965,10859627.820000000298023
20121026,2405292.800000000279397,2876580.459999999962747,2855544.640000000130385,2678958.009999999310821,10816375.910000000149012
20121031,2382630.720000000204891,2940781.200000000186265,2830804.159999999683350,2687479.819999999366701,10841695.899999998509884
20121101,2394469.120000000577420,2982942.879999999888241,2802472.320000000298023,2786642.699999999720603,10966527.019999999552965
20121102,2369439.359999999869615,2971444.240000000223517,2778130.879999999888241,2777346.179999999701977,10896360.660000000149012
20121105,2381616.000000000000000,2988692.200000000186265,2757779.839999999850988,2740934.809999999590218,10869022.849999999627471
20121106,2436072.640000000130385,3000190.839999999850988,2800078.080000000074506,2786642.699999999720603,11022984.259999999776483
20121107,2371468.800000000279397,2970006.910000000149012,2741818.239999999757856,2761077.269999999552965,10844371.220000000670552
20121108,2400895.680000000167638,2915867.479999999981374,2753390.399999999906868,2751780.750000000000000,10821934.310000000521541
20121109,2477676.160000000149012,2920658.580000000074506,2752592.320000000298023,2768049.659999999217689,10918976.719999998807907
20121112,2492558.720000000204891,2930240.779999999795109,2730645.120000000111759,2774247.339999999850988,10927691.960000000894070
20121113,2481396.800000000279397,3036603.200000000186265,2722664.320000000298023,2758753.139999999664724,10999417.460000000894070
20121114,2411381.120000000577420,2945093.189999999944121,2716279.679999999701977,2710721.119999999646097,10783475.109999999403954
20121115,2402925.120000000577420,2934552.770000000018626,2726255.679999999701977,2711495.829999999608845,10775229.400000000372529
20121116,2393792.640000000130385,2976235.339999999850988,2739424.000000000000000,2764176.109999999403954,10873628.089999999850988
20121119,2434043.199999999720603,3034207.649999999906868,2774938.560000000055879,2820729.939999999478459,11063919.349999999627471
20121120,2453661.120000000577420,3057684.040000000037253,2778928.959999999962747,2834674.719999999739230,11124948.839999999850988
20121121,2474293.760000000242144,3070620.010000000242144,2802073.279999999795109,2840872.399999999906868,11187859.450000001117587
20121123,2494249.919999999925494,3105595.039999999571592,2843972.479999999515712,2868761.959999999497086,11312579.399999996647239
20121126,2512176.640000000130385,3098408.390000000130385,2827611.839999999850988,2851718.339999999850988,11289915.210000000894070
20121127,2519617.919999999925494,3073973.779999999795109,2826414.719999999739230,2843196.529999999795109,11263202.949999997392297
20121128,2506088.320000000298023,3106074.149999999906868,2831602.239999999757856,2852493.049999999813735,11296257.760000001639128
20121129,2507103.040000000502914,3077806.659999999683350,2840381.120000000111759,2870311.379999999422580,11295602.199999999254942
20121130,2512514.880000000353903,3117572.789999999571592,2826015.679999999701977,2899750.359999999403954,11355853.709999999031425
20121203,2503720.640000000130385,3113260.800000000279397,2831203.200000000186265,2878833.189999999478459,11327017.830000000074506
20121204,2504735.359999999869615,3077806.659999999683350,2814443.520000000018626,2858690.729999999515712,11255676.269999999552965
20121205,2498647.040000000502914,3067266.239999999757856,2952910.399999999906868,2867987.250000000000000,11386810.929999999701977
20121206,2502367.680000000167638,3082597.760000000242144,2918992.000000000000000,2875734.349999999627471,11379691.790000000968575
