代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13029057.910000000149012
真實報酬,3029057.910000000149012

夏普值報酬,0.294205791000000
夏普值風險,0.071588516952738
夏普值,4.109678528390661

預期報酬,21024.947163152653957
風險,145789.604179768124595
趨勢值,0.144214309939600
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](4),VZ[26](3),WBA[27](6),
Stock#,PFE[20](4),VZ[26](3),WBA[27](6),
張數,92772,69925,53427,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.040000000037253,8.250000000000000,22.469999999739230,
20180601,3363020.040000000037253,3343122.500000000000000,3358443.689999999478459,10064587.230000000447035
20180604,3381574.440000000409782,3343821.750000000000000,3381951.569999999366701,10107348.759999999776483
20180605,3380646.719999999739230,3354310.500000000000000,3360046.500000000000000,10095004.719999998807907
20180606,3375080.400000000372529,3385077.499999999534339,3373937.519999999552965,10134096.419999999925494
20180607,3385285.320000000298023,3427032.500000000000000,3397979.669999999925494,10210298.490000000223517
20180608,3401984.280000000260770,3438919.750000000000000,3387294.269999999552965,10228199.300000000745058
20180611,3367658.639999999664724,3447310.750000000000000,3422556.089999999850988,10237526.480000000447035
20180612,3367658.639999999664724,3413047.500000000000000,3403322.370000000111759,10184029.509999999776483
20180613,3360236.879999999888241,3314453.250000000000000,3414542.039999999571592,10089233.169999999925494
20180614,3354670.559999999590218,3343821.750000000000000,3465831.959999999962747,10164325.269999999552965
20180615,3373224.959999999962747,3360603.750000000000000,3515519.069999999366701,10249348.779999999329448
20180618,3354670.559999999590218,3318648.750000000000000,3427364.520000000018626,10100684.830000000074506
20180619,3360236.879999999888241,3391370.750000000000000,3451940.939999999478459,10203549.570000000298023
20180620,3382502.160000000149012,3362701.500000000465661,3633058.469999999739230,10378263.129999998956919
20180621,3367658.639999999664724,3400461.000000000000000,3621838.800000000279397,10389959.439999999478459
20180622,3387140.759999999776483,3479476.250000000000000,3612221.939999999478459,10478839.949999999254942
20180625,3375080.400000000372529,3468288.250000000000000,3592453.949999999254942,10435823.599999999627471
20180626,3375080.400000000372529,3447310.750000000000000,3556657.859999999403954,10379050.009999999776483
20180627,3359309.160000000149012,3448010.000000000000000,3540095.490000000223517,10347415.650000000372529
20180628,3373224.959999999962747,3556393.750000000000000,3189614.370000000111759,10119234.080000000074506
20180629,3365803.200000000186265,3517935.000000000000000,3206711.009999999776483,10090450.210000000894070
20180702,3370441.799999999813735,3525626.750000000000000,3266014.979999999981374,10162084.529999999329448
20180703,3372297.240000000223517,3545205.750000000000000,3246246.989999999757856,10163750.980000000447035
20180705,3420538.679999999701977,3585762.250000000000000,3332798.729999999981374,10339100.660000000149012
20180706,3442803.959999999962747,3599747.250000000000000,3381951.569999999366701,10424503.779999999329448
20180709,3447442.559999999590218,3548002.750000000000000,3404925.179999999701977,10400371.489999998360872
20180710,3472491.000000000000000,3589957.750000000465661,3376608.870000000111759,10439058.620000001043081
