代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11942880.380000000819564
真實報酬,1942880.380000000819564

夏普值報酬,0.185588038000000
夏普值風險,0.058315149137984
夏普值,3.182501301006133

預期報酬,17117.042525361212029
風險,117459.574744134108187
趨勢值,0.145727094301574
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,4
MMM[16](3),PFE[20](10),UNH[23](1),XOM[29](2),
Stock#,MMM[16](3),PFE[20](10),UNH[23](1),XOM[29](2),
張數,16556,81994,21708,32113,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,44.000000000000000,2.939999999944121,106.720000000204891,2.950000000186265,
20160201,2462417.879999999888241,2473761.919999999925494,2515846.840000000316650,2449903.720000000204891,9901930.360000001266599
20160202,2448179.720000000204891,2471302.100000000093132,2472213.760000000242144,2395311.620000000111759,9787007.199999999254942
20160203,2525165.120000000111759,2432764.919999999925494,2447683.720000000204891,2520231.190000000409782,9925844.949999999254942
20160204,2540396.640000000130385,2377828.939999999944121,2479160.320000000298023,2563583.740000000223517,9960969.640000000596046
20160205,2540893.319999999832362,2380288.760000000242144,2425324.479999999981374,2571611.990000000223517,9918118.550000000745058
20160208,2548012.399999999906868,2341751.579999999608845,2388420.879999999888241,2606294.030000000260770,9884478.890000000596046
20160209,2561919.439999999944121,2386028.339999999850988,2413168.000000000000000,2571611.990000000223517,9932727.769999999552965
20160210,2524006.199999999720603,2418006.000000000000000,2447466.640000000130385,2548169.500000000000000,9937648.339999999850988
20160211,2494536.520000000018626,2388488.159999999683350,2401445.680000000167638,2556197.750000000000000,9840668.109999999403954
20160212,2549005.760000000242144,2407346.779999999795109,2427495.280000000260770,2602119.340000000316650,9985967.160000000149012
20160216,2574998.680000000167638,2444244.079999999608845,2499782.920000000391155,2608220.810000000055879,10127246.490000000223517
20160217,2593044.720000000204891,2429485.159999999683350,2568163.120000000111759,2633268.950000000186265,10223961.949999999254942
20160218,2595693.680000000167638,2422925.640000000130385,2549711.320000000298023,2647719.800000000279397,10216050.440000001341105
20160219,2590230.199999999720603,2418006.000000000000000,2554704.160000000149012,2649325.450000000186265,10212265.809999998658895
20160222,2610925.199999999720603,2463922.640000000130385,2632635.879999999888241,2645793.020000000018626,10353276.740000000223517
20160223,2585594.520000000018626,2456543.180000000167638,2630030.920000000391155,2608541.940000000409782,10280710.560000002384186
20160224,2602978.319999999832362,2461462.819999999832362,2609408.320000000298023,2617854.709999999962747,10291704.169999999925494
