代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11607999.699999999254942
真實報酬,1607999.699999999254942

夏普值報酬,0.152099970000000
夏普值風險,0.060861177910951
夏普值,2.499129580149518

預期報酬,12991.093446937233239
風險,267317.915066894842312
趨勢值,0.048597915495811
找到最佳解世代,1465
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
Stock#,MCD[15](1),V[25](2),
張數,57816,233754,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,72.319999999366701,1.939999999478459,
20110801,4994796.559999999590218,5007012.620000000111759,10001809.179999999701977
20110802,4917901.279999999329448,4883123.000000000000000,9801024.279999999329448
20110803,4945652.959999999962747,5112201.919999999925494,10057854.879999998956919
20110804,4872804.799999999813735,4967274.439999999478459,9840079.239999998360872
20110805,4919057.599999999627471,4873772.839999999850988,9792830.439999999478459
20110808,4747344.079999999143183,4630668.679999998770654,9378012.759999997913837
20110809,4969935.679999998770654,4836372.200000000186265,9806307.879999998956919
20110810,4861241.599999999627471,4633006.219999999739230,9494247.820000000298023
20110811,4988436.799999999813735,4939223.959999999031425,9927660.759999997913837
20110812,5001156.319999999366701,4899485.779999999329448,9900642.099999997764826
20110815,5019657.439999998547137,5018700.319999999366701,10038357.759999997913837
20110816,5010985.039999999105930,5016362.779999999329448,10027347.819999998435378
20110817,5058972.319999999366701,4908835.939999999478459,9967808.259999997913837
20110818,4949700.079999999143183,4691444.719999999739230,9641144.799999998882413
20110819,5043362.000000000000000,4651706.539999999105930,9695068.539999999105930
20110822,5074004.479999999515712,4663394.239999999292195,9737398.719999998807907
20110823,5176338.799999999813735,4894810.700000000186265,10071149.500000000000000
20110824,5211028.399999999441206,5049088.339999999850988,10260116.739999998360872
20110825,5128929.679999998770654,4915848.559999999590218,10044778.239999998360872
20110826,5199465.200000000186265,5016362.779999999329448,10215827.980000000447035
20110829,5249186.959999999962747,5060776.039999999105930,10309963.000000000000000
20110830,5248608.799999999813735,5137914.859999999403954,10386523.660000000149012
20110831,5227216.879999998956919,5135577.319999999366701,10362794.199999999254942
20110901,5207559.439999998547137,5126227.159999999217689,10333786.599999997764826
20110902,5150899.759999999776483,5000000.000000000000000,10150899.759999999776483
20110906,5135289.439999998547137,5018700.319999999366701,10153989.759999997913837
20110907,5162462.959999999962747,5170640.419999999925494,10333103.379999998956919
20110908,5123148.079999999143183,5112201.919999999925494,10235350.000000000000000
20110909,4916166.799999999813735,5046750.799999999813735,9962917.599999999627471
20110912,4983233.359999999403954,5109864.379999998956919,10093097.739999998360872
20110913,4979186.239999999292195,5128564.700000000186265,10107750.939999999478459
20110914,5015610.319999999366701,5236091.539999999105930,10251701.859999999403954
20110915,5091927.439999998547137,5289854.959999999031425,10381782.399999998509884
20110916,5104646.959999999962747,5308555.279999999329448,10413202.239999998360872
20110919,5134711.279999999329448,5261804.479999999515712,10396515.759999997913837
20110920,5163619.279999999329448,5425432.279999999329448,10589051.559999998658895
20110921,5060128.639999998733401,5343618.379999998956919,10403747.019999997690320
20110922,4971670.159999999217689,5161290.259999998845160,10132960.419999998062849
20110923,5051456.239999999292195,5264142.019999999552965,10315598.259999997913837
