代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12014042.539999999105930
真實報酬,2014042.539999999105930

夏普值報酬,0.192704254000000
夏普值風險,0.052672903556370
夏普值,3.658508283937101

預期報酬,15814.668992813651130
風險,69034.635669341616449
趨勢值,0.229083109362116
找到最佳解世代,2550
找到最佳解實驗#,4
找到最佳解次數,13

stock[index](rank)
投資組合檔數,9
AAPL[0](10),CAT[3](1),CVX[5](7),DD[7](12),PFE[20](16),PG[21](22),UNH[23](5),V[25](2),WMT[28](11),
Stock#,AAPL[0](10),CAT[3](1),CVX[5](7),DD[7](12),PFE[20](16),PG[21](22),UNH[23](5),V[25](2),WMT[28](11),
張數,7714,10339,10649,12370,33078,12749,5992,11848,14681,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,140.719999999972060,82.060000000055879,100.830000000074506,37.600000000093132,20.979999999981374,35.649999999906868,74.360000000102445,5.560000000055879,52.919999999925494,
20170703,1107099.719999999972060,1106044.890000000130385,1132089.530000000027940,1126449.800000000046566,1118718.939999999944121,1118632.909999999916181,1118481.160000000149012,1106016.360000000102445,1106413.079999999841675,10039947.390000000596046
20170705,1111650.979999999981374,1111421.169999999925494,1114199.210000000195578,1117296.000000000000000,1112764.899999999906868,1117740.479999999981374,1128068.360000000102445,1113836.040000000037253,1105825.839999999850988,10032803.980000000447035
20170706,1101159.939999999944121,1101288.950000000186265,1105680.010000000009313,1119770.000000000000000,1098872.139999999897555,1113915.780000000027940,1120218.840000000083819,1104831.560000000055879,1108027.989999999990687,9973766.210000000894070
20170707,1112345.239999999990687,1105527.940000000176951,1102165.840000000083819,1125583.900000000139698,1103172.280000000027940,1117485.500000000000000,1126330.680000000167638,1112769.719999999972060,1105972.649999999906868,10011354.750000001862645
20170710,1119133.560000000055879,1115039.820000000065193,1097373.790000000037253,1136593.199999999953434,1105156.959999999962747,1110346.060000000055879,1120278.760000000009313,1126631.880000000121072,1075142.550000000046566,10005697.580000001937151
20170711,1122759.139999999897555,1119175.419999999925494,1098225.710000000195578,1137211.700000000186265,1097218.239999999990687,1106266.379999999888241,1114286.760000000009313,1130423.239999999990687,1078665.989999999990687,10004233.580000000074506
20170712,1124379.080000000074506,1126619.500000000000000,1106425.440000000176951,1167641.900000000139698,1098872.139999999897555,1108688.689999999711290,1118720.840000000083819,1139546.200000000186265,1085566.059999999823049,10076460.849999999627471
20170713,1140038.500000000000000,1121553.390000000130385,1108981.199999999953434,1155766.700000000186265,1100856.820000000065193,1105373.949999999953434,1111470.520000000018626,1136702.679999999934807,1101861.969999999972060,10082606.730000000447035
20170714,1149835.279999999795109,1124655.090000000083819,1112282.390000000130385,1166899.700000000186265,1105818.520000000018626,1110473.549999999813735,1119979.160000000149012,1148432.200000000186265,1120800.459999999962747,10159177.350000001490116
20170717,1153846.560000000055879,1125378.820000000065193,1109833.120000000111759,1164796.800000000046566,1099864.479999999981374,1116210.599999999860302,1116683.560000000055879,1147247.400000000139698,1121240.889999999897555,10155103.230000000447035
20170718,1157857.840000000083819,1107078.790000000037253,1104615.110000000102445,1158240.699999999953434,1103503.060000000055879,1130107.010000000009313,1119679.560000000055879,1156133.400000000139698,1118745.119999999878928,10155961.589999999850988
20170719,1165109.000000000000000,1115143.209999999962747,1112495.370000000111759,1176300.900000000139698,1112103.339999999850988,1126409.799999999813735,1133700.840000000083819,1164071.560000000055879,1113900.389999999897555,10219235.410000000149012
20170720,1159863.479999999981374,1109663.540000000037253,1114305.699999999953434,1169621.100000000093132,1109457.099999999860302,1129597.049999999813735,1147542.360000000102445,1162412.840000000083819,1116102.539999999804422,10218566.709999999031425
20170721,1159323.500000000000000,1102116.070000000065193,1099610.080000000074506,1165167.900000000139698,1107472.419999999925494,1129724.539999999804422,1149220.120000000111759,1180066.360000000102445,1118011.070000000065193,10210713.060000000521541
20170724,1173362.979999999981374,1118555.080000000074506,1099077.630000000121072,1166528.600000000093132,1102179.939999999944121,1124242.469999999972060,1143887.239999999990687,1189189.320000000065193,1128875.010000000009313,10245899.269999999552965
20170725,1178377.080000000074506,1184311.120000000111759,1111749.940000000176951,1177661.600000000093132,1094902.780000000027940,1136481.510000000009313,1140951.160000000149012,1184687.080000000074506,1152805.039999999804422,10361928.309999998658895
20170726,1183931.160000000149012,1173765.340000000083819,1119523.710000000195578,1170115.900000000139698,1087956.399999999906868,1138521.349999999860302,1143048.360000000102445,1194876.360000000102445,1158383.820000000065193,10370123.400000000372529
