代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11874704.630000000819564
真實報酬,1874704.630000000819564

夏普值報酬,0.178770463000000
夏普值風險,0.047686077851742
夏普值,3.748902636861978

預期報酬,14479.555496484968899
風險,81929.105519049291615
趨勢值,0.176732742347814
找到最佳解世代,1632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),DIS[6](5),KO[14](30),MCD[15](4),UTX[24](9),
Stock#,AAPL[0](11),DIS[6](5),KO[14](30),MCD[15](4),UTX[24](9),
張數,17614,21577,47169,17766,19569,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,106.439999999944121,27.870000000111759,34.400000000139698,81.380000000121072,48.199999999953434,
20161101,1963891.299999999813735,1993526.900000000139698,1986792.679999999934807,1994314.880000000121072,1996281.890000000130385,9934807.650000000372529
20161102,1965652.699999999953434,1983169.939999999944121,1983490.850000000093132,1996802.120000000111759,1987084.459999999962747,9916200.070000000298023
20161103,1934652.059999999823049,2014672.360000000102445,1982547.470000000204891,1984898.900000000139698,1977495.649999999906868,9894266.440000001341105
20161104,1917214.199999999953434,1994821.520000000251457,1966510.010000000009313,1972818.020000000251457,1982974.969999999972060,9834338.720000000670552
20161107,1944868.179999999934807,2037543.980000000214204,2002830.140000000130385,2004441.500000000000000,2016633.649999999906868,10006317.450000001117587
20161108,1956317.280000000027940,2036465.130000000121072,2022641.120000000344589,2027359.640000000130385,2022895.729999999981374,10065678.900000000372529
20161109,1953146.759999999776483,2042075.150000000139698,1993868.030000000260770,2042816.060000000288710,2051075.090000000083819,10082981.090000001713634
20161110,1898719.500000000000000,2048979.790000000037253,1931133.260000000009313,2034466.040000000270084,2121523.490000000223517,10034822.080000000074506
20161111,1909992.459999999962747,2107669.230000000447035,1935378.470000000204891,2029313.900000000139698,2130329.540000000037253,10112683.600000001490116
20161114,1862082.379999999888241,2112847.709999999962747,1941982.130000000121072,2093982.140000000130385,2110760.540000000037253,10121654.899999998509884
20161115,1886741.979999999981374,2108100.770000000018626,1954717.760000000009313,2102154.500000000000000,2107238.120000000111759,10158953.129999998956919
20161116,1937470.299999999813735,2138740.110000000335276,1946227.340000000083819,2117966.240000000223517,2093148.439999999944121,10233552.429999999701977
20161117,1936765.739999999990687,2144134.360000000335276,1939623.679999999934807,2122230.080000000074506,2088060.500000000000000,10230814.359999999403954
20161118,1938703.280000000027940,2119752.350000000093132,1929718.189999999944121,2132001.379999999888241,2084146.699999999953434,10204321.900000000372529
20161121,1968118.659999999916181,2106590.379999999888241,1950944.240000000223517,2123118.379999999888241,2090995.849999999860302,10239767.509999999776483
20161122,1969351.639999999897555,2108316.540000000037253,1951415.929999999934807,2126493.919999999925494,2092757.059999999823049,10248335.089999999850988
20161123,1959311.659999999916181,2120183.890000000130385,1939623.679999999934807,2134488.620000000111759,2115652.790000000037253,10269260.640000000596046
20161125,1969175.500000000000000,2132267.009999999776483,1958962.970000000204891,2143726.940000000409782,2128764.019999999552965,10332896.440000001341105
20161128,1965300.419999999925494,2135503.560000000055879,1969340.150000000139698,2164335.500000000000000,2122306.250000000000000,10356785.879999998956919
20161129,1963362.879999999888241,2150607.459999999962747,1941038.750000000000000,2144082.260000000707805,2129938.160000000149012,10329029.510000001639128
20161130,1946805.719999999972060,2138740.110000000335276,1903303.550000000279397,2119032.200000000186265,2108020.879999999888241,10215902.460000000894070
20161201,1928663.299999999813735,2134856.250000000000000,1894813.130000000121072,2104819.400000000372529,2103324.320000000298023,10166476.400000000372529
20161202,1935885.040000000037253,2125362.370000000111759,1903775.240000000223517,2100733.219999999739230,2117805.379999999888241,10183561.250000000000000
20161205,1921969.979999999981374,2156864.790000000037253,1916039.179999999934807,2119387.520000000484288,2102150.179999999701977,10216411.650000000372529
20161206,1936765.739999999990687,2171968.689999999944121,1913680.730000000214204,2118676.879999999888241,2102345.870000000111759,10243437.910000000149012
20161207,1955788.859999999869615,2200666.100000000093132,1947642.410000000149012,2130580.100000000558794,2146376.120000000111759,10381053.589999999850988
20161208,1974988.120000000111759,2230658.129999999888241,1933020.020000000018626,2139996.080000000074506,2121914.870000000111759,10400577.219999998807907
20161209,2007221.739999999990687,2262592.090000000316650,1981132.400000000139698,2154386.540000000037253,2148528.709999999962747,10553861.480000000447035
20161212,1995772.639999999897555,2245330.490000000223517,1976415.500000000000000,2162914.219999999739230,2160270.110000000335276,10540702.960000000894070
20161213,2029063.099999999860302,2240799.319999999832362,1969811.840000000083819,2179614.260000000707805,2158704.589999999850988,10577993.109999999403954
20161214,2029063.099999999860302,2245114.720000000204891,1943868.890000000130385,2182456.820000000298023,2138352.830000000074506,10538856.360000001266599
