代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11719201.059999998658895
真實報酬,1719201.059999998658895

夏普值報酬,0.163220106000000
夏普值風險,0.051576709657709
夏普值,3.164608736835217

預期報酬,15012.354440452754716
風險,76604.366497588227503
趨勢值,0.195972568233762
找到最佳解世代,2793
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](16),AXP[1](2),DD[7](8),HD[9](6),MCD[15](4),PFE[20](10),
Stock#,AAPL[0](16),AXP[1](2),DD[7](8),HD[9](6),MCD[15](4),PFE[20](10),
張數,11205,19554,18218,11140,10742,50261,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,146.350000000093132,78.579999999841675,83.359999999869615,122.000000000000000,152.120000000111759,11.240000000223517,
20170801,1681456.600000000325963,1666861.539999999804422,1678325.520000000018626,1669451.000000000000000,1654849.800000000046566,1662645.120000000111759,10013593.580000000074506
20170802,1760900.050000000046566,1668034.779999999795109,1668305.619999999646097,1676692.000000000000000,1682241.900000000139698,1654603.360000000335276,10110781.710000000894070
20170803,1743308.199999999953434,1672727.739999999990687,1645715.299999999813735,1679922.599999999860302,1662154.360000000102445,1680236.470000000204891,10084068.669999999925494
20170804,1752496.300000000046566,1681135.959999999729916,1663386.759999999776483,1701757.000000000000000,1652486.560000000055879,1690791.280000000260770,10142057.859999999403954
20170807,1779612.400000000139698,1678789.479999999748543,1657374.819999999832362,1708441.000000000000000,1664839.860000000102445,1674205.150000000372529,10163266.709999999031425
20170808,1793842.750000000232831,1680549.339999999850988,1645168.759999999776483,1708441.000000000000000,1664302.760000000009313,1672697.320000000298023,10165005.929999999701977
20170809,1804823.650000000139698,1675660.839999999850988,1647537.100000000093132,1729718.399999999906868,1664302.760000000009313,1681241.690000000409782,10203288.440000001341105
20170810,1740506.949999999953434,1653564.819999999832362,1637335.020000000018626,1714345.199999999953434,1682564.160000000149012,1679733.860000000335276,10108054.009999997913837
20170811,1764709.750000000000000,1648285.239999999990687,1641342.979999999981374,1725485.199999999953434,1689868.720000000204891,1671189.490000000223517,10140885.380000000819564
20170814,1791265.600000000093132,1671358.959999999729916,1645168.759999999776483,1718578.399999999906868,1689439.040000000037253,1674205.150000000372529,10190019.909999998286366
20170815,1810874.350000000093132,1697170.239999999990687,1651909.419999999925494,1673015.799999999813735,1693306.160000000149012,1677723.420000000391155,10204003.389999998733401
20170816,1803591.099999999860302,1708902.639999999897555,1659014.439999999944121,1696187.000000000000000,1707055.920000000158325,1676718.200000000186265,10251473.300000000745058
20170817,1768967.650000000139698,1683482.439999999944121,1639156.819999999832362,1667445.799999999813735,1696206.500000000000000,1656111.190000000409782,10111374.400000002235174
20170818,1764933.850000000093132,1669599.099999999860302,1644986.580000000074506,1643160.600000000093132,1694810.040000000037253,1642038.110000000335276,10059532.280000001192093
20170821,1761684.400000000139698,1668034.779999999795109,1656828.279999999795109,1662209.999999999767169,1701255.240000000223517,1646561.600000000093132,10096578.299999998882413
