代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11508050.680000001564622
真實報酬,1508050.680000001564622

夏普值報酬,0.142105068000000
夏普值風險,0.041143021091843
夏普值,3.453928861538454

預期報酬,11836.360969987455974
風險,108092.673031694488600
趨勢值,0.109501973057109
找到最佳解世代,1795
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](1),KO[14](2),PFE[20](6),TRV[22](9),UNH[23](10),VZ[26](3),WMT[28](11),
Stock#,DIS[6](1),KO[14](2),PFE[20](6),TRV[22](9),UNH[23](10),VZ[26](3),WMT[28](11),
張數,36724,42302,66755,24503,27583,37933,23281,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,7.400000000139698,32.459999999962747,14.000000000000000,46.100000000093132,47.429999999934807,14.220000000204891,48.840000000083819,
20120201,1444362.320000000065193,1434916.300000000046566,1422563.049999999813735,1452338.910000000149012,1469118.009999999776483,1433881.620000000111759,1447661.420000000158325,10104844.630000000819564
20120202,1428938.239999999990687,1434916.300000000046566,1409212.050000000046566,1455279.270000000018626,1449258.250000000000000,1424777.700000000186265,1442073.979999999981374,10044458.789999999105930
20120203,1468967.400000000139698,1439992.540000000037253,1415220.000000000000000,1473166.459999999962747,1415331.159999999916181,1435398.940000000409782,1444169.270000000018626,10092248.769999999552965
20120206,1485860.440000000176951,1439146.500000000000000,1398531.250000000000000,1453809.090000000083819,1414779.500000000000000,1446778.840000000316650,1440677.120000000111759,10079585.740000002086163
20120207,1504956.919999999925494,1450145.020000000018626,1405206.750000000000000,1463855.320000000065193,1435190.919999999925494,1438433.580000000307336,1436253.729999999981374,10134045.240000000223517
20120208,1515606.880000000353903,1445491.800000000046566,1402536.550000000046566,1466550.650000000139698,1438225.050000000046566,1438433.580000000307336,1434624.060000000055879,10141471.570000002160668
20120209,1525155.120000000111759,1437877.439999999944121,1411214.699999999953434,1467530.770000000018626,1463601.409999999916181,1438433.580000000307336,1442539.600000000093132,10186355.619999999180436
20120210,1522217.200000000186265,1437031.399999999906868,1405206.750000000000000,1455034.240000000223517,1470772.989999999990687,1429708.990000000223517,1441142.739999999990687,10161117.310000000521541
20120213,1534703.360000000102445,1447606.899999999906868,1421895.500000000000000,1445478.070000000065193,1485391.979999999981374,1446399.510000000242144,1438581.830000000074506,10220060.150000000372529
20120214,1527725.800000000279397,1457336.360000000102445,1423898.149999999906868,1449643.580000000074506,1502217.609999999869615,1442985.540000000270084,1448592.660000000149012,10252402.700000001117587
20120215,1514872.400000000139698,1446760.860000000102445,1409212.050000000046566,1452828.969999999972060,1506630.889999999897555,1435019.610000000102445,1437883.400000000139698,10203211.179999999701977
20120216,1525522.360000000102445,1456490.320000000065193,1423898.149999999906868,1456504.419999999925494,1511320.000000000000000,1443364.870000000111759,1444402.080000000074506,10261505.200000001117587
20120217,1533234.400000000139698,1460720.520000000018626,1414552.450000000186265,1466550.650000000139698,1508285.869999999878928,1458917.400000000139698,1454645.719999999972060,10296910.010000001639128
20120221,1526624.080000000074506,1455644.279999999795109,1416555.099999999860302,1452338.910000000149012,1525938.989999999990687,1460055.390000000363216,1398538.510000000009313,10235698.259999999776483
20120222,1515606.880000000353903,1464950.719999999972060,1425900.800000000046566,1444252.919999999925494,1522077.369999999878928,1449434.150000000139698,1364315.440000000176951,10186541.279999999329448
20120223,1523318.919999999925494,1463258.640000000130385,1403871.650000000139698,1444742.980000000214204,1515457.449999999953434,1446399.510000000242144,1362918.580000000074506,10159970.730000000447035
20120224,1517075.840000000316650,1459451.459999999962747,1413884.899999999906868,1435921.900000000139698,1535041.379999999888241,1446778.840000000316650,1368738.830000000074506,10176896.150000000372529
20120227,1529194.760000000242144,1456067.300000000046566,1419225.300000000046566,1435921.900000000139698,1537248.019999999785796,1446399.510000000242144,1361056.100000000093132,10185115.890000000596046
20120228,1539844.720000000204891,1456067.300000000046566,1416555.099999999860302,1431021.300000000046566,1540282.150000000139698,1447158.170000000158325,1371998.170000000158325,10202929.910000000149012
20120229,1542048.160000000149012,1477641.320000000065193,1410547.149999999906868,1420485.010000000009313,1537799.679999999934807,1445640.850000000093132,1375490.320000000065193,10209655.490000000223517
20120301,1556737.760000000242144,1472142.059999999823049,1434578.949999999953434,1431511.360000000102445,1544419.600000000093132,1457779.410000000149012,1369437.260000000009313,10266609.400000000372529
20120302,1555636.040000000037253,1463258.640000000130385,1429238.550000000046566,1421465.130000000121072,1540282.150000000139698,1466883.330000000307336,1373860.650000000139698,10250627.490000002086163
20120305,1568122.200000000186265,1464527.699999999953434,1435246.500000000000000,1433471.600000000093132,1518215.750000000000000,1479401.220000000204891,1382940.239999999990687,10281928.210000000894070
20120306,1542415.400000000139698,1454375.219999999972060,1419892.849999999860302,1396472.070000000065193,1502217.609999999869615,1467641.990000000223517,1372929.410000000149012,10155947.550000000745058
20120307,1533234.400000000139698,1455221.260000000009313,1426568.350000000093132,1393531.709999999962747,1500286.800000000046566,1474469.930000000167638,1393649.500000000000000,10176964.949999999254942
20120308,1543149.880000000353903,1465373.739999999990687,1432576.300000000046566,1399167.400000000139698,1533938.059999999823049,1487746.480000000214204,1391554.210000000195578,10253509.070000000298023
20120309,1551229.160000000149012,1470449.979999999981374,1433911.400000000139698,1411663.930000000167638,1538627.169999999925494,1483194.520000000251457,1398771.320000000065193,10287850.480000000447035
20120312,1554901.560000000288710,1483986.619999999878928,1437916.699999999953434,1411663.930000000167638,1517664.090000000083819,1491539.780000000260770,1412739.920000000158325,10310415.599999999627471
20120313,1616230.640000000130385,1486101.719999999972060,1469291.550000000046566,1431266.330000000074506,1526214.819999999832362,1497609.060000000055879,1420189.840000000083819,10446906.960000000894070
20120314,1596766.919999999925494,1485255.679999999934807,1463951.149999999906868,1444497.950000000186265,1538627.169999999925494,1497229.730000000214204,1422052.320000000065193,10448383.919999999925494
20120315,1596399.680000000167638,1487793.800000000046566,1462616.050000000046566,1447683.340000000083819,1536696.359999999869615,1499885.040000000270084,1425544.469999999972060,10456621.740000002086163
20120316,1586116.959999999962747,1483986.619999999878928,1464618.700000000186265,1450623.700000000186265,1533386.400000000139698,1501023.030000000260770,1416464.880000000121072,10436223.290000000968575
