代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12444702.379999998956919
真實報酬,2444702.379999998956919

夏普值報酬,0.235770238000000
夏普值風險,0.064655701499214
夏普值,3.646549840664363

預期報酬,20021.517893245243613
風險,99557.126453972843592
趨勢值,0.201105823423917
找到最佳解世代,2631
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](6),TRV[22](1),V[25](2),
Stock#,MCD[15](6),TRV[22](1),V[25](2),
張數,18771,27835,25264,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,166.530000000260770,91.750000000000000,0.839999999850988,
20190102,3304988.790000000502914,3267085.700000000186265,3358091.719999999739230,9930167.210000000894070
20190103,3283214.430000000167638,3208353.850000000093132,3237077.159999999683350,9728646.439999999478459
20190104,3346660.410000000149012,3303549.550000000279397,3376534.439999999944121,10026745.400000000372529
20190107,3383076.150000000372529,3292972.250000000000000,3437420.679999999701977,10113470.080000000074506
20190108,3390209.130000000353903,3280168.149999999906868,3456116.040000000037253,10126494.320000000298023
20190109,3384390.120000000111759,3303549.550000000279397,3496791.079999999608845,10184731.750000000000000
20190110,3408041.580000000540167,3347807.199999999720603,3503359.719999999739230,10259209.500000000000000
20190111,3423433.800000000279397,3353374.200000000186265,3487948.679999999701977,10264757.679999999701977
20190114,3401847.150000000372529,3356436.049999999813735,3463695.239999999757856,10221979.439999999478459
20190115,3398092.950000000651926,3390951.449999999720603,3469758.600000000093132,10258804.000000000000000
20190116,3366745.380000000353903,3404312.250000000000000,3469758.600000000093132,10240817.230000000447035
20190117,3399782.340000000316650,3422126.649999999906868,3468242.759999999776483,10290152.750000000000000
20190118,3427188.000000000000000,3451910.100000000093132,3499064.839999999850988,10378163.939999999478459
20190122,3464730.000000000000000,3405982.350000000093132,3487696.040000000037253,10358409.390000000596046
20190123,3493261.920000000391155,3424353.449999999720603,3461421.479999999515712,10379037.849999999627471
20190124,3517288.800000000279397,3462209.049999999813735,3478853.639999999664724,10458352.489999998360872
20190125,3454030.530000000260770,3478910.050000000279397,3503359.719999999739230,10436301.300000000745058
20190128,3446522.130000000353903,3480301.799999999813735,3435652.200000000186265,10362477.129999998956919
20190129,3419679.600000000093132,3474456.449999999720603,3410640.839999999850988,10304777.890000000596046
20190130,3412171.200000000651926,3503961.549999999813735,3476327.239999999757856,10392460.990000000223517
20190131,3356045.910000000149012,3494497.650000000372529,3410893.479999999515712,10261438.039999999105930
20190201,3317377.650000000372529,3520940.899999999906868,3540750.439999999944121,10379069.990000000223517
20190204,3332957.580000000540167,3508415.150000000372529,3574856.839999999850988,10416230.570000000298023
20190205,3333333.000000000000000,3512312.050000000279397,3600878.759999999776483,10446524.810000000521541
20190206,3307241.310000000521541,3494776.000000000000000,3574604.200000000186265,10376622.510000001639128
20190207,3290347.410000000149012,3528456.350000000093132,3541255.719999999739230,10360060.480000000447035
20190208,3280398.780000000260770,3501456.400000000372529,3546561.159999999683350,10328417.339999999850988
20190211,3271200.990000000223517,3491157.450000000186265,3557172.040000000037253,10319531.480000000447035
20190212,3265757.400000000372529,3542373.850000000093132,3587236.200000000186265,10395368.449999999254942
20190213,3269136.180000000167638,3564085.149999999906868,3625132.200000000186265,10458354.530000001192093
20190214,3301422.300000000279397,3533188.300000000279397,3616795.079999999608845,10451406.679999999701977
20190215,3378383.400000000372529,3583569.650000000372529,3661007.079999999608845,10622961.130000000819564
20190219,3364868.280000000260770,3593590.250000000000000,3649133.000000000000000,10607592.530000001192093
20190220,3388144.320000000298023,3611404.650000000372529,3656459.559999999590218,10656009.530000001192093
20190221,3431693.040000000502914,3613631.449999999720603,3638016.839999999850988,10683342.330000000074506
20190222,3438450.600000000093132,3647033.450000000186265,3685260.520000000018626,10770745.570000000298023
20190225,3427938.840000000316650,3687950.900000000372529,3690060.679999999701977,10805951.419999999925494
20190226,3439201.440000000409782,3709662.200000000186265,3714819.399999999441206,10863684.039999999105930
20190227,3442017.090000000316650,3691569.450000000186265,3719366.919999999925494,10852954.460000000894070
20190228,3451027.170000000391155,3699641.600000000093132,3742104.520000000018626,10892774.290000000968575
20190301,3473740.080000000540167,3702981.799999999813735,3776210.919999999925494,10952933.800000000745058
20190304,3390021.420000000391155,3678487.000000000000000,3738062.280000000260770,10806571.699999999254942
20190305,3404287.380000000353903,3693517.899999999906868,3737809.639999999664724,10835615.919999999925494
20190306,3417051.660000000149012,3668744.750000000465661,3734272.679999999701977,10820070.089999999850988
20190307,3388707.450000000651926,3660115.900000000372529,3709513.959999999962747,10758338.310000002384186
20190308,3369561.030000000260770,3647033.450000000186265,3722651.239999999757856,10739246.720000000670552
20190311,3399219.210000000428408,3670693.200000000186265,3806527.719999999739230,10876441.129999998956919
20190312,3413297.460000000428408,3694352.950000000186265,3833307.559999999590218,10940958.969999998807907
20190313,3417614.790000000502914,3702146.750000000000000,3852002.919999999925494,10971765.460000000894070
20190314,3430379.070000000298023,3703816.850000000093132,3895709.639999999664724,11029906.559999998658895
20190315,3478995.960000000428408,3734992.050000000279397,3927542.280000000260770,11141531.290000000968575
20190318,3453091.979999999981374,3756146.649999999906868,3914910.280000000260770,11124149.910000000149012
20190319,3437324.340000000316650,3700198.300000000279397,3905562.600000000093132,11043086.240000000223517
20190320,3472238.400000000372529,3655662.300000000279397,3884340.839999999850988,11012242.540000000968575
20190321,3498517.800000000279397,3740280.700000000186265,3936132.040000000037253,11174931.539999999105930
20190322,3506777.040000000502914,3755033.250000000000000,3867161.319999999832362,11128972.610000001266599
20190325,3486316.650000000372529,3756424.999999999534339,3866150.759999999776483,11108893.410000000149012
20190326,3519353.609999999869615,3757260.049999999813735,3923500.040000000037253,11200114.699999999254942
20190327,3519916.740000000223517,3795394.000000000000000,3896214.919999999925494,11211526.660000000149012
20190328,3555206.220000000204891,3810703.250000000000000,3907583.719999999739230,11273494.190000001341105
20190329,3564779.430000000167638,3817940.350000000093132,3945985.000000000000000,11328705.780000001192093
20190401,3536435.220000000204891,3841878.450000000186265,3973017.479999999515712,11351332.149999998509884
20190402,3535684.380000000353903,3808198.100000000093132,3986154.759999999776483,11330038.240000000223517
20190403,3535684.380000000353903,3802352.750000000000000,4003334.280000000260770,11341372.410000000149012
20190404,3564216.300000000279397,3800125.950000000186265,3982617.799999999348074,11346961.049999998882413
20190405,3579983.940000000409782,3796785.750000000000000,3982870.439999999944121,11359641.130000000819564
20190408,3563840.880000000353903,3782311.549999999813735,3985396.839999999850988,11331550.269999999552965
20190409,3568158.210000000428408,3763105.399999999906868,3978828.200000000186265,11310092.810000000521541
20190410,3552015.150000000372529,3770620.850000000093132,4005860.679999999701977,11328497.679999999701977
20190411,3545633.010000000242144,3793445.549999999813735,3988175.880000000353903,11327255.440000001341105
20190412,3596690.130000000353903,3833527.950000000186265,4033145.799999999348074,11463364.879999998956919
20190415,3601382.880000000353903,3807641.399999999906868,4053357.000000000000000,11462382.280000001192093
20190416,3598567.229999999981374,3850785.649999999906868,4048051.559999999590218,11497405.439999999478459
20190417,3596877.840000000316650,3782033.200000000186265,4053357.000000000000000,11432269.040000000968575
20190418,3658822.140000000130385,3867208.300000000279397,4046283.079999999608845,11572314.519999999552965
20190422,3640238.850000000093132,3802631.100000000558794,4052346.439999999944121,11495217.390000000596046
20190423,3665391.990000000223517,3841600.099999999627471,4084179.079999999608845,11591172.169999999925494
