代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12269416.410000000149012
真實報酬,2269416.410000000149012

夏普值報酬,0.218241641000000
夏普值風險,0.053725662274052
夏普值,4.062148920319679

預期報酬,15709.542908588584396
風險,72454.373063744395040
趨勢值,0.216819803199008
找到最佳解世代,2427
找到最佳解實驗#,2
找到最佳解次數,43

stock[index](rank)
投資組合檔數,10
AAPL[0](18),AXP[1](2),BA[2](1),CAT[3](5),HD[9](16),JPM[13](7),PFE[20](11),PG[21](20),UNH[23](4),V[25](3),
Stock#,AAPL[0](18),AXP[1](2),BA[2](1),CAT[3](5),HD[9](16),JPM[13](7),PFE[20](11),PG[21](20),UNH[23](4),V[25](3),
張數,6546,12997,5329,9484,6514,12172,30627,11352,5708,10500,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,33.040000000037253,10.820000000065193,119.729999999981374,101.879999999888241,35.860000000102445,70.199999999953434,28.450000000069849,2.319999999948777,72.559999999939464,85.000000000000000,
20170601,1002749.320000000065193,1017415.980000000097789,998348.009999999892898,1002086.479999999981374,1010682.960000000195578,1011076.520000000018626,1001837.620000000111759,1000454.079999999841675,1025115.199999999953434,1001785.000000000116415,10071551.169999999925494
20170602,1017608.739999999990687,1020145.349999999976717,1013855.399999999906868,1004931.679999999934807,1011985.760000000009313,1005964.279999999911524,996631.030000000027940,1005676.000000000000000,1024030.679999999818392,1009660.000000000116415,10110488.919999999925494
20170605,1007658.820000000065193,1026383.910000000032596,1007034.279999999911524,997818.679999999934807,1008337.920000000041910,1007790.080000000074506,990811.900000000139698,1007378.799999999930151,1023916.520000000018626,1013860.000000000000000,10090990.910000000149012
20170606,1011062.739999999990687,1024824.270000000018626,995310.479999999981374,991654.079999999841675,1004494.660000000032596,1009859.319999999832362,982236.340000000083819,1008059.919999999925494,1032193.119999999878928,1005880.000000000116415,10065574.929999999701977
20170607,1017085.060000000055879,1037301.390000000130385,1002504.630000000004657,981790.719999999972060,1009445.300000000162981,1021422.719999999855645,980092.450000000069849,1007719.359999999869615,1045835.239999999990687,1009030.000000000000000,10112226.869999999180436
20170608,1014597.580000000074506,1039120.970000000088476,1012256.700000000069849,996016.719999999972060,999934.860000000102445,1034081.599999999976717,972435.700000000069849,997275.519999999902211,1037159.079999999958090,1009030.000000000000000,10111908.730000000447035
20170609,975256.119999999995343,1043799.890000000130385,1012789.599999999976717,1004647.159999999916181,996417.300000000162981,1058547.319999999832362,1003675.240000000223517,1000794.639999999897555,1035846.239999999990687,992965.000000000000000,10124738.509999999776483
20170612,951952.359999999986030,1041980.310000000055879,1012629.729999999981374,1006069.759999999776483,991336.380000000121072,1058790.760000000009313,1001531.350000000209548,1001702.799999999930151,1023231.559999999939464,981835.000000000000000,10071060.009999999776483
20170613,959611.180000000051223,1047439.050000000162981,1018438.339999999967404,1003034.879999999888241,1003126.720000000204891,1062320.639999999897555,997856.109999999986030,999659.439999999944121,1033505.959999999962747,998425.000000000000000,10123417.320000000298023
20170614,950250.400000000023283,1050688.300000000046566,1025312.750000000000000,993171.519999999785796,1021170.500000000000000,1060129.679999999934807,1001225.079999999958090,1003973.199999999953434,1040983.440000000060536,1000944.999999999883585,10147849.869999999180436
20170615,944555.380000000004657,1048868.720000000204891,1041672.779999999911524,1009199.479999999981374,1021235.640000000130385,1053800.239999999757856,1004900.320000000181608,1014644.079999999841675,1029681.599999999860302,988870.000000000000000,10157428.240000000223517
20170616,931332.460000000079162,1058616.470000000204891,1046948.489999999990687,1020580.279999999795109,1020388.820000000065193,1049053.160000000149012,1009800.640000000013970,1017822.639999999897555,1036816.599999999860302,988870.000000000000000,10180229.559999998658895
20170619,957974.680000000051223,1064205.179999999934807,1061017.050000000046566,1019537.039999999804422,1034524.200000000069849,1072058.239999999757856,1017457.390000000013970,1020093.039999999920838,1044750.719999999972060,995380.000000000116415,10286997.540000000968575
20170620,949268.500000000000000,1072393.290000000037253,1057020.300000000046566,1015269.239999999990687,1027098.239999999990687,1065363.639999999897555,1027870.570000000181608,1017482.079999999841675,1046177.719999999972060,991075.000000000000000,10269018.580000000074506
20170621,954898.060000000055879,1068494.189999999944121,1061496.659999999916181,981411.359999999869615,1020063.120000000111759,1060494.840000000083819,1037671.210000000195578,1014871.119999999995343,1055595.919999999925494,992755.000000000116415,10247751.480000000447035
20170622,953327.020000000018626,1069014.070000000065193,1062935.489999999990687,984920.439999999944121,1012832.580000000074506,1059277.639999999897555,1043184.070000000181608,1010670.880000000004657,1064614.560000000055879,986560.000000000000000,10247336.750000000000000
20170623,957581.920000000041910,1068624.160000000149012,1077803.399999999906868,987481.119999999878928,985669.200000000069849,1057330.119999999878928,1046553.040000000153668,1015098.159999999916181,1057479.560000000055879,1003675.000000000000000,10257295.679999999701977
20170626,954570.760000000009313,1078241.939999999944121,1065813.149999999906868,988808.879999999888241,986385.739999999990687,1061955.479999999981374,1042571.530000000027940,1014417.039999999920838,1056737.520000000018626,999895.000000000000000,10249397.039999999105930
20170627,940889.619999999995343,1079801.580000000074506,1060004.539999999804422,985774.000000000000000,991727.220000000204891,1071814.799999999813735,1034302.240000000223517,1005903.039999999920838,1053769.359999999869615,996535.000000000116415,10220521.400000000372529
20170628,954636.220000000088476,1091368.910000000149012,1063894.709999999962747,1009673.679999999934807,998176.080000000074506,1093359.239999999757856,1033689.700000000069849,1003178.560000000055879,1060048.159999999683350,1010500.000000000000000,10318525.259999999776483
