代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12117893.760000001639128
真實報酬,2117893.760000001639128

夏普值報酬,0.203089376000000
夏普值風險,0.054072333261624
夏普值,3.755883346430987

預期報酬,16710.966691071775131
風險,111957.306497593366657
趨勢值,0.149261957203579
找到最佳解世代,1777
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),INTC[11](15),MRK[17](2),MSFT[18](7),
Stock#,CAT[3](1),DD[7](3),INTC[11](15),MRK[17](2),MSFT[18](7),
張數,23992,35580,81732,44355,56481,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.880000000121072,48.199999999953434,17.960000000195578,33.049999999813735,7.790000000270084,
20131101,2005518.160000000149012,1973670.799999999813735,1988557.520000000018626,2006209.699999999720603,2006777.720000000437722,9980733.900000000372529
20131104,2012715.760000000242144,1945918.399999999906868,1982836.280000000260770,2027943.649999999674037,2029934.930000000167638,9999349.019999999552965
20131105,2016554.479999999981374,1961929.399999999906868,1964037.920000000391155,2011975.849999999860302,2069471.630000000353903,10023969.280000001192093
20131106,2020633.120000000111759,1989325.999999999767169,1982018.960000000195578,2038588.849999999860302,2156452.370000000111759,10187019.300000000745058
20131107,2006957.680000000167638,1959438.800000000046566,1966489.880000000121072,2032379.149999999906868,2118045.290000000037253,10083310.800000000745058
20131108,2021112.959999999962747,2009962.400000000139698,1968941.840000000083819,2075847.049999999580905,2133859.970000000670552,10209724.220000000670552
20131111,2018953.680000000167638,2009606.599999999860302,1975480.400000000372529,2084718.049999999813735,2123128.580000000074506,10211887.310000000521541
20131112,2011756.080000000074506,1993239.800000000046566,1996730.720000000204891,2110887.500000000000000,2110137.950000000186265,10222752.050000000745058
20131113,2020153.280000000260770,2006404.399999999906868,2010625.160000000381842,2099798.750000000000000,2155322.750000000000000,10292304.339999999850988
20131114,2009596.800000000279397,2032022.000000000000000,1993461.440000000176951,2121089.149999999906868,2147415.410000000149012,10303584.800000000745058
20131115,2009116.959999999962747,2038426.399999999906868,2004086.600000000093132,2132177.899999999906868,2137248.830000000074506,10321056.689999999478459
20131118,2016314.560000000288710,2020280.600000000093132,2010625.160000000381842,2129516.599999999627471,2101100.990000000223517,10277837.910000000149012
20131119,2007437.520000000251457,2011741.399999999906868,2018798.360000000102445,2132177.899999999906868,2075119.730000000447035,10245274.910000000149012
20131120,1983685.440000000176951,1989325.999999999767169,2007355.880000000121072,2134839.199999999720603,2094323.270000000251457,10209529.789999999105930
20131121,1970249.920000000158325,2008183.399999999906868,2062116.320000000298023,2156573.149999999906868,2112397.190000000409782,10309519.980000000447035
20131122,1988483.840000000083819,2009606.599999999860302,1950960.800000000279397,2170766.749999999534339,2121998.959999999962747,10241816.949999999254942
20131125,2024951.680000000167638,1976517.199999999953434,1941152.960000000195578,2202702.349999999627471,2125952.629999999888241,10271276.820000000298023
20131126,2023992.000000000000000,1965487.400000000139698,1932979.760000000009313,2199153.949999999720603,2109573.140000000596046,10231186.250000000000000
20131127,2031429.520000000251457,1981142.599999999860302,1953412.760000000009313,2210242.699999999720603,2123693.390000000596046,10299920.970000000670552
20131129,2029750.080000000074506,1979363.600000000093132,1948508.840000000083819,2210242.699999999720603,2153628.320000000298023,10321493.540000000968575
20131202,2021352.880000000121072,2025973.399999999906868,1937066.360000000102445,2225766.949999999720603,2171702.240000000223517,10381861.830000000074506
20131203,2012235.920000000158325,1961929.399999999906868,1924806.560000000288710,2207137.849999999627471,2163794.900000000372529,10269904.630000000819564
20131204,2014635.120000000111759,1970468.600000000093132,1940335.640000000130385,2187178.100000000093132,2199377.929999999701977,10311995.390000000596046
20131205,2025191.600000000093132,1956236.599999999860302,1982836.280000000260770,2165000.600000000093132,2146285.790000000037253,10275550.870000001043081
20131206,2051342.880000000121072,1989681.800000000046566,2028606.200000000186265,2190726.500000000000000,2166618.950000000186265,10426976.330000001937151
20131209,2065498.160000000149012,2067246.199999999953434,2037596.720000000204891,2198266.850000000093132,2186387.300000000745058,10554995.230000000447035
20131210,2073415.520000000251457,2117058.200000000186265,2028606.200000000186265,2192500.699999999720603,2152498.700000000186265,10564079.320000000298023
20131211,2046064.640000000130385,2080055.000000000000000,1995913.400000000372529,2171210.299999999813735,2124258.200000000186265,10417501.540000000968575
20131212,2053022.320000000065193,2065467.199999999953434,2000000.000000000000000,2143266.649999999906868,2102230.610000000335276,10363986.780000001192093
20131213,2064538.479999999981374,2103893.599999999627471,1985288.240000000223517,2145927.949999999720603,2072295.680000000167638,10371943.949999999254942
20131216,2096447.840000000083819,2107807.400000000372529,1998365.360000000102445,2133065.000000000000000,2083027.070000000530854,10418712.670000001788139
20131217,2085411.520000000251457,2138406.200000000186265,2015529.080000000307336,2124637.549999999813735,2062693.910000000381842,10426678.260000001639128
20131218,2115401.520000000484288,2204585.000000000000000,2055577.760000000009313,2168992.549999999813735,2066082.770000000251457,10610639.599999999627471
20131219,2100286.560000000521541,2224509.799999999813735,2054760.440000000176951,2164113.500000000000000,2047444.040000000270084,10591114.340000001713634
