代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12027007.810000000521541
真實報酬,2027007.810000000521541

夏普值報酬,0.194000781000000
夏普值風險,0.055586761496356
夏普值,3.490053670651714

預期報酬,16216.328721963292992
風險,117182.513694536130060
趨勢值,0.138385226692056
找到最佳解世代,2988
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](2),NKE[19](9),PG[21](18),TRV[22](8),
Stock#,AAPL[0](1),INTC[11](2),NKE[19](9),PG[21](18),TRV[22](8),
張數,26082,77489,54156,24813,23501,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,32.239999999757856,8.910000000149012,18.919999999925494,72.200000000186265,64.900000000139698,
20140401,2018257.399999999674037,2013948.020000000018626,2014622.120000000111759,1993548.620000000344589,1983314.290000000037253,10023690.449999999254942
20140402,2021648.059999999823049,2006199.120000000111759,2018413.040000000037253,1988337.890000000130385,1989424.550000000279397,10024022.660000000149012
20140403,2007563.779999999795109,2046493.400000000139698,2003249.360000000102445,1987593.500000000000000,1997179.880000000121072,10042079.919999999925494
20140404,1981481.779999999795109,2027121.150000000139698,1972380.439999999944121,1979405.210000000195578,2002350.100000000093132,9962738.679999999701977
20140407,1950444.199999999720603,2052692.520000000018626,1918224.439999999944121,1997270.570000000065193,1997649.900000000139698,9916281.630000000819564
20140408,1950444.199999999720603,2085237.900000000139698,1974546.679999999934807,2018609.750000000000000,1991304.630000000121072,10020143.160000000149012
20140409,1976004.559999999823049,2090662.130000000121072,1991876.600000000093132,2022083.570000000065193,2016920.719999999972060,10097547.580000000074506
20140410,1950444.199999999720603,2048043.180000000167638,1962090.799999999813735,2012158.370000000344589,1997414.890000000130385,9970151.439999999478459
20140411,1936099.099999999860302,2028670.930000000167638,1929597.199999999953434,2003970.080000000307336,2004700.200000000186265,9903037.510000001639128
20140414,1943923.699999999720603,2058116.750000000000000,1959924.559999999823049,2005210.730000000214204,2009400.400000000139698,9976576.140000000596046
20140415,1929839.419999999692664,2074389.440000000176951,1957216.760000000009313,2005955.120000000344589,2018565.790000000037253,9985966.530000001192093
20140416,1933751.719999999739230,2086787.680000000167638,1979420.719999999739230,2026053.650000000372529,2039481.680000000167638,10065495.449999999254942
20140417,1955921.419999999692664,2095311.469999999972060,2004874.040000000037253,2028783.080000000307336,2037131.580000000307336,10122021.589999999850988
20140421,1979134.399999999674037,2088337.460000000195578,2001083.120000000111759,2023820.480000000214204,2030551.300000000279397,10122926.760000001639128
20140422,1981220.959999999497086,2079813.670000000158325,2012997.439999999944121,2016128.450000000186265,2042066.790000000037253,10132227.310000000521541
20140423,1955138.959999999497086,2072839.660000000149012,2006498.719999999739230,1994044.880000000121072,2071208.030000000027940,10099730.250000000000000
20140424,2115543.259999999776483,2072839.660000000149012,1987544.120000000111759,2013647.150000000372529,2082018.490000000223517,10271592.679999999701977
20140425,2131192.459999999497086,2034870.050000000279397,1968589.520000000018626,2020098.530000000027940,2075438.210000000195578,10230188.769999999552965
20140428,2213611.580000000074506,2040294.280000000027940,1940969.960000000195578,2058062.420000000158325,2106694.540000000037253,10359632.780000001192093
20140429,2207091.080000000074506,2051917.630000000121072,1962632.360000000102445,2045655.920000000158325,2136305.799999999813735,10403602.789999999105930
20140430,2198744.839999999850988,2068190.320000000298023,1975629.799999999813735,2048385.350000000093132,2128785.480000000447035,10419735.790000000968575
20140501,2203961.239999999757856,2049592.960000000195578,1974546.679999999934807,2043174.620000000344589,2134660.730000000447035,10405936.230000000447035
20140502,2207873.540000000037253,2046493.400000000139698,1976171.360000000102445,2032753.160000000149012,2138655.900000000372529,10401947.360000001266599
20140505,2239171.939999999478459,2027896.040000000270084,1984836.319999999832362,2027294.300000000279397,2130430.549999999813735,10409629.149999998509884
20140506,2214915.679999999701977,2030220.710000000195578,1956675.199999999953434,2013150.890000000130385,2112334.780000000260770,10327297.260000001639128
20140507,2207091.080000000074506,2043393.840000000316650,1954508.960000000195578,2036971.370000000344589,2140300.969999999739230,10382266.219999998807907
20140508,2190920.239999999757856,2041069.170000000158325,1978337.600000000093132,2038708.280000000027940,2144296.139999999664724,10393331.429999999701977
20140509,2181791.540000000037253,2037969.610000000102445,1989168.799999999813735,2044415.270000000251457,2145706.200000000186265,10399051.420000001788139
20140512,2208916.819999999832362,2043393.840000000316650,2021120.839999999850988,2028038.690000000176951,2163096.940000000409782,10464567.130000000819564
20140513,2212307.479999999515712,2049592.960000000195578,2020037.719999999739230,2025061.130000000121072,2183542.810000000521541,10490542.099999999627471
20140514,2212829.119999999646097,2040294.280000000027940,1992418.159999999916181,2014143.410000000149012,2177432.549999999813735,10437117.519999999552965
20140515,2194050.080000000074506,2015497.800000000279397,1975088.239999999757856,1998263.090000000316650,2170852.270000000484288,10353751.480000000447035
20140516,2226391.759999999776483,2000774.890000000130385,2002166.239999999757856,1993300.490000000223517,2175787.480000000447035,10398420.860000001266599
20140519,2252734.580000000074506,2017822.469999999972060,2016788.360000000102445,1983375.290000000270084,2180252.669999999925494,10450973.370000001043081
20140520,2253256.219999999739230,2017822.469999999972060,1983753.199999999953434,1990819.190000000176951,2177902.570000000298023,10423553.650000000372529
20140521,2259255.080000000074506,2030220.710000000195578,2009206.520000000018626,1997270.570000000065193,2182367.759999999776483,10478320.640000000596046
20140522,2262645.739999999757856,2026346.260000000009313,2027619.559999999823049,2001240.650000000372529,2185892.910000000149012,10503745.120000001043081
20140523,2288206.100000000093132,2037194.719999999972060,2053614.439999999944121,1998014.960000000195578,2182367.759999999776483,10559397.980000000447035
20140527,2331241.399999999441206,2069740.100000000325963,2074735.280000000027940,1987097.240000000223517,2197173.389999999664724,10659987.410000000149012
20140528,2324981.719999999739230,2082913.229999999981374,2065528.760000000009313,1987593.500000000000000,2196468.360000000335276,10657485.570000000298023
20140529,2367495.379999999422580,2089112.350000000325963,2068236.559999999823049,1995037.400000000372529,2211509.000000000000000,10731390.689999999478459
20140530,2358627.500000000000000,2117008.390000000130385,2082858.679999999934807,2004714.470000000437722,2196233.350000000558794,10759442.390000000596046
20140602,2342456.659999999683350,2112359.050000000279397,2077443.079999999841675,1994044.880000000121072,2202343.610000000335276,10728647.280000001192093
20140603,2375580.799999999813735,2143354.650000000372529,2046032.600000000093132,1983375.290000000270084,2195293.310000000521541,10743636.650000002235174
20140604,2402706.080000000074506,2138705.310000000055879,2061737.839999999850988,1981638.380000000121072,2224904.570000000298023,10809692.180000001564622
20140605,2412095.600000000093132,2143354.650000000372529,2054697.559999999823049,1987841.630000000121072,2231954.870000000111759,10829944.309999998658895
20140606,2405314.279999999795109,2182874.040000000502914,2064445.639999999897555,1985856.590000000316650,2217619.259999999776483,10856109.810000000521541
20140609,2443915.639999999664724,2162726.900000000372529,2076359.960000000195578,1987345.370000000344589,2224669.560000000521541,10895017.430000001564622
20140610,2458260.739999999757856,2188298.270000000018626,2066611.879999999655411,1988834.150000000372529,2235010.000000000000000,10937015.039999999105930
20140611,2448088.759999999776483,2164276.680000000167638,2034659.839999999850988,1986600.980000000214204,2230309.799999999813735,10863936.059999998658895
20140612,2407140.020000000018626,2166601.350000000093132,2024911.760000000009313,1979157.080000000307336,2232659.900000000372529,10810470.110000001266599
20140613,2380797.199999999720603,2314605.340000000316650,2020579.280000000027940,1976179.520000000251457,2242295.310000000521541,10934456.650000000372529
20140616,2404792.639999999664724,2325453.800000000279397,2018954.600000000093132,1977420.170000000158325,2243470.360000000335276,10970091.570000000298023
20140617,2401662.799999999813735,2320804.459999999962747,2033576.719999999739230,1974690.740000000223517,2237830.120000000111759,10968564.839999999850988
20140618,2404271.000000000000000,2319254.680000000167638,2063362.520000000018626,1979901.470000000437722,2242060.299999999813735,11008849.969999998807907
20140619,2395924.759999999776483,2331652.919999999925494,2048198.839999999850988,1991067.320000000065193,2246760.500000000000000,11013604.339999999850988
20140620,2371146.859999999869615,2340176.709999999962747,2033576.719999999739230,1983375.290000000270084,2223024.490000000223517,10951300.070000000298023
20140623,2369060.299999999813735,2342501.380000000353903,2043324.799999999813735,1973201.960000000195578,2231484.850000000558794,10959573.289999999105930
20140624,2354715.199999999720603,2363423.410000000149012,2030327.360000000102445,1960547.330000000307336,2224904.570000000298023,10933917.870000001043081
20140625,2356801.759999999776483,2392869.229999999981374,2070944.360000000102445,1968239.360000000102445,2229369.759999999776483,11018224.470000000670552
20140626,2370886.040000000037253,2385120.330000000074506,2081234.000000000000000,1950870.260000000242144,2218794.310000000521541,11006904.940000001341105
20140627,2399054.600000000093132,2396743.680000000167638,2103437.959999999962747,1960795.460000000195578,2207278.820000000298023,11067310.520000001415610
20140630,2423832.500000000000000,2394419.010000000242144,2100188.600000000093132,1950125.870000000344589,2210803.969999999739230,11079369.949999999254942
20140701,2439220.879999999422580,2400618.130000000353903,2112102.919999999925494,1967246.840000000316650,2237595.110000000335276,11156783.879999998956919
