代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11377782.339999999850988
真實報酬,1377782.339999999850988

夏普值報酬,0.129078234000000
夏普值風險,0.040097639239138
夏普值,3.219098092787746

預期報酬,10989.440833838694743
風險,84736.031814604895771
趨勢值,0.129690293473769
找到最佳解世代,2574
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,7
AAPL[0](9),BA[2](11),DIS[6](23),JNJ[12](7),KO[14](5),MCD[15](1),MMM[16](6),
Stock#,AAPL[0](9),BA[2](11),DIS[6](23),JNJ[12](7),KO[14](5),MCD[15](1),MMM[16](6),
張數,10428,7926,12976,11689,34046,11191,7666,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,39.279999999795109,68.020000000018626,43.159999999916181,58.310000000055879,0.840000000083819,39.849999999860302,11.900000000139698,
20170301,1457769.399999999674037,1457738.679999999934807,1440898.199999999953434,1447857.850000000093132,1435380.199999999953434,1444238.399999999906868,1455478.660000000149012,10139364.389999998733401
20170302,1449114.159999999916181,1450446.760000000009313,1435059.000000000000000,1445169.379999999888241,1445934.459999999962747,1435061.779999999795109,1455708.640000000130385,10116497.179999999701977
20170303,1457665.119999999878928,1444026.700000000186265,1443493.399999999906868,1447039.620000000111759,1446274.919999999925494,1431368.750000000000000,1451262.360000000102445,10121133.870000001043081
20170306,1453076.799999999813735,1434119.200000000186265,1436097.079999999841675,1446104.500000000000000,1436061.120000000111759,1432823.579999999841675,1448119.300000000279397,10086404.580000000074506
20170307,1454953.839999999850988,1442758.540000000037253,1438562.520000000018626,1447507.179999999934807,1429592.380000000121072,1433271.219999999739230,1449575.840000000083819,10096224.519999999552965
20170308,1449531.279999999795109,1440539.260000000009313,1438303.000000000000000,1450663.209999999962747,1429592.380000000121072,1433495.039999999804422,1452795.560000000055879,10094922.730000000447035
20170309,1446194.319999999832362,1431265.839999999850988,1440768.439999999944121,1472287.860000000102445,1430954.220000000204891,1434054.589999999618158,1455785.300000000279397,10111313.570000000298023
20170310,1450991.199999999720603,1416444.219999999972060,1439341.079999999841675,1475327.000000000000000,1439806.180000000167638,1432264.029999999795109,1465827.760000000242144,10120004.469999998807907
20170313,1451616.879999999655411,1419218.320000000065193,1447126.679999999934807,1480820.830000000074506,1430954.220000000204891,1428123.359999999869615,1468204.220000000204891,10126067.509999999776483
20170314,1449427.000000000000000,1416682.000000000000000,1457377.719999999972060,1485145.760000000009313,1428911.459999999962747,1430249.649999999906868,1459081.680000000167638,10126878.269999999552965
20170315,1464756.159999999916181,1416523.479999999981374,1451668.280000000027940,1507471.750000000232831,1434018.360000000102445,1431144.929999999701977,1465751.100000000093132,10171337.060000000521541
20170316,1467154.599999999860302,1412401.959999999962747,1449592.119999999878928,1501627.250000000232831,1438444.340000000083819,1432264.029999999795109,1458928.360000000102445,10160415.659999998286366
20170317,1459855.000000000000000,1427540.619999999878928,1450240.919999999925494,1496951.650000000139698,1430954.220000000204891,1439650.089999999618158,1474643.660000000149012,10179839.160000000149012
20170320,1475184.159999999916181,1421913.159999999916181,1462568.119999999878928,1497068.540000000037253,1436061.120000000111759,1441216.829999999841675,1479626.560000000055879,10213641.490000000223517
20170321,1458290.799999999813735,1394726.979999999981374,1450111.159999999916181,1487483.560000000055879,1446955.840000000083819,1438307.169999999925494,1472880.480000000214204,10148758.990000000223517
20170322,1474767.039999999571592,1402811.500000000000000,1454393.239999999990687,1475911.450000000186265,1442870.320000000065193,1444797.949999999720603,1473570.420000000158325,10169124.919999999925494
20170323,1469553.039999999571592,1405030.780000000027940,1456469.399999999906868,1471703.410000000149012,1435720.660000000149012,1443678.849999999860302,1472957.140000000130385,10155116.279999999329448
20170324,1466633.199999999720603,1393617.339999999850988,1455171.799999999813735,1466794.030000000027940,1434018.360000000102445,1447483.789999999804422,1468127.560000000055879,10131849.080000000074506
20170327,1469135.919999999692664,1395836.619999999878928,1458286.039999999804422,1470534.510000000009313,1440827.560000000055879,1449162.439999999944121,1459848.280000000260770,10143634.369999997317791
20170328,1499585.679999999934807,1405823.380000000121072,1466979.959999999962747,1468898.050000000046566,1444572.620000000111759,1448714.799999999813735,1464141.240000000223517,10198718.729999998584390
20170329,1502922.639999999897555,1407963.399999999906868,1460232.439999999944121,1460248.190000000176951,1444232.160000000149012,1441888.289999999804422,1461764.780000000260770,10179254.900000002235174
20170330,1500941.319999999832362,1410737.500000000000000,1468666.840000000083819,1457209.050000000046566,1450360.440000000176951,1447259.969999999739230,1466364.380000000121072,10201542.500000001862645
20170331,1498125.759999999776483,1401860.380000000121072,1471391.799999999813735,1455923.260000000009313,1444913.080000000074506,1450505.360000000102445,1466747.680000000167638,10189470.319999998435378
20170403,1498542.879999999655411,1400195.920000000158325,1468926.359999999869615,1457559.719999999972060,1443891.699999999953434,1450505.360000000102445,1462071.420000000158325,10181696.359999999403954
