代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11832579.070000000298023
真實報酬,1832579.070000000298023

夏普值報酬,0.174557907000000
夏普值風險,0.055309846990632
夏普值,3.156000540546898

預期報酬,15080.752458292181473
風險,147774.555333006952424
趨勢值,0.102052429962032
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](8),MRK[17](1),NKE[19](4),
Stock#,CVX[5](8),MRK[17](1),NKE[19](4),
張數,29783,61477,49728,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.640000000130385,50.060000000055879,65.160000000149012,
20180301,3336906.960000000428408,3301364.960000000428408,3298026.119999999646097,9936299.040000000968575
20180302,3324993.760000000242144,3341939.779999999795109,3276643.080000000074506,9943577.620000001043081
20180305,3369966.090000000316650,3344398.859999999869615,3234871.560000000055879,9949237.509999999776483
20180306,3384857.590000000316650,3338251.159999999683350,3244319.879999999888241,9967429.629999998956919
20180307,3390516.360000000335276,3348702.250000000000000,3191110.920000000391155,9930330.530000001192093
20180308,3375922.689999999944121,3366530.580000000074506,3237855.240000000223517,9980309.509999999776483
20180309,3491182.899999999906868,3389891.840000000316650,3297031.560000000055879,10178107.300000000745058
20180312,3478376.210000000428408,3403416.779999999795109,3322890.119999999646097,10204684.109999999403954
20180313,3468547.819999999832362,3404031.549999999813735,3290566.920000000391155,10163147.289999999105930
20180314,3428936.430000000167638,3368989.659999999683350,3292058.760000000242144,10089985.849999999627471
20180315,3442338.780000000260770,3396654.310000000055879,3301507.080000000074506,10140501.169999999925494
20180316,3436977.840000000316650,3422474.650000000372529,3277637.640000000130385,10137091.130000000819564
20180319,3392005.510000000242144,3358538.570000000298023,3267692.040000000037253,10018237.120000001043081
20180320,3410173.140000000130385,3359153.340000000316650,3321895.560000000055879,10091223.040000000968575
20180321,3485821.960000000428408,3362227.189999999944121,3299517.959999999962747,10147568.109999999403954
20180322,3386346.740000000223517,3327185.299999999813735,3203542.920000000391155,9917075.960000000894070
20180323,3364902.980000000447035,3283536.629999999888241,3213985.799999999813735,9862426.410000000149012
20180326,3435488.689999999944121,3322267.140000000130385,3277140.360000000335276,10034897.190000001341105
20180327,3414938.419999999925494,3304438.810000000055879,3290566.920000000391155,10009945.150000000372529
20180328,3338693.939999999944121,3386817.990000000223517,3254265.479999999981374,9979778.410000000149012
20180329,3396472.960000000428408,3348702.250000000000000,3303993.479999999981374,10049169.690000001341105
20180402,3342863.560000000055879,3274929.850000000093132,3188624.520000000484288,9806418.929999999701977
20180403,3420001.530000000260770,3325340.990000000223517,3316922.760000000242144,10062266.280000001192093
20180404,3409577.480000000447035,3353005.640000000130385,3402454.920000000391155,10165039.040000000968575
20180405,3493267.710000000428408,3352390.870000000111759,3460636.680000000167638,10306296.259999999776483
20180406,3417916.720000000204891,3280462.779999999795109,3359191.560000000055879,10057572.060000000521541
