代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11522281.509999999776483
真實報酬,1522281.509999999776483

夏普值報酬,0.143528151000000
夏普值風險,0.043990868522993
夏普值,3.262680547554604

預期報酬,12868.934739669894043
風險,112649.835680761781987
趨勢值,0.114238380037581
找到最佳解世代,2466
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
AXP[1](5),DIS[6](1),KO[14](9),UNH[23](7),VZ[26](19),WMT[28](22),
20120109,1678808.550000000046566,1847973.099999999860302,1708803.050000000279397,1801653.299999999813735,1694936.719999999972060,1674588.880000000121072,10406767.600000001490116
20120110,1688522.590000000083819,1842394.419999999925494,1718717.650000000372529,1798235.899999999674037,1703771.320000000298023,1670627.440000000176951,10422273.319999998435378
20120111,1698236.630000000121072,1799159.649999999906868,1686990.930000000167638,1811563.759999999776483,1718348.410000000149012,1680814.000000000000000,10395117.380000000819564
20120112,1722521.729999999981374,1800554.319999999599531,1674597.680000000167638,1806779.399999999674037,1719231.870000000344589,1683643.600000000093132,10407332.599999999627471
20120113,1726337.959999999962747,1785212.949999999720603,1660221.510000000242144,1800969.819999999832362,1719231.870000000344589,1684775.440000000176951,10376753.550000000745058
20120117,1742296.739999999990687,1788932.069999999599531,1669144.650000000372529,1830701.199999999720603,1723649.170000000391155,1693547.200000000186265,10448275.030000001192093
20120118,1754092.360000000102445,1814036.130000000121072,1675589.140000000130385,1843345.579999999608845,1723207.440000000176951,1698074.560000000055879,10508349.210000000894070
20120119,1767622.630000000121072,1833561.509999999776483,1672119.030000000027940,1787983.699999999720603,1722765.710000000195578,1715052.160000000149012,10499108.740000000223517
20120120,1736052.000000000000000,1827517.939999999944121,1687982.390000000130385,1786275.000000000000000,1721440.520000000251457,1726370.560000000055879,10485642.410000000149012
20120123,1715236.199999999953434,1824728.599999999860302,1698888.450000000419095,1791742.839999999850988,1696261.910000000149012,1723540.959999999962747,10450402.960000000894070
20120124,1707950.669999999925494,1824728.599999999860302,1683025.090000000316650,1754151.439999999711290,1669316.380000000121072,1737123.040000000037253,10376299.219999998807907
20120125,1740562.090000000083819,1839140.189999999944121,1696409.800000000279397,1762353.199999999720603,1664899.080000000074506,1739386.719999999972060,10442755.080000000074506
20120126,1733970.419999999925494,1829377.500000000000000,1685999.470000000204891,1720660.919999999925494,1649438.530000000260770,1725238.719999999972060,10344689.560000000521541
20120127,1729460.330000000074506,1824728.599999999860302,1671623.300000000279397,1743557.500000000000000,1643696.040000000270084,1717881.760000000009313,10330951.530000001192093
20120130,1704134.439999999944121,1812641.459999999962747,1672119.030000000027940,1745266.199999999720603,1661365.240000000223517,1734576.399999999906868,10330106.769999999552965
20120131,1739521.300000000046566,1808457.449999999720603,1674101.950000000419095,1769871.479999999748543,1663573.890000000130385,1736274.160000000149012,10391804.230000000447035
20120201,1756173.939999999944121,1828447.719999999739230,1681537.900000000372529,1820107.259999999776483,1669758.110000000102445,1759476.880000000121072,10515505.810000000521541
20120202,1774908.159999999916181,1808922.339999999618158,1681537.900000000372529,1795501.979999999748543,1659156.590000000316650,1752685.840000000083819,10472716.810000000521541
20120203,1812723.530000000027940,1859595.349999999860302,1687486.660000000149012,1753467.959999999962747,1671525.030000000260770,1755232.480000000214204,10540035.010000001639128
20120206,1797458.610000000102445,1880980.289999999804422,1686495.200000000419095,1752784.479999999748543,1684776.930000000167638,1750988.080000000074506,10553487.589999999850988
20120207,1808560.370000000111759,1905154.569999999599531,1699384.180000000167638,1778073.239999999757856,1675058.870000000344589,1745611.840000000083819,10611847.070000000298023
20120208,1791560.800000000046566,1918636.380000000121072,1693931.150000000372529,1781832.379999999888241,1675058.870000000344589,1743631.120000000111759,10604654.699999999254942
20120209,1814805.110000000102445,1930723.520000000018626,1685008.010000000242144,1813272.459999999962747,1675058.870000000344589,1753251.760000000009313,10672123.730000000447035
20120210,1797458.610000000102445,1927004.399999999906868,1684016.550000000279397,1822157.699999999720603,1664899.080000000074506,1751554.000000000000000,10647094.339999999850988
20120213,1806478.790000000037253,1942810.659999999916181,1696409.800000000279397,1840269.919999999925494,1684335.200000000419095,1748441.440000000176951,10718749.810000000521541
20120214,1802662.560000000055879,1933977.750000000000000,1707811.590000000316650,1861116.059999999823049,1680359.630000000121072,1760608.719999999972060,10746540.310000000521541
20120215,1787397.640000000130385,1917706.599999999860302,1695418.340000000316650,1866583.899999999674037,1671083.300000000046566,1747592.560000000055879,10685786.339999999850988
20120216,1834233.189999999944121,1931188.409999999916181,1706820.130000000121072,1872393.479999999748543,1680801.360000000102445,1755515.440000000176951,10780956.009999997913837
20120217,1833886.260000000009313,1940951.099999999860302,1711777.430000000167638,1868634.339999999850988,1698912.290000000270084,1767965.679999999934807,10822131.099999999627471
20120221,1833539.330000000074506,1932583.079999999841675,1705828.670000000158325,1890505.699999999720603,1700237.480000000214204,1699772.320000000065193,10762470.580000000074506
20120222,1831457.750000000000000,1918636.380000000121072,1716734.730000000447035,1885721.339999999850988,1687869.040000000270084,1658177.200000000186265,10698600.440000001341105
20120223,1827294.590000000083819,1928399.069999999599531,1714751.810000000288710,1877519.579999999608845,1684335.200000000419095,1656479.440000000176951,10688783.689999999478459
20120224,1850191.969999999972060,1920495.939999999944121,1710290.240000000223517,1901783.119999999646097,1684776.930000000167638,1663553.440000000176951,10731095.639999998733401
20120227,1879681.020000000018626,1935837.309999999823049,1706324.400000000372529,1904517.039999999571592,1684335.200000000419095,1654215.760000000009313,10764914.730000000447035
20120228,1865109.959999999962747,1949319.119999999878928,1706324.400000000372529,1908276.179999999934807,1685218.660000000149012,1667514.880000000121072,10781767.200000001117587
20120229,1834927.050000000046566,1952108.459999999962747,1731606.630000000121072,1905200.519999999785796,1683451.740000000223517,1671759.280000000027940,10779057.679999997839332
20120301,1858518.290000000037253,1970704.059999999823049,1725162.140000000130385,1913402.279999999795109,1697587.100000000093132,1664402.320000000065193,10829780.189999999478459
20120302,1838396.350000000093132,1969309.389999999897555,1714751.810000000288710,1908276.179999999934807,1708188.620000000344589,1669778.560000000055879,10808704.910000002011657
20120305,1837702.489999999990687,1985115.649999999906868,1716239.000000000000000,1880936.979999999748543,1722765.710000000195578,1680814.000000000000000,10823577.830000000074506
20120306,1795030.100000000093132,1952573.349999999860302,1704341.480000000447035,1861116.059999999823049,1709072.080000000074506,1668646.719999999972060,10690783.790000000968575
20120307,1813417.390000000130385,1940951.099999999860302,1705332.940000000176951,1858723.879999999888241,1717023.219999999972060,1693830.160000000149012,10729282.690000001341105
20120308,1837008.630000000121072,1953503.130000000121072,1717230.460000000195578,1900416.159999999683350,1732483.770000000251457,1691283.520000000251457,10831929.669999999925494
20120309,1845681.880000000121072,1963730.709999999962747,1723179.220000000204891,1906225.739999999757856,1727183.010000000242144,1700055.280000000027940,10866059.839999999850988
20120312,1830763.890000000130385,1968379.610000000102445,1739042.580000000074506,1880253.500000000000000,1736901.070000000298023,1717032.880000000121072,10872377.530000001192093
20120313,1882109.530000000027940,2046016.239999999757856,1741521.230000000447035,1890847.439999999711290,1743968.750000000000000,1726087.600000000093132,11030554.789999999105930
20120314,1948026.229999999981374,2021377.069999999599531,1740529.770000000251457,1906225.739999999757856,1743527.020000000251457,1728351.280000000027940,11088041.109999999403954
20120315,1967801.239999999990687,2020912.179999999701977,1743504.150000000372529,1903833.559999999823049,1746619.130000000121072,1732595.679999999934807,11115269.939999999478459
20120316,1961903.429999999934807,2007895.259999999776483,1739042.580000000074506,1899732.679999999934807,1747944.320000000298023,1721560.240000000223517,11078082.509999999776483
20120319,1986882.390000000130385,2019517.509999999776483,1744991.340000000316650,1918186.639999999897555,1751478.160000000149012,1718730.640000000130385,11139790.679999999701977
20120320,1974392.909999999916181,2010219.709999999962747,1749948.640000000130385,1872051.739999999757856,1750594.700000000419095,1714769.200000000186265,11071980.900000002235174
20120321,1979249.929999999934807,2011614.380000000121072,1762837.620000000344589,1844370.799999999813735,1757220.650000000139698,1713637.360000000102445,11068934.740000000223517
20120322,1987576.250000000000000,2012544.159999999916181,1770273.570000000298023,1841295.139999999897555,1751919.890000000130385,1716184.000000000000000,11079797.009999999776483
20120323,1986188.530000000027940,2029280.199999999720603,1771760.760000000242144,1833776.859999999636784,1741318.370000000344589,1719013.600000000093132,11081342.320000000298023
20120326,2035105.659999999916181,2063217.169999999925494,1782171.090000000316650,1882987.419999999925494,1737342.800000000046566,1731746.800000000279397,11232574.940000001341105
20120327,2019840.739999999990687,2052524.699999999720603,1781675.360000000102445,1894264.839999999850988,1707746.890000000130385,1728634.240000000223517,11184690.769999999552965
20120328,2048982.860000000102445,2022771.739999999757856,1801008.830000000074506,1894606.579999999608845,1690077.690000000176951,1731463.840000000083819,11188915.539999999105930
20120329,2008392.050000000046566,1999527.239999999757856,1829761.170000000158325,1985851.159999999683350,1681684.820000000298023,1720994.320000000065193,11226214.759999999776483
20120330,2007351.260000000009313,2035323.770000000018626,1834718.470000000204891,2014215.579999999608845,1688752.500000000000000,1731746.800000000279397,11312112.380000000819564
20120402,2012555.209999999962747,2038113.110000000102445,1837692.850000000325963,2020366.899999999674037,1701562.670000000391155,1736274.160000000149012,11346568.900000000372529
20120403,2025738.550000000046566,2012544.159999999916181,1828273.980000000447035,2029935.619999999646097,1698912.290000000270084,1716184.000000000000000,11311592.600000001490116
20120404,1990351.689999999944121,1995808.119999999878928,1820838.030000000027940,2018316.459999999962747,1695820.180000000167638,1705148.560000000055879,11226287.040000000968575
20120405,2015677.580000000074506,2002781.469999999739230,1821333.760000000242144,2016607.759999999776483,1663573.890000000130385,1716749.920000000158325,11236728.380000000819564
20120409,1983066.159999999916181,1957687.139999999897555,1806461.860000000102445,1986876.379999999888241,1654739.290000000270084,1701470.080000000074506,11090304.910000000149012
20120410,1949067.020000000018626,1905619.459999999962747,1785145.470000000204891,1967055.459999999962747,1625585.110000000102445,1695810.880000000121072,10928287.400000000372529
20120411,1975780.630000000121072,1923285.279999999795109,1787624.120000000344589,1982775.500000000000000,1651205.450000000419095,1692132.399999999906868,11012807.380000000819564
20120412,2013596.000000000000000,1959546.699999999720603,1790102.770000000251457,1997812.059999999823049,1658714.860000000102445,1701753.040000000037253,11121529.429999999701977
20120413,1987229.320000000065193,1945600.000000000000000,1783162.550000000279397,1983800.719999999739230,1645904.690000000176951,1691283.520000000251457,11036984.800000000745058
20120416,2006310.469999999972060,1936767.089999999618158,1795555.800000000279397,1960220.659999999683350,1653414.100000000093132,1714203.280000000027940,11066475.399999998509884
20120417,2018453.020000000018626,1984185.869999999878928,1833231.280000000027940,1985509.419999999925494,1667107.730000000214204,1750705.120000000111759,11239196.440000001341105
20120418,2013596.000000000000000,1975352.959999999962747,1838684.310000000288710,1958853.699999999720603,1663573.890000000130385,1756081.360000000102445,11206146.220000000670552
20120419,1997290.290000000037253,1956292.469999999739230,1829761.170000000158325,2006355.559999999823049,1685218.660000000149012,1747309.600000000093132,11222231.749999998137355
20120420,1993127.130000000121072,1968844.500000000000000,1837692.850000000325963,2033694.759999999776483,1710839.000000000000000,1767116.800000000279397,11311319.040000000968575
20120423,1988617.040000000037253,1953038.239999999757856,1826786.790000000270084,2022759.079999999608845,1703771.320000000298023,1684775.440000000176951,11179751.910000000149012
20120424,1999371.870000000111759,1960941.369999999878928,1837197.120000000344589,2006697.299999999813735,1744852.210000000195578,1634691.520000000251457,11183755.390000000596046
20120425,2043778.909999999916181,1985115.649999999906868,1857522.050000000279397,2011823.399999999674037,1743968.750000000000000,1623090.160000000149012,11265302.919999998062849
20120426,2067370.150000000139698,2015798.389999999897555,1876359.790000000270084,1994736.399999999674037,1773122.930000000167638,1668080.800000000279397,11395472.460000000894070
20120427,2087492.090000000083819,2015333.500000000000000,1899659.100000000325963,1979016.359999999636784,1777098.500000000000000,1670344.480000000214204,11428948.030000001192093
20120430,2088879.810000000055879,2004176.139999999897555,1891727.420000000158325,1918870.119999999646097,1783724.450000000419095,1666948.959999999962747,11354330.900000002235174
20120501,2115246.490000000223517,2035788.659999999916181,1907095.050000000279397,1952360.639999999897555,1791675.590000000316650,1671476.320000000065193,11473646.750000001862645
20120502,2118021.929999999701977,2024166.409999999916181,1912548.080000000074506,1936298.859999999636784,1793442.510000000242144,1669778.560000000055879,11454260.349999999627471
20120503,2111430.259999999776483,2036718.439999999944121,1919488.300000000279397,1904175.299999999813735,1795209.430000000167638,1669212.640000000130385,11436238.370000001043081
20120504,2085063.580000000074506,1995808.119999999878928,1908582.240000000223517,1870001.299999999813735,1778423.690000000176951,1661006.800000000279397,11298889.730000000447035
20120507,2085063.580000000074506,2037183.329999999841675,1915522.460000000195578,1888113.519999999785796,1790350.400000000139698,1674871.840000000083819,11391109.129999998956919
20120508,2077778.050000000046566,2059498.049999999813735,1912052.350000000325963,1907592.699999999720603,1791233.860000000102445,1670910.399999999906868,11419069.410000000149012
20120509,2062860.060000000055879,2092970.130000000121072,1903129.210000000195578,1887088.299999999813735,1777981.960000000195578,1670344.480000000214204,11394378.140000000596046
20120510,2061472.340000000083819,2105057.269999999552965,1918992.570000000298023,1889480.479999999748543,1791233.860000000102445,1674871.840000000083819,11441112.359999999403954
20120511,2069104.800000000046566,2118074.190000000409782,1920479.760000000242144,1886404.819999999832362,1818179.390000000130385,1681379.920000000158325,11493626.880000000819564
20120514,2026779.340000000083819,2099943.479999999515712,1905607.860000000102445,1885037.859999999636784,1806252.680000000167638,1671476.320000000065193,11395101.539999999105930
20120515,2010126.699999999953434,2092505.239999999757856,1897676.180000000167638,1877519.579999999608845,1813320.360000000102445,1679399.200000000186265,11370551.259999997913837
20120516,1991045.550000000046566,2095759.469999999739230,1892223.150000000372529,1876152.619999999646097,1805810.950000000419095,1674871.840000000083819,11335867.580000000074506
20120517,1930679.729999999981374,2060892.719999999739230,1861983.620000000344589,1875469.139999999897555,1827455.719999999972060,1745328.880000000121072,11301813.810000000521541
20120518,1922006.479999999981374,2036718.439999999944121,1835709.930000000167638,1845054.279999999795109,1834523.400000000139698,1766550.880000000121072,11240567.410000000149012
20120521,1954270.969999999972060,2063682.059999999823049,1847111.720000000204891,1898365.719999999739230,1826130.530000000260770,1783811.440000000176951,11373376.439999999478459
20120522,1954964.830000000074506,2063682.059999999823049,1839180.040000000270084,1904175.299999999813735,1828339.180000000167638,1803335.679999999934807,11393681.089999999850988
20120523,1941781.489999999990687,2063682.059999999823049,1839180.040000000270084,1904175.299999999813735,1828339.180000000167638,1803335.679999999934807,11380497.750000000000000
20120524,1954617.900000000139698,2066006.509999999776483,1872889.680000000167638,1921262.299999999813735,1828339.180000000167638,1841252.319999999832362,11484371.890000000596046
20120525,1936230.610000000102445,2068795.849999999860302,1864958.000000000000000,1917844.899999999674037,1830989.560000000288710,1848043.360000000102445,11466866.279999999329448
20120529,1962250.360000000102445,2114355.069999999366701,1870411.030000000027940,1918870.119999999646097,1844241.460000000195578,1858512.880000000353903,11568644.920000001788139
20120530,1924088.060000000055879,2101338.150000000372529,1860496.430000000167638,1919553.599999999860302,1829664.370000000344589,1851721.840000000083819,11486866.450000001117587
20120531,1936924.469999999972060,2125047.540000000037253,1852564.750000000000000,1905884.000000000000000,1839382.430000000167638,1862474.319999999832362,11522281.509999999776483
