代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12547009.960000000894070
真實報酬,2547009.960000000894070

夏普值報酬,0.246000996000000
夏普值風險,0.073430119949161
夏普值,3.350137466346473

預期報酬,23500.469325068010221
風險,87806.682060219900450
趨勢值,0.267638735158571
找到最佳解世代,2581
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,10
AXP[1](5),BA[2](17),GS[8](16),JNJ[12](1),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](19),WBA[27](2),
Stock#,AXP[1](5),BA[2](17),GS[8](16),JNJ[12](1),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](19),WBA[27](2),
張數,17889,13462,8489,14341,11488,10995,41034,14120,22665,29489,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,4.900000000023283,42.640000000013970,80.689999999944121,2.069999999948777,84.479999999981374,4.750000000000000,1.419999999925494,21.600000000093132,20.200000000069849,28.010000000125729,
20121203,1001610.010000000009313,996499.880000000004657,1005178.290000000037253,998852.720000000088476,1000229.760000000009313,992853.250000000000000,1000820.679999999934807,1001835.600000000093132,999546.700000000069849,1010910.930000000167638,10008337.819999998435378
20121204,998926.660000000032596,996903.739999999990687,989728.309999999939464,1001864.329999999958090,1001838.079999999958090,990874.150000000023283,1002051.699999999953434,995905.200000000069849,989800.750000000116415,1010616.040000000270084,9978508.960000002756715
20121205,1008944.500000000000000,994480.580000000074506,994397.259999999892898,1003441.839999999967404,999195.839999999967404,997910.950000000069849,1002051.699999999953434,1044901.600000000093132,999546.700000000069849,1048951.740000000223517,10093822.709999999031425
20121206,1003935.579999999958090,995961.400000000023283,994991.489999999990687,1004589.119999999878928,1012062.400000000023283,1000000.000000000000000,1009848.159999999916181,1032899.600000000209548,1007479.450000000186265,1057208.660000000149012,10118975.860000001266599
20121207,1012701.190000000060536,1004846.320000000065193,989643.419999999925494,1010325.520000000018626,1016542.719999999972060,1006157.200000000069849,1011489.519999999902211,1036288.400000000139698,1006572.849999999976717,1064580.910000000149012,10159148.050000000745058
20121210,1015205.650000000023283,1016827.500000000000000,993378.579999999958090,1012476.669999999809079,1027226.559999999939464,1010115.400000000023283,1006155.099999999860302,1035582.400000000139698,997960.150000000139698,1071953.160000000149012,10186881.169999999925494
