代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12519913.080000000074506
真實報酬,2519913.080000000074506

夏普值報酬,0.243291308000000
夏普值風險,0.065790131992655
夏普值,3.697990878436940

預期報酬,20350.354332557169982
風險,94191.600116623521899
趨勢值,0.216052751066553
找到最佳解世代,2100
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](11),CSCO[4](14),JNJ[12](16),MMM[16](1),NKE[19](2),TRV[22](5),
Stock#,BA[2](11),CSCO[4](14),JNJ[12](16),MMM[16](1),NKE[19](2),TRV[22](5),
張數,23660,97181,23533,19025,72939,23494,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,55.600000000093132,11.850000000093132,58.940000000176951,76.000000000000000,9.849999999860302,1.640000000130385,
20121101,1674947.000000000232831,1701651.160000000149012,1682668.440000000176951,1698057.250000000000000,1738875.609999999869615,1649985.260000000242144,10146188.720000000670552
20121102,1657438.600000000093132,1686102.200000000186265,1668548.640000000363216,1692730.250000000000000,1724287.809999999823049,1635653.920000000158325,10064765.419999999925494
20121105,1665956.199999999953434,1690961.250000000000000,1665960.010000000242144,1704716.000000000000000,1737416.829999999841675,1623671.980000000214204,10088686.270000001415610
20121106,1704048.800000000046566,1698735.730000000214204,1671137.270000000251457,1728687.500000000000000,1752734.020000000018626,1648575.620000000111759,10203922.940000001341105
20121107,1658858.200000000186265,1672496.860000000102445,1655370.160000000149012,1700530.500000000000000,1725746.589999999850988,1614274.379999999888241,10027280.690000001341105
20121108,1679442.400000000139698,1635568.079999999841675,1639132.390000000363216,1684739.750000000000000,1675418.679999999701977,1621087.640000000130385,9935392.939999999478459
20121109,1733150.600000000093132,1634596.270000000018626,1644309.650000000372529,1689686.250000000000000,1683441.969999999739230,1620617.760000000242144,10005806.500000000000000
20121112,1743561.000000000000000,1638483.510000000009313,1639838.380000000353903,1696725.500000000232831,1682712.579999999841675,1607696.060000000288710,10009021.030000001192093
20121113,1735753.200000000186265,1637511.700000000186265,1635837.770000000251457,1694823.000000000000000,1668124.780000000027940,1602997.260000000242144,9975051.710000000894070
20121114,1686777.000000000232831,1716228.310000000055879,1630189.850000000093132,1661148.750000000000000,1652078.199999999720603,1599238.219999999972060,9945664.330000000074506
20121115,1680862.000000000232831,1743438.990000000223517,1625483.250000000000000,1674656.500000000000000,1656454.540000000037253,1605111.719999999972060,9986011.000000000000000
20121116,1674473.800000000046566,1748298.040000000037253,1628307.210000000195578,1683788.500000000000000,1688547.699999999720603,1612864.740000000223517,10036283.990000000223517
20121119,1702629.199999999953434,1778424.150000000139698,1629719.190000000176951,1704145.249999999767169,1756380.969999999739230,1633774.400000000372529,10205077.160000000149012
20121120,1716352.000000000232831,1782311.390000000130385,1639603.050000000279397,1693681.500000000000000,1743251.949999999720603,1636123.800000000046566,10211327.690000001341105
20121121,1730784.600000000325963,1795916.730000000214204,1637720.410000000149012,1692159.500000000000000,1743251.949999999720603,1649750.320000000065193,10249587.509999999776483
20121123,1744744.000000000000000,1830901.890000000130385,1637014.420000000158325,1717653.000000000000000,1764404.260000000009313,1674419.020000000018626,10369140.589999999850988
20121126,1757283.800000000046566,1852281.709999999962747,1625953.910000000149012,1714038.250000000000000,1781180.229999999981374,1664786.480000000214204,10395528.380000000819564
20121127,1762489.000000000000000,1842563.610000000102445,1619364.670000000158325,1718223.750000000000000,1768780.599999999860302,1664081.660000000149012,10375507.290000000968575
20121128,1753025.000000000232831,1829930.079999999841675,1630660.510000000242144,1730019.250000000232831,1807438.270000000018626,1667135.879999999888241,10418212.989999998360872
20121129,1753734.800000000279397,1847422.660000000149012,1629013.200000000186265,1724692.250000000000000,1804520.709999999729916,1672304.560000000288710,10431692.179999999701977
20121130,1757520.400000000139698,1837704.560000000055879,1641015.030000000260770,1730399.750000000000000,1777533.280000000027940,1663846.719999999972060,10408023.740000000223517
