代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11763766.800000000745058
真實報酬,1763766.800000000745058

夏普值報酬,0.167676680000000
夏普值風險,0.054783942064564
夏普值,3.060690298671611

預期報酬,16411.235068405516358
風險,125497.226076153194299
趨勢值,0.130769703694064
找到最佳解世代,1862
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](1),CAT[3](11),DD[7](3),MRK[17](17),MSFT[18](7),V[25](2),
20131021,1645774.679999999934807,1651072.040000000037253,1511102.699999999953434,1686223.000000000000000,1379342.040000000037253,1569902.050000000046566,1614526.839999999850988,11057946.349999999627471
20131022,1641134.519999999785796,1664799.960000000195578,1536430.800000000046566,1693952.560000000055879,1378155.800000000046566,1551506.579999999841675,1614204.000000000000000,11080187.219999998807907
20131023,1657043.639999999664724,1753691.640000000130385,1443216.500000000000000,1673054.119999999878928,1380824.840000000083819,1514715.639999999897555,1605164.479999999981374,11027713.859999999403954
20131024,1679139.639999999664724,1753147.959999999962747,1456483.599999999860302,1656163.600000000093132,1370741.800000000046566,1512920.959999999962747,1637771.319999999832362,11066371.879999998956919
20131025,1660358.039999999804422,1783186.280000000027940,1460618.799999999813735,1611217.640000000130385,1380231.719999999972060,1603103.629999999888241,1639062.680000000167638,11137781.789999999105930
20131028,1672731.799999999813735,1765380.760000000009313,1452176.099999999860302,1594613.400000000139698,1344941.080000000074506,1595924.909999999916181,1639062.680000000167638,11064833.729999998584390
20131029,1630970.359999999869615,1762390.520000000018626,1448557.799999999813735,1608641.119999999878928,1351761.959999999962747,1593681.560000000055879,1648425.040000000037253,11044431.359999999403954
20131030,1657043.639999999664724,1762662.360000000102445,1438564.399999999906868,1600625.280000000027940,1341678.919999999925494,1594578.899999999906868,1645196.640000000130385,11040353.140000000596046
20131031,1649972.919999999925494,1773807.800000000046566,1436324.500000000000000,1609213.680000000167638,1337230.520000000018626,1588746.189999999711290,1587408.280000000027940,10982706.889999998733401
20131101,1641576.439999999944121,1808195.560000000055879,1440287.399999999906868,1588028.959999999962747,1341382.359999999869615,1594130.229999999981374,1607424.359999999869615,11021028.310000000521541
20131104,1662788.599999999860302,1804933.479999999981374,1445456.399999999906868,1565699.119999999878928,1355913.800000000046566,1612525.699999999953434,1585471.239999999990687,11032791.339999999850988
20131105,1658590.359999999869615,1815535.239999999990687,1448213.199999999953434,1578581.719999999972060,1345237.639999999897555,1643932.600000000093132,1592896.560000000055879,11082990.320000000298023
20131106,1644448.919999999925494,1809011.080000000074506,1451142.300000000046566,1600625.280000000027940,1363031.239999999990687,1713027.780000000027940,1606455.839999999850988,11187745.439999999478459
20131107,1617712.759999999776483,1787535.719999999972060,1441321.199999999953434,1576577.760000000009313,1358879.399999999906868,1682518.219999999972060,1582888.520000000018626,11047436.580000000074506
20131108,1643344.119999999878928,1814447.880000000121072,1451486.899999999906868,1617229.520000000018626,1387942.279999999795109,1695080.979999999981374,1600321.880000000121072,11209856.560000000521541
20131111,1638483.000000000000000,1801399.560000000055879,1449936.199999999953434,1616943.239999999990687,1393873.479999999981374,1686556.250000000232831,1608392.880000000121072,11195587.610000001266599
20131112,1641576.439999999944121,1798681.160000000149012,1444767.199999999953434,1603774.360000000102445,1411370.520000000018626,1676236.839999999850988,1600321.880000000121072,11176731.400000000372529
20131113,1643565.079999999841675,1810098.439999999944121,1450797.699999999953434,1614366.719999999972060,1403956.520000000018626,1712130.439999999711290,1612589.800000000046566,11247507.699999999254942
20131114,1667207.799999999813735,1836195.080000000074506,1443216.500000000000000,1634978.880000000121072,1418191.399999999906868,1705849.060000000055879,1615495.359999999869615,11321137.080000000074506
20131115,1657264.599999999860302,1849651.160000000149012,1442871.899999999906868,1640131.919999999925494,1425605.399999999906868,1697773.000000000232831,1630346.000000000000000,11343646.980000000447035
20131118,1637157.239999999990687,1880640.920000000158325,1448040.900000000139698,1625531.640000000130385,1423826.040000000037253,1669058.120000000111759,1613558.319999999832362,11297816.180000001564622
20131119,1640029.719999999739230,1861883.959999999962747,1441665.800000000046566,1618660.919999999925494,1425605.399999999906868,1648419.300000000046566,1593219.400000000139698,11229487.500000000000000
20131120,1625667.319999999599531,1800312.199999999953434,1424608.100000000093132,1600625.280000000027940,1427384.760000000009313,1663674.079999999841675,1599030.520000000018626,11141305.259999997913837
20131121,1645111.799999999813735,1806836.360000000102445,1414959.300000000046566,1615798.119999999878928,1441916.199999999953434,1678031.520000000018626,1627117.599999999860302,11229773.900000000372529
20131122,1640913.560000000055879,1848156.040000000037253,1428054.099999999860302,1616943.239999999990687,1451406.119999999878928,1685658.909999999916181,1631314.520000000018626,11302449.490000000223517
20131125,1653287.319999999599531,1807787.800000000046566,1454243.699999999953434,1590319.199999999953434,1472758.439999999944121,1688799.600000000093132,1629700.319999999832362,11296899.379999998956919
20131126,1683779.799999999813735,1831981.560000000055879,1453554.500000000000000,1581444.520000000018626,1470385.959999999962747,1675788.169999999925494,1642613.920000000158325,11339551.429999997839332
20131127,1723331.639999999664724,1831166.040000000037253,1458895.800000000046566,1594040.840000000083819,1477799.959999999962747,1687004.919999999925494,1646488.000000000000000,11418730.199999999254942
20131129,1755370.839999999850988,1824777.800000000046566,1457689.699999999953434,1592609.440000000176951,1477799.959999999962747,1710784.430000000167638,1642291.079999999841675,11461326.250000000000000
20131202,1740124.599999999860302,1823554.520000000018626,1451659.199999999953434,1630112.119999999878928,1488179.560000000055879,1725141.870000000111759,1655527.520000000018626,11514302.390000000596046
20131203,1787631.000000000000000,1794195.800000000046566,1445111.800000000046566,1578581.719999999972060,1475724.040000000037253,1718860.489999999990687,1628408.959999999962747,11428516.809999998658895
20131204,1783432.759999999776483,1787399.800000000046566,1446834.800000000046566,1585452.440000000176951,1462378.840000000083819,1747126.699999999953434,1636479.959999999962747,11449108.300000000745058
20131205,1792713.079999999841675,1804117.959999999962747,1454416.000000000000000,1574001.239999999990687,1447550.840000000083819,1704951.719999999972060,1628086.119999999878928,11405839.959999999031425
20131206,1767744.599999999860302,1837418.360000000102445,1473196.699999999953434,1600911.560000000055879,1464751.320000000065193,1721103.839999999850988,1629377.479999999981374,11494506.860000001266599
20131209,1788072.919999999925494,1830622.360000000102445,1483362.399999999906868,1663320.600000000093132,1469792.840000000083819,1736807.290000000037253,1627117.599999999860302,11599099.009999999776483
20131210,1785200.439999999944121,1817302.199999999953434,1489048.300000000046566,1703399.800000000046566,1465937.560000000055879,1709887.089999999850988,1609684.239999999990687,11580462.629999998956919
20131211,1771942.839999999850988,1801807.320000000065193,1469406.099999999860302,1673626.680000000167638,1451702.680000000167638,1687453.589999999850988,1660047.280000000027940,11515989.489999998360872
20131212,1769512.279999999795109,1807244.120000000111759,1474402.799999999813735,1661889.199999999953434,1433019.399999999906868,1669955.459999999962747,1641968.239999999990687,11457994.499999998137355
20131213,1750067.799999999813735,1819069.160000000149012,1482673.199999999953434,1692807.440000000176951,1434798.760000000009313,1646175.949999999953434,1673606.560000000055879,11499201.870000001043081
20131216,1759790.039999999804422,1831166.040000000037253,1505589.099999999860302,1695956.520000000018626,1426198.520000000018626,1654700.680000000167638,1676834.959999999962747,11550238.859999999403954
20131217,1751835.479999999981374,1846932.760000000009313,1497663.300000000046566,1720576.600000000093132,1420563.879999999888241,1638548.560000000055879,1721064.040000000037253,11597187.620000001043081
20131218,1738577.880000000121072,1841631.880000000121072,1519200.800000000046566,1773824.680000000167638,1450219.879999999888241,1641240.579999999841675,1738174.560000000055879,11702873.259999999776483
20131219,1718691.479999999981374,1837282.439999999944121,1508345.900000000139698,1789856.360000000102445,1446957.719999999972060,1626434.469999999972060,1743985.680000000167638,11671557.050000000745058
20131220,1733053.880000000121072,1857670.439999999944121,1532295.600000000093132,1784989.600000000093132,1462675.399999999906868,1651111.319999999832362,1743017.160000000149012,11764816.400000000372529
20131223,1799562.839999999850988,1854000.600000000093132,1550042.499999999767169,1788997.520000000018626,1463861.639999999897555,1643035.259999999776483,1759804.839999999850988,11859308.199999999254942
20131224,1792050.199999999720603,1859845.160000000149012,1566411.000000000000000,1811041.080000000074506,1465344.439999999944121,1663674.079999999841675,1765293.119999999878928,11923662.079999998211861
20131226,1780118.359999999869615,1879417.640000000130385,1570546.199999999953434,1828790.440000000176951,1474537.800000000046566,1679826.199999999953434,1777238.199999999953434,11990477.839999999850988
20131227,1767965.560000000055879,1860796.600000000093132,1565721.800000000046566,1818198.080000000074506,1476613.719999999972060,1673096.149999999906868,1773041.280000000027940,11935436.189999999478459
20131230,1750509.719999999739230,1847476.439999999944121,1565721.800000000046566,1818198.080000000074506,1481062.119999999878928,1673096.149999999906868,1783049.319999999832362,11919116.630000000819564
20131231,1771059.000000000000000,1855223.880000000121072,1564688.000000000000000,1810182.239999999990687,1484324.279999999795109,1678480.189999999711290,1797254.280000000027940,11961214.869999999180436
20140102,1746090.519999999785796,1857670.439999999944121,1548491.800000000046566,1788424.959999999962747,1467716.919999999925494,1667263.439999999711290,1783695.000000000000000,11859356.080000000074506
20140103,1707643.479999999981374,1870582.840000000083819,1547630.299999999813735,1780409.119999999878928,1474834.359999999869615,1656046.689999999711290,1784986.359999999869615,11822136.149999998509884
20140106,1716923.799999999813735,1881320.520000000018626,1527298.899999999906868,1777260.040000000037253,1475130.919999999925494,1621050.430000000167638,1774332.640000000130385,11773320.250000000000000
20140107,1704771.000000000000000,1909863.719999999972060,1532295.600000000093132,1757506.719999999972060,1486103.639999999897555,1633613.189999999711290,1787891.920000000158325,11812048.789999999105930
20140108,1715598.039999999804422,1914077.239999999990687,1535913.899999999906868,1759510.680000000167638,1476613.719999999972060,1604449.639999999897555,1793703.040000000037253,11799869.260000001639128
20140109,1693723.000000000000000,1931882.760000000009313,1545734.999999999767169,1736894.560000000055879,1468606.600000000093132,1594130.229999999981374,1791120.319999999832362,11762095.470000000670552
20140110,1682233.079999999841675,1928756.600000000093132,1559519.000000000000000,1741188.760000000009313,1479282.760000000009313,1617012.399999999906868,1784663.520000000018626,11792659.119999999180436
20140113,1691071.479999999981374,1912446.199999999953434,1548836.399999999906868,1707980.280000000027940,1575368.199999999953434,1569453.379999999888241,1766907.319999999832362,11772066.260000001639128
20140114,1724878.359999999869615,1903067.719999999972060,1560380.500000000000000,1738898.520000000018626,1571809.479999999981374,1605346.979999999981374,1796931.439999999944121,11901316.000000000000000
20140115,1759348.119999999878928,1911358.840000000083819,1592256.000000000000000,1755216.480000000214204,1557574.600000000093132,1649316.639999999897555,1805970.959999999962747,12031044.640000000596046
20140116,1749625.880000000121072,1905786.120000000111759,1585364.000000000000000,1756647.880000000121072,1556981.479999999981374,1655149.350000000093132,1789828.959999999962747,11999386.669999998062849
20140117,1706759.639999999664724,1909184.120000000111759,1575542.899999999906868,1756075.320000000065193,1540670.680000000167638,1632267.180000000167638,1874090.199999999953434,11994593.039999999105930
20140121,1733274.839999999850988,1925630.439999999944121,1561069.699999999953434,1872591.280000000027940,1537111.959999999962747,1622845.110000000102445,1871830.319999999832362,12124356.649999998509884
20140122,1741008.439999999944121,1962328.840000000083819,1544528.899999999906868,1862285.199999999953434,1522877.080000000074506,1612077.030000000027940,1880547.000000000000000,12125655.490000000223517
20140123,1755591.799999999813735,1920737.320000000065193,1524542.100000000093132,1823351.119999999878928,1530291.080000000074506,1617909.739999999990687,1842129.040000000037253,12014555.200000002980232
20140124,1723773.560000000055879,1857398.600000000093132,1484740.800000000046566,1769816.760000000009313,1541560.359999999869615,1651559.989999999990687,1785632.040000000037253,11814485.109999999403954
20140127,1737694.039999999804422,1867048.920000000158325,1572958.400000000139698,1757220.440000000176951,1557871.159999999916181,1616563.729999999981374,1745277.040000000037253,11854636.730000000447035
20140128,1598931.159999999916181,1863379.080000000074506,1593289.800000000046566,1755502.760000000009313,1567954.199999999953434,1627331.810000000055879,1783372.160000000149012,11789763.970000000670552
20140129,1580812.439999999944121,1764021.560000000055879,1561414.300000000046566,1823637.400000000139698,1548381.239999999990687,1644829.939999999711290,1752379.520000000018626,11675479.400000000372529
20140130,1577719.000000000000000,1719847.560000000055879,1605867.699999999953434,1847398.640000000130385,1586934.040000000037253,1653803.339999999850988,1782726.479999999981374,11774299.760000001639128
20140131,1580149.560000000055879,1702585.720000000204891,1618101.000000000000000,1855414.480000000214204,1570919.800000000046566,1697773.000000000232831,1738820.239999999990687,11763766.800000000745058
