代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12481000.960000000894070
真實報酬,2481000.960000000894070

夏普值報酬,0.239400096000000
夏普值風險,0.056821280935247
夏普值,4.213211882231531

預期報酬,15928.889058343294892
風險,158924.208584443083964
趨勢值,0.100229469130121
找到最佳解世代,2153
找到最佳解實驗#,3
找到最佳解次數,22

stock[index](rank)
投資組合檔數,3
AAPL[0](1),GS[8](2),NKE[19](4),
Stock#,AAPL[0](1),GS[8](2),NKE[19](4),
張數,39541,20856,91374,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.700000000186265,127.080000000074506,9.480000000447035,
20140501,3341241.200000000186265,3344803.800000000279397,3331505.520000000484288,10017551.519999999552965
20140502,3347172.350000000558794,3313728.359999999869615,3334246.740000000689179,9995148.450000001117587
20140505,3394621.549999999813735,3260962.680000000167638,3348866.580000000540167,10004451.810000000521541
20140506,3357848.420000000391155,3223213.319999999832362,3301352.100000000558794,9882414.839999999850988
20140507,3345986.120000000577420,3243652.200000000186265,3297697.140000000596046,9887336.460000000894070
20140508,3321470.700000000186265,3282861.479999999981374,3337901.700000000651926,9942234.880000000819564
20140509,3307631.350000000558794,3278690.279999999795109,3356176.500000000000000,9942499.130000000819564
20140512,3348753.990000000223517,3327701.880000000353903,3410087.160000000614673,10086544.030000001192093
20140513,3353894.319999999832362,3342926.760000000242144,3408259.680000000167638,10105081.759999999776483
20140514,3354685.140000000130385,3325616.279999999795109,3361658.940000000409782,10041961.359999999403954
20140515,3326215.620000000577420,3267010.919999999925494,3332419.260000000242144,9925646.800000000745058
20140516,3375246.459999999962747,3262631.160000000149012,3378106.260000000242144,10015984.880000000819564
20140519,3415182.870000000577420,3288492.599999999627471,3402777.240000000689179,10106453.710000000894070
20140520,3415973.690000000409782,3260962.680000000167638,3347039.100000000558794,10023976.470000002533197
20140521,3425068.120000000577420,3323530.680000000167638,3389984.880000000353903,10138584.680000001564622
20140522,3430208.450000000186265,3333958.680000000167638,3421052.040000000037253,10185220.170000001788139
20140523,3468958.630000000353903,3340424.040000000037253,3464911.560000000521541,10274295.230000000447035
20140527,3534201.279999999795109,3374002.200000000186265,3500547.420000000856817,10408751.900000002235174
20140528,3524711.440000000409782,3361905.720000000204891,3485013.840000000316650,10371632.000000000000000
20140529,3589163.270000000018626,3352520.520000000484288,3489582.540000000037253,10431267.330000001937151
20140530,3575719.330000000540167,3333124.439999999944121,3514253.520000000484288,10423098.290000000968575
20140602,3551203.910000000149012,3337712.760000000242144,3505116.120000000577420,10394033.790000000968575
20140603,3601420.979999999981374,3374627.880000000353903,3452119.200000000651926,10428169.060000000521541
20140604,3642543.620000000577420,3386932.919999999925494,3478617.660000000614673,10508095.200000001117587
20140605,3656778.380000000353903,3390895.560000000521541,3466739.040000000037253,10514413.980000000447035
