代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12662286.879999998956919
真實報酬,2662286.879999998956919

夏普值報酬,0.257528688000000
夏普值風險,0.063791919855054
夏普值,4.037011091454032

預期報酬,18782.157438538666611
風險,183251.677924329967937
趨勢值,0.102493781510117
找到最佳解世代,1801
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](15),NKE[19](7),WBA[27](2),
Stock#,BA[2](15),NKE[19](7),WBA[27](2),
張數,26288,84860,55078,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.600000000093132,32.199999999720603,12.439999999944121,
20140902,3298632.840000000316650,3363882.599999999627471,3305243.219999999739230,9967759.660000000149012
20140903,3310725.319999999832362,3344364.799999999348074,3316809.600000000093132,9971900.719999998807907
20140904,3298107.080000000074506,3391037.799999999813735,3440184.319999999832362,10129330.199999999254942
20140905,3277865.319999999832362,3480989.399999999906868,3522250.540000000037253,10281106.259999999776483
20140908,3364352.840000000316650,3496264.200000000186265,3467723.319999999832362,10328341.360000001266599
20140909,3370399.080000000074506,3472503.399999999906868,3448446.020000000018626,10291349.500000000000000
20140910,3370661.959999999962747,3499658.600000000093132,3487551.399999999906868,10357872.960000000894070
20140911,3355414.919999999925494,3471654.799999999348074,3494160.759999999776483,10321231.479999998584390
20140912,3337276.200000000186265,3472503.399999999906868,3460012.399999999906868,10269793.000000000000000
20140915,3320451.880000000353903,3463168.799999999813735,3454504.600000000093132,10238126.279999999329448
20140916,3347002.759999999776483,3445348.199999999720603,3505176.359999999869615,10297528.319999998435378
20140917,3358569.480000000447035,3458925.799999999348074,3510133.379999999888241,10327629.660000000149012
20140918,3380125.640000000596046,3478443.600000000093132,3479840.479999999981374,10338410.720000000670552
20140919,3400367.399999999906868,3471654.799999999348074,3463317.080000000074506,10335340.279999999329448
20140922,3380914.280000000260770,3424133.199999999720603,3327825.200000000186265,10132873.679999999701977
20140923,3348580.040000000037253,3399523.799999999813735,3365278.240000000223517,10113383.080000000074506
20140924,3380125.640000000596046,3430073.399999999906868,3388411.000000000000000,10198611.040000000968575
20140925,3342270.919999999925494,3384249.000000000000000,3331680.660000000149012,10058201.580000000074506
20140926,3383017.319999999832362,3797517.199999999720603,3314606.479999999981374,10495142.000000000000000
20140929,3385120.360000000335276,3781393.799999999813735,3282661.240000000223517,10449176.400000000372529
