代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11154685.049999998882413
真實報酬,1154685.049999998882413

夏普值報酬,0.106768505000000
夏普值風險,0.036638399655644
夏普值,2.914114863189766

預期報酬,9449.573072765071629
風險,133459.281921864690958
趨勢值,0.070804914702729
找到最佳解世代,2477
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](3),MRK[17](4),PG[21](1),VZ[26](10),WMT[28](2),
Stock#,KO[14](3),MRK[17](4),PG[21](1),VZ[26](10),WMT[28](2),
張數,40766,25409,18782,34971,19447,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.039999999804422,57.610000000102445,92.639999999897555,8.510000000009313,70.520000000018626,
20190501,1980839.979999999981374,2000254.090000000083819,1970887.900000000139698,1976569.430000000167638,1971218.439999999944121,9899769.839999999850988
20190502,1972686.779999999795109,2020581.290000000037253,1982720.560000000055879,1993005.800000000046566,1967134.570000000065193,9936129.000000000000000
20190503,1986139.559999999823049,2032777.610000000102445,1992487.199999999953434,2001748.550000000046566,1985220.280000000027940,9998373.199999999254942
20190506,1975948.059999999823049,2019564.930000000167638,1984974.400000000139698,1990208.119999999878928,1992610.139999999897555,9963305.650000000372529
20190507,1956788.039999999804422,1979418.710000000195578,1966568.040000000037253,1980416.239999999990687,1970051.619999999878928,9853242.650000000372529
20190508,1950673.139999999897555,1986533.230000000214204,1973517.379999999655411,1971673.489999999990687,1950604.619999999878928,9833001.859999999403954
20190509,1932328.439999999711290,1990344.580000000074506,1957928.319999999832362,1975170.589999999850988,1935824.900000000139698,9791596.830000000074506
20190510,1964533.579999999608845,1986787.320000000065193,1991172.459999999962747,1990208.119999999878928,1981914.290000000037253,9914615.769999999552965
20190513,1958826.339999999618158,1960870.140000000130385,1993050.659999999916181,1984612.760000000009313,1942631.350000000093132,9839991.250000000000000
20190514,1984916.579999999608845,1967222.390000000130385,1983471.839999999850988,1977618.559999999823049,1950410.150000000139698,9863639.519999999552965
20190515,2004891.919999999692664,1970525.560000000055879,2004132.040000000037253,1986711.020000000018626,1942436.879999999888241,9908697.419999998062849
20190516,2021198.319999999832362,2010671.780000000027940,2030614.659999999916181,2006644.489999999990687,1970246.090000000083819,10039375.339999999850988
20190517,2005707.239999999990687,2000254.090000000083819,2018218.540000000037253,2031473.900000000139698,1961494.939999999944121,10017148.710000000894070
20190520,1991439.139999999897555,2004319.530000000027940,2015964.699999999953434,2063647.219999999972060,1974329.959999999962747,10049700.550000000745058
20190521,1981247.639999999897555,2020073.110000000102445,1997933.979999999981374,2080783.010000000009313,1966551.160000000149012,10046588.900000000372529
20190522,2024051.939999999711290,2057678.430000000167638,2004507.679999999934807,2072040.260000000009313,1988137.330000000074506,10146415.640000000596046
20190523,2032205.139999999897555,2058694.790000000037253,2005258.959999999962747,2058751.280000000027940,1980941.939999999944121,10135852.109999999403954
20190524,2022421.299999999813735,2062506.140000000130385,2003944.219999999739230,2074488.229999999981374,1996694.010000000009313,10160053.900000000372529
